V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T
NOR_C20,60.5049,22.1921,66.4625,26.6278,80.6295,51.7054,10.7622,36.0009,62.634,9.9533,319.6285,32.6975,107.113,65.0076,56.9262,25.0328,5.0274,7.6032,25.9492,29.2874,28.1165,33.7159,8.7104,25.3687,268.1585,127.6542,26.9039,36.3268,14.4988,18.8752,7.7247,20.0946,16.443,7.5243,14.3369,6.7621,58.4793,61.5557,84.1048,16.0877,26.5453,58.5249,25.0743,22.2979,0.0
NOR_C21,9.3333,54.7384,4.3237,3.4542,2.7,26.7826,2.6482,0.7669,0.5658,41.8045,2.3269,19.937,0.409,0.9755,9.7103,0.9174,0.8037,0.9536,2.4708,0.2688,6.5916,2.0958,0.8547,5.129,12.0878,7.534,1.517,3.5343,1.7126,2.1095,0.2684,9.5939,1.2416,1.0884,2.4751,0.757,2.7767,12.7111,4.7309,7.3047,3.3562,449.8136,1.4024,1.0719,0.0
NOR_C22,13.1084,10.0913,15.5627,2.8105,17.065,78.1148,1.8364,8.582,9.083,9.4473,14.2393,5.1956,29.7228,5.6655,5.5801,11.9792,2.4773,32.7144,11.8498,3.4032,10.9904,21.2131,5.6792,59.9197,233.2311,94.2031,58.1408,4.7844,3.0635,7.0283,1.238,11.1993,8.4573,2.9788,7.936,2.7603,32.9612,30.444,28.3845,12.0041,10.5595,20.131,5.9628,4.6461,0.0
NOR_C23,7.4582,13.4226,76.5527,4.0684,50.8341,29.9681,1.3094,68.7104,4.9385,2.4518,13.5751,1.1685,11.8032,339.0544,35.1993,35.7276,10.3613,15.1002,20.3116,10.0513,97.5932,18.3066,6.2987,14.5564,1801.1749,84.7296,8.0219,12.9597,5.3781,111.7249,1.8134,43.989,6.4242,1.9244,6.01,2.3531,172.0368,20.1562,14.0507,129.143,28.3801,28.0526,4.2965,4.2595,0.0
NOR_C24,0.0,1.7188,37.1874,0.1715,31.596,0.8365,5.9389,15.9927,16.6338,0.0738,9.9369,0.0901,9.0985,45.0989,1990.5522,620.9123,18.0369,251.3375,175.4353,111.4724,80.8394,205.8575,0.0,38.7173,34.0335,53.9653,0.0,0.0,0.0035,47.8439,0.0,0.0659,1.6458,0.0,0.0593,0.0,0.1559,0.0925,2.0381,0.95,0.733,34.556,1.1985,0.0,0.0
NOR_C25,15.0223,55.3066,127.0029,13.2382,106.7742,71.8798,6.3763,39.3386,9.8651,4.5337,27.1495,2.8908,10.0363,38.2544,93.7365,283.6536,100.9087,21.3477,246.724,14.5509,552.3878,229.8969,19.4335,51.4693,607.7054,159.9176,22.392,71.5299,27.335,227.0273,2.783,17.5792,24.0203,12.859,27.3834,10.8557,30.669,86.1752,76.5183,66.9996,16.4944,60.8425,24.1363,22.8488,0.0
NOR_C26,2.3935,9.7888,16.7775,2.3205,7.6079,7.3312,0.4752,2.0211,2.1827,4.6455,1.5868,2.1775,1.4843,2.7234,3.1561,9.0658,121.5179,31.1428,21.2858,1.6508,72.9571,32.0911,4.9032,11.6052,59.9879,71.5151,4.3799,11.8291,4.1714,18.232,8.0609,2.463,31.0086,6.898,27.6908,36.0181,18.1604,183.6455,67.1334,63.4251,22.4625,75.6992,10.9601,10.498,0.0
NOR_C27,3.9298,20.5063,27.6195,3.4488,16.1912,19.997,2.1834,7.3861,3.1817,1.8095,9.7139,0.6047,2.2895,7.9882,86.1068,18.321,31.1631,132.7215,61.4928,6.1921,79.8923,48.5341,5.9077,7.5836,423.0453,88.1378,29.8044,29.7057,10.6027,50.0138,1.5133,9.2992,7.2845,5.7643,8.4994,6.6297,12.1943,38.0773,30.4069,28.8427,10.4578,21.8765,21.8376,16.548,0.0
NOR_C28,8.3786,107.6522,225.3405,22.2041,107.042,52.2192,5.6369,25.4379,12.7935,3.6408,15.6138,1.5756,5.3813,33.6815,21.506,52.3125,31.7072,14.5419,438.2838,15.1123,286.193,192.4543,11.3967,21.3392,289.5686,202.9965,60.673,148.8008,47.1377,228.0725,3.2581,4.3746,16.0029,17.1019,34.1272,10.9168,32.1541,64.5633,144.8403,28.4354,8.4566,27.6258,27.2265,7.5067,0.0
NOR_C29,1.3414,6.0494,7.2949,0.7701,4.745,10.0426,0.6846,2.0759,1.0429,0.7804,1.6518,0.2526,0.6014,2.4143,4.3424,2.9102,2.1322,3.2558,9.6398,1.4508,8.267,5.7262,0.8613,1.5688,20.4289,87.0332,9.9698,9.1674,3.2772,4.3487,0.3506,1.6818,1.3226,1.541,2.2638,1.1369,3.0242,6.8344,4.5918,3.7464,1.2832,5.9634,1.8834,2.5081,0.0
NOR_C30,0.0327,0.9686,30.546,0.0174,0.0572,0.2812,0.0171,0.1159,0.05,0.0779,0.0932,0.0251,0.0529,0.0783,0.1865,4.33,0.0729,0.051,0.2209,3.1694,152.1234,34.493,0.2844,0.7019,1.2678,0.9852,0.574,409.4844,14.7136,0.1268,0.0016,0.0494,0.3233,0.0081,0.2449,0.0,0.0833,1.2517,0.5845,52.3977,0.1591,1.5846,0.0402,2.9133,0.0
NOR_C31T33,17.2296,241.3967,210.7866,27.759,92.0745,168.9938,12.1121,77.0086,42.9774,11.129,49.019,5.0042,18.3526,109.2973,63.3867,124.3342,48.4822,51.6837,191.0486,13.1359,231.3035,232.9789,15.2522,52.3675,349.8458,154.7575,133.825,505.5563,157.9881,61.3715,8.63,19.6241,27.7556,58.7274,42.9331,37.1409,76.5448,126.545,120.0733,62.6278,20.8698,91.9578,67.2724,32.1521,0.0
NOR_D,89.1743,108.9503,262.2591,100.1956,196.4636,185.3952,8.2813,58.3036,165.6762,27.1785,323.719,12.4656,21.2784,74.0626,1016.045,69.8579,16.686,24.1928,64.3224,10.8129,74.5261,85.0691,399.3857,69.9046,243.3441,410.4283,75.3359,126.4103,44.0361,115.0924,7.9304,149.299,30.5933,34.8005,53.0152,37.3509,513.2485,87.2228,86.376,542.6922,167.3176,228.2973,87.6385,76.0921,0.0
NOR_E,1.373,20.7533,19.9758,2.4138,54.2092,21.3496,1.4862,4.2306,142.3962,12.1011,83.8368,5.7702,1.8022,18.5604,226.1225,9.5687,8.1774,10.6939,11.5619,2.9218,19.4775,17.8308,17.7031,1449.5921,498.6773,387.9132,20.6498,35.2157,18.7091,188.2602,3.0872,89.7699,37.4263,8.5606,58.5256,24.7603,639.4816,170.5741,75.0219,169.9317,106.8277,107.3333,27.629,32.3729,0.0
NOR_F,187.4961,133.1035,51.6802,14.2989,195.8154,86.3839,3.6813,22.2762,11.9352,14.4739,17.2229,6.8366,6.5763,31.0467,13.7702,42.5338,11.2866,15.057,40.105,6.8351,39.5533,41.9695,57.9925,301.9624,16160.7114,658.6112,29.751,47.8312,19.3094,178.787,5.9226,243.2945,21.7568,504.402,48.2889,153.3591,2868.422,84.9667,67.1363,4076.8136,287.6723,532.1347,128.5222,57.6915,0.0
NOR_G,367.6363,772.0175,459.03,79.4683,414.0384,2902.1182,202.9636,288.058,143.8077,168.2147,283.6077,52.4913,102.688,281.0459,465.1399,269.0696,232.7866,257.5908,404.1206,68.306,552.5283,459.3041,131.8505,322.2759,3574.9202,1628.9037,953.2159,652.6899,294.6074,439.5506,129.0853,537.7312,302.0911,96.4833,473.6527,270.1027,691.8935,955.31,798.9474,637.5919,273.9341,1072.593,303.4929,228.0117,0.0
NOR_H49,39.3602,63.1601,61.819,23.2656,205.6785,347.9476,14.9196,76.4532,57.4413,89.3269,86.8492,36.7087,26.5419,134.6138,132.689,59.4917,23.9949,36.1442,69.3469,13.5648,64.5636,64.242,15.7728,68.7507,619.237,901.1003,425.7274,57.4876,29.0167,170.0459,63.9343,44.9936,144.617,19.2703,76.7985,59.6884,109.0363,117.3283,168.5401,1249.5593,162.3876,168.9559,28.4938,33.5952,0.0
NOR_H50,13.5839,22.183,72.8076,8.2971,44.0493,94.07,6.5007,14.145,8.287,11.0734,19.1021,4.2798,6.255,20.2137,31.8698,21.2201,13.1433,15.8907,34.6404,4.8077,38.3475,30.3673,9.4619,25.0874,212.2321,148.9506,92.6917,250.2832,84.197,35.868,12.1761,30.1901,24.3382,8.6597,30.1376,19.8671,46.907,71.4683,71.5773,35.2912,14.3718,52.8381,15.8544,12.5005,0.0
NOR_H51,7.1159,15.2368,55.1016,5.7035,21.92,49.4626,3.0132,8.1068,5.9582,14.8794,15.8428,6.3894,3.1495,11.8146,22.9503,12.8402,10.4861,9.4027,22.1584,3.6526,19.5715,20.6396,6.7318,6.9106,106.4404,118.4799,20.188,20.1413,136.4607,18.9042,9.7739,8.3857,14.7365,7.0112,27.6641,17.8145,19.0045,70.1548,376.4046,61.8567,17.5687,39.8239,17.0207,16.4037,0.0
NOR_H52,22.4726,23.6602,25.7537,8.3474,76.0765,113.8065,5.0689,21.4846,13.6791,24.7718,20.0786,9.8024,6.827,33.8598,32.611,24.4624,8.5074,11.9451,25.8223,5.3041,24.0013,23.6839,8.9964,65.5293,430.4109,511.7246,398.0727,2089.7862,433.4597,75.626,43.1825,50.3369,66.7462,20.5194,81.294,79.3839,162.4636,94.5693,127.8994,137.923,38.6298,95.2406,23.6403,27.1327,0.0
NOR_H53,2.9056,4.6376,19.5502,4.5257,8.325,19.2098,1.5495,4.2963,2.7839,8.0193,8.7316,3.7777,1.369,4.5047,7.2996,7.6907,5.7549,4.6975,8.7607,2.1364,6.8354,10.6168,37.3051,32.4708,70.198,230.6676,17.7526,6.5361,6.6119,62.88,5.9234,17.7009,198.9905,6.3063,61.2887,94.9446,100.0813,250.9474,114.3763,109.4415,26.7049,60.4506,30.1295,18.382,0.0
NOR_I,2.1056,7.1815,113.5705,10.9068,51.8441,59.9472,4.3357,13.3463,12.7011,34.217,32.7975,16.3097,5.8404,18.5472,34.0829,34.1225,25.804,19.6839,37.5653,10.0139,27.9169,46.9719,47.807,7.276,120.9834,302.0789,48.9863,19.5958,111.164,25.5439,6.3594,241.3089,62.3637,20.7674,104.9968,73.6102,23.1302,149.5051,801.2989,232.6007,54.2898,162.5068,55.2987,34.6499,0.0
NOR_J58T60,3.9938,7.504,51.1915,4.7922,19.6282,25.9965,1.9109,4.8991,14.873,7.1872,9.7357,3.4194,2.0643,8.2887,8.6298,9.4873,5.2073,5.2678,13.5359,2.0321,9.2409,13.5765,29.3154,25.7896,103.903,669.1296,47.37,44.7454,95.1403,65.364,9.8918,55.4445,336.7268,113.9003,909.8966,140.959,136.3508,636.4305,355.0276,169.7342,253.7408,100.9454,86.6997,126.5614,0.0
NOR_J61,8.8956,8.2037,40.2127,6.6414,44.4078,26.6427,2.1544,5.8697,3.9142,12.3859,11.6435,5.7922,1.9167,6.7106,9.9316,10.6498,7.4158,6.3859,15.1383,2.7372,10.9244,15.4559,47.8339,40.0744,101.6295,279.0707,211.5669,525.4386,17.7662,85.4955,7.9257,23.5974,51.3482,1586.6045,85.7171,106.7996,123.6435,309.1505,144.9354,132.5702,32.7221,76.3216,21.9464,23.0125,0.0
NOR_J62_63,3.0064,13.7144,83.431,9.1915,40.0556,54.376,4.3614,10.6536,7.5703,19.5146,23.4555,9.3153,3.7162,12.934,18.6648,20.673,14.6303,12.6506,27.8723,5.5065,20.3222,29.9407,226.1995,82.8269,195.8377,709.7166,55.1694,42.004,32.4025,439.1236,16.0252,49.6878,274.1795,251.9922,931.7083,1088.0484,246.6952,1092.3967,295.4399,572.3975,91.1565,676.6422,62.0907,46.5238,0.0
NOR_K,43.1309,115.018,421.519,38.4651,273.9063,294.9759,14.8745,57.2823,49.4764,154.5869,114.5823,73.7751,22.2321,73.7224,159.6101,119.7469,72.5279,71.4633,130.1608,30.4584,125.4083,146.5952,180.3242,53.4205,697.7988,643.0373,146.0344,842.0637,95.3807,230.4252,23.9148,125.3976,129.2618,88.6011,258.2765,2513.6114,3813.9105,557.1041,265.7261,1345.3384,136.0363,321.3161,121.1853,152.196,0.0
NOR_L,6.0093,0.5557,163.3482,33.236,45.0056,165.1099,25.3897,44.4243,47.4442,12.3503,26.7869,5.8926,26.2584,45.611,13.7954,166.5506,49.7667,50.9869,115.5777,24.4725,92.1929,187.6189,74.5652,88.9086,636.5674,3130.0709,93.6147,44.6061,22.5123,214.9162,73.2806,775.2077,138.0148,96.2613,258.2531,309.6755,1411.5455,708.5404,530.0524,835.2528,334.3559,551.9445,308.386,228.2898,0.0
NOR_M,64.3527,229.2441,785.9232,53.2272,934.4591,116.4476,9.2085,24.0192,17.981,43.6739,54.2584,20.7034,8.4584,29.1746,46.6813,47.3867,35.1819,29.1489,87.0422,12.9827,48.4979,67.1566,265.988,176.0146,4511.5324,1433.2726,132.7158,74.4241,88.8226,380.7591,34.0029,281.5897,188.7104,234.908,567.5622,557.9685,595.0601,2359.8079,789.0538,705.0942,167.1247,378.8097,174.9242,195.8565,0.0
NOR_N,10.1,33.4783,1115.9621,83.0954,381.6214,229.2748,13.0027,40.5347,35.7361,52.9588,87.0282,25.2194,17.6232,71.1671,62.183,97.3547,42.3834,52.8427,122.7205,18.0437,80.0934,145.4151,180.3014,228.4229,1705.9321,1342.6235,346.8722,585.4373,373.6851,513.7852,82.4625,313.1702,245.201,129.8906,472.1172,351.0729,564.019,1451.8521,996.304,706.3849,291.3601,441.0277,164.1926,166.2942,0.0
NOR_O,5.7366,5.9404,97.3377,2.3829,19.0116,115.0824,8.2415,22.5306,28.5361,86.3922,83.582,41.2367,10.6852,40.9649,84.7972,65.5784,60.437,43.4304,80.4138,21.3759,62.2785,101.5024,16.8835,13.8893,698.8266,165.9681,658.5989,217.9035,22.7772,181.012,4.14,9.8828,82.9142,19.6462,196.5975,65.7293,56.3151,367.8953,76.5347,462.0123,169.8575,336.0526,182.3158,155.7054,0.0
NOR_P,0.6302,0.6972,8.2104,0.4117,9.7285,12.5514,0.8329,2.5295,3.0565,9.1203,8.9097,4.3878,1.211,4.473,9.3923,7.0187,6.2938,4.5643,8.652,2.1322,7.0124,10.5018,1.9366,7.0731,60.2673,19.419,2.6606,6.3188,3.0032,23.109,0.1652,0.8292,10.705,3.8191,29.4624,9.5579,8.0911,66.4852,16.359,118.7781,90.2894,116.3021,78.9972,19.0007,0.0
NOR_Q,5.7288,3.9667,9.1199,0.7699,11.0216,12.7175,0.8227,22.6315,9.531,5.8472,6.5925,2.7322,1.4949,4.2241,8.8258,11.333,10.3836,6.1648,12.2673,1.9793,20.1465,14.5883,1.9879,4.4182,72.9989,23.9521,5.7629,9.1789,2.6129,17.9587,0.6547,2.0194,11.3078,1.9651,14.2528,6.6742,14.9021,39.1579,12.4751,88.1458,12.3803,40.4448,15.9363,11.822,0.0
NOR_R,1.3727,2.8562,12.1544,1.5196,4.1676,15.5053,1.2281,2.9419,1.9142,8.7294,5.2548,4.0208,1.0802,3.4033,5.5605,5.5369,3.9392,3.383,6.6846,1.4619,5.5119,7.8136,7.3858,7.2591,29.865,62.9227,6.8911,9.4201,5.3854,19.0866,1.8096,10.2467,18.1728,2.7427,18.4105,9.5759,27.3195,59.0831,27.9177,44.4151,14.4645,26.2564,139.2724,10.4812,0.0
NOR_S,6.9635,10.5983,19.4374,5.4952,13.9226,43.8987,5.2171,12.2494,8.5469,21.3597,22.4877,10.0574,4.2559,13.9104,24.0506,21.222,16.7857,12.9908,23.9042,5.7865,26.5726,32.035,17.9863,13.3266,102.6723,92.4627,19.6559,18.6743,7.2537,64.0158,4.0686,46.5854,33.0171,7.1935,62.2494,26.4307,40.0661,147.6407,53.5285,154.3693,97.2709,331.0455,39.5731,74.5712,0.0
NOR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
