V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T
MAR_A01_02,2896.71,1.1666,0.1459,7.726,0.0012,8134.444,48.5204,107.2713,90.6674,0.0,195.6546,50.1893,7.1245,3.7646,0.5403,0.318,0.0,0.0,0.0,1.0936,5.8875,7.8117,0.0,0.0,5.9387,232.6247,3.2847,2.0143,1.5291,1.6969,0.0,177.5182,1.9326,0.0,2.8415,0.0,0.781,5.0125,20.946,10.6866,6.0346,10.5925,4.8879,16.4144,0.0
MAR_A03,0.0,184.5747,0.0,0.0,0.0,564.6768,0.9524,0.0,0.0,0.0,9.1523,3.7453,0.0,0.0,0.0,0.0,0.0,4.2204,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,7.6786,0.0245,0.0285,0.029,0.0142,0.0,42.6762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7247,0.5235,0.987,0.0,0.0,0.0
MAR_B05_06,0.0,0.0,0.0055,0.4199,0.0037,0.0,0.0125,0.0044,0.0365,1.588,0.1918,0.0025,0.0,0.015,0.0463,0.0111,0.0034,0.0851,0.0,0.0,0.0,0.0067,26.2544,3.9723,0.0055,0.0,0.0019,0.0004,0.0006,0.0005,0.0,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036,0.0022,0.0021,0.0,0.0,0.0
MAR_B07_08,0.1771,0.1851,0.0068,4.2034,0.1007,5.1014,0.194,2.0566,0.2304,0.1122,1221.6276,49.0871,0.345,86.0628,63.6243,88.2479,0.1401,179.5137,0.3673,2.071,0.1036,0.5297,0.1512,0.0246,308.5358,5.9873,0.1268,0.017,0.0406,0.0707,0.0027,0.1558,0.129,0.0322,0.0868,0.227,0.0655,0.1356,0.1548,19.7955,0.0944,0.1065,0.0478,0.2378,0.0
MAR_B09,0.6235,0.5213,1.7022,21.1166,0.2171,0.2013,0.0099,0.0032,0.117,0.2682,1.9012,0.0197,0.0219,3.8111,2.1853,0.1234,0.0006,0.0229,0.0034,0.0036,0.0021,0.0108,0.9266,0.1989,10.7995,0.0397,0.3251,0.0141,0.0792,0.0767,0.0006,0.0129,0.0011,0.0,0.0002,0.003,4.4327,0.119,0.1799,0.0954,0.023,0.0095,0.004,0.0076,0.0
MAR_C10T12,1883.0185,7.8191,0.0,0.0,0.008,2717.7928,15.3574,0.2743,0.8362,0.0,9.38,1.6331,0.2766,0.6093,0.0,0.0888,0.1779,0.0,0.0,0.0,0.0,0.3265,0.0,0.0,0.0,129.4735,2.2092,1.6071,3.0869,1.6565,0.0,812.4221,3.8638,0.0,0.5653,0.0,0.1105,0.8454,2.2077,57.9029,12.4488,17.2896,5.2586,15.4595,0.0
MAR_C13T15,14.0475,0.9815,0.0235,2.8014,0.0182,6.1502,578.1831,2.2074,3.8345,0.0193,3.632,0.814,6.0284,1.1655,0.0264,0.9946,0.8397,4.1962,1.1808,4.1716,0.0943,29.2696,0.2357,0.0463,6.1636,13.1401,1.9052,0.4865,1.3672,0.8088,0.0224,3.3857,1.8735,0.1545,2.2451,0.0215,0.3152,3.5642,7.1227,36.8132,2.732,3.6785,0.753,3.6706,0.0
MAR_C16,2.5536,0.0493,0.001,0.3947,0.0041,3.9989,2.6293,73.8801,5.3949,0.0051,0.3298,0.0494,0.897,4.5676,0.2589,8.3327,0.0412,4.2424,0.3193,4.674,10.297,35.7559,0.0632,0.014,306.6256,13.9524,0.1002,0.0212,0.0272,0.0722,0.0153,0.194,0.61,0.1001,0.937,0.0376,0.7703,1.5887,4.9278,0.0857,0.0294,0.0437,0.7028,2.729,0.0
MAR_C17_18,3.7926,0.5554,0.039,13.5916,0.0128,189.7764,33.1101,1.0283,250.3107,0.032,42.5783,12.1094,5.9997,45.9553,3.0342,4.3281,2.6262,22.3119,2.3637,13.8293,0.3502,5.8416,4.9345,0.9329,16.6203,98.2274,4.5554,0.6885,2.2295,3.5341,1.21,7.2215,59.081,7.9448,8.9998,38.3546,1.252,16.3207,27.5455,37.3036,33.6093,32.8823,11.5575,34.3719,0.0
MAR_C19,2.549,0.9462,0.0103,2.4652,0.0039,1.5503,0.1025,0.0115,0.1019,0.0373,0.5268,0.0297,0.031,2.8339,0.334,0.1557,0.0164,0.1031,0.0215,0.6151,0.0005,0.1043,1.3117,0.1811,4.3292,2.7807,5.8628,1.4233,4.1759,0.5858,0.0977,0.2417,0.0582,0.3478,0.0676,0.0,0.026,0.0904,0.3551,1.9944,0.2946,0.4484,0.0619,0.2136,0.0
MAR_C20,386.1097,0.1917,0.0248,8.9377,0.1188,78.3533,66.4124,3.4928,49.942,0.0799,473.8727,34.2856,245.7959,103.3372,8.3155,26.6057,3.1663,84.9719,7.5477,38.4484,3.9095,37.4346,7.9215,4.0723,162.5934,87.5057,1.4952,0.3114,0.6993,0.8511,0.2888,8.9112,14.6253,1.686,3.4575,0.0,2.7965,8.8674,26.2661,12.0495,8.6474,25.3422,4.1428,29.0453,0.0
MAR_C21,59.3701,0.1167,0.0034,0.8884,0.002,23.3105,5.249,0.4556,2.9974,0.018,33.3096,124.9189,14.5157,8.4195,0.3161,3.2828,0.4599,7.0008,1.1328,3.4521,0.0388,3.7529,1.055,0.4419,12.8638,19.034,0.2657,0.1712,0.2253,0.1968,0.1126,1.9454,1.6096,0.6268,1.1872,0.0,0.1004,3.3777,1.6785,10.127,7.9018,47.899,1.6205,5.9406,0.0
MAR_C22,21.2782,2.9976,0.009,18.5059,0.0318,108.5093,79.082,1.2864,6.0736,0.141,24.2977,4.9745,22.0689,5.9853,0.3178,3.8109,0.2831,90.3083,11.8173,100.0611,0.4452,16.7347,0.6803,0.2641,102.7423,207.9987,14.3889,0.8386,2.0193,3.4557,0.217,3.8944,1.9115,1.4087,0.6673,0.3288,0.3376,1.3346,2.617,13.8484,0.5739,1.0505,1.0067,3.0193,0.0
MAR_C23,0.3358,0.0302,0.008,3.5042,0.0493,22.1154,5.0808,1.7179,11.7335,0.0077,69.5682,4.1835,1.9575,301.4068,1.7032,29.3439,0.9426,10.5599,0.348,92.6324,1.0309,2.5176,0.4698,0.0963,3187.5024,26.0563,0.9593,0.2344,0.5229,0.6103,0.0728,2.1908,2.5959,0.3901,0.6144,0.8986,0.3385,1.0026,2.0037,5.033,0.9165,1.1376,0.3669,1.4205,0.0
MAR_C24,0.0,0.3948,0.0059,1.2933,0.0492,0.9546,1.3402,0.9283,1.4465,0.005,0.6645,0.0476,4.1549,159.953,511.9661,218.2744,5.08,304.932,17.1203,35.3288,17.6504,25.1171,2.0468,0.9983,490.001,12.3186,0.069,0.0257,0.0284,0.0364,0.0,0.0,0.3244,0.0,0.3167,0.0,0.3045,0.9626,0.3601,0.0,0.2128,0.2537,0.1289,0.8787,0.0
MAR_C25,0.935,0.1899,0.0118,10.3161,0.1058,78.2217,17.0648,9.388,4.8361,0.038,19.2273,2.551,2.6748,46.858,15.1204,99.9938,2.9057,20.1659,9.4173,59.0087,14.7531,23.4932,3.3239,0.8129,469.8353,37.7421,1.9558,0.4098,0.551,1.2047,0.0676,5.6235,2.666,0.6918,1.2016,0.2508,0.6835,1.7299,3.7534,2.0492,0.46,0.673,1.086,4.2906,0.0
MAR_C26,0.8212,0.1254,0.0004,0.7314,0.0038,4.2609,1.2576,0.0312,0.1529,0.0055,1.2546,0.2614,1.1024,0.5452,0.0296,0.7721,33.6626,4.0753,0.8709,5.0083,1.657,1.6538,1.7694,0.4823,7.006,10.1567,0.7368,0.0795,0.2407,0.2781,0.3184,0.1088,0.5759,16.8613,1.7309,0.0,0.046,0.7592,1.0013,6.6141,3.7621,8.6666,0.2088,1.2625,0.0
MAR_C27,0.0315,0.0222,0.0007,0.2237,0.0048,0.9465,0.3648,0.0657,0.1018,0.0072,11.625,1.0073,0.9024,3.8833,0.7203,2.301,25.8749,198.4699,0.5714,51.1551,1.083,2.1264,7.5873,1.1668,81.3662,20.3115,1.4846,0.2701,0.4719,0.7005,0.0785,0.1074,0.2719,3.6663,0.6505,0.0006,0.1193,0.6518,1.1505,0.2392,0.2254,0.4425,0.1166,0.5546,0.0
