V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T
PHL_A01_02,13123.4046,470.0363,1.6507,10.2096,1.6157,20335.2658,350.6764,208.7296,81.041,19.4742,73.8556,10.322,82.4944,178.9921,10.0325,5.1166,29.4093,7.3619,3.257,5.8664,2.5804,52.155,5.8153,8.3082,50.0337,426.6818,19.5986,34.6185,9.4608,7.7865,1.128,182.3235,4.2915,17.1651,13.0506,58.2517,17.667,15.1172,27.5137,62.3359,5.4707,8.6956,3.6683,9.7286,0
PHL_A03,70.4981,259.4144,0.8529,14.9227,0.4455,2104.0101,38.1106,370.5985,75.0751,25.602,118.833,1.3437,1.3709,324.9982,8.3218,8.4113,32.1411,4.3716,3.6491,86.6645,3.5861,11.8954,10.7458,13.3333,41.1611,470.8304,6.2012,3.3387,1.9228,1.6364,1.3982,59.4663,3.932,4.3119,4.0602,19.2002,23.3133,16.3436,33.9843,59.6569,16.0067,16.5863,9.1664,14.7075,0
PHL_B05_06,0.6068,0.2735,1.6647,5.7584,0.5495,4.0452,0.5469,0.1152,0.2695,791.7127,4.1525,0.0395,0.0808,49.7085,242.1384,0.3978,0.8984,0.175,0.0873,0.2127,0.0734,0.2321,70.4309,0.3877,6.5476,5.014,1.4609,0.6076,0.7897,0.3218,0.0595,0.4608,0.0633,0.2497,0.1504,0.7706,0.4105,0.2763,0.4675,0.2941,0.143,0.1791,0.0667,0.1664,0
PHL_B07_08,1.1887,0.2533,40.2891,138.0923,1.6724,25.6277,0.6688,0.2213,0.4019,2.457,57.9217,0.2814,1.2515,249.8519,1159.8389,266.4625,5.8716,1.7691,2.6116,1.1471,0.8509,3.9561,18.0391,4.5779,226.603,13.3086,1.2903,0.6143,0.7776,0.4339,0.0699,2.2716,0.1693,0.6876,0.3175,1.5173,11.9017,0.7276,1.2313,2.5147,0.4905,0.4657,0.5354,0.6754,0
PHL_B09,1.9992,2.9866,12.3156,18.5735,4.7287,1.3536,0.0552,0.0231,0.3488,76.2641,3.3227,0.033,0.079,4.1853,8.0757,0.3777,0.1482,0.0663,0.0434,0.0299,0.0174,0.0328,3.7847,0.4648,18.9612,0.6079,1.1357,0.1577,0.3208,0.2646,0.0098,0.1363,0.0146,0.0484,0.0272,0.1278,0.5866,0.2278,0.5556,0.3646,0.0407,0.0421,0.0572,0.0305,0
PHL_C10T12,2265.7535,2447.3537,0.8624,5.6124,1.0724,17093.4869,43.9234,9.6972,16.8121,34.5128,98.8623,9.4688,16.8153,14.5947,15.94,11.6201,83.6763,9.8783,6.5591,81.0014,5.8355,29.89,13.4488,2.6103,67.5999,2275.0577,14.7438,16.1509,8.7693,4.7657,1.7625,3030.9897,5.0078,9.9302,37.8445,195.6153,30.0853,364.0674,217.1627,251.3827,23.4257,30.4346,17.4286,28.717,0
PHL_C13T15,36.6589,31.8261,0.9235,2.1113,0.9768,191.7416,2106.3104,12.0484,145.488,20.6749,99.4364,11.8858,21.0831,29.5329,6.5782,8.8464,168.0986,33.4312,21.6589,67.8058,10.935,207.128,8.2376,1.5645,106.0535,404.2358,14.7699,9.1354,8.8751,5.2739,1.5311,92.7933,10.5821,10.453,4.7001,39.9815,20.7675,12.9281,35.4923,45.1637,14.9502,16.1991,40.0446,16.3209,0
PHL_C16,2.0687,0.3329,0.1718,0.4094,0.1885,54.8511,3.6442,187.2931,179.9117,40.0053,6.5876,1.1594,7.1831,6.8354,0.6906,0.4609,32.3621,1.9842,2.085,0.8813,1.0132,179.2902,0.4523,0.2724,159.9698,10.1997,2.1273,0.8117,1.3133,0.6693,0.0822,5.411,3.362,1.2403,0.404,2.4309,2.4229,0.7164,78.5599,78.971,23.8379,0.8847,0.6084,52.3818,0
PHL_C17_18,2.459,0.5459,0.0826,0.3291,0.266,19.4507,3.2943,1.344,324.2065,6.6089,56.7061,1.5413,4.9654,0.9558,1.2075,0.7463,272.8286,72.6443,2.7058,3.9764,1.591,17.3798,1.0495,0.3815,13.1504,36.0418,50.7771,3.4865,3.192,5.3476,6.3242,67.009,85.9475,25.5422,23.1247,267.2098,12.3427,25.8512,71.597,175.9199,281.2018,22.8867,10.4254,22.796,0
PHL_C19,113.2452,114.2543,22.432,107.1969,5.45,745.2726,128.4489,19.3984,109.9905,2226.7209,197.5282,14.9674,39.7052,491.7396,715.5526,139.068,243.1683,9.6734,12.0589,61.5837,11.183,59.1426,958.8971,18.1776,401.1093,1677.6602,1256.0127,516.0378,702.8949,238.9883,48.0693,135.5904,4.0254,75.591,62.9825,307.3915,119.5851,69.5112,95.3034,125.008,38.589,60.3856,8.0935,60.2743,0
