V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T
BGD_A01_02,8366.1565,104.4649,6.5156,0.7219,0.3135,15170.085,1391.0588,1371.2654,497.2222,51.2755,386.1313,59.8253,169.6241,31.4763,15.0975,11.595,11.5354,9.0823,13.0396,15.0487,3.4157,154.3959,55.4008,13.9714,697.2442,302.6994,30.7608,8.959,8.8947,11.2194,1.9464,843.7836,15.3138,18.7411,4.122,13.4516,26.9465,30.3263,40.6339,137.2982,61.4277,96.7917,36.4832,71.2008,0
BGD_A03,57.7178,1320.7581,1.3288,0.0889,0.0699,2288.503,32.161,2.5351,3.2182,9.5903,15.5077,3.2181,2.6368,3.2422,2.5783,1.7595,2.4672,1.8707,2.6748,2.5284,0.5683,6.446,2.0524,1.4601,30.4653,30.8146,5.7058,3.3223,2.3297,1.6223,0.3088,435.4476,3.7506,4.0294,1.0749,1.9429,2.283,4.101,2.6899,23.7086,9.0134,16.8624,5.8057,9.6294,0
BGD_B05_06,3.3824,0.7248,12.8233,0.2585,0.2117,5.9357,5.9106,0.3305,2.5028,3326.0059,21.9752,0.7831,1.5501,14.1141,17.6182,1.5191,0.8937,0.8645,1.5724,1.1595,0.3874,1.27,111.4522,0.9033,27.4105,4.9727,7.0858,1.1754,1.9574,0.8454,0.2503,1.0884,0.4671,0.7878,0.1306,0.423,1.0936,1.1197,0.6972,2.4935,1.3648,1.2018,0.5,1.5216,0
BGD_B07_08,1.2059,0.0851,0.5006,0.5428,0.0761,0.8632,0.6684,0.0378,0.6561,6.5777,8.4101,0.258,0.3602,65.5436,19.0003,0.5441,0.2085,0.3907,0.2489,0.2084,0.0401,0.5506,1.3266,0.3904,126.0838,0.3741,0.2615,0.0239,0.0184,0.0918,0.0059,0.0897,0.0258,0.0415,0.0073,0.0181,0.3536,0.0957,0.0782,0.4792,0.0733,0.0633,0.0455,0.1266,0
BGD_B09,0.1676,0.1689,7.7341,0.2304,0.3243,0.1203,0.1171,0.0071,0.1468,45.7684,0.6585,0.0204,0.0539,1.922,1.7726,0.1166,0.0175,0.0187,0.0412,0.0221,0.0072,0.0336,0.6972,0.0389,10.5284,0.1075,0.2753,0.0254,0.047,0.0643,0.0045,0.0191,0.0152,0.0214,0.0051,0.0143,0.0845,0.0846,0.0412,0.0895,0.0205,0.0216,0.0139,0.0258,0
BGD_C10T12,2540.2369,236.1519,2.6619,0.3436,0.1502,5321.5558,344.0357,3.7031,44.1249,57.4945,413.4946,80.9913,26.6474,18.9911,11.7817,8.1212,9.9282,8.2166,10.942,10.2325,2.0402,25.4001,11.739,12.8304,117.9863,224.18,21.4345,17.9263,11.8075,9.8951,1.449,2354.4542,22.7216,14.8368,4.6796,13.4514,16.9288,26.2385,23.1169,179.2668,160.2149,221.2057,62.2546,115.4257,0
BGD_C13T15,50.0937,17.0295,5.6353,0.3753,0.3215,80.1617,11557.0866,8.4568,45.5638,37.6841,43.2374,13.7819,58.9296,33.5377,19.328,21.2306,26.1058,20.1487,30.6004,77.8607,9.8362,159.1887,11.886,14.0772,290.8459,125.712,24.416,5.2163,8.6511,7.0361,3.2404,31.0744,14.3523,15.3866,3.0204,7.7876,7.9787,23.9878,22.0539,90.9428,24.6077,67.4611,22.4866,102.9348,0
BGD_C16,22.4798,2.1316,0.9257,0.1736,0.0497,24.5752,29.61,258.7544,63.437,4.6807,13.9947,1.6306,14.3625,39.1531,9.2323,18.1824,6.4894,12.4798,11.8182,26.8215,8.1983,360.6694,13.1272,2.6534,1766.0591,29.0229,4.5294,0.7105,0.5611,3.1551,0.3299,3.9126,3.0435,1.6578,0.4402,0.9842,23.065,4.6607,4.1523,5.3935,5.0014,4.094,2.8509,26.0042,0
BGD_C17_18,44.6658,8.9465,2.3912,0.3893,0.1471,421.4409,335.9802,22.6751,1892.8511,25.4916,136.4142,62.8169,95.2567,137.0861,21.9256,29.1591,61.3689,56.8419,35.9038,34.3704,5.338,115.9794,12.9398,15.2838,178.524,279.6175,24.9059,3.8327,4.2454,17.6154,13.2851,36.5718,512.0089,46.8333,19.5569,69.6278,23.7227,127.3253,55.3003,156.8821,123.3247,64.0001,33.9632,89.4569,0
BGD_C19,508.7593,159.2967,43.6347,7.5415,3.7932,143.9687,231.2356,20.8084,59.7404,4260.4692,638.8614,30.6261,92.3507,345.6028,201.9624,48.6088,36.0431,55.1145,41.6342,54.3011,11.9875,93.6887,213.8814,87.3614,1485.2602,411.7238,1651.3921,283.903,558.87,90.7402,30.0377,40.8303,24.0536,43.0806,7.761,37.1629,35.6694,63.8679,68.3771,228.7179,61.9076,82.7334,27.8948,129.3564,0
