V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_A01_02,2501.7945,2.2126,0.147,0.5338,0.002,3942.2082,22.6506,954.6357,426.021,0.0436,6.1606,1.7755,17.9259,0.0912,0.078,0.1536,0.0185,0.0451,5.4238,0,0.0217,4.9611,64.4054,0.0275,13.9923,9.7161,0.1918,4.5122,1.0018,12.7802,0.011,325.03,1.0663,0.7904,1.8938,2.2189,0.8198,1.6554,7.1289,42.4927,11.2812,35.3105,0.2553,16.255,0
CHL_A03,0.0667,629.2367,0.0001,0.0471,0.0,4441.7044,0.0014,0.0078,0.0166,0.0041,0.6542,17.8468,0.0022,0.0028,0.0027,0.002,0.001,0.002,0.0034,0,0.0017,0.1883,0.0486,0.0051,0.0169,0.3857,0.0336,3.0686,0.0894,0.0176,0.002,24.055,0.0139,0.1625,0.3833,0.2363,0.0083,0.0917,0.1223,0.441,0.1933,2.5461,0.0098,0.3005,0
CHL_B05_06,0.1175,0.0229,0.5687,2.1444,0.2449,1.4747,0.0657,0.0459,0.476,134.3311,3.6852,0.7219,0.0941,1.0152,2.2665,0.0882,0.0075,0.0359,0.055,0,0.0097,0.0369,91.0903,0.0338,2.0712,0.5915,0.9529,0.0044,0.0487,0.1539,0.0082,0.2385,0.0293,0.1564,0.2082,0.1775,0.0998,1.309,0.3055,0.1206,0.1431,0.0816,0.0123,0.0805,0
CHL_B07_08,89.2741,6.3779,9.4979,3948.7556,5.1132,74.2282,10.0838,34.8209,48.905,43.4995,1281.4827,13.6456,77.6305,596.5204,660.7802,28.7465,1.268,6.4867,26.6236,0,3.865,44.0959,42.3566,7.3892,317.1322,52.6435,7.8137,1.168,2.6091,5.6327,0.1768,9.1494,2.3062,4.9694,8.2282,21.5802,7.192,21.325,31.4122,21.9521,17.5217,21.7778,15.9684,8.3284,0
CHL_B09,1.4419,0.0345,0.068,1.5622,0.0396,0.7536,0.1512,0.4081,0.4572,0.2423,27.7143,0.1616,0.4969,31.716,0.6835,0.366,0.0072,0.0416,0.5342,0,0.044,0.2542,0.7413,0.0319,11.8506,0.1034,0.0132,0.0013,0.0048,0.0158,0.0001,0.0353,0.0072,0.0049,0.08,0.0953,0.0476,0.0652,0.0682,0.5641,0.0502,0.0975,0.7103,0.0247,0
CHL_C10T12,870.2384,1120.9252,2.4688,51.6653,0.1446,2956.0186,16.3077,12.6559,24.8996,10.2201,61.8183,12.9616,17.7795,7.3243,4.7709,7.2144,0.5129,2.566,5.9284,0,2.8904,10.6215,23.3068,2.8305,71.6745,332.7628,20.6411,14.0811,11.175,7.7758,0.2826,1751.3622,5.5222,12.7434,10.1106,21.4646,15.5116,24.4525,38.6853,87.3817,63.1998,121.9901,9.3222,27.8741,0
CHL_C13T15,11.4218,4.3937,0.0646,9.2243,0.0341,24.2034,178.735,3.054,12.6086,0.8013,7.0493,4.0258,13.1765,3.7025,2.2178,3.8739,0.4065,1.5579,2.6598,0,1.7694,14.9643,4.1365,0.9881,65.5888,16.9962,5.741,0.2851,2.0615,1.6231,0.1517,12.7765,2.8563,2.7456,1.4743,10.5571,1.499,17.9213,11.8148,11.1362,9.0877,9.6065,1.5945,6.615,0
CHL_C16,53.617,3.2428,0.2545,22.3424,0.0158,122.7932,7.614,892.7992,146.1062,1.7329,7.4224,0.3197,5.3336,14.8322,2.8141,18.024,0.4906,2.6594,6.7939,0,3.0905,177.9382,21.1131,1.5884,1391.2372,52.4815,2.0265,1.246,1.5977,4.93,0.2094,3.6663,0.4993,2.8656,2.9647,7.8229,1.8571,4.0749,15.3672,6.6094,2.1226,3.7251,1.7831,8.8075,0
CHL_C17_18,30.0405,4.5134,0.6961,86.3045,0.132,473.4353,8.1321,48.137,1043.3921,9.0739,52.5161,29.3599,45.0213,51.7298,8.351,9.7019,1.2102,4.4156,10.0177,0,0.7322,17.1062,101.0128,6.8653,33.5424,701.3961,17.9707,0.2319,2.1789,23.9017,1.1615,27.9023,50.6783,26.7157,9.0728,31.08,9.8602,158.286,32.9306,42.4631,61.3762,57.635,7.7018,24.7579,0
CHL_C19,147.9047,39.446,2.824,340.8772,1.1961,108.5282,7.0241,17.3344,50.7929,45.8481,44.4139,1.4258,7.324,36.8193,5.9173,13.7882,0.3389,2.1317,10.001,0,3.1235,15.1665,84.7379,15.3926,180.7234,272.8906,1426.9934,58.941,348.4757,24.7187,2.2808,57.1342,1.113,1.6887,1.4748,3.0338,5.5866,17.9738,74.7819,46.9265,24.0672,51.1701,3.491,22.354,0
