V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T
UKR_E,25.2429,0.0748,8.2546,9.2829,3.5994,67.3487,2.781,4.6889,8.846,1.7152,7.661,3.897,1.0043,4.2949,35.712,3.5825,0.5332,1.3832,3.8309,0.532,2.5122,3.2132,192.0404,82.6653,13.4431,32.1382,16.2148,2.2363,2.3562,13.1965,0.53,12.8152,0.2598,0.344,5.6256,0.4167,49.6609,4.1069,61.2607,14.5629,16.6752,22.4707,3.5695,9.9779,0.0
UKR_F,164.6117,0.322,38.723,36.1802,12.9529,381.5135,4.207,16.0671,15.5874,3.5005,34.7989,14.4048,4.7298,66.9347,55.359,40.9201,1.8686,10.2162,21.929,18.9185,11.678,162.6265,110.9256,30.2813,6695.5352,453.2172,247.6723,20.4207,30.9623,193.5553,2.233,64.6466,2.3114,30.0377,21.3385,9.0559,574.2788,518.022,151.5652,260.6516,15.876,35.3823,9.0285,30.5899,0.0
UKR_G,2587.1802,96.4123,345.8886,177.5692,75.1558,3357.9404,158.1504,217.2636,260.1566,349.8795,486.5325,182.7235,288.6337,545.9906,1295.1551,273.908,147.903,150.4977,221.0577,77.3592,209.9174,372.9131,706.6914,126.2943,1347.5205,3566.2222,710.8055,79.5631,115.9475,222.5468,9.919,118.7678,96.1054,130.0029,89.8554,100.2417,203.6604,410.5945,128.0813,261.1643,202.4412,438.9732,40.5311,51.3145,0.0
UKR_H49,619.1394,20.6119,77.8742,263.6363,84.8724,742.7229,20.1624,50.7041,60.6866,135.1306,89.7198,24.4357,54.7344,159.7353,582.4966,80.123,7.8263,40.1918,62.5482,22.4148,41.6312,61.5265,336.3095,53.6458,335.819,946.2019,262.7943,20.4442,25.9741,86.1185,4.3419,22.5307,12.9974,6.4002,9.1635,6.2097,24.3189,91.422,38.4,109.8226,36.5032,44.5876,10.144,11.2117,0.0
UKR_H50,71.9319,2.9802,9.2536,11.0783,4.1518,53.6563,3.061,4.9558,6.9022,18.0393,10.4466,3.3096,7.3118,15.5541,53.9363,7.793,1.5919,4.3533,6.7164,2.3948,4.6412,6.7217,43.7216,2.9415,31.4416,50.1852,21.5589,11.5596,3.5959,12.6025,0.2927,2.0877,1.4718,0.8627,1.1217,0.8759,2.6154,5.8912,2.7684,5.898,2.6395,4.7705,0.627,0.9824,0.0
UKR_H51,56.9061,2.5705,7.6092,8.3109,4.0019,48.9641,2.7554,4.0391,5.8966,13.1248,8.8092,3.0332,6.3441,12.6281,43.9589,6.5413,1.498,3.8402,5.9579,2.1487,3.974,6.1722,39.5374,2.7286,28.3011,39.2709,15.4028,2.3742,7.0378,7.1337,0.3071,2.0411,1.4061,0.8756,1.3735,0.9515,2.6939,8.7569,3.4898,8.1278,2.7887,4.7698,0.7562,0.9762,0.0
UKR_H52,271.4808,5.1669,30.1449,142.4363,43.6279,359.3519,8.014,21.0122,25.7177,60.8351,40.8873,11.4255,23.1486,69.4148,223.1384,34.3332,3.7754,20.8795,29.784,10.5478,19.7813,29.0554,121.6089,25.5125,131.8931,784.0144,328.2129,96.0652,117.0869,306.1374,2.9581,8.7657,4.4013,3.6196,4.6912,2.1972,11.3426,41.0052,19.0618,55.6802,8.6277,13.4025,4.4731,5.2181,0.0
UKR_H53,0.9117,0.0006,0.1119,0.0733,0.0341,3.4052,0.1465,0.1689,0.3136,0.0223,0.177,0.2587,0.1227,0.1588,0.1019,0.2238,0.0623,0.107,0.2272,0.0386,0.9244,0.4222,1.0408,0.4112,0.5582,7.2042,1.735,0.1987,0.2562,1.5298,9.127,0.184,0.8503,0.3484,1.523,1.1984,0.3716,2.851,0.762,2.0958,1.4161,0.9139,0.0612,0.4811,0.0
UKR_I,4.6644,0.0182,2.253,0.4433,0.3655,10.5148,0.3847,0.3347,0.4939,0.3525,0.8497,3.9462,0.6023,1.2431,2.6912,0.8769,0.2362,0.8015,1.4113,1.7524,1.0296,4.6002,6.1179,0.1832,9.6324,29.5278,6.168,0.5748,3.6166,2.694,0.2773,16.3835,1.2791,1.8521,11.4193,0.5171,1.6895,27.8448,30.8961,28.3765,1.949,8.4843,10.9539,2.391,0.0
UKR_J58T60,3.5378,0.0041,0.6426,0.6333,0.2561,75.9526,0.4694,8.2336,19.7148,1.0589,1.035,14.0138,0.4056,2.0661,4.3637,0.8966,0.2481,0.3132,2.5765,0.5599,0.3024,3.193,9.4682,3.3892,7.897,159.8631,3.9901,0.5277,1.3823,3.1747,2.3488,7.9034,349.3762,27.3171,9.4857,14.2199,32.2851,175.609,9.0736,0.0,18.4026,21.8245,13.1809,16.5657,0.0
UKR_J61,11.1927,0.0181,2.872,1.4186,0.7994,12.8192,0.7221,3.5272,4.4692,1.104,2.191,2.308,1.2342,2.4898,2.6934,1.9638,0.4509,0.7962,1.9936,0.3589,0.5288,4.0464,14.7501,5.4364,16.5369,80.2783,16.4088,1.5612,2.5555,9.408,2.7873,13.8581,17.3373,426.2514,17.2133,29.2486,9.2453,53.1955,28.0596,111.0661,28.9137,24.4457,10.9361,2.9623,0.0
UKR_J62_63,6.8988,0.011,2.6288,3.2521,1.3448,7.2154,0.6866,4.5021,9.4286,2.8908,1.6456,3.6546,0.7554,4.2592,3.8853,2.9958,1.7722,0.8784,2.2355,1.0398,0.453,5.069,16.8631,4.8437,7.181,177.3475,12.1231,1.4767,4.3482,9.0207,0.2289,7.9536,13.0491,15.8587,2074.7843,19.2571,7.0571,113.5218,17.1066,26.1832,118.4704,38.4067,2.3718,16.7125,0.0
UKR_K,308.3454,0.0689,131.9448,19.8668,7.2855,136.3105,9.461,26.2215,30.946,18.2676,29.4276,39.1189,17.5473,38.1048,55.748,18.1656,4.2706,16.4209,36.2249,5.8313,101.1481,30.6931,228.8305,46.3867,90.0433,1362.598,181.6648,26.8576,33.8503,80.6934,15.232,61.1782,14.2451,16.0177,186.4473,1139.6617,227.3955,343.9084,70.8349,119.145,128.9155,153.4185,31.1833,47.805,0.0
UKR_L,177.4173,0.2871,86.3118,13.7868,6.6132,619.16,14.792,20.0377,27.0226,17.153,14.5139,64.7455,15.6093,27.6299,42.1387,26.5731,8.5031,8.4719,23.0468,8.6963,7.3127,43.5064,84.993,22.6956,102.4765,1395.6466,87.0643,6.9722,11.5318,82.4433,8.243,79.7296,34.8849,65.085,491.2545,220.4963,608.6834,1262.3712,81.6709,11.5009,48.988,140.9731,25.1021,30.7339,0.0
UKR_M,484.1967,0.7802,187.2002,125.0709,79.2527,811.7425,12.4199,41.1594,56.807,26.1633,57.1632,54.8181,24.7466,102.8401,104.0104,27.5141,3.973,13.3612,31.1905,23.1119,23.9536,86.6267,130.1017,89.0123,628.7719,1294.894,227.538,32.6642,42.8613,161.4143,1.2797,99.0754,48.0557,38.086,200.6923,397.8641,580.4948,638.2106,288.6838,327.0987,294.3044,118.6335,46.1198,91.1352,0.0
UKR_N,181.2724,0.2918,88.6221,55.2226,28.2846,112.3135,1.9556,9.1087,13.3198,3.2101,9.3377,1.6401,4.4415,27.0373,33.6454,6.4362,0.5831,2.5154,5.7341,7.1423,0.9176,8.4954,21.6768,65.84,167.4917,171.1085,221.9635,37.9835,75.3612,134.8852,2.1847,65.6274,8.3934,15.6369,72.6703,68.3693,304.3429,20.1157,522.2652,0.0,127.8042,71.4241,70.6667,74.4517,0.0
UKR_O,51.2786,0.0558,28.103,22.7519,8.784,124.6857,0.8321,4.9869,5.5602,19.7645,15.4304,13.9147,42.2009,6.7109,18.2272,7.0786,1.1005,4.6255,10.0903,1.0038,6.0478,10.4729,180.9617,41.4531,30.5732,156.7984,45.7399,5.4159,8.9418,22.4788,0.9925,20.0029,1.3426,4.8632,4.6908,11.9875,47.5222,46.7399,18.6171,64.2611,152.8141,61.1569,18.3217,4.8878,0.0
UKR_P,1.2801,0.0023,1.8502,1.9265,0.9589,1.9972,0.0294,0.2129,0.2831,0.1236,0.3998,0.6947,0.4914,0.4729,1.061,0.4105,0.0373,0.1165,0.871,0.5984,0.2825,0.5801,4.3876,1.0985,1.9843,7.8203,2.7515,0.4337,1.2908,1.8154,0.1122,0.9676,0.1121,1.8271,1.9046,1.3754,1.6566,16.1781,2.1076,15.3375,232.2955,11.7093,0.2973,0.2974,0.0
UKR_Q,2.2684,0.016,2.7526,3.0046,2.7245,4.7887,0.0282,0.1485,0.1827,1.6643,1.4422,0.4475,1.5318,0.8765,5.4756,0.3644,0.0722,0.3357,0.8412,0.2043,0.4734,1.3262,6.1799,2.3651,10.1742,4.5759,9.4657,0.9882,1.5524,6.517,0.0,4.5717,0.2847,0.5083,3.3692,0.4492,0.5464,2.6734,0.8734,23.1001,0.5594,641.1676,2.3994,0.5617,0.0
UKR_R,0.6981,0.0022,0.7887,0.0205,0.0193,2.0928,0.1214,1.7319,2.1957,0.0712,0.104,0.0225,0.1296,0.1029,0.7602,0.0393,0.0926,0.1578,0.4872,0.1252,2.5012,0.1471,1.1895,0.4004,0.1644,5.2474,1.5449,0.7945,0.4454,1.4038,0.0,4.3997,26.0507,0.1003,7.7974,1.7141,4.8894,9.5639,0.8272,44.8072,5.2462,5.8453,46.9127,84.6439,0.0
UKR_S,6.1877,0.0198,4.5134,0.6215,0.3054,6.4125,0.7424,0.4335,0.5959,0.158,0.136,0.3008,1.1345,1.0914,0.8924,0.2934,0.1022,0.3926,0.5172,0.1333,0.2166,1.6964,10.3167,6.8489,5.4095,66.6096,6.0757,0.7814,1.4086,3.8301,0.0347,10.4803,1.7931,2.2399,9.4803,6.7805,12.3227,16.3379,6.3777,0.0,8.6288,54.8687,6.0108,17.0979,0.0
UKR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
