V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T
EST_A01_02,452.8615,0.0509,0.8509,0.435,0.0071,349.1397,3.6604,659.0297,45.195,0.3233,0.5332,0.0208,0.4997,0.9726,0.053,1.6403,0.7023,0.6102,0.503,0.3134,0.2087,3.8072,8.5681,1.8315,8.4444,18.3741,2.1757,1.1629,0.4011,5.0476,0.3694,20.4884,0.398,0.3218,1.1005,0.9492,5.5219,9.0457,3.7084,3.6797,2.5782,1.4601,2.0801,0.7331,0.0
EST_A03,0.1986,0.3623,0.0239,0.0061,0.0002,46.3627,0.0802,0.1325,0.0265,0.0611,0.0334,0.0012,0.0219,0.0595,0.0014,0.0862,0.0351,0.0292,0.028,0.0153,0.0044,0.2709,0.1022,0.0153,0.2673,1.0628,0.1678,0.1327,0.1148,0.2215,0.0137,11.1117,0.0563,0.016,0.0581,0.0486,0.4014,0.589,0.2574,0.3492,0.3142,0.2084,0.1751,0.043,0.0
EST_B05_06,4.5222,0.0057,1.3444,0.1658,0.006,0.179,0.0083,0.0018,0.0078,57.8622,4.5598,0.8815,0.0019,2.6821,0.0346,0.0058,0.0009,0.0,0.0235,0.0031,0.0051,0.103,167.5243,0.0847,0.0677,0.0888,0.636,3.472,0.0047,0.2755,0.0,0.0076,0.0083,0.0019,0.0,0.0,4.6459,0.4317,0.8096,0.1571,0.517,0.0474,0.393,0.0047,0.0
EST_B07_08,1.2586,0.0442,0.6363,0.5761,0.0057,0.2363,0.0286,0.2561,0.3241,0.045,1.9523,0.0021,0.103,15.3516,0.0227,0.2542,0.037,0.1068,0.1485,0.0205,0.0255,0.1447,2.1899,0.1332,69.2837,0.5316,1.7381,1.5093,0.0172,0.4399,0.0102,0.0468,0.0092,0.0167,0.1215,0.0173,2.34,0.2955,0.3815,1.0478,0.1669,0.0567,0.2009,0.4307,0.0
EST_B09,0.0001,0.0001,0.0076,0.0019,0.0001,0.0001,0.0,0.0,0.0001,0.0041,0.0004,0.0,0.0,0.0014,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0001,0.0058,0.0,0.0004,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
EST_C10T12,48.3657,0.8478,0.0449,0.0142,0.0005,182.8328,1.6148,0.0469,0.164,0.0,5.7605,0.1092,0.0087,0.0362,0.0023,0.0097,0.0009,0.0001,0.1059,0.0049,0.0012,2.0437,0.027,0.0374,0.3812,6.2629,0.2621,0.0369,0.1337,0.2507,0.0,115.9477,0.799,0.0049,0.2958,0.297,0.6708,5.5591,1.959,4.5288,10.7417,6.5887,2.9287,0.4442,0.0
EST_C13T15,2.101,1.4279,0.5284,0.1891,0.0045,2.1498,84.1716,1.7385,1.8841,0.4011,0.4081,0.0178,3.1025,1.2297,0.0441,2.4161,1.1104,3.2012,0.9849,3.7001,0.3751,18.7823,0.5288,0.2129,6.4117,6.4574,0.7454,0.189,0.1306,1.9094,0.1215,5.8003,0.815,0.1159,0.5903,0.3987,1.9832,7.8868,8.4762,2.3362,1.0223,3.8331,3.9679,2.2657,0.0
EST_C16,16.0853,0.0685,1.4244,0.7219,0.0181,2.9039,1.8957,310.3956,2.3972,0.2944,0.6802,0.014,2.6709,7.0008,0.1438,2.3821,1.5197,2.176,1.1619,1.505,2.9901,73.6908,43.431,0.8337,162.3362,14.5167,2.4439,0.4005,0.26,9.4644,0.0923,0.9014,0.2593,0.4064,1.2066,0.66,9.4856,5.8096,1.7325,1.3454,0.4929,0.7232,0.7643,0.6495,0.0
EST_C17_18,3.8671,0.1412,0.6632,0.1943,0.0012,17.7231,4.9659,7.2052,42.9251,0.139,1.1763,0.2051,1.322,1.4204,0.1902,1.4221,1.6737,1.255,1.1869,0.2618,0.1598,2.384,0.3802,1.5442,1.4963,17.2676,0.3514,0.1552,0.1235,2.1008,1.5197,2.6459,45.9552,4.4231,19.8923,7.6345,1.277,52.7932,8.3927,12.7779,4.4714,2.1816,3.0396,11.1446,0.0
EST_C19,17.9155,1.9712,4.3443,1.5783,0.0305,3.7933,0.7946,2.3069,0.8608,1.9849,1.9209,0.0187,0.7667,1.9166,0.1015,1.4365,0.1422,0.3913,0.441,0.2513,0.1244,2.2819,8.4344,1.248,23.2892,9.5465,63.6333,12.8394,7.141,5.8212,0.4394,0.929,0.199,0.3453,0.8231,0.5206,2.2195,3.0083,2.3806,3.977,2.2623,1.4074,1.4384,0.8682,0.0
EST_C20,28.4627,0.2487,3.6451,1.2439,0.0275,10.3946,13.0568,10.3701,6.3338,1.315,55.6952,0.3773,18.779,4.5275,0.3124,4.4414,1.2564,3.0946,1.2511,1.0928,0.3574,7.4116,2.3673,1.5713,13.9824,5.5051,3.573,1.6557,0.5616,3.9725,0.0779,1.7893,0.434,0.1583,0.5327,0.5581,6.8586,5.6035,4.0335,1.2257,2.2223,1.9786,1.5852,3.4173,0.0
EST_C21,0.3369,0.0026,0.1696,0.0272,0.0001,0.2106,0.3074,0.1077,0.024,0.0114,0.118,0.3457,0.0401,0.0288,0.0258,0.059,0.026,0.0239,0.017,0.0081,0.0202,0.0819,0.0386,0.044,0.1698,0.4821,0.0321,0.0488,0.0104,0.0714,0.0581,0.0633,0.007,0.0049,0.0205,0.0208,0.1179,0.8455,0.0921,0.2842,0.1048,10.1299,0.0468,0.0263,0.0
EST_C22,3.8324,0.3893,1.3733,0.7691,0.0201,14.961,8.8514,5.5971,1.5531,0.1898,2.6731,0.1255,22.2704,6.7399,0.0735,3.1185,9.8067,6.4875,2.5448,2.6653,5.0256,11.4324,0.3993,1.3976,51.1961,21.9252,4.2481,0.1152,0.0841,2.2651,0.0775,2.0287,0.2054,0.0946,0.9786,0.7766,7.6638,4.1175,0.7289,2.2283,0.7093,1.3984,0.8143,0.8819,0.0
EST_C23,3.7476,0.0538,0.3731,0.2143,0.0043,4.387,0.332,14.822,0.4575,0.8241,1.2263,0.1851,9.0516,58.8845,0.2039,6.3588,0.8589,5.8897,0.5577,0.5471,1.7077,4.3863,1.1094,0.5061,258.8484,16.5136,3.2322,0.5171,0.2035,4.7099,0.077,1.6506,0.3248,0.1411,1.1348,0.229,11.7235,3.8567,2.2108,1.9883,0.898,0.8742,0.7627,0.3324,0.0
EST_C24,0.1424,0.4544,0.0268,0.0063,0.0003,0.0643,0.0841,0.2189,0.2929,0.0281,1.2219,0.0076,0.3001,0.3769,2.8139,25.8457,1.5779,8.4491,5.3637,1.184,0.0623,4.1676,0.0332,0.213,2.7957,0.0392,0.0423,0.0143,0.0253,0.2717,0.0,0.0102,0.03,0.0036,0.0014,0.2805,0.6618,0.3975,0.104,0.0466,0.0068,0.0024,0.0559,0.0399,0.0
EST_C25,17.1687,0.6026,3.6811,1.3719,0.0452,16.9161,5.7705,21.7196,4.0095,0.5389,7.0125,0.3298,6.0019,18.1221,0.8094,163.7434,28.7445,44.9721,50.8754,9.4881,6.0262,52.8901,10.5058,8.8732,190.5079,25.9792,3.432,0.4955,0.4757,23.3981,0.1842,1.148,1.1325,0.3991,1.8732,0.9566,21.7364,9.3389,9.2865,28.0221,0.731,1.3957,2.5668,1.0981,0.0
EST_C26,2.4272,0.1284,0.5484,0.1785,0.0045,1.0747,0.5925,1.6973,0.8715,0.4343,0.49,0.0182,0.5504,1.1875,0.1187,5.1594,160.8733,11.5272,3.592,2.5445,0.4034,6.2915,1.6407,0.7417,12.2748,7.0771,1.1594,0.1482,0.2249,2.0927,0.143,0.4344,0.6667,3.1149,2.85,0.8133,1.7781,3.9384,2.469,3.9331,0.7781,1.4516,0.7424,1.1293,0.0
EST_C27,2.2399,0.2704,0.4466,0.1266,0.0034,1.584,0.6235,2.1804,0.5183,0.8205,0.5773,0.016,0.7516,0.8358,0.1106,2.8262,32.8646,38.2352,1.3558,1.566,0.4828,5.8936,4.4208,0.3866,21.2475,7.49,1.6539,0.3693,1.0447,2.5535,0.1365,0.6838,0.3225,0.447,1.2064,0.5864,2.5449,3.7529,2.49,1.8196,0.7099,0.7691,0.3906,0.8796,0.0
EST_C28,6.9152,0.0762,1.9374,0.6196,0.0141,1.7707,0.6844,4.2593,1.0047,0.8621,1.1705,0.0373,0.8281,2.7165,0.1422,5.4884,6.7501,4.1239,9.4396,2.8866,0.4193,8.2294,2.8715,0.77,8.4514,9.2674,1.8277,0.1767,0.233,3.5584,0.1812,0.3714,0.0691,0.1104,0.6206,0.4529,1.808,2.278,1.4629,1.0166,0.437,0.2629,0.3665,0.3313,0.0
EST_C29,2.2908,0.0321,0.5948,0.251,0.0054,0.6481,0.2148,0.9491,0.1232,0.1432,0.1775,0.007,0.5693,1.7986,0.0476,2.694,1.1094,0.7299,2.4143,39.1542,0.1365,1.7805,0.2875,0.2493,4.9907,16.7588,14.433,0.0874,0.0509,1.0871,0.0831,0.1112,0.1047,0.0313,0.1197,0.1926,0.5915,0.6215,1.8575,1.6045,0.246,0.456,0.249,0.0518,0.0
EST_C30,0.0084,0.0264,0.0017,0.0005,0.0,0.0058,0.023,0.0252,0.0051,0.0,0.0085,0.0,0.0138,0.0028,0.002,0.106,0.0082,0.0145,0.0032,0.0143,5.1219,6.2356,0.2754,0.0277,0.2189,0.6953,0.326,9.4714,0.4057,0.6671,0.0021,0.0072,0.0171,0.0066,0.1134,0.0,0.0556,0.1457,0.4027,0.8191,0.0257,0.0721,0.3165,0.0172,0.0
EST_C31T33,22.1192,5.6783,6.2725,1.3464,0.0466,10.9258,6.0614,21.1832,4.428,17.7822,5.9444,0.0841,3.2204,11.5809,0.2422,17.3398,6.0997,4.0046,3.9145,3.0041,1.2701,128.2918,26.6038,2.5007,47.0056,33.2853,28.5174,4.4841,26.8068,21.6286,1.2706,8.1121,1.5155,2.6626,2.3253,5.4593,17.9738,11.0751,17.2584,37.8426,11.9675,40.0725,7.3266,4.7872,0.0
EST_D,30.0407,1.5486,14.4079,6.5327,0.0656,53.2016,12.2767,44.305,33.2083,13.4261,22.6563,0.4691,11.3113,27.6443,3.2922,24.9461,5.6244,7.6032,7.9167,5.7144,0.9649,22.2398,176.6942,17.644,33.5521,93.1144,31.9861,6.7331,3.5756,51.6731,1.4274,36.0196,3.1906,11.1673,8.7855,6.5918,68.7748,18.4002,9.7552,39.534,44.2459,24.2258,23.2051,13.2206,0.0
EST_E,6.8701,0.2543,0.2071,0.0533,0.0014,17.5283,1.8692,4.3229,1.5391,6.2167,1.1316,0.0513,2.3334,3.0684,15.246,3.196,1.0127,0.9358,0.646,0.5664,1.017,2.8894,2.098,87.9344,15.5374,9.264,1.2916,1.2179,0.3163,11.2516,0.1388,7.9778,0.1635,0.1562,1.1704,0.787,21.8203,5.0826,2.7893,19.2173,4.4995,3.9148,3.4419,6.8716,0.0
EST_F,34.9675,0.2641,1.6053,0.5798,0.0141,7.2339,2.7479,29.311,1.9341,1.627,5.4277,0.0767,9.8281,30.7492,1.6367,31.9497,2.0234,8.0001,2.6482,0.9001,0.4903,7.9585,17.4687,6.8466,436.6134,50.2745,8.6655,3.3522,1.7893,50.93,2.5294,14.666,0.8433,14.6623,8.115,6.2691,311.1646,29.6669,12.1657,114.9332,24.4582,18.2233,17.8277,4.5097,0.0
EST_G,142.8239,4.4464,14.099,5.522,0.1268,177.9668,59.7646,166.6819,30.8149,13.0092,42.4278,2.2118,29.4728,40.8659,2.703,70.1353,42.8215,36.2838,26.2521,38.9578,8.3431,88.1497,52.3661,10.8228,249.0131,223.7762,267.1763,25.1556,12.1119,79.6936,7.7219,71.1892,13.3591,6.5982,24.2233,16.9163,39.7947,70.93,40.2808,39.0448,27.5613,59.723,21.7026,14.327,0.0
EST_H49,45.8022,0.8493,6.5008,2.6024,0.0347,57.2155,10.2136,66.2174,12.979,15.768,9.0014,0.3027,7.4001,26.908,0.8246,24.7255,12.2992,11.0871,9.1301,7.9839,2.2172,28.265,11.4961,5.3864,101.5086,112.0498,66.0566,7.0007,2.9334,135.6041,3.9697,8.1285,1.5346,0.5375,3.7352,2.1401,6.2001,11.1518,10.9089,7.7808,7.2163,5.9593,5.3946,4.1573,0.0
EST_H50,5.0665,0.1261,0.403,0.1465,0.0029,4.3878,1.3875,2.9318,1.076,0.4896,1.3781,0.0952,0.8597,0.9605,0.1463,2.6857,1.7023,1.1106,0.8359,0.7564,0.2075,2.0731,1.2671,0.1816,4.8489,4.9173,2.5347,0.688,0.2592,9.7965,0.061,1.7719,0.379,0.2881,1.3361,0.4672,0.8097,2.8836,1.4091,1.8852,0.6158,1.4608,0.684,0.332,0.0
EST_H51,0.5566,0.0324,0.0795,0.0301,0.0006,0.814,0.2709,0.4821,0.1211,0.1322,0.3307,0.0121,0.1702,0.1648,0.06,0.7864,0.4504,0.2524,0.2084,0.2908,0.0247,0.1886,0.4186,0.0331,1.064,0.2914,0.4095,0.279,0.0942,0.5372,0.0218,0.2048,0.0298,0.0262,0.049,0.0702,0.1133,0.1447,0.1311,0.0399,0.0198,0.229,0.0604,0.0589,0.0
EST_H52,58.7997,4.2607,4.4304,1.5682,0.0237,17.2356,4.8254,27.0764,6.1463,4.5373,7.8706,0.112,3.4708,8.3031,0.682,10.4688,11.1163,4.1586,3.7668,6.4744,0.8646,24.7641,6.1372,7.0597,21.803,171.7505,133.723,79.2367,32.4059,624.0184,5.5139,5.7484,1.6476,1.0852,4.9801,3.209,9.4418,10.8646,26.4446,13.6564,6.1282,2.8705,3.2732,3.4113,0.0
