V1,IDN_A01_02,IDN_A03,IDN_B05_06,IDN_B07_08,IDN_B09,IDN_C10T12,IDN_C13T15,IDN_C16,IDN_C17_18,IDN_C19,IDN_C20,IDN_C21,IDN_C22,IDN_C23,IDN_C24,IDN_C25,IDN_C26,IDN_C27,IDN_C28,IDN_C29,IDN_C30,IDN_C31T33,IDN_D,IDN_E,IDN_F,IDN_G,IDN_H49,IDN_H50,IDN_H51,IDN_H52,IDN_H53,IDN_I,IDN_J58T60,IDN_J61,IDN_J62_63,IDN_K,IDN_L,IDN_M,IDN_N,IDN_O,IDN_P,IDN_Q,IDN_R,IDN_S,IDN_T
IDN_A01_02,4580.9297,8.2716,0.7708,0.8775,0.0962,48055.9967,1281.2231,3642.5188,952.1558,14.2491,1184.7556,158.1109,3546.6374,64.5618,0.0039,78.6094,2.8431,0.0423,259.9946,0.0019,73.3973,541.7475,1.0522,4.8862,3735.4898,198.8953,0.2966,63.0424,133.1662,0.7696,0.0034,6603.5615,0.1191,0.0129,0.089,9.5,2.9072,0.2296,5.9309,378.555,25.4481,319.3379,83.1589,204.0052,0.0
IDN_A03,1.1796,706.7295,0.0,0.0,0.0,4027.6797,0.4064,0.4586,0.0,0.0,259.9419,3.5287,0.0,0.0,0.0,0.0163,0.0,0.0,0.0,0.0,0.0,324.7619,0.0,20.1284,0.0,0.0,0.0,51.0339,0.0,0.0,0.0,4117.2665,0.0,0.0,11.4837,0.0,0.0,12.1119,0.9242,22.1684,54.5787,203.3571,65.3922,17.088,0.0
IDN_B05_06,0.0837,0.0,1553.1079,38.0961,0.6735,25.6061,116.3777,2.6057,308.8177,12546.5678,6616.3523,0.2147,45.932,3188.2023,365.8112,283.3942,0.3711,0.6094,50.3566,3.1338,0.283,56.2961,10101.8227,0.0,1.0515,0.0,0.1731,0.0,0.0,0.1002,0.0,0.6759,0.0299,0.0,0.0,0.0,0.0049,10.3263,0.3544,0.0,0.0,0.0,0.0,0.0,0.0
IDN_B07_08,0.0738,0.6366,0.5259,144.5425,131.0854,57.5351,1.2752,16.016,0.1669,952.0227,1134.4692,13.0061,25.8509,2258.1911,5304.8121,1570.412,17.0196,2.3818,28.1382,2.2178,13.4758,352.4977,0.117,4.4343,10069.6215,0.2891,0.0,0.0,0.0,0.0103,0.0,0.0289,0.0,0.0,0.7331,0.0,0.0,2.7275,0.0557,4.1937,100.8045,0.0031,0.0006,0.0054,0.0
IDN_B09,0.0,0.0,1894.9578,788.968,28.8927,0.1394,0.0071,0.0,0.0,7.9282,43.5312,0.0,4.8814,44.0163,31.432,4.868,2.1911,15.8567,0.0,0.0541,0.0319,22.5584,15.5798,0.0,203.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0,0.0,145.2717,0.7959,0.0,0.0,0.0,0.0,0.0,0.0
IDN_C10T12,3833.5274,747.4091,54.7857,86.8396,3.3381,19590.8512,730.2391,58.588,32.8016,12.565,3830.2023,16.0024,5.2825,73.7179,2.6298,50.2847,8.4,5.5815,664.0531,0.0311,0.5115,103.5932,21.3082,70.6492,10.395,450.2397,287.4488,294.8316,263.6884,142.4735,33.0505,17689.2558,86.1348,21.962,21.8424,219.9133,165.5392,11.6333,512.2543,406.2905,324.7375,1355.8397,128.901,9.2577,0.0
IDN_C13T15,84.6465,28.2651,5.0435,9.0301,1.3883,55.8988,9489.4471,122.613,49.881,6.3168,47.2743,11.901,42.0982,33.249,16.6414,41.701,6.2751,65.8573,78.5027,21.7238,54.062,696.0154,0.8685,11.3747,276.7074,1719.0337,147.2394,37.6,138.5102,47.6852,63.0697,59.8541,65.4532,7.9686,0.8417,37.3648,59.1572,0.3179,391.2985,247.8261,306.5548,111.8414,15.3987,187.2789,0.0
IDN_C16,18.5859,4.1623,0.0028,26.6291,9.9477,26.9356,4.2165,1142.6863,59.0772,30.6821,19.0209,0.0879,7.5795,7.0575,0.8503,58.9845,0.4485,1.5479,4.4037,2.7998,90.7329,1673.378,0.0001,2.6739,6255.5645,725.8959,1.1991,0.0,0.1027,11.7684,0.3607,7.9348,0.2496,0.181,0.0667,0.0,0.9048,0.1139,6.5661,150.6042,0.91,0.4353,0.604,9.7813,0.0
IDN_C17_18,20.5637,0.4817,5.1779,7.3491,5.0426,530.5408,54.1089,9.6424,3618.8311,20.8545,127.4489,16.3835,35.231,103.341,13.8032,16.6613,139.4406,41.6244,58.1866,1.8075,11.7363,138.3953,5.5486,40.1256,149.8135,4042.7826,227.2548,82.9212,166.4702,187.1627,38.8078,27.7309,308.8444,18.636,2.1336,667.9794,294.6442,52.5341,813.8798,686.8754,1019.8973,52.6,1.5704,1.8585,0.0
IDN_C19,269.6226,206.5288,365.4895,251.4365,70.9582,230.8804,118.5136,78.9217,44.1326,1062.7879,629.599,16.0162,94.2726,565.7959,110.2202,258.8736,18.1949,89.057,181.1836,25.2643,174.8087,174.0724,1036.9763,144.537,5658.8418,9138.0379,5070.0946,1301.6639,4363.2196,112.3595,133.0347,144.4754,94.731,68.5256,61.5159,57.8482,364.5862,7.3956,781.0041,542.9194,127.5915,114.3831,9.3856,92.1836,0.0
IDN_C20,2585.1118,14.9192,144.2998,311.2611,64.3466,1473.2962,1258.2327,525.3567,1144.588,346.9114,5521.4254,117.0838,3466.9945,641.8936,107.2781,208.3339,822.6999,1833.2495,1167.8719,74.6748,232.6631,1169.4013,36.3462,393.7648,879.4461,1719.627,132.9866,37.8607,156.4896,70.2898,3.0805,67.8279,164.3806,15.1293,17.5136,112.2423,109.994,7.2685,420.5001,187.8683,271.9644,348.1164,14.7651,16.9948,0.0
IDN_C21,74.6127,6.1598,0.6246,8.0294,0.3865,14.3975,0.7268,1.6926,24.5624,2.2879,30.9888,41.7987,3.6931,1.1245,0.2313,10.0953,28.063,4.7938,0.2766,1.3201,0.0771,9.7961,0.2086,9.5877,0.0124,25.0391,73.971,19.1712,14.7178,56.6355,0.2854,1.611,0.8172,1.2127,2.4519,10.1606,0.3488,0.4931,31.4645,32.3483,31.3825,1023.661,0.3831,0.5897,0.0
IDN_C22,75.4569,6.3279,42.0303,55.0291,5.1709,272.9745,347.6681,86.631,109.2603,3.7031,173.87,26.5903,1128.4488,205.6427,20.6517,215.2146,288.8016,194.9163,421.4131,374.7481,797.6647,989.2991,6.0319,29.4598,1902.5749,4177.6337,443.2304,63.7042,213.7326,108.9875,46.5067,68.9949,37.2027,21.5725,0.7661,283.9446,170.3643,5.5626,354.8374,85.6418,94.6028,28.9062,5.8628,16.3622,0.0
IDN_C23,0.377,0.2361,12.998,2.9264,0.351,19.9785,7.2305,21.0522,23.6367,131.6957,38.1584,4.5924,18.5014,1262.495,8.1465,112.589,1551.5425,374.7751,210.0354,77.1605,324.2005,221.7957,0.0614,7.0443,14732.6739,134.9008,135.4588,29.271,65.9752,25.236,0.0004,6.6855,15.3106,0.0491,0.3203,0.7186,228.2538,27.1987,83.8744,15.4074,66.4048,26.236,0.2437,78.8299,0.0
IDN_C24,0.1442,0.3584,0.0454,23.6672,0.0,0.2941,14.6528,0.9439,4.0125,6.9592,0.7983,0.0066,1.0458,9.2058,169.9441,1509.4352,138.5109,517.9513,750.9791,252.6777,605.6127,1379.0965,0.0214,8.8519,3475.275,64.7724,0.0122,0.0,0.0,0.0003,0.7623,0.0,0.7892,0.7388,0.0,4.9864,0.0079,0.0,0.004,0.435,0.0177,0.0508,0.0824,11.4562,0.0
IDN_C25,37.7455,1.0575,2.3105,140.4537,2.0162,12.5725,11.2093,15.1146,4.7434,8.799,16.876,0.0824,32.849,12.2869,5.3236,261.0418,122.3635,185.5433,348.2922,94.1101,280.1848,222.8729,22.3881,343.8815,3695.4952,921.1191,135.9514,45.7251,110.6876,43.0963,12.0696,18.7796,7.7884,3.489,0.0522,104.2142,26.3541,2.8675,187.1329,138.307,20.5002,10.9358,1.0717,104.5753,0.0
IDN_C26,0.0055,0.0,48.5904,18.3913,17.7582,2.6027,2.9155,0.6782,3.0291,0.3344,10.2411,1.1907,3.1724,38.5748,9.0723,115.6088,2199.7798,204.0134,131.8912,69.0539,131.8241,101.881,116.1476,4.4843,624.0621,424.3526,45.2395,17.5107,26.9394,49.5844,0.5197,0.4271,39.0585,27.2782,15.3649,1.7357,0.2974,9.5081,741.8208,124.5254,221.4355,47.7033,1.1203,1300.6025,0.0
IDN_C27,4.3612,30.7849,317.9386,121.5492,53.6326,38.6332,54.1989,12.3292,133.1836,15.3919,122.7382,9.7346,31.0694,53.204,35.9752,133.7454,1325.6513,3113.0425,1147.303,725.2716,1569.1635,94.8674,193.6489,50.8985,4563.4857,1266.2723,666.4754,123.1624,195.0213,180.2905,25.5226,27.1956,126.3488,55.006,83.8715,2.0296,58.7459,3.2551,270.8365,496.2037,169.7918,39.6694,6.5441,1281.7164,0.0
IDN_C28,74.6455,5.501,179.0744,277.9682,89.7543,55.8001,76.8794,42.7103,154.0183,30.3604,42.2246,5.227,41.9023,27.24,21.615,159.8072,47.8217,77.214,1697.8098,55.0806,328.6386,194.8974,2.83,76.9228,1267.177,191.264,25.5167,17.2585,60.144,33.8813,5.579,2.2129,53.0422,0.8567,0.3064,1.727,0.0581,14.3665,584.6743,4.2978,18.1296,4.8842,1.2852,55.3269,0.0
IDN_C29,101.429,16.7929,114.2053,103.224,33.1401,35.0791,16.2293,23.5451,56.0378,6.7897,33.1478,12.3044,12.4327,59.3224,11.1457,39.9424,2.1923,6.7202,68.4939,2588.4781,84.2203,23.8978,18.4897,13.7102,825.2834,1679.9069,974.4214,23.8409,102.6216,56.2557,15.3094,68.8365,5.5357,3.0132,1.2142,227.3198,336.6806,9.358,653.2775,111.5291,24.0262,17.9827,15.7174,95.7746,0.0
IDN_C30,10.5687,6.349,57.3445,25.0647,1.6892,17.3324,10.0174,13.8676,26.2844,5.5232,17.8646,5.3353,10.8389,30.6788,5.6571,13.0477,1.8159,3.8033,35.1115,1.7377,1779.5327,17.5944,10.6163,8.3824,29.726,335.6261,148.1594,60.2745,377.5358,38.5034,17.5005,44.2218,2.4011,1.6638,0.5973,26.1666,67.5257,1.137,141.1923,0.0477,7.9216,2.2604,0.7857,3.6647,0.0
IDN_C31T33,19.6753,33.4577,16.4152,24.8551,2.6481,11.2702,5.904,33.4743,20.6397,1.3233,23.0909,12.6744,9.7323,5.2307,1.8509,14.5251,43.0031,108.674,3.3425,11.8928,39.7999,613.6763,12.6859,7.7897,75.2357,204.4932,131.1884,144.8509,416.632,122.2654,6.2387,2.103,31.4688,2.3595,21.353,122.2847,92.9276,5.5415,601.9473,190.4909,238.1098,328.9598,61.7006,17.9047,0.0
IDN_D,33.0251,65.8239,286.4555,111.9997,104.4707,417.2278,534.816,183.8878,277.9764,229.6039,976.2076,58.3914,412.8195,1474.0949,353.7722,505.652,123.815,455.4759,313.6428,41.9192,161.6989,422.3274,23212.078,268.5247,1449.2195,3510.4036,583.5594,96.6307,496.6246,861.9874,324.2364,343.8058,818.0787,637.27,1370.6103,527.0841,943.1079,14.4861,774.8908,1123.1819,602.9754,532.3042,107.597,438.7983,0.0
IDN_E,3.236,0.704,15.8266,13.91,4.3213,37.6125,8.5288,2.6844,18.331,5.1765,38.3923,11.1813,11.4363,18.0817,30.7513,16.8829,8.8356,19.8746,29.6655,1.8744,26.0795,21.5806,3.4414,281.4026,16.2417,185.8424,25.4533,13.0526,15.1824,45.0718,1.0076,9.9845,6.1707,2.7265,0.2647,13.8466,11.8979,0.4034,160.5758,39.4614,24.4004,74.2809,16.732,3.241,0.0
IDN_F,706.0621,10.4699,430.7137,178.3214,66.3752,31.9489,87.0479,11.3608,28.9818,75.3691,9.0162,2.4182,4.1747,70.7654,28.8747,14.0302,30.163,0.0012,0.3194,4.328,22.1121,39.5425,6.629,214.2745,2555.4119,2861.7213,81.4916,19.618,77.5564,367.4085,16.3392,10.9731,46.3234,34.1201,33.9538,496.2565,9668.6645,17.2776,628.8361,2336.6934,628.2564,78.9546,6.9944,2.4795,0.0
IDN_G,3646.2716,679.6235,569.5926,591.159,201.2692,21477.3474,7288.2359,2249.8685,1670.2885,1888.579,4653.221,200.6726,2240.0645,1816.1312,782.8399,1388.827,3172.1011,2710.5828,3024.6457,4128.6132,2749.2781,3071.316,2106.6271,429.7948,21644.3754,15892.2735,6960.6383,892.8574,2538.479,395.5979,371.1501,10680.7155,828.4135,151.4876,397.2439,1121.1941,1620.8705,104.5947,5720.1145,1605.3457,1473.0196,1857.9662,151.6789,1533.3789,0.0
IDN_H49,302.6831,56.87,697.7583,537.4063,126.3615,1626.0121,423.4943,358.5208,618.8861,470.1434,653.9645,50.4068,253.8344,638.9801,392.3394,360.1843,246.4915,137.3317,165.2259,83.0021,183.0736,523.2246,458.429,196.3051,6759.101,8534.2678,302.283,88.2368,247.167,104.6769,295.9437,487.1747,134.2785,48.3425,21.506,221.9929,185.7915,32.9683,999.9725,1677.8393,469.2653,292.3338,47.308,98.2455,0.0
IDN_H50,49.1271,8.5036,571.7394,98.3848,18.6462,267.6959,110.9178,166.0186,62.5351,195.7821,99.6072,3.0099,40.2531,287.1674,85.3571,52.5045,24.9983,22.279,38.2676,16.4412,45.3386,54.812,86.712,18.3734,353.5221,1276.5289,47.8971,15.5383,40.5726,215.2565,109.0821,90.9385,40.5787,13.4183,3.4893,13.7913,13.5727,17.7309,402.9425,39.0628,16.554,16.3706,1.6034,14.0516,0.0
IDN_H51,76.8549,11.8975,200.9613,75.867,38.3637,387.5311,156.5674,70.6211,93.6168,120.7104,282.2384,27.0111,91.3547,208.1667,113.5041,147.1303,73.5002,64.0444,85.4326,27.6166,77.9633,162.9399,97.7716,20.5499,816.1243,2827.2795,191.8529,42.6584,256.9346,179.2025,95.2585,94.8012,90.6046,17.9538,14.6595,302.5275,347.6266,18.639,554.6388,2159.9629,198.5334,65.5642,10.1782,21.2937,0.0
IDN_H52,64.9716,10.6472,774.0983,28.6466,17.5756,196.4097,54.4143,41.6689,36.9344,64.7659,120.6038,16.7802,30.7456,352.8757,53.9189,37.9348,79.7745,181.3951,61.1983,12.326,36.57,318.526,55.1108,70.1985,1696.2055,2214.0284,1644.2909,1001.1267,2113.5984,803.6555,13.1072,61.1805,21.5193,4.2011,2.1106,9.1816,15.7395,5.0806,73.1122,19.0367,18.6792,7.3506,1.7758,9.8777,0.0
IDN_H53,0.2583,0.0901,0.0749,0.1142,0.0736,0.624,34.4575,0.1133,46.0879,0.0596,27.0724,0.0376,14.3793,23.2926,0.0163,0.2455,0.0775,0.0952,0.1117,0.0349,0.2925,7.4289,0.0719,0.4094,40.0495,1049.8925,2.769,0.3306,36.6856,25.1862,0.9874,3.9549,38.1785,0.2963,0.9223,12.9677,0.3307,0.3153,81.9663,66.2586,16.9549,3.3438,0.0492,1.8951,0.0
IDN_I,10.5491,13.1914,29.2384,23.6779,27.191,214.7248,55.0669,39.9839,56.4541,24.3872,86.6799,26.5128,73.0673,104.8874,13.1588,25.9442,129.4347,62.291,55.1825,25.609,81.9572,159.2758,34.0837,13.2925,1070.5324,3182.4737,409.026,89.8633,819.244,74.2595,18.716,36.0756,134.1599,17.3187,7.1367,376.1308,263.0166,32.8005,914.8434,2515.5695,1081.6079,306.6981,35.437,9.9049,0.0
IDN_J58T60,0.9367,0.0269,0.5424,0.5293,0.0096,1077.8619,44.5519,9.0336,41.5218,22.4639,288.4912,31.9496,143.4629,56.467,0.5056,2.2151,37.3693,55.0228,29.8019,71.1512,131.8372,90.2352,55.1496,0.0796,70.5331,1004.0928,152.374,43.4216,341.0284,125.966,3.0696,13.4017,1731.1393,109.1328,334.1691,460.5131,1700.9404,259.4061,2745.1648,221.0564,197.2223,48.0112,68.0176,9.1087,0.0
IDN_J61,57.8915,3.7868,73.1993,20.6079,41.5856,233.001,60.3949,84.6701,95.9848,23.5855,188.1392,24.7027,99.3013,155.5736,15.0056,37.0932,69.0982,99.044,249.4439,24.7917,27.0151,182.8213,72.4863,32.2275,918.4634,5607.2588,472.9504,401.9067,907.1252,416.7731,189.5749,91.8393,328.9467,1593.8207,1070.4754,681.3156,1016.5788,70.714,1055.2213,150.5104,178.9989,70.0304,25.226,99.3517,0.0
IDN_J62_63,3.8487,0.9776,41.6989,28.2143,5.6384,15.832,7.5306,17.2391,0.9212,3.1854,15.4981,10.2777,5.3713,19.3378,1.3448,10.2324,0.0369,0.441,2.5489,13.9963,2.5226,8.9015,13.1647,5.981,70.789,1234.4564,96.5202,33.0725,87.6786,62.2074,20.7695,9.2036,250.3833,243.1121,831.9937,599.3281,695.3496,125.6175,1236.6897,119.5566,115.6538,53.258,27.7716,44.8767,0.0
IDN_K,1409.5021,266.177,691.137,281.5932,76.5761,1350.0173,342.9356,135.77,235.3721,430.7586,586.8626,26.8821,260.9423,312.3608,85.646,183.5037,251.0922,283.6485,321.4723,195.0187,302.2691,394.2482,1188.7063,54.4152,1499.9111,15812.9182,546.6718,138.9595,462.4872,231.2408,90.2874,549.153,252.0107,219.0651,120.9679,4894.1523,2800.1376,44.3692,2440.0165,344.5494,139.8944,392.7903,47.8325,194.144,0.0
IDN_L,1.0547,1.6146,268.2879,202.4985,46.19,162.2898,48.0415,25.6477,91.638,49.0746,154.3099,22.8086,69.0601,170.5665,19.3706,65.5956,16.5611,12.9042,16.5209,11.042,57.8941,161.6625,0.089,48.0467,1790.212,10108.9984,337.8688,59.068,301.166,78.1183,53.4731,310.8718,157.2882,179.5241,153.2876,818.5107,459.8766,80.8187,1055.3858,275.8178,645.1283,247.2991,52.3594,523.2752,0.0
IDN_M,9.237,2.0635,33.834,56.2198,8.063,183.0124,19.668,18.3129,15.5785,12.286,19.4701,5.274,5.5587,115.3086,2.2683,3.9167,68.4145,0.5679,0.0441,20.0294,3.3026,10.5648,0.2639,11.538,75.2655,917.7238,95.9233,51.4982,187.439,59.3207,15.2179,8.4269,198.5574,106.958,142.4879,469.0635,894.8599,53.3935,543.2211,232.8498,25.314,59.4293,13.6624,2.1999,0.0
