V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T
CHN_A01_02,435015.71,18601.8694,696.967,124.4535,0.247,607392.5938,119396.0121,47161.5054,36901.2351,18.3812,19354.6116,63373.2302,16893.0373,387.25,72.4483,201.5945,7.7248,123.4809,196.6714,39.1254,28.0847,11553.4739,166.4814,1297.4723,33543.0511,178.0485,120.9001,5.2129,822.5923,75.1756,2.1712,41534.5635,73.2723,658.0275,1.5733,56.6778,156.9394,9630.4793,2081.6801,16.0493,866.8918,1124.5932,166.9484,1358.9612,0
CHN_A03,749.1511,20063.6271,0.0,1.8832,0.0241,76360.4481,384.7245,374.3276,487.8504,0.2119,1200.4973,79.2255,16.4252,11.7909,7.1607,0.0,0.0,0.0,17.748,5.0052,1.984,54.8271,11.3827,194.5945,0.0,13.9821,0.0,2.5134,0.0,0.0,0.2091,36783.0119,12.301,63.3392,0.0,5.4307,14.6587,1865.6132,247.4334,1.8587,151.4258,50.0102,3.1904,132.8583,0
CHN_B05_06,1308.45,80.165,79776.6972,4363.62,135.7309,2922.5525,2544.8074,345.6066,4868.1305,209564.725,53317.749,546.5174,2260.0507,45208.5964,42002.0953,1989.9078,58.5423,368.6759,2066.1712,637.441,314.9795,214.4805,173078.2562,549.8925,1159.2784,572.5853,109.2251,80.2015,30.8766,304.2521,30.3648,409.6931,9.2576,0.0,1671.4545,246.1147,31.2299,477.5407,179.7892,647.7292,777.9983,361.5204,12.1771,170.6882,0
CHN_B07_08,5.3475,2.2251,345.3876,17962.4674,146.5344,86.3325,27.0362,8.8081,1158.816,156.3509,17992.9528,225.6399,711.177,77664.3631,153049.2328,4217.7634,133.3818,2727.9401,2621.5152,718.3241,99.2659,169.8354,321.882,150.1761,37548.7035,187.3044,114.3151,1.8964,0.7995,83.7038,0.6478,5.2303,1.4828,0.0,0.054,215.8766,0.1939,278.2297,46.4546,27.4802,4.335,2.5101,1.9008,23.6255,0
CHN_B09,0.0,0.0,26713.2867,703.3967,86.1614,177.0438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,84.1349,0.0,1027.6627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHN_C10T12,193986.7615,29691.0297,1542.3237,3381.4745,31.5398,303102.6887,17235.2789,1242.9514,2038.9527,3283.9057,36004.4759,9410.8768,1212.2324,2614.551,19591.7963,5907.7028,15267.9087,7560.1113,11518.0093,2857.2052,2251.1296,1571.2284,9955.0896,5106.7237,7952.004,27002.6555,3817.9161,105.1501,4768.3151,2998.5931,1039.9531,145066.9448,1608.1871,2568.7022,2574.7154,2319.7067,2415.9583,19346.2428,2308.8541,7592.797,16608.8151,7440.1978,2549.48,2743.5805,0
CHN_C13T15,959.5934,50.8757,7532.0643,2432.8,1016.1176,7680.4249,709664.9472,1641.6906,16060.5907,1275.4664,9369.1338,10338.596,9928.2286,9526.1572,3237.4271,6598.8241,7760.1949,7272.3106,8404.1837,11640.3046,3781.6915,41201.9273,2532.5064,7880.3104,9753.6749,17787.0085,5377.6355,399.1998,1224.4758,2152.9412,2403.8776,7914.5906,4628.6606,1384.8999,261.9705,5495.0405,1354.8837,19489.2334,3941.6565,42421.2698,4000.6612,14837.5244,1424.2896,1842.0944,0
CHN_C16,34.6088,11.6545,7763.6338,725.9069,8.4716,761.7388,853.2415,57534.916,5142.2442,81.7725,1660.6376,126.9049,1043.4994,2591.7484,338.6233,6068.7135,1161.9065,1196.7472,1807.858,824.4869,204.8249,44974.9324,173.4679,472.5225,70433.6867,395.8588,152.9848,5.5747,7.2189,82.0976,10.0994,38.8763,3.2391,32.273,0.3437,4.2129,0.0894,17.3886,5.7388,43.1152,145.2563,51.0848,97.6174,5.2329,0
CHN_C17_18,442.5044,144.6248,119.1202,751.0422,40.1554,17388.4309,4339.6632,1672.7596,134350.2619,138.8091,6569.718,6604.861,3072.4727,13787.0691,727.1443,2844.6462,7564.4605,8312.364,4698.1753,1443.505,407.7551,13104.7953,188.9592,608.9589,4023.7127,23247.026,494.3442,11.5297,128.6908,308.6536,4760.5201,2066.1116,10320.3373,1260.8264,19472.8831,10978.2551,2187.5986,77565.429,4148.833,17407.1433,13341.0069,104.6011,262.5235,496.6001,0
CHN_C19,9310.58,3518.0944,4504.4877,25387.4489,1787.286,1469.5953,1543.2736,944.2534,1010.7292,27836.802,95412.4726,649.4515,3695.0071,29434.9874,96147.8709,5231.149,1869.3771,1695.8914,4989.7961,1529.3192,863.9822,1708.7798,17498.9238,2713.5608,49904.5002,9223.3274,68220.3682,35022.0683,14751.0058,29036.1518,2226.5247,1379.7219,316.0157,617.5667,365.2985,2275.5461,695.541,23111.6065,4145.6909,4829.8227,3522.6045,344.2113,101.8798,524.5973,0
