V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T
LAO_A01_02,135.6908,0.5193,0.2779,0.3823,0.059,571.4514,1.0554,94.939,9.0519,0.3979,0.825,0.2351,0.5278,0.0018,0.0016,0.0059,0.0037,0.0031,0.0001,0.0011,0.0004,15.7466,0.0354,1.6141,4.6306,3.0122,0.0002,0.0,0.0001,0.0,0.0014,30.4862,0.5367,0.0064,0.0089,0.0002,0.0005,0.0412,0.0174,0.0006,2.1885,0.0,0.0604,0.2283,0.0
LAO_A03,65.6876,27.6284,0.0583,0.0997,0.0201,40.1595,0.174,4.7741,1.6753,0.1092,0.1454,0.0702,0.0271,0.0003,0.0005,0.0015,0.0012,0.001,0.0,0.0004,0.0002,3.4962,0.0089,0.558,1.1322,0.8375,0.0,0.0,0.0001,0.0,0.0008,18.7283,0.4299,0.0035,0.0046,0.0001,0.0002,0.0182,0.0055,0.0001,0.8421,0.0,0.0314,0.0867,0.0
LAO_B05_06,0.3289,0.0121,136.5782,94.2706,22.0441,12.72,1.2504,0.6593,0.0529,57.7671,9.0455,0.1229,3.6354,50.3303,0.5046,0.6942,0.8076,0.9308,0.0501,0.375,0.2606,30.9413,181.5979,12.8244,154.4887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2801,0.0,0.0805,0.0,0.0,0.3391,0.0932,0.0,0.0,0.0,2.5503,2.4583,0.0
LAO_B07_08,0.25,0.0073,43.6069,149.5828,14.5548,5.4368,0.479,0.2861,0.0233,2.082,4.1899,0.2871,1.8116,57.5536,0.4689,0.5406,0.4631,0.6787,0.0286,0.1909,0.0817,0.3939,39.737,6.1805,246.1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523,0.0,0.026,0.0,0.0,0.1606,0.0734,0.0,0.0,0.0,0.9083,1.1905,0.0
LAO_B09,0.1908,0.0106,115.4266,63.2792,33.5589,3.0235,0.0658,0.3632,0.0108,2.5843,1.2791,0.0361,0.9483,4.6106,0.1493,0.2467,0.0404,0.0675,0.0161,0.09,0.0878,0.0,17.9257,2.3185,40.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6864,0.0,0.0036,0.0,0.0,0.127,0.0171,0.0,0.0,0.0,0.4633,0.3596,0.0
LAO_C10T12,47.422,1.409,0.4289,0.781,0.0526,143.0119,0.0751,0.1016,0.0107,0.1133,0.2037,0.0413,0.1273,0.0347,0.0015,0.0049,0.0,0.0,0.0,0.0007,0.0004,0.1701,0.0276,0.0544,0.0627,1.0036,0.0632,0.0028,0.0018,0.0004,0.001,97.436,0.0035,0.0045,0.0248,0.0123,0.0094,0.1128,0.0223,0.0485,0.5896,0.0967,0.0039,0.0706,0.0
LAO_C13T15,9.1789,0.6057,0.1927,0.2692,0.0492,0.4633,71.4125,1.5197,0.2393,0.0222,0.0461,0.0123,0.0233,0.044,0.002,0.0089,0.0058,0.0046,0.0001,0.0042,0.0015,1.8767,0.4542,0.8987,3.0349,4.2011,0.1587,0.0063,0.0023,0.002,0.0183,6.7173,0.7014,0.0491,0.3522,0.0004,0.0014,1.1946,0.5194,6.2897,0.2926,0.1423,0.5639,1.1315,0.0
LAO_C16,3.5113,0.0599,0.0348,0.0576,0.0091,14.3989,1.8365,37.7687,6.4396,0.6931,1.85,0.1971,0.7895,0.5298,0.0141,0.0804,0.0191,0.0271,0.0004,0.0179,0.0046,13.0562,0.6878,2.7854,36.4228,26.2508,0.6168,0.0199,0.0068,0.0127,4.5822,6.1467,0.9674,17.7862,0.4746,8.946,0.0021,2.6376,0.9242,55.3381,3.2432,0.5449,1.0626,3.1014,0.0
LAO_C17_18,0.05,0.0017,0.0005,0.0012,0.0001,0.251,0.0292,0.6023,0.1114,0.0069,0.0229,0.0071,0.0149,0.0101,0.0001,0.0006,0.0024,0.0024,0.0,0.0001,0.0,0.1805,0.0061,0.042,0.4673,0.2644,0.007,0.0004,0.0002,0.0004,0.0419,0.0846,0.0166,0.142,0.0087,0.0695,0.0016,0.0345,0.0079,0.4127,0.0258,0.0064,0.0093,0.0174,0.0
LAO_C19,7.4926,0.2988,2.6813,5.7474,0.5621,2.598,0.425,0.4785,0.0689,0.5155,1.0839,0.0716,0.4664,0.4576,0.2333,0.4443,0.1176,0.1852,0.0013,0.1209,0.0457,0.2383,3.0667,0.6586,15.7355,9.062,3.4638,7.6383,2.0125,2.7687,0.0782,1.861,0.1632,0.188,0.0455,0.9891,0.1358,0.4067,0.8627,7.8373,0.4093,0.7749,0.1638,0.4758,0.0
LAO_C20,5.7602,0.0236,1.5671,3.1994,0.4331,1.0317,0.2852,0.3302,0.1356,0.1549,0.4398,0.0375,0.3136,0.0942,0.0244,0.087,0.1313,0.1691,0.0013,0.0198,0.0047,0.1332,0.5687,0.3577,5.933,5.1004,5.4964,0.002,0.0151,0.0127,0.0316,1.325,0.0785,0.1247,0.0306,0.7252,0.0462,0.23,0.0846,2.7454,0.2431,0.171,0.0606,0.3943,0.0
LAO_C21,2.5072,0.0413,0.3082,0.4828,0.0375,0.4893,0.0424,0.0658,0.0113,0.0358,0.069,0.2834,0.0291,0.0122,0.0056,0.0161,0.0321,0.0178,0.0003,0.0025,0.0011,0.0233,0.1251,0.0625,1.0323,1.6878,1.389,0.001,0.0079,0.004,0.02,0.4472,0.0135,0.0701,0.0148,0.3614,0.0075,0.4402,0.0176,3.6885,0.1993,0.9959,0.0417,0.1584,0.0
LAO_C22,3.0224,0.0678,0.8856,1.7139,0.3042,0.6994,0.146,0.1886,0.0248,0.0916,0.204,0.0492,0.1247,0.0468,0.0128,0.0907,0.057,0.0704,0.0007,0.024,0.0062,0.088,0.3112,0.2441,3.3219,3.3344,3.3348,0.0024,0.0111,0.0129,0.026,0.8464,0.0648,0.0931,0.022,0.527,0.0241,0.2381,0.0421,3.138,0.2118,0.4611,0.0445,0.1992,0.0
