V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T
SAU_A01_02,2166.2779,43.6597,85.9576,0.0,13.3287,6603.6111,496.9884,4.6052,53.2152,0.025,29.7331,0.9578,124.5165,0.0,0.0,0.0,0.0,0.0,0.0,0.1867,0.0,4.5138,4.8507,0.0994,5.9735,948.7609,0.0,0.9741,0.0,0.1753,0.5307,2815.5087,9.705,3.0195,0.0021,0.1428,22.1394,0.3589,3.6126,0.1634,71.8407,92.8162,4.1056,2.1747,0.0
SAU_A03,53.7444,13.3071,0.0,0.0,0.0,3.0491,0.0,0.0,0.0,0.0,0.0641,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,6.3272,0.1665,0.0,0.0,0.0,0.0,0.0,347.7597,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,9.7281,0.1736,7.638,0.0,0.2501,0.0
SAU_B05_06,0.0,0.0,27.396,0.2445,0.4187,1570.8539,631.8795,121.2598,459.131,25471.7088,8972.8945,284.303,542.3884,792.8002,677.6386,487.2775,25.6847,447.7348,201.2898,73.0573,37.2874,288.981,807.6123,7.1726,22.8938,0.0,1.282,0.0193,4.8553,1.3318,0.1768,10.0238,53.0095,129.5651,4.8505,0.0305,1.5041,2.2694,25.3416,4.6385,1.4809,7.8226,5.2097,1.5113,0.0
SAU_B07_08,0.0134,0.0381,0.4457,6.994,0.0117,6.5325,0.2336,0.0173,15.9716,0.0,205.9166,1.0179,0.9376,1000.3435,392.786,15.5949,0.0,12.6266,0.0,0.0862,0.0,4.1883,36.2617,2.7576,1070.8593,19.9716,0.0,0.0,0.0,0.0011,0.0003,2.4396,0.238,7.7978,0.1986,0.0022,3.6242,0.7452,0.3129,10.6766,1.7238,1.0909,1.6316,0.3237,0.0
SAU_B09,4.0291,1.8906,629.0164,7.2614,16.2547,123.5741,39.2004,6.4704,24.5136,0.0001,0.0,0.0,29.9372,40.8882,35.2878,27.2297,1.881,25.1262,12.5475,4.6732,1.3485,10.8165,33.4274,2.2191,5.5349,0.0,0.2398,0.0036,0.9082,0.2491,0.0331,5.8934,0.7007,0.0,0.5362,0.0,0.0,0.0528,6.0108,0.0,0.0,6.9147,0.3355,0.484,0.0
SAU_C10T12,143.9028,75.8092,37.1928,0.0,6.2895,914.5756,231.7178,0.0215,6.7576,0.0,13.3513,0.391,0.0,0.0164,0.0,0.0079,0.0021,0.0,0.0,0.0,0.0,0.0767,6.6755,4.8389,8.4157,36.6959,0.3664,32.4668,269.6892,0.0005,0.065,1450.0899,45.7753,89.1527,3.6246,15.1845,14.1218,3.5336,13.5376,114.5293,180.614,336.5715,43.5157,92.026,0.0
SAU_C13T15,1.7668,2.9291,0.2858,0.0003,0.0076,6.2935,348.7622,0.7645,16.6654,0.0107,8.3847,0.1799,16.6176,4.2295,7.1125,1.6323,0.2532,5.1641,3.8545,5.2021,0.591,15.0768,0.0521,2.1068,209.2237,52.5344,0.1121,0.1429,8.6476,1.8686,0.7062,85.581,2.9045,27.174,0.9085,0.3611,1.0705,7.2233,8.4869,22.7213,4.4372,23.1599,2.9024,3.4288,0.0
SAU_C16,0.8084,1.6719,0.0272,0.0032,0.0011,27.4304,35.0772,169.7906,85.3681,0.0075,4.2104,0.0548,5.5695,16.8787,6.3398,20.9517,0.2603,16.646,2.7052,0.9448,1.3007,137.9199,0.1217,1.7454,1122.0587,5.0712,1.0416,0.0503,3.0305,76.9327,0.5153,73.7734,3.3353,1.24,0.0156,0.0832,1.6997,0.8448,0.4901,0.3682,3.044,6.3043,21.221,6.3344,0.0
SAU_C17_18,1.1529,1.0499,0.7671,0.0015,0.0207,11.0587,4.0264,1.042,87.5374,0.1201,6.9369,0.2488,2.8534,3.0106,0.8177,1.2108,0.1241,2.9299,0.6916,0.2853,0.1522,1.5086,2.3363,5.3626,17.891,1486.7334,5.0563,0.0958,23.5768,37.6181,28.1629,16.3885,925.5175,143.6977,14.1688,4.1329,2.6966,72.3441,62.4806,56.0023,133.8295,84.7903,12.8673,9.2261,0.0
SAU_C19,515.0514,191.1107,285.0123,15.7079,9.1003,269.3971,295.431,142.2659,313.9271,4260.3261,6103.0503,39.8545,414.603,999.0346,654.4857,241.5395,3.2911,166.1766,137.5391,17.1525,20.5307,52.5245,2114.3884,260.0365,2347.3487,1588.4096,891.6091,15.0499,3599.8858,116.6071,10.4895,265.8506,32.7522,374.0074,2.0221,26.8471,9.8716,123.7047,501.279,113.8566,107.2183,272.3458,44.128,118.1204,0.0
