V1,ISR_A01_02,ISR_A03,ISR_B05_06,ISR_B07_08,ISR_B09,ISR_C10T12,ISR_C13T15,ISR_C16,ISR_C17_18,ISR_C19,ISR_C20,ISR_C21,ISR_C22,ISR_C23,ISR_C24,ISR_C25,ISR_C26,ISR_C27,ISR_C28,ISR_C29,ISR_C30,ISR_C31T33,ISR_D,ISR_E,ISR_F,ISR_G,ISR_H49,ISR_H50,ISR_H51,ISR_H52,ISR_H53,ISR_I,ISR_J58T60,ISR_J61,ISR_J62_63,ISR_K,ISR_L,ISR_M,ISR_N,ISR_O,ISR_P,ISR_Q,ISR_R,ISR_S,ISR_T
ISR_A01_02,1087.8959,7.8875,0.0041,0.2595,0.0108,3711.0706,0.7065,0.1658,0.0767,0.0836,39.792,4.265,25.4157,0.1569,0.0313,0.1924,0.0692,0.0326,0.0411,0.0202,0.0194,2.0238,1.938,2.3164,16.263,37.0956,1.5422,0.3735,0.369,0.2012,0.0553,564.6749,9.1337,0.0118,1.5402,1.642,3.3019,22.79,69.3927,141.0676,2.3774,6.5176,3.753,0.0958,0.0
ISR_A03,0.002,0.226,0.0002,0.0131,0.0005,4.7859,0.0029,0.0009,0.0055,0.0346,0.0276,0.0007,3.9257,0.0111,0.0016,0.0097,0.0306,0.0054,0.0016,0.0011,0.0302,0.0143,0.0119,2.389,0.1424,0.0565,0.0699,0.0335,0.0244,0.0507,0.0037,2.8843,1.5887,0.0831,0.0362,0.1017,2.1039,0.1488,0.1233,0.0392,0.0518,0.0107,8.277,1.6523,0.0
ISR_B05_06,0.0159,0.0016,0.0981,1.6512,0.1018,0.0215,0.0018,0.0,0.0,217.6747,1.3269,0.0,0.0,1.811,0.0561,0.0033,0.0571,0.0004,0.0011,0.0,0.0012,5.4078,7.8717,2.2098,0.3135,0.0062,0.0009,0.0,0.0,0.0,0.0,0.0011,0.0,0.0016,0.0071,0.0,0.0004,0.0273,0.006,0.0,0.0,0.0002,0.0002,0.0,0.0
ISR_B07_08,0.7852,15.0026,0.0,0.0058,0.0001,0.0535,0.0226,0.0771,10.9935,0.0006,0.8891,9.8588,9.334,0.0894,0.0002,0.0034,0.0047,0.0,0.0001,0.0099,0.0,1068.0128,0.0001,0.0,2.5498,0.0,0.0,0.0,0.0,0.1406,0.0236,0.0,6.534,2.1696,3.2742,0.1976,0.0001,0.8838,1.0717,5.3328,0.2116,0.0,0.0,0.3139,0.0
ISR_B09,0.0,0.0,38.21,1.3533,21.3081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR_C10T12,1261.9274,22.9645,0.0863,4.4788,0.2197,4017.887,4.9668,2.2594,7.5567,3.3837,144.471,20.413,3.3957,1.1454,0.9452,1.4465,5.245,13.4188,1.6295,0.1471,1.3323,31.4226,1.9403,4.4174,11.8755,6.4898,6.4584,5.512,3.7911,0.5734,0.2011,2567.2058,15.7196,1.2054,7.3515,5.5074,9.0941,25.186,8.4461,287.8344,42.4407,43.9521,3.3316,2.9673,0.0
ISR_C13T15,5.8848,0.0611,0.0361,2.1822,0.0625,8.5296,301.4724,0.8395,14.9884,2.5519,26.6577,1.0703,21.2682,3.7725,1.0418,7.9514,4.0219,1.4599,4.8564,5.0916,1.9823,65.2537,1.8267,8.3863,26.476,39.8765,8.1362,6.5403,4.3295,2.5079,0.2686,11.189,0.4006,0.0824,0.8982,2.3511,3.6462,17.8894,13.2479,34.1618,6.1589,38.6446,10.6772,7.6426,0.0
ISR_C16,1.0373,0.037,0.0055,0.4429,0.0163,6.5506,1.3071,79.7523,6.5798,7.867,9.8773,0.0722,5.567,7.6572,2.3229,5.2988,3.2652,1.8771,0.9322,1.3335,1.077,191.8785,0.4024,0.2205,136.3706,1.3325,0.2679,0.1832,0.1056,0.0466,0.0138,0.9923,0.052,0.0107,0.0371,0.1797,3.8484,0.9876,2.2036,4.2163,0.2507,0.4375,0.3347,0.2017,0.0
ISR_C17_18,80.3792,0.2373,0.0174,1.359,0.0391,186.7906,9.4196,14.1228,540.6098,22.0262,103.4076,27.3344,55.2323,24.0017,6.5635,37.6041,26.9817,8.323,14.6233,1.9491,8.3311,92.7982,6.8341,14.5471,65.8899,214.3028,5.8127,2.8773,2.9018,10.5857,2.4055,19.1141,240.1493,4.4069,10.8521,42.7048,4.4238,297.0738,6.7767,103.6908,61.4894,71.0306,47.3597,9.4801,0.0
ISR_C19,38.2593,2.9048,0.5713,40.8577,0.8051,95.9213,90.0714,2.8812,33.0761,4410.028,407.1059,35.5018,567.7644,179.4925,32.4033,41.1761,90.8942,31.0464,31.682,6.4147,8.9064,184.3465,87.2005,80.3032,250.4103,277.809,556.9471,173.4522,254.4502,12.3861,6.08,31.8555,4.5717,17.6265,31.3079,30.3742,25.1826,79.7834,117.8796,226.6057,17.5582,36.9786,19.4427,15.0414,0.0
