V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T
SVN_C29,1.4816,0.0219,0.1393,0.1496,0.0034,3.2529,0.8702,3.9093,0.9637,0.0008,1.2471,1.649,4.3777,1.3447,9.5412,8.3258,1.8278,11.3965,4.2587,306.9897,0.3297,2.6829,1.5821,9.458,8.6463,34.2482,17.937,0.013,0.2128,0.9228,0.1622,1.7905,0.4685,0.8579,1.103,0.9589,0.9253,3.5901,1.4168,1.7527,0.7486,1.3575,0.6609,1.0925,0.0
SVN_C30,0.1515,0.0399,0.0152,0.0116,0.0002,0.4614,0.0027,0.1896,0.1004,0.0001,0.0179,0.0,0.0196,0.0722,0.8954,0.3551,0.2207,0.0118,0.0385,0.7839,10.5395,18.4071,0.2021,3.1195,0.3733,22.8201,3.1624,0.0112,2.292,1.5233,0.0459,0.0285,0.5367,0.0,0.0149,0.0047,0.1658,0.171,0.1189,0.0517,0.0098,0.4673,0.4673,0.0699,0.0
SVN_C31T33,23.1926,0.0831,5.644,5.4111,0.0522,14.5662,4.5253,8.033,13.862,0.0011,7.9425,10.9251,16.1999,7.3284,21.765,70.0323,10.0372,30.6741,50.538,32.5764,0.7668,34.6132,19.2979,6.9566,46.3144,63.197,7.9981,0.0143,1.9681,19.5386,1.3668,10.8772,1.0456,1.9661,3.9572,9.5704,9.0279,89.2013,11.5445,8.507,10.4453,56.3525,9.0815,8.9748,0.0
SVN_D,5.5699,0.1578,5.9222,5.3219,0.0449,24.741,4.4236,11.8637,25.3059,0.0118,17.6539,41.2321,21.0876,19.0956,101.8652,28.767,3.9133,21.9775,16.4099,20.3432,1.0973,12.5046,101.3482,27.1911,40.319,116.4328,20.8136,0.0199,0.2567,21.4472,2.208,41.395,4.7511,8.3162,8.0061,12.0315,21.2877,45.7486,9.7458,34.9327,25.0864,32.504,18.1562,15.3793,0.0
SVN_E,3.8395,0.1176,1.3397,1.2366,0.016,14.6582,2.7889,3.8889,5.233,0.0025,7.1097,12.8055,8.9426,6.0676,166.6118,43.9646,11.5884,7.3586,5.5291,7.2521,0.3654,6.5036,16.9877,216.332,52.8761,44.6915,6.7668,0.0349,0.4733,10.4757,0.85,23.6645,9.0071,1.1489,2.1086,4.1694,7.7843,23.791,12.122,21.6697,16.386,21.2647,7.2644,9.9584,0.0
SVN_F,20.6901,0.0622,1.0681,3.6928,0.0532,10.5237,2.0525,22.2912,3.343,0.0021,5.3421,34.0289,8.24,24.1333,18.2943,66.721,3.6395,13.1024,15.6935,6.7396,0.3923,126.2815,87.6222,128.1351,2307.6304,147.0991,33.1885,0.0503,0.6122,60.6754,3.2782,56.6378,7.8215,4.2703,4.2987,25.2431,103.2818,532.7526,50.0612,249.7801,36.0884,54.1348,15.4744,4.373,0.0
SVN_G,124.6377,1.984,2.7787,7.3515,0.1318,257.7667,87.634,46.044,49.1543,0.0407,56.988,118.6428,82.3837,52.3454,105.0217,125.281,45.7839,126.2023,78.7838,171.2024,7.426,51.8747,69.4887,64.5644,255.3272,536.5011,257.9672,0.5304,41.7421,46.6656,10.19,168.6463,24.2122,29.2909,54.5177,56.3107,38.5458,161.3897,57.4456,70.5924,62.2491,94.1312,47.1116,28.8175,0.0
SVN_H49,20.1683,0.2077,2.952,22.6343,0.0694,47.8917,9.0195,14.3498,28.6871,0.0387,24.9491,27.3353,26.1019,37.9429,43.4865,56.4439,8.6095,44.5838,28.9467,52.2888,1.9346,18.5742,14.6823,21.3559,75.7163,196.1298,351.1687,0.1128,2.0262,131.1583,11.1567,12.7163,7.137,1.9796,6.0958,5.9081,3.5392,22.272,47.9329,15.5572,14.1378,12.104,11.3272,7.9685,0.0
SVN_H50,0.1487,0.0003,0.0039,0.0064,0.0,0.1265,0.0206,0.0173,0.0226,0.0001,0.0315,0.0344,0.0922,0.0629,0.0686,0.1058,0.0133,0.0933,0.0638,0.1624,0.0037,0.0117,0.0973,0.0323,0.0654,0.1112,0.1844,0.0016,0.032,0.125,0.0119,0.0749,0.0048,0.0036,0.0065,0.0469,0.0398,0.0439,0.0262,0.0185,0.0348,0.0533,0.0116,0.0124,0.0
SVN_H51,0.4225,0.003,0.0152,0.0359,0.0002,0.5799,0.2216,0.1447,0.195,0.0002,0.2874,0.2011,0.2893,0.1466,0.6058,0.4537,0.1042,0.4506,0.2572,0.677,0.0248,0.1791,0.3638,0.1176,0.6559,0.5549,0.9187,0.0005,0.0139,0.0522,0.0181,0.3497,0.0384,0.0281,0.0653,0.0473,0.109,0.3643,0.1043,0.0674,0.0809,0.1858,0.0723,0.0575,0.0
SVN_H52,5.1565,0.0914,0.1752,1.1305,0.0394,16.1602,3.9227,3.0324,9.0785,0.0059,6.2415,31.5179,6.1999,6.9642,8.0134,13.94,3.306,10.3177,6.5329,12.4326,1.1599,4.5683,8.0942,9.1047,20.7696,145.61,238.6999,0.4875,31.7861,523.3177,22.1965,11.7222,1.6433,3.1738,4.4746,3.4653,7.0725,9.857,6.4556,11.8296,3.2828,4.795,4.492,2.2928,0.0
SVN_H53,0.5794,0.1435,0.0465,0.3975,0.0032,1.9588,0.6267,0.6644,1.6363,0.0077,0.6251,4.2903,0.9862,0.8611,0.8282,3.2076,0.7532,1.5468,2.2952,1.1587,0.3906,1.8761,4.9855,6.1301,5.1891,46.7301,10.7748,0.0229,0.2399,5.2207,40.2804,3.3731,16.6587,7.5165,23.0643,49.6179,2.8098,8.4991,7.1447,42.6488,4.485,9.7939,2.9771,15.4712,0.0
SVN_I,0.3694,0.0558,0.0662,0.1347,0.0071,2.1865,0.4472,0.5217,0.621,0.0003,0.8304,6.2438,1.4001,1.2776,0.4265,8.8246,1.5822,2.6502,5.0158,4.4296,2.1607,3.9924,1.381,0.611,16.1666,20.7281,19.1512,0.0324,1.4277,4.5086,0.235,17.699,1.1567,3.1187,5.8935,2.6123,0.578,12.4048,118.0698,6.7854,12.5734,7.2266,12.6824,8.3511,0.0
SVN_J58T60,0.9887,0.044,0.0439,0.1228,0.004,4.0178,0.582,0.4974,1.6226,0.0091,0.96,19.7166,1.2005,1.2525,5.1021,2.066,1.3311,2.6326,3.1863,1.8835,0.3441,1.3665,1.8268,5.3589,2.3318,36.9242,2.9562,0.0179,0.696,4.4163,0.6732,5.1098,108.4269,32.586,3.676,6.1238,0.9421,34.6237,8.0511,6.4005,4.8335,2.8648,7.6539,7.4632,0.0
SVN_J61,0.8575,0.0812,0.0703,0.1539,0.0113,2.4218,0.7219,0.8322,1.0803,0.0009,1.1084,4.7458,1.9897,1.0772,0.8882,2.7562,1.5723,3.7556,3.0132,1.9434,0.3968,2.0952,5.9395,2.4253,8.2834,32.9822,17.2399,0.0181,0.6366,4.1912,2.1615,6.5412,8.4775,263.8793,52.4067,17.7584,1.7051,13.315,6.1587,13.5773,5.7101,8.6553,5.198,10.2762,0.0
SVN_J62_63,2.648,0.1398,0.8976,0.3033,0.0124,9.5218,2.2753,2.7429,11.7453,0.0047,5.5332,42.946,6.0218,5.174,4.6299,8.3681,5.957,15.3722,8.4767,10.9867,0.356,4.8339,37.0658,5.6427,10.8748,120.8431,13.1795,0.0635,12.9097,20.6524,4.0632,11.8945,9.6384,49.7239,235.1626,75.0072,5.778,63.9752,20.3919,51.2265,15.5067,28.8884,11.1768,18.9382,0.0
