V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T
ROU_C30,3.7632,0.4633,1.3864,0.1096,0.0195,6.0146,0.1599,9.354,0.0594,1.5016,3.1068,0.7984,4.316,4.7139,7.2891,5.1385,0.0016,0.0826,12.8879,0.0186,85.9613,23.7639,30.0995,0.7904,93.0755,41.7267,383.095,31.2488,45.1494,0.0077,0.0,1.7131,0.1055,0.0625,0.0135,0.0,0.0662,2.0078,0.3856,0.0,0.0011,0.0108,6.5019,52.247,0.0
ROU_C31T33,183.3415,0.1887,13.2381,0.4992,5.3078,16.9333,10.4522,17.7436,2.7904,7.6651,6.2766,0.9048,20.1311,16.1182,22.95,39.6587,51.7028,38.3374,43.0956,295.1471,15.7518,50.3446,55.9309,9.3104,263.7839,185.824,436.2078,7.0581,18.0313,49.6539,0.5015,22.4995,5.4919,88.1696,3.2212,33.951,98.1375,70.3253,12.7373,11.7158,12.1909,28.4148,12.6788,10.2127,0.0
ROU_D,271.5862,1.3935,231.7381,15.3578,7.6558,414.3807,169.4648,157.1323,101.5974,153.8497,342.2048,20.63,241.139,313.2333,438.8612,270.1038,102.4273,325.5617,299.6892,662.1824,68.8935,164.6788,2756.3096,223.2305,1304.5926,887.9994,174.875,5.5715,20.4316,229.4801,42.9606,179.239,33.9877,111.3294,257.7137,101.584,169.7105,701.1028,252.4688,32.7366,41.3063,89.2447,121.4697,94.8608,0.0
ROU_E,35.9154,9.2229,10.973,4.3343,1.8167,18.6433,13.0364,8.6833,8.3067,5.8155,3.4977,2.5585,11.5483,5.8025,6.2365,8.4416,4.8927,23.0025,5.9296,23.3105,4.4983,10.2941,18.0718,24.7446,1146.7603,77.3208,18.7,1.1481,3.4796,39.7399,8.2212,102.7513,12.9434,19.5605,44.5044,8.3453,15.6743,133.1332,49.3135,3.3986,112.4871,336.8094,37.9263,41.7306,0.0
ROU_F,71.4075,1.2367,33.0256,7.8798,6.9536,172.0599,76.3784,44.7396,29.6491,91.1441,77.9301,14.0494,75.0931,99.7776,78.0569,55.0684,25.3757,67.6355,71.1744,93.3047,21.8176,52.8252,682.1053,71.7608,2095.744,982.9767,1010.572,6.7768,14.0913,117.1611,42.2954,207.9536,42.3153,172.3558,132.1005,61.9742,423.9842,420.9967,152.358,540.4405,140.8135,251.9128,344.7964,75.8074,0.0
ROU_G,1054.5113,50.7165,77.2472,19.0021,14.737,2355.9762,396.4072,224.971,93.9688,805.609,310.6762,39.1414,441.0505,264.4336,513.3634,242.1783,190.1476,295.3927,257.1729,1340.2721,73.2154,301.3331,897.6074,115.9832,2198.8824,3017.1539,2023.8393,17.2421,36.3945,134.3291,24.3736,648.6964,88.7161,313.4311,181.1765,59.2625,218.4443,563.1066,192.4636,196.7975,160.9595,1178.0716,175.5648,182.2924,0.0
ROU_H49,242.7579,13.7324,50.8513,17.8705,14.6609,478.5035,56.455,93.9547,25.0303,505.1427,82.0294,7.7619,106.5507,116.667,163.5173,101.2691,50.3103,91.9158,85.3224,376.4696,25.8701,89.6904,431.6869,29.3656,913.3447,1137.5884,362.9005,4.8157,8.5257,31.1371,37.7705,97.0788,18.7052,40.6482,37.6006,15.8533,52.2396,135.0717,67.5006,32.5536,27.2096,113.9072,52.5852,51.7325,0.0
ROU_H50,12.501,0.4555,0.9999,0.4171,0.189,20.7714,5.2549,2.8269,1.6197,25.0139,5.1537,0.5469,8.547,4.3285,9.3683,5.1079,2.8198,5.5894,4.7804,28.8649,1.4493,4.6561,21.7301,1.6242,35.7253,20.4658,23.3036,0.0289,0.4203,1.6439,0.1919,4.6927,1.4848,2.784,2.7632,0.6847,3.3647,6.8358,2.4202,1.997,1.6191,10.9874,2.0584,1.856,0.0
ROU_H51,2.3383,0.0182,0.1058,0.0126,0.0011,2.6573,0.8719,0.4066,0.2918,6.3136,1.4624,0.0867,1.545,0.281,1.0503,0.7559,0.2602,0.816,0.4923,4.5721,0.1235,0.5604,3.9095,0.1185,5.9167,2.9248,2.511,0.0083,0.0022,0.1694,0.0077,0.5755,0.3199,0.3851,0.2059,0.0294,3.0731,0.3057,0.1188,0.0032,0.0746,1.1075,0.0815,0.1198,0.0
ROU_H52,104.6001,5.3724,45.7079,20.4651,5.7063,189.9772,19.7891,50.5991,10.3582,176.5588,40.562,10.0802,64.8954,64.9497,75.0783,51.2946,34.1205,38.7178,49.1172,146.2954,22.6492,43.8317,155.2549,17.0641,417.635,852.4929,153.5233,20.5379,14.3963,25.4081,4.6374,26.5614,9.9257,76.6854,29.3282,45.1923,22.027,89.1262,70.1936,126.2694,20.2703,99.7049,22.6955,39.836,0.0
ROU_H53,4.103,0.0,3.0821,0.4194,0.3228,10.7982,12.3714,8.3283,0.5926,0.4493,3.3186,0.2553,0.9942,4.9473,4.2348,6.6078,4.7348,0.0,7.952,22.4298,0.4429,7.3524,13.7149,2.1086,38.4804,525.7578,59.5861,2.0335,11.375,3.8752,8.0398,14.869,1.1906,20.7986,4.2194,0.6266,1.142,31.9989,4.6918,26.2007,4.3231,12.5753,5.2917,18.3554,0.0
