V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T
NGA_A01_02,30518.455,287.0435,2954.2652,0.0001,0.0106,15164.1675,166.596,125.9187,2.3216,0.0334,203.5003,52.8963,14.1964,0.1003,0.0138,0.0119,0.0001,0.0004,0.0009,0.0047,0.0003,4.5736,0.0182,0.0065,752.2209,36480.5916,0.01,0.0006,0.0231,0.0026,0.0,1739.4446,0.0501,0.0248,0.0226,0.001,0.2386,64.7928,0.0059,0.0381,0.5886,0.0822,0.0111,0.1832,0.0
NGA_A03,3.9119,6.338,0.0,0.0,0.0,17.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0008,0.0006,0.0014,232.8663,0.0007,0.0024,0.0022,0.007,0.0002,87.1813,0.001,0.0,0.0,0.003,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA_B05_06,13.0554,0.1164,109.6289,0.6665,0.1676,13.7385,15.3201,2.8554,1.1962,2989.1794,0.3625,0.0675,1157.5706,677.6127,21.0736,8.0372,0.0273,0.0326,0.1558,0.4429,0.0266,3.9786,1.7545,0.5581,78.4303,1077.3399,4.9385,0.0918,0.6374,0.0771,0.0337,2.2602,2.7509,4.7181,2.4503,0.3941,1.3008,1.0563,0.2132,7.5086,14.1556,2.5945,0.3793,6.7598,0.0
NGA_B07_08,0.0,0.0,0.8133,10.0679,0.7456,1.9163,1.9924,0.0039,6.2986,0.0255,20.4518,0.8849,0.2117,504.1424,12.4188,4.7603,0.0258,0.176,0.3313,65.6231,4.8846,1.1247,55.9659,0.1036,475.0449,3.6218,0.0238,0.0007,0.001,0.0122,0.0001,0.0,0.0029,0.2453,0.1836,0.0003,0.0064,0.0005,0.0001,12.3279,0.0011,0.0446,0.0002,0.0007,0.0
NGA_B09,0.0085,0.0,63.7822,0.0095,0.0036,0.0014,0.0008,0.0001,0.0005,0.0,0.0004,0.0,0.0007,0.0566,0.0028,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0002,0.074,0.0014,0.0065,0.0,0.0004,0.0002,0.0,0.0001,0.0005,0.0,0.0,0.0001,0.0304,0.0047,0.0,0.0008,0.0004,0.0001,0.0,0.0013,0.0
NGA_C10T12,3.2846,0.3704,579.252,0.0501,0.0183,3818.9524,0.5277,10.4172,38.569,0.0,104.1811,22.2617,1.1943,80.5431,0.0485,0.042,0.0191,0.0259,0.0487,18.5359,1.1986,2.8476,11.5251,1.5178,10.2311,9756.7048,1.6667,21.0912,6.0066,15.5862,0.6763,880.5889,208.1816,27.5841,12.5335,24.5066,59.2434,28.4759,16.992,256.8748,108.2292,366.0094,26.0722,873.1234,0.0
NGA_C13T15,0.0197,0.0003,2.8922,0.3773,0.0204,0.3127,1597.7728,5.0312,0.5772,0.0052,0.1066,0.0227,1.7215,4.4739,1.717,2.1639,0.004,0.0263,0.3069,0.7605,0.0578,4.962,0.3126,1.2037,2.0404,133.4193,12.1128,0.199,0.0912,0.5048,0.0106,0.7726,0.3418,0.3147,0.213,0.5793,0.6542,2.172,0.4433,1.3192,0.3126,9.8633,0.0833,3.5304,0.0
NGA_C16,1.897,0.0,0.1878,0.195,0.0161,0.44,2.6389,84.6539,11.3287,0.002,0.7808,0.0786,11.795,17.2778,3.4924,4.5975,0.0529,0.3608,1.2086,3.0449,0.1599,30.811,8.9699,0.4328,929.2724,12.2615,0.0493,0.0083,0.1328,0.2323,0.0104,0.0063,0.783,0.5361,0.3909,0.3305,19.8295,4.5187,1.4192,89.5409,11.2657,0.306,0.5603,9.0207,0.0
NGA_C17_18,0.0188,0.0047,0.574,0.0083,0.0047,2.0841,0.7462,1.201,4.2221,0.0034,0.67,0.1739,0.8421,17.1213,2.0643,3.021,0.0235,0.1013,0.2403,1.1064,0.0565,0.635,2.4541,0.596,1.3609,33.505,1.8803,0.0674,0.2633,1.4691,3.5647,0.1198,54.001,15.7631,10.9603,2.6118,4.202,7.9251,1.5186,22.1828,8.2952,17.4851,1.8949,26.2274,0.0
NGA_C19,0.0032,0.0002,218.4174,0.5657,0.1205,1.1725,25.2766,2.1705,2.0454,127.2307,0.0744,0.0037,1.0866,8.8024,8.2296,4.0063,0.104,0.0773,0.1731,0.0635,0.0032,1.7334,24.0837,9.4706,10.9705,87.1759,118.8193,3.3892,4.7774,0.2293,0.4471,0.2049,14.3212,167.2587,93.9977,1.563,31.7886,2.4951,0.6123,3.3855,5.6496,7.2847,0.976,3.7269,0.0
NGA_C20,5.9562,0.0064,73.0044,0.037,0.0423,3.5823,28.8512,12.6212,18.8789,0.0707,0.7968,0.0583,10.1528,30.5912,5.2856,4.5502,0.0227,0.1194,0.2745,0.8047,0.0311,3.9968,7.1427,2.5517,3.658,30.0619,3.9261,0.0047,9.0866,0.9006,0.0029,0.7868,11.8933,9.5221,8.6934,0.2831,0.3425,6.6133,1.7453,0.5779,228.1998,14.2174,3.5324,31.703,0.0
NGA_C21,0.0175,0.0,24.5611,0.001,0.0005,0.0196,0.0,0.0,0.0007,0.0185,0.0021,0.0067,0.0,0.0,0.0028,0.0021,0.0082,0.0023,0.0043,0.0069,0.0004,0.001,0.0,0.0,0.0,0.1646,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,14.2597,11.8378,0.0,0.0,0.0523,0.0,0.0786,0.8341,15.1264,0.0,0.0,0.0
NGA_C22,0.2648,0.0013,8.0334,0.0001,0.0847,29.2408,11.4616,2.3531,0.0081,0.0104,0.0003,0.0,6.6068,305.6282,0.0023,0.002,0.0356,0.0001,0.0001,0.0003,0.0,20.0897,5.3773,2.9097,513.2928,414.892,124.1322,0.1693,1.3983,10.4483,0.2354,0.2397,18.8154,64.1669,39.2174,5.9129,17.2725,3.1958,0.7064,155.5974,91.6696,16.1942,4.6902,189.3796,0.0
