V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T
EGY_C28,0.0457,0.0118,10.4143,0.8288,3.079,34.4701,11.2931,0.7665,2.8438,0.2576,3.713,2.5758,1.4087,5.1852,13.0617,5.8694,4.6407,10.6187,2.7937,2.5366,0.5195,5.3321,10.1771,0.7656,128.7246,0.2489,34.0897,10.071,0.3772,22.996,0.2077,22.2734,0.0155,0.0124,0.0031,0.0276,0.7614,0.197,0.2098,3.0615,1.9991,6.0954,1.4243,0.5385,0
EGY_C29,0.0547,0.0282,0.4175,0.0241,0.1712,0.266,0.3096,0.187,0.0603,0.0414,0.0436,0.0305,0.1581,0.3485,0.3462,0.5149,0.1156,0.4715,0.3655,72.4963,2.6104,2.3448,0.1871,0.0878,4.6222,0.264,0.2421,1.4571,0.037,0.3365,0.0073,0.3416,0.2267,0.549,0.0491,0.5461,0.0223,0.0947,0.0387,10.5308,0.0814,0.2231,0.0356,0.3246,0
EGY_C30,0.0,0.0,0.1434,0.0048,0.0595,0.0007,0.0484,0.0317,0.0109,0.0104,0.0022,0.0036,0.0247,0.0489,0.0581,0.0545,0.0247,0.0267,0.0397,2.2147,4.4207,1.4818,0.0129,0.0029,0.3789,0.0249,0.0097,1.6442,0.0,0.0476,0.0007,0.04,0.0144,0.0265,0.0053,0.0527,0.0,0.0131,0.0059,3.7349,0.003,0.0354,0.0019,0.1043,0
EGY_C31T33,274.0072,99.6086,138.3479,7.5865,4.8227,248.9637,37.7911,4.1801,15.7077,1.8032,20.1628,9.5487,8.572,31.1645,23.8413,23.9358,1.5992,13.9892,8.3495,9.8236,0.5687,44.2471,53.2051,6.1719,106.9887,76.1339,158.8,18.6099,131.86,283.5217,1.7762,93.441,2.1573,22.9085,0.5682,64.4807,24.9175,31.5538,10.2417,84.634,91.3706,176.3782,48.8649,25.6142,0
EGY_D,25.178,0.1429,4.039,2.0753,1.1062,754.1419,87.1003,5.8142,142.9488,6.4794,73.5372,17.3756,15.3074,177.4354,248.6343,25.5256,1.0973,13.7548,4.9602,8.4642,0.7215,26.031,542.2466,29.0428,15.0143,80.782,34.5375,0.8275,1.2001,122.2668,3.346,408.8365,19.8744,14.6883,0.8693,118.6857,22.0921,17.5669,6.3356,34.2344,48.9481,73.1208,49.1574,33.1428,0
EGY_E,4.3129,0.0121,0.1583,0.116,0.4029,15.9567,14.1923,0.2694,5.1609,0.0467,1.2063,0.7375,0.4267,7.823,177.8984,141.58,0.1769,0.7704,22.1591,0.505,0.0663,1.0228,0.353,0.6726,66.4393,6.2332,5.7803,0.9518,0.1051,13.8995,0.1319,0.1181,0.3491,0.1598,0.0286,3.6382,5.3873,2.0529,0.5697,11.368,11.1031,13.4016,14.4252,3.1277,0
EGY_F,0.5912,0.0,0.3486,2.3479,0.6776,5.8218,0.6577,0.297,0.4726,0.0851,0.1379,0.0929,0.3618,0.4144,1.4015,1.3534,0.396,2.3473,0.4447,0.3925,0.0336,1.203,0.2865,14.4088,1159.9971,31.5827,2.2644,2.1534,0.0034,0.0323,0.0021,12.9236,3.5819,21.5366,1.5163,2.9723,1498.875,1.8389,0.6592,68.0182,14.8069,44.6345,1.1549,3.6465,0
EGY_G,1495.2304,74.0218,354.6355,16.1755,11.3434,3150.9396,819.1056,94.079,251.3611,1095.6743,315.7205,161.9875,152.9353,203.7337,438.1972,185.5259,52.8384,230.8953,47.6368,96.9586,9.8077,264.8341,420.1144,27.9109,2120.0788,218.0565,238.7711,83.7504,105.2785,188.4026,7.5034,391.3459,54.4469,75.8979,3.3449,166.0157,46.0766,81.5807,55.9502,67.7346,121.7049,311.9364,49.8466,116.7323,0
EGY_H49,90.2464,1.3539,121.202,5.0937,0.9419,550.7739,116.2634,15.9257,31.3064,61.1168,42.8353,23.2388,16.2502,39.4319,49.0706,51.3979,5.2793,33.3531,19.4265,12.6638,1.2521,46.9873,32.4166,2.1015,145.4505,282.172,97.5672,24.2312,13.8301,116.2329,3.4745,52.1227,10.666,12.5304,0.5615,55.8536,15.7324,110.2292,17.3358,39.8471,211.2629,62.2798,69.9553,16.2433,0
EGY_H50,47.8003,1.7308,23.2506,0.9715,0.5735,101.5429,35.575,7.987,10.7717,84.5236,23.1844,9.4106,14.415,19.3357,67.0212,25.6321,5.8103,32.4277,5.6908,12.3192,1.6427,34.7175,38.8898,1.5151,90.0857,1415.0103,17.3816,102.6694,5.1191,8.3507,0.3315,17.7186,4.038,11.592,0.8864,4.4851,1.2018,7.2454,5.6807,30.9098,8.9982,19.3533,5.4292,13.1161,0
