V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T
KAZ_C23,45.2071,1.0073,80.9159,250.8048,107.6057,21.7263,0.0838,6.2723,0.0888,1.5883,17.6052,7.0327,11.8623,348.986,45.57,1.0332,0.0466,0.1835,0.3696,0.6014,0.3832,20.6574,50.2706,13.1046,2104.4984,31.0012,59.0489,1.1818,6.5974,89.8653,0.9608,32.3505,2.0323,4.9109,1.6014,1.9849,349.2638,196.4471,80.5827,11.3798,18.8606,379.1138,14.4606,3.3775,0.0
KAZ_C24,147.8462,2.2352,1886.2643,2192.961,240.414,18.09,2.8056,0.324,2.9306,28.4519,32.0856,25.1345,118.6739,826.3567,6940.0107,916.713,7.1612,610.9719,580.8244,321.7452,250.2988,1144.9647,1108.2192,440.9838,12025.816,102.486,1747.3906,37.9668,26.8442,414.0708,0.0004,34.2598,3.8383,750.0849,2.1492,1032.3889,184.7667,693.5098,107.4541,10.8692,8.9531,337.5949,31.8088,51.829,0.0
KAZ_C25,11.3927,3.2635,140.6165,31.0159,16.553,6.5847,0.2598,0.3886,0.1777,11.7587,1.0008,0.0102,0.1055,55.1901,46.9732,2.5737,0.0342,0.1461,1.4719,1.1621,1.9666,58.1925,47.6535,3.5725,266.4194,377.5729,123.2693,0.1135,6.1267,44.7802,0.3869,4.6298,6.5115,36.8815,5.5816,1.2007,34.7546,149.7715,13.6855,30.4824,28.1848,76.9848,9.1641,3.1066,0.0
KAZ_C26,0.0782,0.0017,17.9888,0.2795,7.4568,0.0206,0.0001,0.0001,0.1241,0.0833,0.0089,0.0041,0.0018,0.0301,0.001,0.9442,0.0991,0.022,0.007,0.0404,1.3815,1.9058,14.8648,0.0044,3.0364,17.2535,1.6323,0.0025,0.3962,1.0735,1.0143,0.1763,2.3988,13.0987,3.826,2.1185,0.0315,3.8642,4.01,0.9506,3.4658,5.4884,1.1648,1.9317,0.0
KAZ_C27,1.7042,0.1092,34.3409,13.6521,2.8048,6.3533,0.4148,0.1679,0.0724,1.8409,1.3167,0.0088,0.5518,6.5682,12.7973,0.368,10.1094,0.0627,0.0575,0.01,2.0143,50.6262,40.7773,0.5106,30.6229,30.2838,81.5157,0.0221,0.5666,5.1016,0.0103,2.738,4.1754,12.1231,5.2169,1.4899,16.7637,43.2925,46.3671,8.6638,15.546,48.7432,25.6763,30.5504,0.0
KAZ_C28,18.2341,0.1258,165.9554,94.2992,20.6163,1.6661,1.085,0.1318,0.3916,1.6224,0.2231,0.0506,0.1975,5.3502,13.403,0.1657,0.0144,0.1704,2.5103,0.084,0.3451,14.2526,8.1447,0.2372,7.0766,33.3491,132.519,0.151,1.225,4.6295,0.132,1.3944,0.8489,2.6258,0.85,1.731,6.4682,29.8961,15.5316,7.5213,6.1344,21.9442,1.7141,2.2397,0.0
KAZ_C29,17.8901,3.3197,15.8721,2.7314,1.1215,0.3786,0.0047,0.038,0.0097,0.0095,0.004,0.0105,0.0007,0.3192,0.032,0.001,0.0532,0.076,0.6791,152.5266,7.5786,10.8336,0.6212,0.0998,4.2837,182.3359,60.973,0.2184,0.7244,10.3028,0.6605,1.4148,0.0862,0.41,0.0914,1.2267,3.9888,8.6838,40.287,70.1926,13.8985,6.4872,8.0126,0.3525,0.0
KAZ_C30,0.0326,0.0,1.9431,0.531,0.0189,0.0016,0.0,0.0,0.0003,0.0,0.0,0.0104,0.0,0.0,0.1621,0.01,0.0,0.0002,0.0001,5.1575,12.5205,0.004,0.0001,0.0002,0.0097,0.0,72.258,10.2423,20.7799,4.3316,0.0,0.0202,0.0006,0.0058,0.0004,0.0,0.0015,5.4873,9.2697,0.8164,0.1921,0.372,0.4148,0.0637,0.0
KAZ_C31T33,30.2487,0.1328,464.2563,14.4758,7.8861,2.6651,0.4701,0.0396,0.4437,2.9484,0.4792,0.1876,0.2205,1.6091,11.7164,0.2394,6.0844,0.1428,0.1459,0.1993,1.607,5.6044,59.1724,3.5519,22.1669,1433.6185,483.4054,13.2001,44.6155,46.2936,6.3164,11.0581,7.1709,29.4925,6.5847,12.981,21.7324,127.7747,194.3719,167.9611,99.4521,40.2549,35.7816,50.5573,0.0
KAZ_D,38.7749,11.3017,1142.7804,117.0657,4.0264,51.2284,0.3762,0.2487,3.7142,7.6938,14.4162,1.6274,0.3977,18.8649,8.8192,0.0598,0.7065,0.0906,0.1469,0.4987,0.5626,28.1765,215.3341,61.7588,928.4227,2023.3676,342.8618,0.3943,16.7143,101.5627,4.2243,27.4129,112.648,120.1149,117.1838,43.0595,481.5369,202.8813,231.1212,332.6752,346.6727,383.6701,142.9624,1146.8226,0.0
