V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T
USA_A01_02,69542.7969,8.1779,49.3725,36.3931,15.1953,170653.3159,1492.9757,9267.6269,3708.4245,19.3178,6673.1129,105.9946,1038.8315,1.5011,0.7161,1.0889,0.1804,0.1045,0.5659,0.647,0.2663,411.2269,5.8287,0.6604,2312.6033,2932.1301,34.8421,71.8109,0.1909,5.2753,0.3302,486.7916,152.9208,5.0722,5.9669,14.1693,83.2207,680.5409,1022.9306,3612.4146,367.6736,7.4138,568.3468,57.0478,0.0
USA_A03,5.8019,27.9576,0.0,0.0,0.0,1210.3361,0.0,0.0,0.0,0.0,2.9777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0245,0.0,0.5779,0.0,0.0,0.0,719.8038,0.0,0.0,0.0,0.0,0.0,15.4256,0.0,74.9007,15.5775,0.0,23.3238,22.2435,0.0
USA_B05_06,583.5955,2.9819,9931.6708,392.3401,261.5772,715.6468,49.5428,34.6336,745.4689,127085.991,1447.6628,18.7737,108.2582,810.6192,2291.0016,44.7914,8.8322,36.3049,47.3312,38.6269,13.2887,31.2644,18162.0385,32.7391,1182.7935,200.5755,1022.0966,84.7388,672.2467,87.5336,157.0932,251.1942,26.2193,20.5037,23.7412,244.6005,558.2107,186.1154,133.9531,15234.9326,682.2632,234.1264,30.7312,76.8863,0.0
USA_B07_08,1036.8973,0.0437,484.6798,4207.7733,48.0526,142.1457,32.3491,12.9585,320.1688,107.5258,3151.9343,38.1488,203.1205,6432.1028,9530.04,394.2287,15.5581,73.4033,98.6078,81.6382,103.6416,164.3666,664.7979,363.321,12666.6493,66.3758,107.0824,0.7135,2.3333,21.4774,4.2413,69.4475,66.0388,132.7623,250.8336,31.4116,717.3096,595.6564,343.4259,1530.2441,246.5771,89.0324,639.7328,770.5211,0.0
USA_B09,18.6594,0.0893,4860.9288,462.1227,366.6155,49.9865,3.3973,8.8931,21.6617,65.5765,33.5299,4.5798,21.241,22.4282,26.284,93.5621,13.8954,19.443,51.2897,161.1317,23.4977,21.1459,42.0849,6.1394,1062.6653,54.1338,21.4206,4.3306,3.7054,12.4961,5.3984,19.9644,6.5132,20.3669,9.3464,25.3461,469.4185,47.6142,16.6945,324.3271,36.632,21.0799,4.0581,19.2643,0.0
USA_C10T12,33553.8163,0.1974,46.6037,17.5257,10.972,133856.5275,774.5601,90.0172,1823.5178,536.8786,2733.2279,1174.3708,447.3337,290.869,76.7965,131.0069,52.8461,50.4338,131.5498,204.9558,57.5673,109.4667,40.0023,15.9659,451.1912,6395.1249,52.3259,369.5722,221.875,20.7396,10.9553,45794.9613,88.0548,47.0398,79.9558,24.3699,113.4329,4655.9798,103.2865,31529.3727,18401.788,17265.1084,4135.2294,2077.645,0.0
USA_C13T15,300.8128,7.162,31.6677,10.2201,5.8403,169.8569,3925.0007,267.7798,1518.3777,69.42,625.6388,56.0365,1177.6162,243.441,22.8302,156.8781,21.4081,21.5968,418.4748,2061.7112,383.6846,1741.365,18.1774,63.1192,1322.0412,3117.6742,14.7256,92.2628,2.7693,18.8577,24.8202,834.0148,67.4137,66.3941,18.8326,11.4679,173.0695,192.7746,236.5491,1565.3861,293.9152,1612.0406,137.7497,707.0477,0.0
USA_C16,325.8688,16.1786,38.357,74.6175,57.1105,413.719,41.4719,15073.4959,3657.7908,10.8193,193.2647,16.7379,1062.2278,307.8002,340.5218,743.1428,125.4369,191.0346,616.2056,2265.1417,190.859,4885.0439,9.3681,14.5019,33970.0208,3125.9981,1508.7935,1.9203,2.3919,170.4624,59.6451,983.5154,164.9618,491.0108,779.4114,68.8393,4335.8389,482.6577,830.8817,1018.0449,1881.8756,1031.4626,105.7413,347.059,0.0
USA_C17_18,413.2611,0.2496,95.9347,98.1794,40.7471,21046.8502,512.7693,602.0023,38196.1558,190.5361,4770.971,1371.0208,3737.3323,1400.2473,1469.4659,2272.8049,537.4636,853.1475,1833.8338,2281.9921,568.4745,2401.4221,196.1653,239.3442,2903.2173,22185.3361,1166.1398,83.126,46.5358,2096.2883,940.5697,5854.1139,8274.8787,1342.6296,4637.7057,6625.9643,1781.8972,10784.9284,6772.6841,11269.2656,10486.5729,9575.5623,1089.4728,2857.1954,0.0
USA_C19,5368.5314,86.4202,2333.2142,1299.7869,859.195,2485.0658,264.9507,777.9748,1853.443,11014.2505,8902.0591,365.973,1641.8705,3361.6228,1719.5607,1004.8344,188.6991,917.3194,875.317,496.3621,174.9852,745.8236,10280.6493,837.7915,17948.2339,4164.4936,29407.079,2461.8252,19594.9967,2090.155,4513.6091,1743.2458,288.4655,281.3735,516.6296,6396.0965,3800.558,1825.2837,3625.8502,33846.7461,14479.9186,4431.1811,480.1368,1340.3518,0.0
