V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T
BEL_E,14.6615,0.7137,0,3.9813,0.0024,90.5444,16.7453,131.0071,222.3199,63.6907,155.7178,47.1219,84.0519,54.6527,1758.0597,548.8057,18.1577,4.9433,17.8737,16.1631,171.8078,120.4838,24.9786,3500.4632,265.3247,271.0121,34.3315,4.4735,2.1811,46.9634,16.4593,64.4148,7.5944,6.6292,13.1858,21.9407,115.4728,116.381,136.6299,398.4756,23.0712,110.8173,22.1654,72.507,0.0
BEL_F,157.796,1.0837,0,21.6182,0.0116,163.502,21.5615,32.7762,77.0754,79.6517,306.6344,342.2337,41.7818,79.6343,109.2582,604.6177,30.3165,31.0621,66.1537,93.4276,13.2894,389.3485,1103.2436,397.5643,26164.8681,993.9509,215.3534,16.5124,50.1637,375.5521,12.0932,134.7296,44.0359,71.7542,114.3815,360.1527,2047.1725,730.1411,270.4023,505.9467,255.5065,421.9421,123.4205,307.9426,0.0
BEL_G,1133.8348,10.2497,0,26.3976,0.0229,5463.9943,552.0447,307.1932,593.2508,1632.9792,1873.9864,863.0734,548.7102,436.7276,792.7277,509.0265,366.9058,196.3249,540.0305,1219.9957,76.628,550.0296,317.1211,286.4912,3083.0964,2500.8362,1301.1581,54.6286,248.6084,941.8248,159.2374,1360.48,261.1167,137.3901,246.0903,357.1704,376.0773,1448.3402,1624.9292,544.617,230.5778,1630.7418,137.3739,244.7113,0.0
BEL_H49,105.6635,1.0726,0,22.1676,0.0083,892.8858,71.0308,96.7757,171.1165,252.0014,360.6361,252.1046,145.1407,223.0183,333.4114,164.4688,30.9451,44.2299,111.8028,155.3255,15.4076,127.602,227.2362,132.2174,495.5659,1871.8294,1422.4658,18.0945,40.0999,736.1047,252.0087,105.0212,54.6956,21.1343,52.2164,56.2904,44.5107,199.0057,186.7784,94.1343,43.624,189.6896,22.0533,81.3127,0.0
BEL_H50,3.6015,0.0654,0,0.4834,0.0003,24.3003,2.4491,1.5003,2.7771,23.0787,14.3664,13.0642,3.3072,5.3344,15.7516,5.5267,2.0195,1.2562,3.9219,9.0686,1.6027,5.9014,2.657,1.6899,20.9041,39.9181,8.2507,13.4605,3.2415,15.3895,0.8477,5.3721,2.3685,3.2448,1.8085,1.6778,2.1362,9.7366,11.2192,2.322,1.1045,5.8142,0.8522,0.9003,0.0
BEL_H51,8.7567,0.1229,0,0.7143,0.0005,44.8619,4.3396,3.0247,5.6549,43.78,23.5275,6.338,5.8252,9.9149,19.6752,6.5905,4.3498,2.5871,7.4628,17.5105,3.2219,11.8693,5.4202,1.4666,39.7624,29.0293,5.0463,0.8007,5.1632,19.4057,2.9604,11.3058,1.7684,1.5234,3.0056,4.9717,4.1532,10.7471,20.1848,5.2626,3.3163,11.8672,2.3723,2.4994,0.0
BEL_H52,27.8615,5.9758,0,8.017,0.0061,307.1403,12.8888,20.4765,36.1009,154.3683,339.4227,56.6152,33.6789,54.4715,136.0827,46.52,11.3058,10.9606,41.3006,84.7145,3.0979,37.927,47.3688,17.7757,185.2547,2949.9742,2843.7234,267.6583,497.9739,4842.5925,276.0551,25.6971,19.4702,7.3482,40.1949,17.1937,20.1315,148.9011,142.3826,19.1059,18.6847,47.9389,4.1193,20.4871,0.0
BEL_H53,1.2503,0.058,0,0.321,0.0008,34.471,8.5144,2.0616,19.4221,1.7921,16.5083,9.4409,11.9272,3.8311,11.8997,6.5621,1.4044,2.4474,15.5218,5.5048,0.6155,5.5395,21.1611,21.0105,40.3852,487.3088,22.9839,0.3782,2.0206,108.7254,258.0465,10.4023,147.0428,112.6101,32.2267,186.1386,35.2036,497.0439,208.0086,537.3888,42.5115,159.9911,27.1343,60.8502,0.0
BEL_I,7.1262,0.0632,0,0.8239,0.003,35.0222,10.8165,4.9531,8.6745,25.3169,41.2427,27.6841,19.0246,14.7346,11.8923,36.7473,19.6593,11.6367,35.1665,18.0416,3.4202,15.8292,14.0645,8.8323,86.5549,621.5197,37.0346,4.1604,191.6468,458.3438,7.0833,57.5032,166.3555,15.2235,112.4124,522.7008,28.818,462.3752,1267.7775,194.6419,367.7435,602.5094,202.2638,320.8292,0.0
BEL_J58T60,2.3232,0.0113,0,0.3815,0.0003,110.3183,15.2221,10.2776,33.1076,12.411,23.5377,46.92,7.4948,6.4649,5.6495,17.1412,5.269,6.1868,7.2298,9.8154,0.8521,13.3125,5.815,3.9088,42.4434,529.6694,10.262,0.8529,10.057,15.7613,3.5041,20.4549,733.7887,96.2903,75.8183,69.7911,16.062,861.3789,111.4075,48.4678,57.9914,24.2435,48.5467,29.2846,0.0
