V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T
LTU_A01_02,276.6544,1.2697,0.1628,0.0884,0.0045,628.7378,8.215,93.576,10.5629,1.6953,116.7799,0.618,0.4825,0.4292,0.0243,0.5419,0.1495,0.1915,0.3099,0.1707,0.053,7.5297,0.8579,0.2681,16.9129,64.1685,2.4554,0.0927,0.2346,0.9803,0.0166,0.4122,0.1613,0.0624,0.1546,0.0647,4.4485,1.1273,2.639,0.6298,2.0412,2.8673,1.0052,1.6614,0.0
LTU_A03,0.0756,0.3643,0.0005,0.0004,0.0,61.8902,0.0781,0.0058,0.0063,0.0227,0.0488,0.0007,0.0028,0.0032,0.0004,0.0034,0.0008,0.0014,0.0023,0.0015,0.0002,0.01,0.045,0.0774,0.0138,1.7222,0.0088,0.0003,0.0431,0.0061,0.0004,0.9238,0.0351,0.0013,0.001,0.0025,0.0157,0.0696,0.0496,0.1584,0.094,1.6551,0.1136,0.01,0.0
LTU_B05_06,1.9808,0.0219,0.1101,0.1396,0.0064,1.6971,0.4128,0.4786,0.5162,55.2912,0.5924,0.0187,0.1564,1.1394,0.0166,0.1812,0.049,0.0581,0.0859,0.078,0.0244,0.8056,7.6703,0.0903,4.3088,0.6867,0.5338,0.0261,0.0401,0.1918,0.0048,0.1963,0.039,0.0169,0.0411,0.0172,0.4723,0.0991,0.4379,2.4303,0.06,0.1639,0.0501,0.062,0.0
LTU_B07_08,0.9525,0.0046,0.0,0.0091,0.0465,0.028,0.2714,0.0,0.0194,2.6621,0.0137,0.0002,0.0001,16.437,0.1302,0.2474,0.0,0.0003,0.0903,0.0265,0.0,0.0052,0.0145,0.0141,45.4876,0.0056,1.4921,0.0,0.263,0.0001,0.0,0.0057,0.0007,0.0,0.0002,0.0,0.0285,0.0148,0.0177,0.619,0.0115,0.002,0.0011,0.1165,0.0
LTU_B09,0.1345,0.0066,0.9685,0.2867,0.1657,0.103,0.0054,0.0141,0.0781,11.5667,0.2672,0.0026,0.026,0.4655,0.0501,0.0699,0.0008,0.0023,0.0175,0.0007,0.0009,0.019,1.2175,0.0408,1.7934,0.0685,0.2538,0.0041,0.0042,0.0649,0.0001,0.004,0.0001,0.0,0.0002,0.0001,0.0632,0.058,0.0236,0.051,0.0019,0.0133,0.0039,0.0024,0.0
LTU_C10T12,108.7238,7.2207,0.0146,0.0192,0.0023,325.5911,14.2883,0.0307,0.3466,0.0121,32.8818,2.8917,0.0258,0.0151,0.189,0.0185,0.0047,0.0089,1.568,0.7583,0.0071,0.7774,3.2259,0.8994,0.0114,27.2726,0.0344,2.0092,2.3532,0.0082,0.0074,75.9003,0.0219,0.0746,0.18,1.3753,0.2057,1.3641,1.3223,1.3533,3.9819,37.9729,4.3203,0.1775,0.0
LTU_C13T15,22.2831,0.2141,0.2016,0.0667,0.0227,7.6139,42.1494,2.3594,2.0255,3.1414,1.7283,0.1034,1.218,0.6558,0.0819,3.0764,0.362,0.4328,1.1928,1.6135,2.8307,8.9352,8.956,0.5675,6.5391,11.8101,3.9412,0.5466,6.0448,5.4246,0.1518,1.0865,0.4151,0.6085,0.533,0.5755,2.0803,9.5573,2.8171,5.2119,1.0065,3.7351,0.8093,1.02,0.0
LTU_C16,22.3956,0.2897,4.5393,0.7768,0.0054,2.4385,1.991,126.4068,15.9403,11.3459,0.5244,0.0158,2.1113,2.9532,0.0128,1.6637,0.0669,0.3949,0.2568,0.6906,0.2176,287.5464,14.4024,0.119,16.8216,2.868,0.605,0.3911,0.6138,0.5207,0.2049,0.797,3.113,0.0839,0.0927,0.1665,1.3783,12.4426,3.4656,1.1176,0.5667,1.0817,0.1801,1.6938,0.0
LTU_C17_18,9.077,0.4597,0.0128,0.0247,0.0068,33.8469,21.8838,2.2429,72.9203,18.9658,2.1641,2.6547,2.4281,1.6829,0.1313,1.819,0.4862,0.5936,12.597,0.1286,0.232,5.7476,2.8733,5.887,1.6537,21.3512,1.1322,0.3994,3.1148,3.2871,4.3976,1.2574,26.3966,1.1908,18.0424,5.9288,7.3658,22.862,5.9391,76.2806,52.1668,4.1653,6.5241,0.6903,0.0
LTU_C19,95.7288,9.8988,1.4378,2.1492,0.3041,11.2945,6.587,4.5879,5.7395,32.3166,4.8433,0.0845,5.6346,4.1378,0.9033,2.9071,0.1353,0.7228,4.3823,0.1473,0.8748,8.4537,40.6819,12.8279,25.2191,66.8581,251.8681,14.0081,18.5086,13.255,1.4219,2.9711,5.39,2.5371,2.5044,5.8906,20.3837,11.6509,29.6834,36.4514,3.2293,10.0778,5.3556,5.1445,0.0
