V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T
EST_A01_02,249.3339,0.023,0.3759,0.47,0.0041,218.1367,2.2783,411.0071,29.7093,0.0756,0.1896,0.0286,0.2306,0.3833,0.0165,0.7208,0.4419,0.2359,0.222,0.1439,0.0949,17.529,2.7357,1.6427,4.1431,9.7593,1.2371,0.8768,0.1165,2.3687,0.1503,14.0425,0.2353,0.1487,0.3901,0.6121,2.798,4.7759,2.4956,2.1351,1.5179,0.7444,1.3279,0.4536,0.0
EST_A03,0.0704,0.1349,0.0031,0.0021,0.0,28.7712,0.0167,0.047,0.0059,0.0076,0.0067,0.0009,0.0066,0.0137,0.0004,0.0208,0.0095,0.0078,0.0093,0.0039,0.0022,0.0382,0.0256,0.0045,0.0585,0.4668,0.0588,0.036,0.0175,0.0772,0.0013,4.7038,0.0218,0.0022,0.0082,0.0061,0.0852,0.1486,0.0758,0.086,0.1233,0.0691,0.0509,0.0098,0.0
EST_B05_06,3.8523,0.0032,1.1102,0.3128,0.0064,0.1154,0.0026,0.0007,0.0051,58.4222,1.7372,1.0318,0.0013,1.1938,0.0139,0.0021,0.0008,0.0,0.0148,0.0022,0.0027,0.0407,116.1354,0.2972,0.0396,0.0426,0.1791,2.1092,0.0024,0.1669,0.0,0.0049,0.0048,0.0014,0.0,0.0,2.4904,0.2328,0.5192,0.0819,0.1723,0.0214,0.1935,0.0041,0.0
EST_B07_08,1.494,0.054,1.2955,2.5502,0.0133,0.3114,0.0351,0.3561,0.4676,0.0482,1.7989,0.0081,0.154,16.3396,0.0216,0.2623,0.0699,0.1336,0.2037,0.0285,0.0304,0.1678,3.6324,0.5056,96.7107,0.7171,1.3343,2.0267,0.0105,0.6393,0.0086,0.0612,0.0118,0.0236,0.1203,0.0277,3.0373,0.3681,0.5866,1.3406,0.1538,0.0698,0.2477,0.5949,0.0
EST_B09,0.0014,0.0002,0.0405,0.0224,0.0006,0.0012,0.0001,0.0006,0.0012,0.0429,0.0018,0.0,0.0003,0.0121,0.0016,0.0029,0.0002,0.0002,0.0004,0.0,0.0,0.0003,0.0325,0.0008,0.0469,0.0009,0.0027,0.0002,0.0001,0.0026,0.0,0.0001,0.0,0.0,0.0,0.0,0.0017,0.0012,0.0006,0.001,0.0,0.0002,0.0001,0.0001,0.0
EST_C10T12,56.2525,0.6832,0.0313,0.0237,0.0005,149.4016,1.6452,0.0522,0.1815,0.0,4.6124,0.3093,0.0107,0.0274,0.0015,0.012,0.0013,0.0001,0.1106,0.0059,0.0009,4.068,0.0247,0.0529,0.3216,4.628,0.3149,0.0385,0.1163,0.2493,0.0,94.4501,0.83,0.0051,0.2136,0.3094,0.6007,4.294,1.9529,4.1892,10.6213,5.9323,3.0968,0.5359,0.0
EST_C13T15,1.6226,1.0008,0.3352,0.2754,0.0034,1.7203,61.8653,1.873,1.0516,0.2821,0.2961,0.0348,2.53,0.8554,0.0271,2.1884,1.1859,2.617,0.8955,4.3639,0.2503,19.6135,0.548,0.2213,4.8682,5.3059,0.8109,0.1914,0.1036,1.4835,0.0766,3.3095,0.641,0.0876,0.3884,0.3783,1.4671,5.0447,6.8517,2.5896,0.6653,2.6716,2.8406,2.1138,0.0
EST_C16,9.4448,0.0566,0.7609,0.8651,0.0111,3.049,1.9487,368.4498,2.1087,0.2353,0.6069,0.0433,2.9189,6.5803,0.1266,2.3328,2.2779,2.1314,1.2333,1.9689,1.6281,74.902,49.3598,1.2795,151.9917,14.7409,2.9679,0.4244,0.146,10.3746,0.0527,0.8334,0.2526,0.342,0.7734,0.6961,10.1457,4.964,1.7063,1.1999,0.3956,0.8233,0.7309,0.7422,0.0
EST_C17_18,3.4887,0.1144,0.5533,0.3043,0.0011,17.4155,4.7624,9.3071,48.3974,0.0885,0.8932,0.4425,1.1696,1.3782,0.1053,1.3996,2.2769,1.0679,1.1651,0.2846,0.1035,2.7427,0.3557,1.6639,1.1333,30.3954,0.3978,0.1855,0.0809,1.9482,1.2744,2.3793,37.5946,4.6294,16.1833,8.0987,1.0818,40.9944,10.668,9.2655,4.7623,1.7798,3.0087,13.6258,0.0
EST_C19,16.9451,1.6925,1.8729,1.9416,0.0136,2.2033,0.4497,2.5085,0.5999,2.0964,1.2311,0.0341,0.598,1.2668,0.0357,1.1468,0.1241,0.2815,0.3585,0.1864,0.0487,2.216,9.2366,1.5477,20.4921,8.0929,70.3946,12.8557,8.3439,4.7791,0.3364,0.3976,0.1702,0.2306,0.5298,0.5202,1.4119,2.0158,2.1293,4.7413,1.9309,1.1858,1.3777,0.8064,0.0
