V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T
BRA_F,86.6192,1.5664,643.7447,502.8906,41.2982,21.289,20.0313,7.8437,16.4841,7.0747,35.3999,12.0061,44.9607,9.1032,647.0691,21.0233,21.5635,4.3961,24.2875,93.3963,70.0674,8.8438,17.0274,1278.7956,19423.4031,445.2896,93.679,4.0122,7.8034,383.7697,60.7614,197.3483,65.5568,1244.3977,242.3262,427.9828,711.7901,307.9,879.9585,4163.695,541.4595,922.0694,37.694,96.8915,0.0
BRA_G,8438.1319,157.1795,1185.3354,1434.3225,111.5022,19103.5829,5165.8415,649.0072,2159.7474,11105.2138,7260.1394,1446.8132,2352.0525,1617.0339,1452.365,942.1132,3350.4099,1717.5743,2863.9767,6069.6705,896.5183,3391.1279,2447.126,631.2427,8963.2602,7145.3779,8066.5697,180.9115,757.6614,492.0825,132.187,6779.1507,734.2031,193.7188,450.6331,740.2023,549.6178,2197.9828,1734.0685,2133.2414,1678.1297,7788.1262,187.0258,1029.7622,0.0
BRA_H49,2428.124,59.8263,1454.5826,1007.2046,59.3939,8696.6989,1063.3336,295.4842,983.1869,2294.1098,3070.1483,564.9513,879.6596,822.3267,1571.9065,736.447,644.5116,547.579,841.6567,2057.3129,264.1151,782.4231,951.5256,122.5579,2204.6433,7302.457,6209.6576,88.7599,163.7859,687.4877,191.4675,1208.6295,206.7192,87.3463,136.2046,242.7392,122.0053,546.0701,378.2271,805.487,798.3955,685.9877,65.3571,480.9182,0.0
BRA_H50,107.9476,1.4835,779.9775,30.3018,2.1515,419.8081,41.8516,21.4127,187.9293,114.0691,177.3776,9.8317,34.5464,33.7306,89.2396,21.3493,41.7341,26.2738,60.1025,99.9935,30.2221,34.8895,38.7801,5.1986,97.6661,173.9888,103.2116,92.7272,5.939,8.9652,1.7343,55.3558,7.6743,4.2202,7.3255,22.5821,9.2581,23.3846,38.6276,12.7845,13.4549,65.3871,4.2759,24.7759,0.0
BRA_H51,122.8214,1.7079,363.0237,27.1294,6.3175,323.7056,68.0763,12.7178,48.6962,152.5434,213.3911,33.6218,46.4448,44.201,71.9159,31.0208,86.7873,54.484,74.5409,136.1084,28.7155,59.2802,119.582,12.4798,319.3439,592.4357,89.2664,14.1092,9.3916,82.8833,33.7584,81.5926,33.8275,30.3778,104.5896,354.8474,14.2339,305.7454,87.3252,170.3003,391.7759,97.1177,15.5515,1062.1515,0.0
BRA_H52,504.0961,22.5079,733.0792,502.9806,23.5137,2668.359,177.9306,57.4377,310.5862,494.5646,758.5333,118.3914,132.6854,128.8845,647.4778,217.7585,183.9235,214.3026,161.7389,963.556,111.8064,188.9424,114.2166,17.5756,473.7541,2052.8807,1380.8719,365.6635,677.0294,490.4999,41.1014,243.8563,32.7659,26.8577,19.6442,45.3341,25.5081,113.7016,80.5743,282.3839,61.2598,133.0353,9.5269,168.0647,0.0
BRA_H53,0.5359,0.1541,12.5924,4.0157,3.1216,137.6388,103.397,7.0879,77.5331,11.0012,154.2555,39.9639,25.545,35.8825,14.0994,34.8752,56.3654,29.62,21.9231,110.2714,43.1098,53.5996,197.466,4.6054,133.0297,1485.8677,56.0487,3.0745,3.0541,198.9863,323.7671,79.6237,30.3318,145.7467,41.8878,1374.3841,55.4107,249.5893,284.152,621.9257,219.6622,165.8635,17.0048,136.5644,0.0
BRA_I,2.7122,0.7044,145.4575,29.6169,15.7157,216.491,24.3018,6.261,28.938,10.4166,137.4341,125.9465,27.9729,19.9249,86.3877,51.5557,31.4037,30.4994,94.7397,180.3598,48.0128,74.8349,129.4997,6.6358,275.7239,1001.7223,54.3974,2.6991,283.0541,48.8197,13.2441,188.4034,227.1035,45.1808,111.3858,1001.166,25.7673,662.6556,453.4981,3264.0501,745.2172,2348.3143,43.788,3577.4583,0.0
BRA_J58T60,25.5063,0.5666,22.8873,32.299,1.2619,91.1598,18.3945,7.3425,5.3698,47.2237,71.7075,14.3214,31.3812,59.4761,24.6361,10.365,10.9502,12.8722,9.8917,27.6799,3.0977,62.2415,103.2626,10.616,123.1649,1148.5498,15.1665,129.576,331.5648,300.5132,25.2483,671.9895,722.0852,697.9777,4.6644,224.8491,45.826,6207.0011,36.9942,101.2154,563.6402,1198.1993,26.0288,300.3184,0.0
BRA_J61,3.3991,0.7623,202.7162,40.1014,12.9043,787.1307,269.9929,22.8639,197.236,45.0132,183.0624,66.4849,87.7461,122.7267,78.2975,115.7109,205.5889,128.0978,122.2315,731.2979,61.3272,149.9164,118.5726,43.9908,330.9407,1987.4031,233.3176,7.6793,18.1201,148.4532,55.0121,219.7321,113.7427,5770.2624,378.1143,2262.8217,110.0667,1592.8957,574.1387,1411.2589,618.2858,376.3101,62.2292,362.7004,0.0
