V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T
TUN_A01_02,172.723,8.6902,0.0,2.3793,0.0335,1824.1864,29.2949,20.6251,7.9427,0.4425,8.2003,3.2655,2.8699,0.0698,0.0047,0.0214,0.0157,0.0085,0.0151,0.0126,0.0172,9.8715,0.0,0.0,0.8004,120.9698,0.0001,0.0,0.0,0.0,0.0,80.5035,0.4986,0.0,1.8937,0.0,1.8848,6.6941,4.6704,26.8519,0.3988,1.0671,1.6556,2.9357,0.0
TUN_A03,22.7444,54.9213,0.0,0.3058,0.0001,291.0589,4.0054,0.699,0.5162,0.09,1.2968,1.024,0.3719,0.0056,0.0009,0.0031,0.0022,0.0025,0.0025,0.0019,0.0021,1.0036,0.0,0.0,0.1014,9.9304,0.0,0.0,0.0,0.0,0.0,66.8294,0.8432,0.0,0.5112,0.0,0.5125,1.9055,1.2368,7.2699,0.1652,0.4859,0.8435,1.2964,0.0
TUN_B05_06,1.7872,0.3005,122.025,34.1377,4.4869,54.746,23.6643,3.4722,11.3982,372.8535,37.0961,1.1259,4.8826,12.4089,13.0928,8.225,4.9501,3.3402,5.0251,4.2334,4.454,4.8258,269.1959,4.3974,16.1912,13.0533,0.2518,0.0362,0.0442,0.0781,6.4068,50.4911,2.7281,30.0437,2.4694,30.7189,2.7506,7.0234,5.0686,7.0037,0.1419,0.197,0.1726,0.5004,0.0
TUN_B07_08,0.0,0.0,0.8253,17.3164,2.655,5.4525,2.6995,0.0065,0.0372,16.3565,211.3597,17.1782,0.0151,38.3189,0.2861,0.2208,0.0939,0.1445,0.1273,0.0777,0.0527,0.0199,0.0,0.0,87.0996,0.1314,0.0147,0.0011,0.0017,0.007,0.0,2.1496,0.0009,0.0,0.001,0.0073,0.001,0.0037,0.0015,0.0,0.0,0.0,0.0,0.0,0.0
TUN_B09,1.276,0.4304,139.2256,10.8929,28.7643,1.2433,0.133,0.027,0.3707,11.3259,1.8595,0.0954,0.0838,6.5168,4.1989,0.8909,0.0247,0.0461,0.2269,0.0127,0.0219,0.0403,2.7034,0.3508,15.1668,0.1082,0.7706,0.0331,0.0443,0.2546,0.0024,0.1061,0.0002,0.0,0.0012,0.0004,0.2461,0.2377,0.1018,0.7442,0.0004,0.0032,0.0044,0.0044,0.0
TUN_C10T12,292.4147,27.2396,0.7989,0.9791,0.3343,556.7052,1.2633,0.1025,0.1292,1.077,28.0491,10.0437,0.1156,1.5637,0.3509,0.3844,0.2832,0.2288,0.3104,0.2522,0.1144,0.1565,0.2905,3.6724,6.6631,37.8476,3.9988,0.5588,1.343,0.4417,0.4096,491.098,0.3082,0.4762,4.4844,2.8727,4.6088,14.0286,8.6565,32.9817,0.5857,1.5938,1.2641,1.5314,0.0
TUN_C13T15,0.174,0.0657,5.3334,1.4887,0.1741,6.2937,911.4101,0.6295,2.8032,0.3887,0.227,0.0936,2.4942,1.1602,0.0259,0.1064,0.1443,0.075,0.1025,0.2212,0.065,8.0616,0.196,3.8389,3.0916,9.9632,1.2964,0.2988,0.4638,0.6881,1.1929,1.1902,1.4423,1.0404,4.5066,0.0279,3.4623,13.0758,11.5831,46.1309,0.6265,2.0669,2.5384,4.5441,0.0
TUN_C16,0.6183,0.0707,1.0204,0.8909,0.1775,13.3449,8.8612,92.4644,14.6202,0.0,1.274,0.236,5.1399,2.8783,0.8541,4.2803,2.5568,1.602,2.5784,1.8,1.8666,53.0471,0.0381,0.6934,115.5646,2.4647,0.3862,0.0788,0.0596,0.3764,0.0748,0.3441,0.7641,0.0967,0.6543,0.6412,1.3736,1.8462,1.659,3.1575,0.0678,0.0769,0.3001,0.4877,0.0
TUN_C17_18,0.4192,0.0801,0.8931,0.7707,0.2217,54.0588,24.3361,7.1107,114.4051,0.0,4.0058,2.3229,3.9465,2.9897,0.8446,3.4376,4.8476,3.2617,2.9411,1.6674,0.8602,5.9882,0.0357,1.6517,5.0479,13.4113,0.8676,0.1011,0.2171,0.7003,0.935,1.3492,45.3154,1.3548,3.1737,9.3919,1.7096,11.9759,3.9605,12.7262,0.3327,0.3508,0.9322,0.739,0.0
TUN_C19,35.6822,7.2456,8.574,11.4034,3.5607,19.1896,12.306,1.3868,1.7218,0.0001,9.7507,1.141,1.5246,20.2988,4.3778,4.5025,3.106,2.6538,3.4784,1.7217,0.916,1.6489,3.9577,2.7426,42.312,11.1451,54.2145,7.4786,18.1074,5.8143,3.4351,2.8284,0.6234,2.6789,1.0692,0.3322,1.781,3.2651,4.3502,11.5556,0.0994,0.2801,0.3756,0.3145,0.0
TUN_C20,47.813,0.9306,4.9892,4.5009,1.7513,50.9353,69.9738,8.2652,17.468,0.0,209.4513,31.1831,48.2264,3.7022,4.8287,11.2087,13.4508,10.8458,5.4503,7.2328,2.9122,11.0862,0.0723,3.2466,11.8396,1.4248,0.2287,0.0346,0.055,0.1401,0.0442,1.012,2.2939,0.0532,2.63,0.6419,5.2363,12.9939,8.3785,5.5272,0.1564,0.6167,0.2973,0.8537,0.0
TUN_C21,13.3451,1.0329,0.3819,0.5959,0.0152,15.6748,6.2463,0.7244,2.5088,0.0,28.4504,191.0135,1.7654,0.3272,0.5127,1.0697,2.1336,0.8843,0.954,0.7614,0.5881,2.1074,0.0066,0.3297,1.0042,0.2572,0.0485,0.0201,0.0192,0.037,0.0186,0.2233,0.39,0.0211,0.9019,0.2198,0.776,5.7989,1.3298,3.5342,0.0579,0.8092,0.0228,0.1266,0.0
TUN_C22,0.3952,0.0462,0.781,0.9129,0.5355,34.0773,21.1583,3.4321,6.6579,0.0,3.6075,1.4807,26.1531,2.395,0.7419,3.7531,6.6464,6.6284,6.1749,7.4473,1.2076,9.2378,0.0161,1.2632,35.3317,4.4819,0.8744,0.0452,0.0677,0.2133,0.1886,0.4531,2.4052,0.2053,0.4187,0.7622,0.6494,1.528,1.0422,2.394,0.0359,0.1253,0.0953,0.1732,0.0
TUN_C23,0.1142,0.0089,2.2679,2.4265,1.3129,16.1768,1.9814,0.8586,0.519,0.1162,3.7845,1.6916,1.1601,144.0125,1.76,2.9326,3.9668,2.7604,2.0931,2.4038,0.7717,1.0176,0.2048,0.5876,654.4841,0.9833,0.1892,0.0141,0.0285,0.1271,0.0585,24.1007,0.1003,0.2846,0.2432,0.1392,0.4792,0.5708,0.3363,1.6082,0.0297,0.0737,0.0798,0.1073,0.0
TUN_C24,0.0787,0.017,0.1777,0.2392,0.7008,8.1727,3.8899,0.4675,1.1028,0.0,1.5398,0.2303,1.8018,3.0355,37.1315,68.7528,15.2507,27.4303,25.3794,22.1795,7.3992,5.1436,1.8143,0.0134,50.1045,0.3862,1.0096,0.2778,0.1812,0.535,0.17,0.3267,0.1836,0.3623,0.5327,0.0796,1.1979,2.8336,0.7496,0.7614,0.0083,0.027,0.0275,0.0943,0.0
