V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T
BLR_A01_02,1470.6438,1.1504,0.8577,0.4915,0.3929,2693.5894,45.0015,93.6725,16.1469,1.418,41.6629,6.1164,13.191,2.5643,2.3747,1.2578,1.1705,1.0771,2.4867,1.5566,0.4006,6.8198,4.9891,1.1489,17.7997,23.34,4.072,5.3967,3.4396,1.5134,0.2103,76.3001,1.6011,2.197,1.2195,1.9845,1.5594,3.6894,3.6978,12.6864,4.9883,8.6995,3.2782,5.2695,0
BLR_A03,0.6984,1.5968,0.0103,0.0057,0.0049,25.715,0.0854,0.0333,0.0264,0.0183,0.141,0.0261,0.0234,0.0237,0.0252,0.013,0.0154,0.0138,0.0313,0.0158,0.0044,0.0617,0.0252,0.0077,0.1019,0.1906,0.0417,0.1046,0.0487,0.012,0.0018,2.5863,0.0236,0.0245,0.0159,0.015,0.008,0.0352,0.0204,0.1021,0.0473,0.0845,0.0344,0.0428,0
BLR_B05_06,1.5543,0.0124,2.7337,0.5312,0.4839,3.3626,0.5358,0.2744,0.8499,108.9583,15.4867,0.1899,0.4882,4.3162,7.2061,0.3317,0.1389,0.1511,0.421,0.1626,0.0673,0.2497,44.4287,0.1871,2.6772,0.8805,0.9634,0.4353,0.2706,0.1902,0.0281,0.4093,0.0596,0.1028,0.0358,0.0886,0.1369,0.2359,0.1377,0.4999,0.2514,0.2852,0.1351,0.278,0
BLR_B07_08,2.5793,0.0205,0.3176,2.7842,0.4659,1.8662,0.2503,0.1668,0.7105,0.9821,17.1087,0.1992,0.3062,40.5614,15.1441,0.4882,0.1415,0.2496,0.3672,0.1336,0.0436,0.8947,1.987,0.2584,36.653,0.3873,0.3035,0.0771,0.0514,0.1026,0.0055,0.0994,0.0247,0.0402,0.0187,0.0242,0.137,0.1221,0.0776,0.4509,0.0661,0.0746,0.0497,0.1092,0
BLR_B09,1.5633,0.043,11.6877,3.8138,5.7248,0.906,0.0783,0.0876,0.8119,18.5206,2.9392,0.0461,0.2162,5.9382,9.1765,0.4593,0.0233,0.0473,0.2964,0.0244,0.0223,0.0835,6.792,0.1986,14.8674,0.1841,0.6393,0.2057,0.1492,0.1249,0.0029,0.046,0.0112,0.014,0.0085,0.0126,0.1359,0.3862,0.1002,0.307,0.0179,0.075,0.0269,0.0545,0
BLR_C10T12,730.0736,6.6344,0.3045,0.3181,0.1228,1446.7178,17.962,1.9748,5.5883,1.0673,77.5178,10.3354,3.2871,2.2438,2.4138,1.3515,1.3545,1.3781,3.1598,1.3131,0.3648,3.847,2.6776,1.1997,7.7255,29.4359,3.4206,14.6981,5.7654,1.8269,0.1633,384.406,2.7984,2.3443,1.5176,2.4191,1.0958,4.728,3.2568,20.5066,14.0056,27.6415,8.7518,10.3934,0
BLR_C13T15,11.5799,0.7356,0.6721,0.3346,0.2338,14.6029,707.3882,3.8482,8.076,0.64,8.0578,1.8746,11.2879,3.4252,2.8375,2.5535,2.3274,2.2582,5.582,9.5512,1.4212,30.6139,2.2057,1.7448,14.4742,16.5343,3.5499,4.4986,3.1471,1.2328,0.4466,6.1353,2.0515,1.9517,1.0216,1.5193,0.5776,4.5086,3.4031,18.128,3.2171,11.9727,4.1896,14.4743,0
BLR_C16,3.2824,0.0424,0.068,0.0905,0.0252,3.792,1.3392,51.4452,4.0607,0.1102,1.9853,0.2281,1.1481,1.5547,0.8443,0.9351,0.4245,0.6464,1.2083,1.3335,0.4716,19.3007,0.9912,0.219,27.3067,2.1258,0.5122,0.4194,0.2904,0.2365,0.0237,0.4103,0.2822,0.2389,0.1229,0.1872,0.4571,0.5361,0.2859,0.5854,0.2812,0.6929,0.2506,1.0074,0
BLR_C17_18,20.5659,0.3901,0.3728,0.5257,0.1388,168.6487,22.4187,18.2257,451.6116,0.7241,46.0978,13.959,21.8414,19.0278,5.3284,5.3728,7.7367,10.172,10.8641,5.3962,1.0317,21.2056,3.9436,2.4753,13.5126,48.7652,5.2714,3.512,3.0115,3.5228,2.0242,9.6439,82.5438,9.535,7.9833,18.6559,2.4806,32.071,11.1665,32.3446,21.5926,13.4451,8.9164,18.0612,0
BLR_C19,80.1829,2.3705,2.8185,3.7756,1.5931,29.9298,9.9233,7.7584,5.998,55.4933,68.4928,2.91,8.3506,20.2743,20.744,3.8766,3.2876,3.7335,5.8438,4.2348,1.0811,7.5699,23.6717,4.0124,39.582,26.3062,98.8218,107.5481,108.3561,5.1417,1.2907,5.1634,1.8856,3.6289,1.5883,3.4229,1.4018,6.0513,4.3479,15.3551,3.4491,6.6301,2.1955,7.1134,0
