V1,CIV_A01_02,CIV_A03,CIV_B05_06,CIV_B07_08,CIV_B09,CIV_C10T12,CIV_C13T15,CIV_C16,CIV_C17_18,CIV_C19,CIV_C20,CIV_C21,CIV_C22,CIV_C23,CIV_C24,CIV_C25,CIV_C26,CIV_C27,CIV_C28,CIV_C29,CIV_C30,CIV_C31T33,CIV_D,CIV_E,CIV_F,CIV_G,CIV_H49,CIV_H50,CIV_H51,CIV_H52,CIV_H53,CIV_I,CIV_J58T60,CIV_J61,CIV_J62_63,CIV_K,CIV_L,CIV_M,CIV_N,CIV_O,CIV_P,CIV_Q,CIV_R,CIV_S,CIV_T
CIV_A01_02,489.0724,0.1665,0.0,0.0,0.0,1267.7461,0.5235,4.2406,0.8683,0.0,9.1307,3.0873,21.3961,0.0008,0.5754,2.2628,0.0,0.0,0.0,0.0,0.0,0.9621,0.0,0.0,0.4373,0.0,0.0,0.0,0.0,0.0,0.0,264.369,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0512,0.0,1.1492,0.0,0.0824,0.0
CIV_A03,0.1355,6.428,0.0,0.0,0.0,30.8938,0.0,0.0,0.0,0.0,0.0754,0.0387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_B05_06,0.0058,0.0,0.1411,0.8826,0.0489,1.0579,0.0,0.0,0.0,289.4982,0.1138,0.0026,0.0,1.3294,1.3343,1.961,0.0,0.0809,0.0,0.0,0.0,0.4723,0.1692,0.0,0.3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2358,0.0,0.0,0.0
CIV_B07_08,0.3813,0.0,3.2549,68.0611,2.2826,28.5227,0.0,0.0,0.0,0.0,5.4167,0.6668,0.0,50.6514,304.174,323.0198,0.0,9.6071,0.0,0.0,0.0,56.125,0.644,0.0,50.9923,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5211,0.0,0.0,0.0
CIV_B09,0.0327,0.0,2.235,8.4128,1.0925,2.6968,0.0,0.0,0.0,53.352,0.2919,0.0089,0.0,1.6827,7.7527,14.6185,0.0,0.0942,0.0,0.0,0.0,0.0,0.0782,0.0,1.7584,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977,0.0,0.0,0.0
CIV_C10T12,45.6095,2.483,0.0048,0.0185,0.0063,624.4405,0.5665,0.0662,3.3192,0.023,40.294,8.8011,0.9958,0.2178,0.0701,0.269,0.0305,0.003,0.0047,0.0001,0.0001,0.074,0.1486,0.005,0.6619,1.6209,0.8842,0.0715,0.1117,0.6009,0.1704,935.4457,0.0104,0.0075,0.0084,0.0155,0.0021,0.0086,0.0031,11.7722,3.1662,0.7504,0.0003,0.0536,0.0
CIV_C13T15,5.2469,0.5417,0.0,0.0004,0.0,0.6678,27.8884,0.0057,2.5542,0.0036,0.1105,0.0288,0.5092,17.5789,0.0007,0.0053,0.0,0.0005,0.0,0.0,0.0,8.7095,0.0061,0.0,0.106,0.3548,0.1412,0.0113,0.0176,0.0951,0.0271,0.0008,0.0004,0.0003,0.0003,0.0,0.0,0.0005,0.0002,0.5535,0.0,0.0461,0.0,30.9245,0.0
CIV_C16,0.9562,0.0001,0.0353,0.1227,0.0464,20.4942,0.1903,20.4844,0.1635,0.0026,0.4903,0.0649,0.1635,0.012,0.0728,0.3717,0.2311,0.0003,0.0359,0.0008,0.0007,30.4751,0.8395,0.0033,0.5945,0.3439,0.0249,0.0068,0.0131,0.0554,0.011,0.8542,0.059,0.0417,0.0488,0.1176,0.0139,0.0318,0.0152,0.0905,0.0471,0.0406,0.0016,0.2211,0.0
CIV_C17_18,6.1997,0.0341,0.0709,0.6403,0.0405,17.9267,0.3171,0.1229,34.6606,2.0976,5.6052,1.9356,0.6356,1.078,0.0489,0.3114,0.1987,0.0433,1.1131,0.6125,1.7223,0.1894,0.6686,0.0949,2.393,94.6467,0.3393,0.081,0.1683,0.7653,0.3575,26.3952,0.9237,0.251,0.231,3.3534,0.3906,0.9549,0.6952,7.3775,10.1465,6.1057,0.0485,0.0932,0.0
CIV_C19,81.8813,9.4658,1.2929,12.0736,0.5733,87.4714,0.3573,6.8807,1.2643,86.5178,10.4512,0.7164,4.5155,1.6536,4.4834,9.7086,1.1159,0.0237,1.0687,0.5668,1.6068,4.6236,2.6943,7.6609,46.5767,59.8373,250.1384,80.192,162.7128,72.079,31.3731,45.9949,0.1238,0.1974,0.1414,2.4372,3.0723,0.3821,7.4451,16.0902,1.4756,1.274,0.0234,1.0064,0.0
