V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T
CHE_C25,37.0352,0.0005,17.806,2.1958,0.13,129.7648,8.9949,98.0866,25.1182,5.0135,42.7352,39.8632,48.192,40.7254,139.8746,1671.2693,1256.7819,860.8744,1710.9351,150.245,266.2986,466.1705,65.0348,55.2884,1893.5666,551.5345,64.3812,71.0453,13.8728,168.1555,8.9979,57.0971,12.4009,13.6476,8.899,15.1,44.0799,149.39,46.4699,167.7938,15.155,28.4632,4.0708,29.5353,0.0
CHE_C26,10.956,0.0085,3.0924,0.3921,0.023,46.5297,7.033,25.3517,10.3874,6.8853,49.8921,119.4774,13.0548,7.2396,31.4382,170.0693,7756.6599,1702.2695,751.1949,22.5762,94.8061,360.5535,195.6565,24.3283,282.4337,2980.2505,93.825,124.612,36.0045,52.2323,34.3592,13.9771,39.0125,709.7928,462.5855,152.252,8.0094,932.7337,191.0055,598.487,48.1503,92.7307,90.656,123.4785,0.0
CHE_C27,28.9603,0.0023,4.5662,0.4073,0.0163,22.3334,0.9992,4.311,3.5563,3.1404,21.5831,26.2247,2.9076,1.9498,48.9241,34.2809,1386.6551,1106.3604,504.7727,33.6223,27.6949,170.6549,549.4343,6.9615,1000.5068,429.0809,105.7983,78.6542,18.5867,58.1944,7.5848,4.1089,0.7507,27.7859,13.3841,7.0455,9.5225,64.3824,13.3005,53.1467,2.6151,13.0374,4.8914,36.3815,0.0
CHE_C28,32.9086,0.0046,9.1224,1.187,0.0581,38.3901,2.4999,13.5295,12.8578,2.1479,15.0463,44.5159,6.6703,9.4139,14.3378,25.9035,543.401,126.0296,1189.7569,15.1902,22.3287,72.8731,14.2223,13.6404,207.3642,288.6167,16.3605,23.7245,5.6407,9.1063,1.917,9.1787,1.6294,5.0909,4.3664,5.7899,19.9186,30.9999,7.9092,32.4717,2.0479,20.0404,3.5432,5.762,0.0
CHE_C29,0.0093,0.0,0.0796,0.0131,0.0005,1.4801,0.2308,1.447,0.4729,0.0911,0.5718,1.876,0.0883,0.1087,0.2191,4.2552,1.4431,12.3049,56.4735,12.1492,1.1228,5.1374,0.2835,10.5626,0.11,80.3399,25.9925,3.8138,2.4509,12.9319,0.1101,0.0597,0.0078,0.0215,0.0088,0.008,0.0011,20.092,0.9832,2.3935,0.0834,0.0285,0.5365,0.0127,0.0
CHE_C30,0.0141,0.0,0.6708,0.034,0.0024,0.2943,0.0651,0.2439,0.1013,0.0635,0.4381,1.5051,0.002,0.0575,0.1704,0.1927,40.6422,0.7274,0.0615,2.8772,196.8813,47.1714,0.4034,5.6193,0.4207,13.7083,71.765,42.2352,84.8026,0.5687,0.0091,0.023,0.0006,0.0,0.0149,0.0,0.0046,18.8668,11.9621,209.7774,0.2307,0.6439,5.0662,0.7184,0.0
CHE_C31T33,74.975,0.004,25.3937,2.4865,0.1411,60.6853,6.573,43.5794,59.3825,2.6289,20.1583,113.0984,20.3118,20.9932,216.3711,94.9542,984.2915,351.8517,260.0453,5.3376,265.4524,258.0736,629.9348,28.6351,137.4356,351.4534,173.1856,193.561,76.3496,12.6664,1.4052,14.4311,11.4842,92.3716,2.3329,12.1219,59.3605,197.0212,21.6743,213.3599,4.1184,234.4684,19.6294,9.0598,0.0
CHE_D,233.079,0.0002,59.9343,10.0172,0.189,666.6536,57.5939,201.983,352.9151,90.5524,741.2576,442.1786,98.0492,390.2904,1546.7793,655.3287,457.1815,583.3515,379.0332,25.1315,118.4888,205.2318,11136.5342,153.7986,352.9196,2042.715,461.0418,199.5462,72.5115,203.2762,76.8921,414.3852,76.1407,316.179,207.9375,896.0122,337.3216,1396.3257,377.0244,1507.4813,258.0606,829.3138,441.9464,329.4407,0.0
CHE_E,36.8237,0.0,25.0122,2.3052,0.0954,119.0914,6.7118,10.3874,42.7824,4.7722,35.971,79.117,9.7131,13.2278,292.7747,17.2938,51.779,32.6517,30.9633,1.4548,4.5487,31.1605,417.0753,421.3814,46.378,181.3535,31.7782,31.942,7.6943,18.6952,5.3724,61.7592,6.6735,13.8383,33.7197,73.2332,25.4682,191.5396,75.2286,490.9566,35.4228,104.8846,141.4098,67.2531,0.0
CHE_F,139.016,0.0025,32.8162,3.9493,0.1804,67.7033,10.7231,58.3392,29.4052,4.5607,24.6458,76.7639,14.3959,107.1544,135.3588,58.865,203.7052,51.3962,121.0839,3.596,33.9242,61.7794,1240.347,93.0183,10658.6965,554.2765,218.6845,118.7554,44.7174,387.7924,49.9487,427.0905,59.4537,145.8946,122.2804,925.8962,4653.7439,655.8113,302.8829,1484.3855,153.0818,374.1031,130.3291,185.2646,0.0
CHE_G,1398.6926,1.8811,146.8261,17.7017,0.7899,4806.7095,416.4727,541.1275,582.3599,301.2317,2146.3895,8495.4975,777.9493,596.563,1381.0626,1523.2869,7240.9985,2606.5586,2761.9952,214.4151,340.3974,1182.5408,2000.0193,247.9755,4997.3778,33254.0034,2082.6638,2649.6872,790.2999,2184.335,541.204,2413.6742,360.6104,499.8554,587.2934,475.749,91.5048,2090.8607,833.3983,3258.8016,250.177,3544.4779,375.1359,518.8998,0.0
CHE_H49,130.8247,0.4068,29.0745,4.2891,0.1307,605.5808,35.4213,149.0229,94.6895,56.7447,301.6215,808.7752,120.8261,190.5683,355.8184,152.9995,663.1644,243.5898,309.0017,23.2899,45.8653,177.7652,378.3092,36.5729,812.0627,5144.0823,797.8451,381.1098,107.1979,807.2853,20.3198,186.8722,126.9777,36.8789,76.1278,134.5381,10.4025,460.5347,187.2037,521.8274,292.717,247.0791,57.942,94.3231,0.0
CHE_H50,36.8427,0.1777,11.3885,2.3111,0.0807,145.9079,19.2335,55.6136,46.1408,23.8543,111.8055,205.3519,45.5049,78.8166,181.3827,60.7281,322.4244,107.7869,132.0336,9.3621,26.0206,65.7639,106.6165,15.3641,154.8596,4119.0704,646.334,4849.2201,182.0648,795.6994,12.2187,38.5599,41.8958,13.9338,34.8481,53.6183,3.6961,144.9804,106.0968,179.3872,60.0751,45.293,30.0729,38.2082,0.0
CHE_H51,21.2004,0.2051,3.9622,0.5541,0.0264,96.0271,14.3482,19.0456,15.6045,10.5698,54.8332,151.8258,19.1398,21.8541,52.4583,29.7005,144.9756,49.4806,63.5368,5.3897,11.2006,36.5038,59.9936,7.1575,118.1942,513.4034,111.0934,136.6115,207.9363,114.5129,4.3549,34.9987,21.1027,8.1484,25.5211,54.1177,2.225,111.0356,58.9371,135.4674,51.1187,47.8916,18.4177,17.8282,0.0
CHE_H52,22.7822,0.048,19.0114,2.1457,0.056,215.639,6.9027,19.4357,23.114,9.8857,55.2602,176.6366,18.3665,49.1733,57.3457,27.5481,147.6773,47.3487,147.8116,8.054,10.859,83.4137,78.4671,16.1582,148.6792,3267.66,1428.2942,2955.5547,781.5841,2032.8808,327.4694,34.8884,25.5917,16.3258,14.2291,7.9716,2.4893,153.4035,56.5826,68.2937,3.746,43.8716,5.4272,8.333,0.0
CHE_H53,0.5875,0.0005,20.6793,2.3314,0.1386,24.3314,1.7751,5.7574,3.2609,0.4794,4.3795,7.9595,3.4513,6.8452,7.0181,14.3704,26.0863,13.0807,138.584,0.438,5.5688,106.9102,175.8178,9.898,36.7581,731.3165,58.3876,66.4285,18.5974,63.4027,22.6167,19.9103,32.1574,238.5155,94.7986,359.8004,7.4138,332.5474,134.2479,212.7354,2.1855,50.66,36.1802,19.5513,0.0
CHE_I,2.3361,0.0029,5.6617,0.5036,0.06,67.2622,3.3927,9.9761,9.7726,2.5675,18.5579,90.9534,7.1619,14.9363,6.3201,8.3789,322.8662,67.6553,53.9813,8.7026,8.6877,68.1581,77.9758,20.8977,180.4207,570.7586,99.0355,78.1965,86.493,77.8811,2.892,190.3454,41.2823,29.3356,64.3648,292.3344,12.0528,106.3891,82.3614,157.0602,6.4696,27.9246,81.914,114.2914,0.0
CHE_J58T60,0.0398,0.0,0.927,0.0796,0.0035,9.6945,0.2926,0.4438,6.6731,0.1854,1.5492,10.3301,0.0986,0.3738,2.4872,1.9386,12.6614,2.8651,4.2692,0.4752,1.1656,8.196,15.6889,1.8516,5.7086,144.1306,5.5128,4.9783,2.6723,14.2836,4.7025,2.3051,114.1182,8.3184,58.4222,87.6004,11.4301,352.6235,133.0833,148.4429,68.7053,49.8141,59.2965,45.3971,0.0
CHE_J61,74.0463,0.0009,2.7137,0.3386,0.0228,56.1178,5.5775,9.5136,13.843,1.8479,15.2677,60.2977,4.3164,11.3482,16.1651,36.4376,166.1324,40.5334,70.3833,5.6314,7.0127,69.1428,199.4749,15.8386,97.2043,521.6644,126.6189,94.4802,31.532,79.4843,159.4042,54.6451,156.969,3083.7972,344.5402,901.7104,140.911,1227.9131,611.9571,459.2376,10.1255,104.7344,133.7569,71.4907,0.0
CHE_J62_63,2.8235,0.0026,3.1592,0.4169,0.0165,45.1788,5.3925,9.5793,14.9796,1.708,13.6999,69.5764,2.0016,7.3506,35.1941,22.6902,199.6157,73.868,78.5876,4.6178,40.4639,46.7719,16.9702,6.6964,14.2807,450.707,168.4976,166.9094,94.4029,103.2364,55.9732,11.339,45.006,198.3365,4220.792,721.1212,29.2757,682.9584,195.9225,251.467,55.2566,103.4404,26.38,19.1541,0.0
CHE_K,110.5684,0.051,14.0085,1.85,0.0604,591.3277,78.5522,250.8363,108.6542,34.9521,207.8781,622.852,116.9062,125.2523,308.9722,572.9647,950.4245,695.6481,451.5369,27.767,183.998,193.9695,614.2718,89.7201,1163.0004,2361.4326,650.7562,670.3959,208.4517,583.5619,167.9057,515.1318,230.1151,255.1308,685.7923,24371.7071,3379.8528,2661.0228,1050.6914,2214.5922,246.052,605.3913,207.2876,912.2349,0.0
CHE_L,16.2123,0.0,1.4976,0.3488,0.0206,96.405,1.8337,5.6559,10.5944,2.615,25.0441,35.6693,3.3408,16.4725,30.2615,10.4982,186.2182,13.3771,92.4407,2.3288,5.0501,60.012,32.5451,8.1537,253.3419,1683.0136,51.1194,34.882,13.8466,126.8988,22.1008,281.0225,58.5745,273.2972,93.5502,1139.211,1128.3477,1070.647,438.235,595.1308,30.0207,218.1766,63.429,99.6228,0.0
CHE_M,100.5556,0.0011,57.2321,9.9311,0.7618,1383.1362,35.9409,70.755,146.591,30.9624,298.6119,1985.9853,125.5356,151.0639,433.5379,240.5832,1016.9759,466.1425,1476.6896,82.0571,192.7838,761.6671,4156.5057,365.2081,4327.5808,5718.6367,906.0377,1031.4987,257.3092,849.9933,100.5544,490.5698,614.7184,408.7191,1059.3011,7575.8658,3312.7835,19560.131,2872.3917,2463.909,128.1635,611.6606,427.6205,476.4333,0.0
CHE_N,27.4865,0.0,26.5185,3.8152,0.1982,666.8079,17.5155,28.6499,49.698,8.8391,73.3032,489.476,47.479,52.2244,214.6145,90.7151,360.9503,153.1771,523.1148,26.286,102.4434,294.7129,1215.7459,139.0453,1145.7638,1679.4382,520.466,760.526,291.1845,474.8675,60.5628,239.9354,155.7391,134.0173,345.645,2160.2036,1138.733,3918.525,2692.2825,1037.3506,82.0895,371.7105,205.4537,166.5501,0.0
CHE_O,463.2513,0.0928,66.077,5.8839,0.2663,579.9224,21.8875,161.9763,229.5323,15.3002,114.2523,357.7906,7.3073,44.5956,793.0871,105.0159,249.8885,167.0843,196.6494,9.3084,27.4075,148.7125,1296.2977,1059.7832,434.9159,1014.5283,824.4806,713.3756,220.5108,173.4905,34.0019,184.7731,75.048,94.8855,422.887,647.0031,737.0191,2736.708,976.3089,4116.3035,200.2499,2331.0097,401.8633,407.4093,0.0
CHE_P,8.6773,0.0,0.5767,0.053,0.0025,15.9164,1.122,0.7364,1.4257,0.2444,1.4932,16.3932,0.219,0.8215,3.0269,5.5086,14.5205,6.7751,9.706,0.4964,3.2846,2.371,22.9629,9.3813,10.0754,47.6623,15.1256,17.6436,10.1918,2.0609,3.908,1.8074,2.2251,15.4159,88.6897,97.4786,35.6814,209.8262,10.5317,176.46,326.9991,16.5393,9.8433,17.3143,0.0
CHE_Q,3.6165,0.0048,1.6041,0.1363,0.013,24.6848,1.57,3.1931,117.8098,0.5658,3.9287,17.8695,1.1683,2.4529,3.3035,12.1924,27.828,45.107,14.2794,1.2603,3.4186,17.9595,8.5169,3.6254,26.1893,46.8216,75.4521,63.4841,21.1334,10.1792,1.7325,13.9396,9.2795,12.6689,13.2802,23.354,10.9838,144.627,23.7155,1718.6505,62.5259,2634.8451,66.8146,12.3702,0.0
CHE_R,0.6409,0.0,1.7706,0.1835,0.0195,13.4545,0.8267,0.0067,16.3363,1.0985,9.9486,103.5502,2.9386,0.4364,0.1387,0.9585,6.7085,0.0681,4.6982,3.8714,2.6553,14.0643,46.5579,7.3963,1.1036,80.6235,1.5054,4.1152,0.5649,1.8165,3.5628,45.211,225.5464,20.3924,0.9469,238.0526,1.2796,69.043,14.0536,1390.382,54.5916,21.7159,2478.652,363.9757,0.0
CHE_S,2.4488,0.0,3.6983,0.5006,0.0266,93.0167,1.102,0.3381,7.5073,1.2714,9.1104,35.8553,0.8202,7.6457,44.6753,10.8278,181.3343,19.2138,39.8615,3.0313,7.4683,79.0044,209.7243,20.6826,88.886,650.3848,44.7478,52.0634,14.0088,139.2034,2.5851,54.3696,42.4267,14.5979,113.9692,351.0261,14.5818,847.4828,363.0307,275.613,34.1058,273.1478,115.4958,182.2284,0.0
CHE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
