V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T
CHE_A01_02,1176.3115,0.0,2.8493,0.2306,0.017,5048.3228,0.5737,107.165,7.5815,3.9767,49.4938,58.4487,17.895,1.2784,1.4446,2.0014,10.1012,2.2658,3.5647,0.4749,0.5513,11.8965,2.8273,1.8173,27.7062,286.6892,18.2701,39.4688,5.2261,3.3306,0.4752,256.3535,1.195,1.6271,3.0537,8.2569,6.8779,45.3248,49.3303,217.0188,6.1828,67.6753,10.8418,28.3622,0.0
CHE_A03,0.0,2.3364,0.0002,0.0,0.0,0.4318,0.0,0.0001,0.0,0.0004,0.0029,0.0047,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0006,0.0,0.0001,0.0,0.0224,0.0007,0.0031,0.0004,0.0,0.0,0.0209,0.0,0.0,0.0,0.0,0.0001,0.0111,0.0032,0.0262,0.0,0.0055,0.0007,0.0019,0.0
CHE_B05_06,1.0949,0.0,83.6757,2.9393,0.1469,31.758,0.0944,0.7556,10.7636,50.2112,70.5757,17.6787,2.0438,59.1526,314.0096,0.8158,0.5153,0.7663,45.8408,0.5895,0.1786,7.6251,243.6396,2.7683,46.7763,96.4476,24.4141,22.3513,5.1992,5.2898,1.5299,0.7828,0.8766,0.6517,1.7632,12.4211,0.1781,20.1333,5.8627,76.9231,4.3429,15.1074,2.5879,5.774,0.0
CHE_B07_08,0.5175,0.0,4.2821,1.7941,0.0358,8.5631,0.0279,0.264,3.7487,11.2674,74.0327,7.4933,0.937,68.2528,181.0744,0.5307,0.2433,0.449,30.5526,0.2164,0.1058,3.0546,17.978,1.3284,91.0223,39.4153,7.7642,6.0704,1.0613,2.097,0.3692,0.2353,0.2443,0.2117,0.5462,2.65,0.1439,7.4383,2.2489,26.8845,0.9742,2.7674,0.5868,1.4087,0.0
CHE_B09,0.0766,0.0,3.5444,0.141,0.0331,0.6893,0.0009,0.0501,0.4991,0.3581,1.6603,0.8124,0.0758,0.6774,1.215,0.0492,0.0039,0.0095,2.7472,0.0187,0.004,0.345,1.07,0.1357,2.4213,2.7004,1.3094,0.5473,0.2258,0.194,0.0905,0.0135,0.0012,0.0,0.0024,0.5348,0.0203,0.9464,0.111,3.7312,0.1623,0.5554,0.0379,0.153,0.0
CHE_C10T12,1151.0629,0.0,1.4568,0.1377,0.0079,4426.2519,27.8135,8.8119,12.2907,35.349,407.3281,288.9144,0.7751,1.6998,0.2653,3.3145,35.7739,23.1888,1.3917,0.1608,5.2481,7.1606,1.5378,23.3266,6.222,567.6023,127.9415,378.5666,78.1145,4.9302,0.0779,3621.6189,5.3144,0.0033,0.1933,5.8265,1.5645,73.5131,12.5383,1150.3676,73.0463,1301.7905,37.2418,76.4966,0.0
CHE_C13T15,15.1067,0.0,1.1301,0.1218,0.0046,25.0722,213.4167,1.4241,20.4631,6.4088,40.0922,28.2228,5.3279,23.2703,2.1251,3.017,61.4569,2.7976,14.6034,8.9016,6.8365,57.3014,1.6956,8.1807,57.0343,84.789,11.8077,16.6646,4.2021,1.7945,3.9928,13.8514,4.413,0.1547,0.2398,1.0165,4.3953,17.6743,15.3902,55.2833,2.1078,27.9692,27.2972,27.6686,0.0
CHE_C16,2.4289,0.0015,23.9486,1.9692,0.0862,75.3467,3.8758,1936.9329,6.8862,1.5059,13.6775,11.4889,30.3021,29.3285,41.0157,95.3431,255.501,66.0839,78.0295,5.1773,16.9958,748.327,34.3234,17.9905,2905.9719,302.9839,14.5539,19.0096,4.1399,28.5511,2.5521,3.104,2.545,6.8616,2.1769,10.479,35.0408,72.0365,50.3953,103.8453,25.758,14.9133,20.3835,142.1319,0.0
CHE_C17_18,7.3264,0.0003,1.7201,0.2748,0.0094,84.459,6.3066,21.2099,458.7719,5.9985,85.0138,70.3619,43.1804,17.3727,15.6809,22.8136,139.3161,43.4733,36.6208,3.251,3.8354,33.9623,38.1143,16.2439,25.9044,970.2451,19.8153,19.6586,5.638,23.2247,41.5711,21.7218,1149.288,58.6818,11.527,271.258,12.5129,391.9478,196.0677,182.3433,32.6048,51.5246,25.9374,46.9901,0.0
CHE_C19,24.8387,0.0,5.1565,0.8972,0.0236,34.4309,5.1663,10.6238,11.8821,67.2829,169.9704,105.2409,72.6365,25.5621,52.1566,19.4927,41.7715,65.4972,16.2701,1.5354,2.5871,19.1174,73.5653,6.3582,82.0786,357.8782,138.9349,130.5598,55.875,58.9847,6.6847,18.6834,1.9406,0.9109,2.0368,3.1365,1.1348,40.2047,21.9279,50.6074,4.2371,15.7213,10.8045,12.0758,0.0
CHE_C20,51.8823,0.0,10.9083,1.7715,0.0645,168.3979,28.6461,78.9301,222.1426,188.336,4045.8886,3466.8617,1387.2619,98.5302,319.3561,164.9474,497.5854,802.5295,102.1148,14.536,20.2349,186.1595,73.8015,20.5565,189.2812,480.4242,46.7945,51.949,11.9987,48.2849,3.5994,58.4342,10.819,0.9239,3.8109,4.1404,4.4575,181.9809,51.5197,61.1607,13.2462,97.4009,30.6657,59.9092,0.0
CHE_C21,180.4694,0.0012,81.8358,6.1947,0.2051,116.0404,2.3939,3.2218,2.5543,95.821,1892.159,26415.2582,2.6251,2.1515,4.7884,3.6962,412.7425,3.9478,6.0615,0.5147,2.4725,5.0483,2.0582,4.506,5.2622,546.21,7.5023,16.8937,2.9972,0.6588,0.1149,4.1369,0.5592,1.1409,1.0407,34.9974,0.3687,457.2057,41.6583,2504.7291,6.9717,7003.5934,1.7414,9.1297,0.0
CHE_C22,9.9689,0.0021,2.4665,0.2575,0.0144,68.6352,2.524,16.7224,14.895,4.6086,52.5984,57.7936,98.1697,29.9693,7.7932,30.3449,237.0762,55.0918,138.7719,12.8391,8.0716,51.8971,23.8563,7.2786,373.7217,323.5239,61.4922,24.046,5.7633,15.2376,2.0294,7.0304,3.1834,3.4021,1.239,3.7197,8.9224,42.2574,19.8868,40.4668,2.2201,18.3736,2.0575,6.688,0.0
CHE_C23,20.5915,0.0028,16.4866,2.8178,0.1186,59.8342,1.0735,27.3774,3.244,14.6773,124.5001,109.8238,3.2786,434.9412,53.1671,27.0452,161.6522,80.3712,56.1509,12.5854,4.3085,44.0898,27.4969,31.9224,2854.423,167.9533,36.6981,43.5749,10.9907,24.9732,2.032,4.8605,0.7163,16.7546,1.3386,1.4241,3.792,55.9209,27.9997,115.3647,3.013,17.4962,10.5852,13.5949,0.0
CHE_C24,0.2147,0.0,1.6716,0.1846,0.0142,1.2268,0.4605,2.0047,0.9074,1.1745,8.045,2.9664,1.1923,5.728,849.2566,362.984,64.8174,167.317,281.1753,11.7749,18.156,85.2138,13.0435,26.5438,151.1576,42.3572,5.0144,8.5567,0.9412,7.7213,0.0262,0.0208,0.0164,1.1349,0.4044,0.0063,0.0629,19.7582,3.3594,11.8879,0.1327,0.3253,0.0141,1.2402,0.0
