V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_C30,1.2259,16.7169,0.6654,1.9274,1.4971,5.9991,0.9448,0.1442,1.6549,0.5157,1.5117,0.2861,2.3403,1.1527,78.3219,23.2309,14.4549,29.0551,10.232,185.3098,965.0978,69.4436,0.8669,0.2986,24.8484,19.1912,91.8364,2.5393,69.1762,1.157,8.9725,3.4462,1.501,0.9913,0.1601,0.3446,1.0555,15.7542,1.4026,77.9112,0.3917,0.463,0.3388,1.8661,0.0
MEX_C31T33,40.0919,4.4881,37.0785,94.5515,100.2272,235.8306,159.2132,16.7887,75.5766,16.805,59.3407,23.5537,69.0336,67.822,59.8557,108.471,561.0029,160.4649,123.4052,661.8384,48.8837,420.9204,25.3699,17.6576,385.9717,228.8943,88.2345,2.609,9.5395,28.3348,3.9899,119.4862,70.6762,55.5626,7.6997,106.8341,73.4457,167.7624,115.7179,153.0791,91.4327,400.0746,73.0398,28.188,0.0
MEX_D,173.3858,8.4719,80.9149,557.3643,62.1406,1584.5841,464.5124,88.7751,318.7535,25.3678,362.5405,96.0677,632.0963,1227.6489,869.8545,643.9432,485.8643,387.118,217.5073,1080.1584,71.8997,302.1392,51.9028,833.6271,94.9148,2166.6572,159.1296,2.6715,28.6606,135.3539,12.9332,338.4251,121.1281,59.4134,14.7409,176.3643,326.3209,328.7274,373.8575,1088.0229,553.4287,374.6563,88.8216,125.469,0.0
MEX_E,457.7689,2.3035,43.0608,55.1009,17.9067,234.4335,30.3672,3.4056,32.887,0.9034,84.4447,19.1933,35.0839,22.6456,35.4704,67.6814,75.9955,69.4134,13.6997,112.2721,2.9893,34.286,11.8659,309.5718,248.4915,406.3268,59.1628,1.9307,2.8273,91.8057,2.8766,182.0544,5.2475,1.1408,1.0845,62.3787,189.0959,65.5707,89.3019,225.1365,236.1831,177.1712,25.7693,32.6725,0.0
MEX_F,5.4417,2.5934,24.1587,130.8404,193.3667,173.3765,21.0953,7.1212,41.2201,3.6283,41.3023,25.7744,26.254,27.8792,30.0075,49.8904,21.9208,24.7197,16.1156,136.501,8.2177,28.0897,82.6746,149.0799,6478.553,372.7962,238.6261,12.9022,54.4706,81.9266,24.4682,197.2727,30.6751,11.6807,10.2291,138.6648,817.6217,120.1979,68.3414,398.6467,202.5851,235.5672,48.5881,51.4069,0.0
MEX_G,4131.2416,200.9734,695.8154,539.6969,480.968,16415.2824,2083.0475,453.5914,2079.4526,4394.8437,4836.7036,1961.1693,2390.1009,1652.9182,2713.0222,2133.4468,5221.805,2014.8114,1760.2527,11021.4322,1103.8616,1825.022,1327.1263,228.8257,6837.9409,3592.0053,4758.1273,59.3501,840.1485,343.1863,111.952,1915.6214,201.4186,334.3798,41.3491,270.7337,660.6367,512.625,794.7214,1534.9941,379.1601,2068.8935,163.5225,272.4916,0.0
MEX_H49,453.2,28.7731,93.2499,85.6131,66.1754,1917.745,166.0403,63.8931,231.5808,794.014,1005.4425,175.2443,271.6304,369.1814,814.7416,391.5158,490.2999,315.9999,232.8531,3247.8016,146.4955,218.2476,193.2085,29.5453,1572.5549,1984.8147,1279.0001,5.673,168.0664,83.1037,21.8703,200.2261,56.3662,39.8608,13.5516,45.0518,85.995,182.9084,451.0957,433.5224,165.4008,258.0586,39.2396,58.4743,0.0
MEX_H50,3.0016,0.0501,0.7899,0.6717,0.537,10.1166,2.2601,0.3111,2.151,5.6712,5.5175,1.6499,2.6999,1.6888,4.1577,2.7813,13.7874,3.1887,2.5266,21.5612,1.1045,2.3892,1.5955,0.2436,7.4709,2.5779,5.6779,0.032,0.8085,0.5699,0.1256,1.2633,0.2603,0.7916,0.0869,0.1734,0.5282,0.565,0.9085,1.2036,0.3789,1.5432,0.1755,0.3225,0.0
MEX_H51,31.3981,3.1504,48.2355,11.7891,9.2402,113.618,30.4546,3.4237,26.8279,67.8453,68.8689,34.3103,40.7006,21.4838,45.2765,36.5738,212.6002,41.5504,35.9033,259.6631,16.3892,30.0573,19.453,2.9474,110.4656,80.5914,82.493,0.8242,17.5366,8.7203,2.174,14.6815,22.7546,11.1222,1.9894,52.3982,16.6683,46.9728,52.1286,130.5954,14.5977,19.9608,3.6587,4.3484,0.0
MEX_H52,49.1169,10.2907,14.1053,8.4688,6.6058,493.1307,38.9898,7.8929,56.6216,67.0981,122.1282,171.6915,71.0267,107.1671,90.8095,74.1482,69.6774,83.729,81.0498,466.6022,21.3713,129.6133,21.678,3.6179,116.3363,1459.816,1307.9817,382.1398,1819.1404,263.4418,56.31,39.6432,24.4803,3.6018,14.7984,146.6316,9.1964,48.3144,74.3039,88.7775,45.7499,18.7208,3.6148,5.2277,0.0
