V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T
BGD_C23,15.2503,1.1875,1.7591,0.5397,0.2138,52.9854,29.7198,6.1587,4.139,17.3335,27.4018,9.7601,20.7564,490.5242,31.5803,17.3842,22.2459,24.5285,13.8861,31.5544,6.7199,21.332,7.0085,4.2986,3098.3459,19.8494,6.3844,1.0439,1.2183,2.0089,0.2388,7.4307,1.7321,2.9895,0.4691,1.3557,17.0398,5.4183,2.4068,8.8498,4.0274,6.2207,1.7485,7.5105,0
BGD_C24,5.5073,0.5569,9.9639,0.2541,0.4892,16.0887,26.0925,4.9474,10.1301,20.8998,34.6056,3.6346,32.1036,66.8924,1621.1213,658.2708,144.7013,489.834,379.8425,332.1239,74.5799,178.7982,11.8331,17.8293,1368.278,20.8883,7.9885,1.1172,0.8228,2.8141,0.0704,0.792,1.8282,1.9741,0.2496,0.7166,3.5971,5.2741,1.4431,3.1508,0.9455,2.1891,0.6388,13.5749,0
BGD_C25,18.7449,3.1243,6.8216,0.3731,0.3468,52.2603,60.7037,8.7479,9.2158,27.6205,22.8298,3.8551,22.2499,31.3661,64.5933,180.0791,44.0033,63.8085,124.8,122.6935,31.1116,70.439,10.8357,5.6477,1027.4762,25.3892,9.5315,1.9404,2.1815,4.0836,0.4166,4.7224,2.8328,5.3866,0.7797,1.6386,5.5734,7.2681,4.37,18.5524,3.6824,5.0011,2.3826,21.2826,0
BGD_C26,4.5695,0.9155,0.8495,0.0519,0.0489,6.564,14.0339,0.6348,2.8731,6.9883,4.0419,1.3869,3.1941,3.061,2.9896,3.8469,253.0944,32.5109,16.4317,17.888,4.7866,14.7789,4.7453,1.2635,71.5197,14.6454,3.902,0.8514,1.6113,1.4177,0.5453,1.9854,5.6743,35.2154,5.6502,3.1418,1.2488,7.0315,2.5606,10.3927,4.3748,13.3782,2.0769,39.9006,0
BGD_C27,6.1357,1.5482,1.4165,0.0944,0.0744,7.7669,17.8074,1.0019,2.9704,7.9955,5.2104,1.1204,4.9531,6.2945,10.8998,11.1259,88.8659,224.435,50.6537,57.3601,11.1434,30.9706,24.251,2.324,482.5409,20.4786,8.3116,1.3151,1.569,2.3353,0.3789,2.9921,3.081,19.902,1.5314,1.61,3.315,5.5026,2.8911,7.0372,2.4819,4.2825,2.2379,34.1094,0
BGD_C28,18.3302,2.6821,5.5354,0.4283,0.326,14.5939,30.6234,2.3851,7.0004,22.0214,9.6344,2.1153,7.3738,13.8236,12.2451,14.3522,17.7699,21.9512,121.5799,45.6627,11.8328,31.6231,10.7463,3.0326,209.9733,18.1215,8.7302,2.1718,3.2068,2.6613,0.385,2.3168,2.205,5.3363,0.7484,1.3104,1.8905,3.9595,3.4281,7.6403,1.9628,4.0864,1.2967,11.1352,0
BGD_C29,5.1684,0.7338,0.8874,0.087,0.0431,6.4097,12.4851,0.7286,1.5942,4.807,3.2279,0.7433,4.5859,4.3696,18.2818,8.0727,6.7767,12.489,16.2784,425.3186,5.8147,14.1515,1.8189,2.4745,48.9676,59.8671,29.9472,0.6645,1.3889,2.2285,0.6563,1.1243,0.9684,2.297,0.3318,0.8115,0.865,2.0136,3.2051,5.1512,1.0642,1.8933,0.7723,7.0177,0
BGD_C30,0.3675,1.9788,0.1246,0.0071,0.0043,0.4714,0.8038,0.0554,0.1135,0.4681,0.203,0.0569,0.2494,0.2262,0.2694,0.4132,0.6806,0.6379,1.2006,6.5298,60.5351,9.7593,0.2116,0.1024,4.7376,1.6007,5.677,5.0668,7.5561,0.5798,0.0588,0.1134,0.0975,0.1657,0.0272,0.0683,0.0776,0.2255,0.4006,7.609,0.1048,0.2121,0.1466,1.7069,0
BGD_C31T33,54.204,10.4299,9.5685,0.6958,0.4461,36.4153,211.978,11.4382,18.886,57.5226,26.661,8.596,15.7461,30.8619,28.4193,18.429,27.9187,19.9716,30.0672,28.6645,11.2082,162.5676,33.7685,10.5901,306.4411,44.722,40.5235,12.7017,25.4238,9.8018,2.0597,14.1178,9.7676,25.4982,2.9999,10.8812,9.6032,15.4771,12.5309,42.0628,20.2438,96.4633,15.1606,32.3012,0
BGD_D,95.0076,10.047,16.3368,1.8383,0.5821,103.9597,244.2704,16.2415,68.645,247.606,142.6208,15.2861,49.7389,142.5285,146.5508,31.0853,29.0406,25.7186,27.907,34.6389,8.9243,31.4604,609.6687,24.7603,124.9611,101.4081,47.7842,2.5657,3.4092,16.7822,3.4536,59.3751,17.1827,53.387,3.8498,16.7614,43.4187,19.5639,11.1258,98.5952,52.5409,61.4538,24.3506,49.3512,0
