V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T
GRC_A01_02,1691.503,1.0973,4.7952,3.6901,0.0093,3489.0209,35.9083,45.2423,7.819,2.3774,26.1468,6.4936,4.3747,8.4683,9.4581,9.9414,0.6351,2.3124,2.7953,0.372,0.698,14.5252,20.4947,19.2924,0.0,0.0,0.0,21.5655,0.0,0.0013,0.0,670.0901,0.009,0.0,0.0,0.0,0.0,0.0012,0.0015,38.7673,0.0475,1.8848,0.0183,18.0802,0.0
GRC_A03,0.0,50.7482,0.0,0.0,0.0,45.944,0.5485,0.0,0.0,0.0,0.0,0.0067,1.0611,0.708,0.0,0.6887,0.0,0.0,0.0,0.0,0.0,0.4107,0.0,0.0066,0.0,0.0,0.0,0.8417,0.0,0.0,0.0,102.0687,0.0005,0.0,0.0003,0.0,0.0,0.0907,0.0003,0.1396,0.0289,0.0825,0.0036,2.7963,0.0
GRC_B05_06,0.0091,0.0,0.0001,0.0062,0.0087,0.0106,0.0007,0.038,0.075,152.6241,0.0283,0.0041,0.0026,0.311,0.0822,0.1575,0.0711,0.0012,0.4196,0.0001,0.5653,0.1077,36.7889,0.0221,0.2445,0.0528,0.0356,0.0067,0.0002,0.0027,0.0,0.049,0.0015,0.014,0.0034,0.0111,0.0691,0.0109,0.0042,0.0087,0.008,0.0106,0.0032,0.0081,0.0
GRC_B07_08,2.0883,0.0226,0.0102,222.6476,0.4611,7.8919,0.1468,3.0026,0.6285,275.4545,39.6594,3.8266,0.4318,75.3354,106.2206,1.2195,1.4107,0.0643,0.1176,0.0056,0.0455,0.3783,16.0878,1.709,37.7956,3.4479,1.484,0.9181,0.3322,0.1853,0.0695,7.5059,0.1231,1.1954,0.2559,0.5847,2.1109,1.1627,0.5901,1.2379,0.4668,0.8751,0.3481,0.4496,0.0
GRC_B09,0.3453,0.0423,0.4304,2.4804,0.2537,0.2554,0.0047,0.0016,0.106,27.7568,0.2619,0.0125,0.0262,1.2148,2.8091,0.1983,0.001,0.0063,0.0168,0.0001,0.0014,0.0174,7.0371,0.1271,3.9172,0.1293,0.2034,0.1538,0.0209,0.0975,0.0003,0.0498,0.0005,0.0,0.0003,0.0002,0.996,0.1093,0.0309,0.2814,0.012,0.041,0.0183,0.0268,0.0
GRC_C10T12,473.1752,4.0035,0.0033,0.0282,0.0078,1142.4609,3.5167,4.7237,1.9981,0.6164,4.8922,4.7694,0.5616,0.0982,9.3634,15.0678,3.8522,13.7327,7.2162,0.0641,0.3803,1.114,0.2505,0.2832,0.4974,8.9559,0.6952,266.5082,0.0808,0.0421,0.0193,3032.6384,9.0493,0.0669,0.0109,0.7313,0.0378,6.3426,9.953,53.2407,15.4682,99.9802,0.2607,41.4044,0.0
GRC_C13T15,5.6593,7.4632,0.0172,0.156,0.0151,26.5823,171.0059,0.1916,3.6194,2.9195,2.3052,3.0522,3.7064,1.8548,2.7827,3.3305,0.2702,0.6022,0.6928,0.1715,0.3171,7.3936,5.1619,4.1055,3.1909,111.7572,1.0578,3.1909,1.1832,0.229,0.1364,24.3028,2.0203,8.9973,2.787,27.9451,0.299,10.8091,1.2913,9.8771,3.4783,8.9213,3.9933,6.6364,0.0
GRC_C16,3.9726,1.7013,0.0021,1.7076,0.0077,45.7993,2.0888,50.7471,1.8696,0.534,5.5298,5.3917,2.1186,2.5734,3.6388,6.0217,0.5114,1.725,1.578,0.4988,0.5956,69.9551,11.6652,0.57,33.8017,0.6452,0.4904,1.2564,0.3196,0.4671,0.0989,3.7379,4.0093,0.121,0.109,0.1793,0.715,2.1541,0.3486,0.7807,0.1399,0.4541,0.0729,5.4385,0.0
GRC_C17_18,4.0407,1.53,0.2277,0.3412,0.0221,66.6736,4.4794,1.6849,407.0894,2.263,6.6463,13.3929,15.3115,4.4355,2.8041,3.0528,0.4217,4.4192,0.7774,0.8818,1.2824,2.1033,16.0112,1.4346,20.114,105.9437,11.65,4.8976,3.4444,1.5993,0.9808,212.169,19.7615,10.5735,6.5033,43.4145,1.5417,96.0937,72.7044,74.0341,11.631,13.3271,21.3946,34.8443,0.0
GRC_C19,403.6871,32.1484,3.182,17.3209,0.4825,134.9927,7.8112,2.7629,9.02,597.9671,176.2691,11.558,16.3604,41.4062,55.8733,32.4653,1.8985,4.6409,6.612,1.1585,1.235,13.8761,1033.8669,30.0778,68.3655,345.5426,181.1438,654.8874,148.89,194.5949,40.6831,118.507,2.5496,14.3443,6.5095,7.1672,1.1864,47.0292,38.915,102.4856,19.1084,42.4021,20.2777,25.4101,0.0
GRC_C20,122.0386,0.3753,0.1751,0.5984,0.1268,41.2987,20.1729,0.7648,17.6236,11.4092,68.6247,21.2193,155.8043,5.9829,15.047,26.2039,1.5448,8.6191,1.7563,0.1955,0.3075,7.5684,8.8573,7.2698,18.8582,48.3118,4.8738,15.8371,2.5241,2.6118,0.642,112.1691,4.628,6.7886,0.9499,3.2049,33.5872,8.1917,12.7489,14.9567,9.7598,100.5032,6.1589,6.2431,0.0
GRC_C21,15.9553,0.3246,0.2982,0.9661,0.0087,9.9193,2.9182,0.1843,0.937,3.7872,2.7213,28.0734,1.5444,0.5294,2.3532,0.9753,0.2515,0.3633,0.2042,0.0217,0.2242,0.5627,3.1238,1.3608,3.495,12.1169,1.1606,4.7431,0.6744,0.8962,0.1704,11.4231,1.2711,3.1851,0.3699,0.9377,0.3689,8.1354,1.3206,9.9688,2.8378,253.7007,0.5744,1.6564,0.0
GRC_C22,12.9002,0.2784,0.1788,0.4569,0.0712,65.9106,7.013,1.2198,11.1351,2.2095,5.1117,11.6628,24.0166,6.9601,6.1696,24.4028,4.6654,5.4814,11.6203,0.8077,1.2267,9.5117,13.4207,1.4139,83.0061,646.4067,52.8631,9.4942,26.6265,4.5313,5.5074,20.1122,1.3494,57.4833,5.3585,1.4781,20.309,55.8981,12.0573,5.27,1.0152,3.6681,1.7737,18.7875,0.0
GRC_C23,3.4174,0.2037,0.6499,1.643,0.0922,36.9598,2.0074,0.298,1.3039,3.3009,7.1131,7.3631,4.1979,182.8145,4.6218,5.7342,0.9276,13.9067,3.7434,0.3724,0.5104,5.0367,13.7291,0.756,809.7958,23.0142,3.7732,7.7322,1.9408,2.4885,0.3902,52.5051,1.5473,6.5443,0.933,1.4861,16.8381,6.4175,2.3424,3.0828,1.0006,22.6119,1.5593,1.5952,0.0
GRC_C24,0.0,0.0,0.0723,0.0138,0.1338,25.329,1.052,0.1709,1.4335,0.1084,2.7402,2.8548,2.0986,4.1269,493.0463,350.7244,3.3777,148.67,56.4298,6.3165,5.9355,40.9215,9.7504,25.1435,308.1152,5.0411,0.0174,0.8841,0.0,0.0,0.0,0.0,1.5092,0.0,0.3369,0.6787,0.0033,0.0,0.0,6.9328,1.4378,0.0443,0.4236,0.0026,0.0
GRC_C25,14.9686,3.0642,3.0682,2.5761,0.2209,180.472,64.2003,1.4885,9.5902,5.6714,21.6865,24.438,31.7458,11.3209,19.0347,144.5561,12.1661,31.3989,27.3148,3.1171,7.4427,41.5653,53.9055,6.0552,788.4472,54.6837,8.2162,32.0637,2.9478,13.0379,0.7883,72.2129,3.8481,6.8916,4.1687,4.4299,0.7914,12.2662,13.4338,130.6145,5.4658,11.2447,36.3963,7.6723,0.0
GRC_C26,4.777,0.3062,0.054,0.1126,0.0209,9.1475,1.0589,0.1536,1.0027,1.3164,1.0932,0.9703,0.8504,2.9612,3.2227,3.4159,14.9258,0.9575,1.1827,0.4241,0.2132,2.9741,21.108,4.2779,11.4284,30.7041,6.0471,4.0236,3.1186,8.5795,0.6973,5.5856,4.6323,2.6174,2.289,1.4353,0.0349,5.3926,4.3225,5.047,4.6737,8.6659,1.1295,3.0776,0.0
GRC_C27,4.8944,0.2938,0.077,0.1714,0.0306,11.5109,1.3745,0.2244,1.1368,2.6439,1.3798,1.1646,1.4416,3.6467,3.9525,7.6234,14.0272,22.7062,4.8855,0.4021,0.3434,2.9262,26.6309,16.9397,88.9326,145.0961,10.3245,4.8599,3.5581,8.0387,0.8364,20.6088,7.1665,12.5073,3.5065,0.427,0.1553,14.9601,1.5849,5.9506,1.7645,2.5704,0.6681,2.9528,0.0
GRC_C28,11.0148,0.5044,0.1723,0.3315,0.0603,10.7276,0.8898,0.1022,0.6513,1.2026,1.2615,1.494,1.0748,1.5263,1.6597,5.2301,0.8102,1.9679,3.1496,0.1872,0.3463,2.818,8.783,2.8826,30.0625,10.9186,5.2149,8.1242,1.4055,10.2455,0.3092,10.4686,1.2555,2.4769,2.7616,0.9577,0.0914,2.7371,2.3185,49.9885,2.8912,2.9175,1.5294,1.9601,0.0
GRC_C29,0.9304,0.0611,0.0222,0.0477,0.0033,0.8497,0.0848,0.022,0.1525,0.1657,0.0866,0.1192,0.0753,0.1367,0.1045,0.3258,0.0515,0.0937,0.1393,0.2603,0.0291,0.2779,0.3453,0.6855,1.6625,5.2487,1.0811,0.9647,0.8928,1.9834,0.1782,0.998,0.0952,0.2562,0.3042,0.0547,0.0093,0.232,0.3325,0.8766,0.227,0.4405,0.2151,0.6815,0.0
GRC_C30,0.0,1.8389,0.126,0.2004,0.001,1.672,0.2923,0.0111,0.0777,0.159,0.1994,0.2343,0.1408,0.3504,0.5373,0.4287,0.0278,0.0792,0.155,0.0201,5.3178,2.7407,0.0771,0.0032,0.1887,2.2889,5.0433,35.7344,0.4179,0.4014,0.1645,2.3719,0.0113,0.1291,0.0005,0.0,0.0,0.006,0.6922,0.2141,0.0052,0.0668,0.0,0.35,0.0
GRC_C31T33,104.9022,7.0138,0.6327,1.4121,0.2745,47.415,3.6382,5.0197,1.4275,1.8972,5.1858,6.5927,3.0241,3.3534,4.5277,14.1709,1.5637,3.0074,8.9946,1.0132,2.6234,30.7828,15.8531,26.0402,144.5803,24.4553,44.1102,90.4973,9.7121,139.9509,4.9453,93.7039,9.6566,3.9223,35.6545,6.8308,0.4326,7.4444,19.9673,79.2052,21.209,43.505,12.5237,22.9548,0.0
