V1,JOR_A01_02,JOR_A03,JOR_B05_06,JOR_B07_08,JOR_B09,JOR_C10T12,JOR_C13T15,JOR_C16,JOR_C17_18,JOR_C19,JOR_C20,JOR_C21,JOR_C22,JOR_C23,JOR_C24,JOR_C25,JOR_C26,JOR_C27,JOR_C28,JOR_C29,JOR_C30,JOR_C31T33,JOR_D,JOR_E,JOR_F,JOR_G,JOR_H49,JOR_H50,JOR_H51,JOR_H52,JOR_H53,JOR_I,JOR_J58T60,JOR_J61,JOR_J62_63,JOR_K,JOR_L,JOR_M,JOR_N,JOR_O,JOR_P,JOR_Q,JOR_R,JOR_S,JOR_T
JOR_A01_02,64.4338,0.0449,0.0807,0.0855,0.0135,477.6612,0.049,0.0394,0.0023,0.066,0.3135,0.0364,0.179,0.2228,0.0225,0.0469,0.015,0.0252,0.0228,0.014,0.0187,0.0486,0.0217,0.0316,0.2465,1.0273,0.0266,0.0,0.0,0.0583,0.0001,52.8742,0.0598,0.0803,0.0243,0.0355,0.2087,0.0298,0.0173,8.7572,0.4281,0.335,0.1625,0.1024,0.0
JOR_A03,0.0,0.2469,0.0,0.0,0.0,0.1145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0008,0.0,0.0,0.0,0.0,0.0,0.3347,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0001,0.0
JOR_B05_06,8.0219,0.0,5.4582,4.6683,0.6941,5.9718,0.6805,0.7392,0.3513,295.5962,0.0208,0.7379,39.1135,34.5586,0.819,0.7179,1.3031,4.9834,4.8518,2.1208,3.0371,4.5136,37.0603,1.0202,39.6576,18.7664,0.962,0.0575,1.3191,0.5049,0.0016,1.614,1.4009,4.8292,1.0561,2.206,0.9726,1.2891,1.2177,0.0001,3.3782,2.8523,0.8721,1.7368,0.0
JOR_B07_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2121,0.0,0.0,0.0,0.0,0.0
JOR_B09,0.0,0.0,87.8844,0.5856,20.6646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.4146,0.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR_C10T12,207.679,0.2587,0.6481,0.5877,0.1,1203.2384,0.2445,0.0287,0.2286,0.0526,4.5455,1.2062,0.4479,1.75,0.1497,0.43,0.1539,0.3729,0.4721,0.1497,0.2684,0.8099,0.1021,0.207,3.2698,6.4658,0.8783,0.0,0.0,0.1545,0.0064,153.6457,0.4756,0.7154,0.1414,0.3727,0.1002,0.5359,0.3441,28.6233,3.7972,23.5276,7.7192,1.0524,0.0
JOR_C13T15,1.6649,0.0658,1.4367,1.3313,0.1879,1.6051,239.2454,0.0606,0.5773,0.0116,0.3396,1.7474,5.4542,0.1826,0.0964,0.0849,1.122,1.9568,2.2611,1.4467,1.8182,2.7844,0.0182,0.0777,2.4494,3.9127,0.0421,0.0013,1.3671,0.5155,0.0077,7.6219,0.2228,0.5196,0.1197,0.2563,0.0315,0.2596,1.0616,44.7644,3.2494,10.8248,0.7947,0.7568,0.0
JOR_C16,0.5248,0.0001,0.0544,0.0691,0.0135,0.3441,0.5139,18.2646,35.2444,0.0022,0.1238,0.0121,0.1555,1.1306,0.2311,0.8846,0.7657,1.2134,1.1093,0.6144,0.8012,2.8664,0.0017,0.3614,17.3106,1.7047,0.0135,0.0521,0.0034,0.1631,0.0001,0.1922,0.1311,0.2011,0.0463,0.0174,0.1224,1.393,0.1676,1.5949,0.7176,0.3947,0.2422,0.1152,0.0
JOR_C17_18,1.9444,0.0013,0.0738,0.0471,0.0051,14.009,0.7113,0.0168,150.6131,0.2133,5.3214,6.5895,7.4297,3.6078,1.6396,3.7966,2.1156,6.0063,3.1961,1.439,0.8928,4.5204,0.3356,1.7177,4.3455,11.042,0.6908,0.025,0.8782,1.6901,0.2669,21.1938,2.2857,1.494,0.3668,6.9825,0.5253,8.2932,1.4822,53.9895,26.9643,4.8664,1.4202,0.6511,0.0
JOR_C19,31.9359,0.0867,10.6185,11.1749,0.7688,141.3634,7.0762,0.3299,13.4676,90.0681,38.7714,6.3485,5.4649,36.6943,7.1098,11.8053,1.1713,4.0778,3.6334,1.5114,1.208,3.862,86.3131,12.4477,88.3954,92.942,415.3099,2.2784,414.7351,4.0795,0.7696,27.5794,6.8196,23.7788,3.7399,3.8227,2.0113,3.0595,9.5771,102.2687,48.3482,29.3819,6.0023,4.3733,0.0
JOR_C20,12.4779,0.0291,1.0627,1.4217,0.1613,5.2852,1.2649,0.0399,3.8444,1.0192,127.7833,16.0459,77.798,3.247,1.9183,3.7804,5.7952,19.8427,6.8428,6.2295,4.4217,12.7622,0.6055,8.4556,28.487,11.2324,0.143,0.0152,0.506,0.2374,0.0218,5.9254,0.3113,0.1751,0.061,0.0568,3.7027,5.6375,0.2775,0.3985,2.869,14.8223,0.4387,6.248,0.0
JOR_C21,9.9379,0.002,0.0016,0.0012,0.0002,2.3793,0.0631,0.0,0.0437,0.0,8.4599,189.6042,0.7473,0.031,0.0214,0.0424,0.4259,0.5534,0.4608,0.2626,0.2992,1.0176,0.0018,1.7481,0.0638,2.631,0.0524,0.0,0.0,0.0449,0.0002,0.5733,0.08,0.1583,0.0435,0.1473,0.0231,0.2311,0.074,2.8075,0.3395,124.2041,0.1123,0.3068,0.0
JOR_C22,13.9901,0.005,0.8145,0.6808,0.0752,40.0423,6.0524,0.0156,5.0844,1.0855,36.5352,7.3052,34.4428,1.6284,0.5458,1.5141,0.9115,3.4631,2.3682,2.0705,0.4822,2.1376,4.4444,2.4888,74.723,35.1123,19.0286,0.0348,4.0605,0.3422,0.1175,4.2704,1.7981,3.5058,0.7469,2.4081,2.0357,1.0346,0.9557,8.4054,3.7748,4.6982,0.5724,2.1284,0.0
JOR_C23,0.1374,0.0,0.3199,0.5292,0.077,2.15,1.5029,0.2501,0.0097,0.2446,13.9804,0.3262,0.049,401.0288,0.7272,1.4179,0.4867,1.4815,0.7181,0.6652,0.3658,0.7831,0.0461,2.257,562.0836,2.8863,0.2505,0.0,0.0,0.0626,0.0,0.1754,0.0927,0.221,0.0367,0.2487,0.048,0.1613,0.1219,2.6467,0.3175,0.1901,0.1198,0.2898,0.0
JOR_C24,2.4158,0.0018,2.1443,3.3597,0.4905,6.6256,0.3699,0.2421,1.8625,0.2603,3.971,0.4803,4.1844,0.7187,90.8959,125.1422,2.6941,21.1481,8.626,4.9466,3.5131,6.077,2.9536,10.6098,69.9552,9.3343,3.0239,0.0049,0.4159,4.8779,0.504,0.1642,0.102,0.1507,0.0249,0.1594,0.5342,0.1627,0.0949,9.8591,0.1331,1.0498,0.1739,2.0066,0.0
JOR_C25,2.0375,0.0001,1.5457,1.916,0.3075,94.8862,1.0774,0.5924,0.8704,5.3726,6.4656,10.2231,0.5414,5.2959,12.7829,90.376,2.9652,9.9026,10.5478,5.4202,4.2945,6.406,3.0093,8.1732,130.2699,8.1719,2.3273,0.1978,11.4809,5.1218,0.3934,4.7402,0.1045,0.2741,0.0485,0.1255,0.3324,0.144,0.1006,14.7384,4.3783,2.7929,0.1503,1.4874,0.0
JOR_C26,0.8804,0.0007,0.2347,0.0001,0.0,0.9845,3.2167,0.0861,1.822,0.0084,0.0,0.1115,0.0009,0.012,0.3639,2.5028,9.1046,5.1926,2.1567,1.423,1.4118,1.7877,0.0,1.813,27.7622,2.3535,0.0913,0.0074,0.2661,1.2601,0.0418,0.0064,0.0981,0.6859,0.1141,0.0671,0.1096,0.1834,0.1105,0.0,0.036,4.5367,0.1522,0.4212,0.0
JOR_C27,0.5774,0.0003,0.2148,0.1247,0.02,6.7306,1.5428,0.0745,0.8988,0.3599,0.506,0.7378,0.0315,0.3567,1.055,7.034,1.2486,8.6129,2.4464,1.2756,0.9548,1.1505,17.8524,1.4281,117.6242,1.6141,0.3484,0.0327,0.7618,0.9469,0.026,0.315,0.0634,0.3606,0.0409,0.0405,0.0861,0.0972,0.0562,2.2526,0.2795,0.5404,0.0811,0.2735,0.0
JOR_C28,0.8884,0.0,0.2104,0.0813,0.0103,14.6216,2.6759,0.0165,1.5383,1.3375,2.4144,4.0631,2.2699,1.1067,0.4318,2.1276,0.7085,1.9321,8.319,2.0739,1.6792,1.9344,17.5533,1.4691,62.6766,3.5277,0.2483,0.0008,0.2562,1.0047,0.0054,0.501,0.1599,0.4147,0.0823,0.0837,0.1072,0.1516,0.0896,1.2923,0.3605,0.8983,0.1167,0.2688,0.0
JOR_C29,0.5109,0.0004,0.1691,0.1247,0.0127,1.108,2.0116,0.0017,1.0967,0.0307,0.0405,0.0784,0.0027,0.0302,0.2726,1.8745,0.3024,0.4118,1.1281,5.6547,0.5733,0.7093,0.0121,1.1244,27.3464,3.9101,1.8099,0.0661,2.0712,0.7075,0.0385,0.0267,0.105,0.2951,0.0652,0.0522,0.0685,0.1072,0.0667,8.8968,0.1713,0.4327,0.0819,0.1833,0.0
JOR_C30,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2612,0.0,0.0,0.0,0.0,0.0,0.0119,0.0228,0.1261,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0005,0.0049,0.0,0.0,0.0,0.0043,0.0044,0.0
JOR_C31T33,1.1037,0.0007,0.3778,0.4686,0.0912,6.7826,3.6868,3.9532,4.9396,0.177,1.3545,2.8253,1.3676,0.404,1.117,3.4145,4.2024,5.2584,4.5029,2.5104,2.6863,7.4039,1.3825,1.9897,20.9821,3.3319,0.3681,0.344,0.2842,1.3025,0.0251,2.0654,0.2323,0.5207,0.1121,0.1467,0.1562,0.3712,0.1433,4.9936,5.0908,1.1522,0.177,0.3396,0.0
JOR_D,23.1056,0.1406,7.8876,7.2025,0.4525,48.6395,9.6944,0.2577,14.5987,1.1313,55.4455,7.5944,20.674,15.0707,7.2844,11.8422,1.3104,4.181,3.0294,1.7379,1.5325,2.6698,0.6835,155.6168,4.4581,147.4002,0.5292,0.0103,2.7034,6.6174,0.7221,33.7391,2.7425,17.2208,1.5854,27.245,9.016,4.0911,3.1661,90.2407,33.6605,64.8493,11.6252,15.2874,0.0
