V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T
PAK_A01_02,21004.276,159.3886,55.3505,5.4739,3.1207,13502.1177,1425.815,648.6832,296.5673,19.9837,228.7438,63.7078,94.2473,23.243,13.6745,9.9144,13.1306,7.1047,12.7753,16.1164,3.9639,110.6404,147.5996,20.1675,149.3425,646.0837,61.1264,26.6263,23.5723,28.5875,3.2482,1587.0197,27.5401,40.3505,12.1534,40.3974,47.7301,67.0226,81.9928,326.8258,133.7132,221.0561,69.7537,106.7966,0.0
PAK_A03,45.8148,715.3997,3.5818,0.2887,0.209,405.5905,9.9631,0.7914,1.1984,1.4357,3.185,1.0237,0.7715,0.9575,0.7881,0.4836,0.9114,0.4681,0.8755,0.8806,0.2069,2.487,3.2264,0.7091,3.6287,19.3875,3.4869,2.912,1.8706,1.2914,0.1639,179.7362,1.9312,2.4324,0.7951,1.7368,1.2014,3.1333,1.9776,10.1939,4.9381,8.3252,2.9524,3.3776,0.0
PAK_B05_06,52.9498,5.2577,597.6522,14.3596,10.5797,41.1209,37.268,1.8941,17.0581,5154.2446,192.0825,4.3333,6.9452,83.2997,101.2775,5.7626,4.1598,2.4567,5.8705,4.5028,1.4587,5.6527,2986.1895,8.8877,38.4743,53.5627,49.5692,7.993,8.738,10.1208,1.5039,19.5858,2.3455,4.7873,0.8656,5.3702,9.9303,11.0437,7.728,29.4543,15.8098,17.4697,7.1667,13.5658,0.0
PAK_B07_08,14.9449,1.1059,15.9955,24.052,3.4179,4.6907,3.2784,0.1975,2.6727,10.4598,47.7093,1.0711,0.8683,157.6802,176.8929,3.7441,1.0023,1.3596,1.1494,0.8047,0.271,4.2138,28.2874,2.4397,108.9427,3.31,1.9087,0.144,0.1166,0.9687,0.0283,0.9196,0.1413,0.2764,0.067,0.2039,2.08,1.0464,0.8673,4.6393,0.6758,0.7895,0.5173,1.0461,0.0
PAK_B09,2.8119,0.7442,145.8559,7.8468,9.1557,0.7492,0.4122,0.0394,0.9565,45.7811,2.0052,0.0695,0.1844,6.981,8.0151,0.4618,0.0598,0.0535,0.2253,0.0603,0.0308,0.1272,25.942,0.6261,13.473,0.8917,1.4859,0.1774,0.1852,0.3981,0.0113,0.151,0.0507,0.0848,0.0268,0.0791,0.6946,0.8554,0.3516,1.1163,0.0895,0.2955,0.0946,0.169,0.0
PAK_C10T12,2741.9028,235.7656,8.3668,1.1628,0.4443,2033.6851,142.9702,2.1854,15.6995,7.6304,120.2837,28.7655,11.5883,6.7665,5.0615,3.2935,5.0958,3.135,4.7236,4.7214,1.0434,11.0424,20.0986,6.3974,17.1131,217.3618,16.2812,19.0062,11.0533,10.4933,0.8695,1894.1521,14.7037,13.431,4.6167,15.2518,9.918,25.8486,20.017,143.6327,104.025,195.0175,50.4236,54.1564,0.0
PAK_C13T15,78.4138,25.2236,19.9931,1.7014,0.945,41.4417,5613.7066,5.6534,25.5175,7.531,23.3224,6.7769,26.6797,11.9413,8.1177,9.2294,13.1345,7.5231,13.3353,35.7361,4.5554,80.2029,24.6514,10.0025,44.2394,137.9341,22.3944,7.183,8.2987,8.4068,2.4878,34.0603,13.5211,14.9586,4.1374,12.8378,7.2607,25.7872,22.0477,119.2332,24.3325,84.7216,24.6297,75.4883,0.0
PAK_C16,76.0576,10.166,8.5958,2.1047,0.3529,31.3701,43.1639,361.3418,73.9107,1.2061,17.3375,2.0619,11.8087,27.3695,7.3008,12.7334,6.9861,7.4903,9.6417,28.1289,10.2116,451.8601,49.9798,4.1184,460.9125,74.9364,9.4691,1.6246,1.0027,7.7989,0.4441,8.9938,6.6496,3.7917,1.1272,2.8834,37.205,14.1824,9.6847,14.6669,9.3252,11.5639,7.3158,41.339,0.0
PAK_C17_18,77.2966,13.1432,8.6368,1.5519,0.4403,269.1334,189.6641,15.679,1133.9652,3.672,63.537,36.4657,37.0615,45.159,9.3482,10.4562,26.7245,18.6016,14.957,16.0282,2.249,55.9464,24.9666,11.3566,27.4743,333.5253,21.7891,4.4278,5.2423,18.6053,9.3769,48.8993,417.7461,45.9308,20.1567,105.3077,19.3129,134.7012,60.3293,175.4382,125.5244,84.8751,38.99,76.7139,0.0
PAK_C19,932.8054,243.2828,176.1455,32.8241,12.6912,86.4799,161.1962,14.0479,36.1077,490.3641,299.9084,17.0846,41.0047,124.0272,78.8234,20.8572,17.209,15.343,19.073,25.1688,6.6551,44.802,513.4641,60.6786,227.0798,541.6457,1404.752,352.6658,570.1099,89.6545,22.2905,54.4119,21.9269,48.6397,10.5899,54.276,30.5267,76.4899,74.0581,318.3521,69.2624,128.5089,34.6096,103.3329,0.0
PAK_C20,1393.88,21.3855,76.3497,15.3507,5.3208,126.4026,960.9683,35.349,190.8675,138.0113,1402.0961,136.3505,589.2408,116.7024,59.9058,42.172,70.9075,62.8979,37.817,70.4147,14.68,123.9746,67.9204,38.4959,133.739,148.2495,29.5212,8.211,9.0106,11.2982,1.2692,35.2825,35.5192,8.5985,3.6321,11.1849,31.7978,48.3655,40.7947,61.194,37.0654,245.0487,19.0739,109.7289,0.0
PAK_C21,57.717,2.0666,1.8321,0.2956,0.1023,10.0263,13.8246,0.4701,2.1044,1.6386,19.6117,107.4078,5.5019,1.6197,0.9876,0.6804,1.5647,0.9508,1.0445,1.1871,0.2623,2.6236,1.9299,0.9022,2.9223,10.6479,1.6941,0.7086,0.843,0.6811,0.1269,1.9607,1.1834,1.4301,0.4816,1.4417,0.7571,9.4598,1.3777,15.8312,4.0999,421.7968,1.741,4.2935,0.0
PAK_C22,114.6466,20.8997,23.859,4.3253,1.5945,190.9998,249.1216,10.7815,59.6303,7.6263,87.3299,30.3271,287.6923,42.1416,12.969,24.7367,79.2911,58.9258,63.0276,179.8566,14.582,113.7076,17.9724,18.5162,241.5152,264.7008,110.529,4.0727,6.1059,15.434,2.6445,24.9484,15.6484,12.7508,3.9996,10.8204,19.0328,25.8224,18.1566,37.591,12.9243,46.1133,8.4978,47.3113,0.0
PAK_C23,78.351,5.4372,20.9133,8.0561,2.7562,116.0841,44.6634,11.6625,6.5217,5.3381,42.7464,20.3537,31.2909,754.5836,45.4691,28.415,47.5449,32.7259,23.3763,62.2123,11.5048,46.9447,31.7866,17.5512,1682.0255,90.4444,16.6291,3.6498,2.9482,7.6353,0.4206,28.9674,3.7038,8.4378,1.626,5.0091,69.1801,25.7342,10.8487,39.7418,17.8708,30.9376,7.0953,22.9078,0.0
PAK_C24,23.3208,2.5633,98.0129,5.16,4.965,23.9822,43.6141,7.0158,16.3254,5.415,41.8971,5.2261,37.6268,73.9175,1738.8767,797.8734,217.172,454.0458,489.9977,484.4904,88.4595,282.2564,48.8336,42.2745,542.3743,76.0331,20.153,4.2113,2.2857,9.9621,0.1298,2.0697,4.3193,5.1969,0.8988,2.9964,10.4027,21.0806,5.191,10.9214,3.0568,7.9451,2.0989,24.9364,0.0
PAK_C25,78.7737,13.9535,66.2543,5.3792,3.3911,82.7095,75.737,12.5644,14.4114,7.3369,29.4199,5.6859,26.2932,34.4698,71.4096,221.0597,69.4343,63.1838,161.3581,179.6929,37.2125,107.4841,42.8082,15.5974,402.0719,92.2819,21.768,6.4221,5.0864,13.775,0.8048,13.5869,5.9269,13.7782,2.7748,6.2025,16.0879,27.5537,15.7519,68.0011,12.4932,17.9319,8.1391,41.6917,0.0
PAK_C26,18.4728,3.7715,8.4039,0.7381,0.5011,8.8378,15.3373,0.9039,4.9271,2.2711,5.2112,2.0766,3.9892,3.5387,3.536,5.3041,452.4506,36.9588,24.1668,29.6436,6.4506,23.4337,21.4655,4.2232,31.6427,60.5007,9.6983,3.0636,4.668,5.1586,1.2805,5.2573,14.5555,114.3691,25.3296,14.7077,3.6901,31.2096,10.6538,42.2234,17.1466,61.7152,7.6626,80.6103,0.0
PAK_C27,17.5921,4.9653,10.1839,1.0003,0.5321,7.3449,14.5565,1.0005,3.3679,1.722,4.7594,1.115,4.2388,5.2294,9.3575,10.4755,107.6674,170.7455,50.2048,64.1921,10.0028,32.9636,77.2532,4.7916,144.2816,57.583,15.1362,3.4091,2.9722,6.0154,0.5952,6.3025,5.2906,43.6686,4.5341,4.8279,7.2864,16.1054,8.2204,19.093,6.4935,12.5068,5.8972,48.2337,0.0
PAK_C28,90.5166,13.4956,64.9271,7.5306,3.924,23.1135,42.6177,3.8519,13.1383,7.0304,13.7799,3.5099,9.7514,17.8241,15.3876,20.8591,32.8935,26.1131,198.4858,82.3153,17.8305,51.3145,50.171,11.6875,99.8525,78.3592,22.0622,7.9588,8.3003,10.1629,0.855,6.5694,5.3288,14.7792,3.0917,5.531,6.0077,17.7765,13.0646,31.0871,7.5286,17.0141,4.831,25.8857,0.0
PAK_C29,21.4322,2.99,8.8393,1.2333,0.431,8.7351,13.4089,1.0184,2.4777,1.5275,4.1375,1.0669,5.4506,5.0256,25.4112,11.4235,11.6557,14.1923,23.1219,640.2255,6.915,20.9837,7.5691,5.7439,20.5816,221.7706,76.2804,2.3327,4.0091,7.7966,1.4238,2.5753,2.1136,6.2352,1.1899,3.0077,2.3436,7.6898,10.4845,18.6658,3.4849,6.8376,2.6374,14.0433,0.0
PAK_C30,1.5565,12.8943,1.4871,0.1439,0.0429,0.6271,0.8114,0.0777,0.1678,0.1413,0.2375,0.0772,0.303,0.2506,0.3123,0.577,1.1871,0.6848,1.8152,10.9336,92.8459,14.782,0.9027,0.2636,2.0311,6.4179,16.2097,26.1828,27.3574,2.3084,0.136,0.3187,0.217,0.4266,0.0957,0.249,0.2145,0.9294,1.4501,35.5245,0.3853,0.8621,0.6334,3.6972,0.0
PAK_C31T33,165.5552,33.6304,62.9661,6.9442,2.9749,37.929,144.204,15.5372,22.3751,11.0795,24.411,8.9301,13.678,23.894,21.4093,16.5651,31.9683,14.3366,27.7298,30.0968,9.3396,180.8244,95.0924,20.1829,88.7701,119.4031,69.1721,32.5779,52.9409,23.1077,3.0382,29.3695,15.9668,49.63,8.1413,33.4216,19.3152,41.3036,30.2005,104.5871,48.1718,265.0748,36.6131,51.5058,0.0
PAK_D,755.666,85.9218,300.7026,46.8147,11.0574,275.6077,656.1089,40.8852,201.9499,149.6979,332.7798,42.1669,105.0851,273.0224,277.5209,65.6564,80.2276,44.4926,62.6172,87.887,17.9983,88.0126,4434.602,191.7839,93.3954,731.4132,214.6283,17.9273,19.6627,103.8744,13.5039,336.5837,73.98,270.5636,27.6179,139.135,227.2399,145.9064,77.5195,654.0093,335.7985,454.1922,159.3029,229.0739,0.0
PAK_E,67.0116,8.0808,21.6463,2.2108,0.9711,31.7002,55.2709,2.998,37.1974,6.6474,19.9317,4.1735,10.7049,18.3182,113.8092,10.9947,5.7997,3.5408,6.7425,5.3548,1.7345,8.1117,68.5426,213.7687,25.1769,89.1639,16.296,4.1304,3.0006,10.6572,1.3966,46.9374,7.2395,12.4798,3.9263,15.95,42.6803,23.6905,17.495,187.4812,45.9854,75.3386,18.4263,36.9351,0.0
PAK_F,75.2045,7.9555,31.4327,3.3934,1.6561,15.7311,28.515,3.0887,5.9127,6.7981,9.7254,2.711,4.4854,15.3084,5.9429,6.3047,6.002,4.1509,6.5784,6.9687,2.1388,12.8366,115.1407,25.8816,701.1078,100.261,40.8335,5.7105,7.1102,29.0818,2.1993,29.4824,7.7058,41.8545,4.4975,28.5149,255.5011,42.5673,18.0671,270.3592,58.487,50.8691,19.1272,28.0628,0.0
PAK_G,3133.0207,282.1152,210.6654,28.0549,14.63,2109.3502,2661.2811,127.803,292.6554,396.8758,502.9892,150.8691,228.0898,261.1754,233.1324,148.5257,281.9039,148.6005,226.4235,405.9797,54.9573,317.1051,539.8681,95.6182,616.54,3158.6953,930.4275,146.5911,188.4589,131.9451,27.2076,634.544,256.2053,293.815,65.089,160.3417,90.9207,238.2569,217.6119,485.1438,169.7212,478.7303,118.0631,256.4201,0.0
PAK_H49,636.2932,56.2758,202.0931,28.6286,7.5644,437.9181,345.0146,41.1986,101.6326,163.9026,147.6609,22.4228,59.3393,142.2326,86.2139,47.1744,51.331,35.7863,52.2061,81.5987,11.7866,73.7114,203.0031,37.932,191.4973,1076.6738,772.9186,68.9325,50.2787,219.9372,36.7448,94.9417,55.9845,48.6224,14.2914,60.574,20.9051,79.1038,63.2455,207.1273,102.1375,103.677,34.7479,99.8788,0.0
PAK_H50,79.2396,43.7396,110.651,6.1973,1.8618,55.5187,78.1328,8.5078,20.2361,68.5064,41.3069,4.9125,12.9623,33.2542,24.6835,12.4797,15.4554,9.9797,15.3554,18.0913,4.6122,15.6987,32.3087,6.4485,27.1646,370.2546,121.1165,993.4361,21.008,154.3585,6.6633,11.1306,9.74,20.4631,4.176,11.1142,4.2332,19.9366,21.9533,49.8826,10.6733,16.3143,8.4353,15.7457,0.0
PAK_H51,63.7577,6.9238,25.4874,1.7651,1.1737,35.5733,53.3621,2.6873,9.9154,28.7147,22.6259,5.7621,9.7119,10.567,12.0929,8.5032,16.1334,8.6491,12.4331,12.8981,3.2579,13.6502,33.7327,4.4243,25.4868,129.5279,29.2253,12.7189,102.0412,41.2546,13.9248,14.341,12.7594,19.1534,10.8898,40.3842,5.874,46.9307,50.6257,92.0939,24.6081,25.672,12.6306,28.8403,0.0
PAK_H52,135.4228,43.3317,52.3307,8.7908,3.1587,116.5809,115.3178,9.7722,28.7114,44.154,46.5709,10.2064,16.2991,35.3033,22.9032,14.7065,18.5613,11.2438,17.1887,28.2126,4.2265,22.7454,50.1771,12.6708,42.4336,818.5956,508.2694,389.3256,347.0024,442.5977,16.7042,21.3066,18.9597,27.9014,5.968,14.6205,6.758,32.4932,24.1518,66.9914,11.6677,20.3607,9.8851,26.2252,0.0
PAK_H53,9.301,1.5319,4.3831,0.3863,0.2011,5.5989,16.5776,0.6402,3.137,1.1375,3.7892,1.4419,1.4833,2.0479,1.0916,1.3123,2.9199,1.209,2.2005,2.0178,0.4674,3.4573,16.4806,3.856,5.7382,111.0184,11.4291,2.576,3.4125,11.9831,57.5863,8.1359,28.6138,55.9978,6.2752,65.4627,6.8826,29.0229,15.7697,76.0916,14.696,20.3849,9.1766,23.3676,0.0
