V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T
CRI_A01_02,435.3203,1.8364,0.2183,5.1467,0.0046,1695.0475,8.6083,29.2767,0.2944,0.0364,2.9751,0.2693,4.8232,0.2045,0.7373,0.0752,0.0813,0.0592,0.0042,0.0015,0.0004,4.0529,0.1704,1.9618,0.3939,1.0254,0.0439,0.0613,0.0125,0.209,0.0057,116.8132,0.0865,0.0256,0.0017,0.1256,0.1483,1.9202,1.0308,5.6945,30.3704,18.5351,1.5547,3.6873,0.0
CRI_A03,0.0061,3.5337,0.0,0.0,0.0,66.1253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3751,0.0,0.0028,0.0,0.0,0.0,0.0,0.01,0.067,0.4794,0.1122,0.0,0.0,0.0
CRI_B05_06,0.0299,0.0,0.0832,0.9018,0.0012,0.1653,0.0,0.0007,0.0014,0.4158,0.9236,0.0077,0.0003,0.3494,0.0061,0.0063,0.0,0.0,0.0,0.0,0.0,0.1277,0.1172,0.006,2.7692,0.4039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
CRI_B07_08,3.2034,0.0175,0.0173,1.6639,0.0015,3.2059,0.0001,0.1506,0.0056,0.1752,2.3368,0.0738,0.004,28.7059,2.0953,0.0065,0.0,0.0011,0.0001,0.0,0.0,0.1994,0.1236,0.7043,263.9624,0.5672,0.1291,0.1161,0.0168,0.001,0.0,0.0059,0.0,0.0638,0.0,0.0,8.7757,0.5639,0.2438,0.1353,0.1468,0.0032,0.0083,0.1346,0.0
CRI_B09,0.0106,0.0004,0.0015,0.0543,0.0002,0.01,0.0001,0.0001,0.0057,0.0676,0.012,0.0002,0.0008,0.0361,0.0211,0.0014,0.0,0.0002,0.0001,0.0,0.0,0.0011,0.04,0.0036,0.2155,0.002,0.0043,0.0008,0.0002,0.0013,0.0,0.0008,0.0,0.0,0.0,0.0,0.0056,0.0038,0.0023,0.002,0.0002,0.0012,0.0003,0.0004,0.0
CRI_C10T12,181.2016,15.4123,0.0141,0.413,0.0005,827.5865,0.8404,1.4152,1.5814,1.4297,35.044,6.9096,3.0424,0.6136,0.7678,0.2396,0.1445,0.5511,0.0388,0.027,0.0055,3.6746,0.6959,1.9069,10.0941,13.8053,0.3133,0.4705,0.1523,1.9703,0.0695,565.8156,0.3493,0.8517,0.2274,2.9278,1.6593,5.5862,6.1338,10.1705,34.9992,29.8975,9.482,15.2571,0.0
CRI_C13T15,2.7911,0.0361,0.0026,0.0941,0.0001,4.5737,30.7943,0.0244,11.0669,0.0751,0.4169,0.0585,0.4002,0.0908,0.162,0.1544,0.0657,0.2901,0.0205,0.0181,0.0043,10.2069,0.4977,0.7462,1.0608,4.2877,0.1254,0.1529,0.0532,0.2755,0.0705,3.9818,0.1575,0.4452,0.0758,1.1267,0.4583,1.7344,2.1538,2.081,1.4009,5.1521,1.1113,2.5771,0.0
CRI_C16,8.4719,0.0242,0.0036,0.1042,0.0001,7.9551,1.6561,19.0975,0.2293,0.0406,1.1576,0.0244,0.2699,2.854,0.2259,1.2727,0.0042,0.4664,0.0329,0.2329,0.0523,15.5564,0.0212,0.1473,52.557,0.2966,0.0024,0.0029,0.0007,0.0777,0.0004,0.1618,0.0382,0.0178,0.0,0.0063,13.1955,0.6612,0.0585,0.2463,0.2243,0.5868,0.0094,0.3793,0.0
CRI_C17_18,59.3285,0.0342,0.0015,0.0855,0.0001,53.6254,2.3076,0.1686,112.7555,1.1649,11.875,3.3922,2.9375,6.5362,1.041,0.3753,0.3859,1.6934,0.1202,0.0977,0.0161,31.4913,1.11,1.4453,12.4856,51.946,0.7273,0.7174,0.1994,1.6159,0.6195,26.4242,14.3799,1.6582,0.5506,6.9306,7.7939,50.5242,14.116,7.7796,25.0379,34.0599,1.4992,9.8469,0.0
CRI_C19,13.7268,0.8216,0.0307,1.9397,0.0015,9.0313,0.2368,0.3671,0.5877,0.1758,1.0557,0.0457,0.5581,4.4913,0.9254,0.3505,0.0357,0.11,0.0077,0.0609,0.012,3.2334,2.9561,1.1872,9.5727,5.426,14.7189,15.8089,5.524,1.6407,0.706,4.0989,0.1761,0.577,0.1367,0.5498,0.9224,3.0419,4.5894,1.3775,1.0515,1.793,0.7118,1.4644,0.0
CRI_C20,133.8444,0.4422,0.0308,1.7081,0.0022,67.7026,6.1668,0.7453,19.1376,46.3067,188.4358,10.4401,65.4429,4.4933,2.5888,4.5776,1.2459,10.9506,0.772,0.5177,0.0897,50.0862,0.4747,1.7334,49.6394,27.0299,0.3789,0.4847,0.1761,0.392,0.0991,15.0192,1.2992,0.2697,0.1096,0.6421,14.57,5.3023,4.7511,2.7549,5.7788,33.9622,2.3863,15.2798,0.0
CRI_C21,9.0266,0.0422,0.0025,0.0723,0.0001,3.8666,0.0588,0.002,0.0339,0.4183,1.99,3.3724,0.0872,0.0119,0.0256,0.0143,0.0043,0.0176,0.0012,0.001,0.0002,0.848,0.0303,0.0737,0.1341,0.1972,0.0063,0.0107,0.002,0.0382,0.0019,0.5572,0.0052,0.0415,0.0055,0.1182,0.0713,0.5901,0.1289,0.5953,0.2639,8.5446,0.0171,0.143,0.0
CRI_C22,4.5729,0.0376,0.0012,0.0543,0.0001,16.8706,0.8997,0.0569,2.2301,1.0603,6.2483,0.8262,3.2445,0.6376,0.2637,0.4377,0.2837,1.6667,0.1176,0.0711,0.0093,20.6598,0.1522,0.5909,15.0657,2.6623,0.1267,0.0661,0.0158,0.1,0.0221,2.7933,0.1442,0.0802,0.0128,0.107,2.1547,0.8983,0.3083,0.1668,0.2425,1.2557,0.0962,0.4032,0.0
CRI_C23,2.2877,0.1131,0.0057,0.3473,0.0005,7.8174,0.0944,0.0718,0.3265,0.5493,4.9075,1.6589,0.7413,45.2813,2.5503,0.8437,2.9524,3.2126,0.2262,0.5677,0.0852,10.8269,0.3622,1.5902,472.7559,4.8354,1.2548,1.7539,0.7373,0.3225,0.1711,3.4796,0.1178,0.9675,0.1503,0.6697,16.6908,3.4364,1.1729,2.0561,9.7675,3.7483,0.2783,0.949,0.0
CRI_C24,0.2436,0.0394,0.0111,0.4197,0.001,0.5559,0.005,0.0056,0.1711,0.0752,0.0813,0.2887,1.1355,4.9826,37.921,14.8872,0.6025,24.414,1.7236,1.2861,0.1514,27.8815,0.5122,0.1056,104.4706,1.5144,0.2194,0.4187,0.0272,0.0028,0.0,0.0693,0.0563,0.2821,0.0,0.0,3.4723,0.2853,0.0399,0.0989,0.2713,0.1284,0.0259,0.0469,0.0
CRI_C25,3.5382,0.1262,0.0205,0.8855,0.0018,15.9995,0.394,0.8202,1.5807,0.0416,5.0301,0.1673,1.7979,2.6201,3.6293,6.9073,0.9317,6.8269,0.4813,0.9044,0.158,30.7963,0.5562,0.6958,67.6354,7.4735,1.0591,1.4288,0.2168,0.2243,0.0423,2.7893,0.2284,0.2411,0.1774,0.1169,4.3538,1.1181,1.3919,1.1777,1.4289,2.4821,0.3171,8.1331,0.0
CRI_C26,0.1045,0.0096,0.0004,0.0185,0.0,0.4693,0.051,0.0176,0.0621,0.0076,0.1555,0.0868,0.0731,0.0569,0.0264,0.1372,0.9711,0.8994,0.0634,0.031,0.0059,4.4108,0.0708,0.0732,9.5046,0.4896,0.0245,0.0326,0.0051,0.0124,0.0168,0.2152,0.0128,0.2584,0.0577,0.0685,0.1832,0.758,0.1491,0.0868,0.1593,0.7506,0.0464,0.4135,0.0
CRI_C27,1.2529,0.073,0.0018,0.0669,0.0001,4.832,0.3498,0.0615,0.7456,0.181,1.3288,0.2055,0.8344,0.4119,0.2141,0.382,2.0715,9.0174,0.6357,0.156,0.0261,18.3157,1.046,0.4452,52.2856,1.6767,0.1304,0.1374,0.0383,0.1624,0.0188,1.5737,0.0766,2.0226,0.3391,0.5601,1.4165,1.583,0.5175,0.5062,0.7494,0.7284,0.5958,0.8213,0.0
CRI_C28,0.3021,0.0087,0.0,0.0019,0.0,0.6149,0.04,0.0042,0.2623,0.0327,0.0658,0.0331,0.1358,0.1174,0.0372,0.1938,0.1417,0.3433,0.0242,0.0178,0.0036,1.6137,0.1741,0.1181,3.2124,0.4195,0.0042,0.0068,0.0012,0.1081,0.005,0.0277,0.0521,0.0942,0.0002,0.0283,0.0068,0.1911,0.1054,0.1406,0.0477,0.315,0.003,0.0457,0.0
CRI_C29,0.2858,0.0047,0.0014,0.08,0.0001,0.1708,0.0052,0.0048,0.0047,0.0008,0.0116,0.0005,0.0081,0.0247,0.0026,0.0086,0.0001,0.022,0.0016,0.0511,0.0013,0.0821,0.0019,0.0268,0.4098,0.2422,0.7321,0.1165,0.0673,0.0461,0.0048,0.0053,0.0023,0.0036,0.0032,0.0085,0.0095,0.0583,0.0898,0.0001,0.0005,0.0198,0.0016,0.0583,0.0
