V1,COL_A01_02,COL_A03,COL_B05_06,COL_B07_08,COL_B09,COL_C10T12,COL_C13T15,COL_C16,COL_C17_18,COL_C19,COL_C20,COL_C21,COL_C22,COL_C23,COL_C24,COL_C25,COL_C26,COL_C27,COL_C28,COL_C29,COL_C30,COL_C31T33,COL_D,COL_E,COL_F,COL_G,COL_H49,COL_H50,COL_H51,COL_H52,COL_H53,COL_I,COL_J58T60,COL_J61,COL_J62_63,COL_K,COL_L,COL_M,COL_N,COL_O,COL_P,COL_Q,COL_R,COL_S,COL_T
COL_A01_02,1430.9878,102.9825,301.8576,29.22,0.4638,10496.7713,186.1628,157.6035,51.3197,4.7117,101.7485,15.8209,47.2712,22.6242,26.003,7.2725,0.0604,2.3174,3.2824,1.4833,0.515,22.5967,154.6742,36.176,186.056,133.4898,3.9395,0.4892,0.9587,0.6456,0.7554,1384.7015,10.0554,0.0975,1.6851,18.4726,7.3894,2.9182,9.1364,115.6512,35.8344,40.7937,8.7453,7.4755,0.0
COL_A03,8.6147,1.6177,21.9374,2.0589,0.0336,43.0558,49.1613,0.1464,1.6679,0.2984,25.0067,10.724,1.3897,1.6109,1.5021,0.4049,0.0031,0.1305,0.228,0.0321,0.0284,0.4176,11.1817,2.532,0.1343,5.3153,0.2546,0.0348,0.0604,0.0311,0.0525,24.5274,0.0473,0.0,0.1131,1.1814,0.3877,0.0831,0.6325,60.3645,3.9633,6.1823,2.8865,3.6351,0.0
COL_B05_06,432.7667,21.8641,1132.4389,108.5991,2.4045,276.7831,55.5772,8.2543,90.8523,2093.9994,70.8059,1.2967,70.091,94.4363,89.6468,22.6609,0.1567,6.6112,11.734,1.6688,1.4432,21.7317,1694.3146,127.1823,22.9637,269.0934,23.0067,1.7566,4.2039,2.2895,2.7244,48.3935,2.4402,0.0073,5.6796,59.3672,19.7442,4.6868,31.7845,159.5978,56.7802,34.6521,19.2788,15.3495,0.0
COL_B07_08,35.604,0.7697,32.15,20.6658,0.0332,14.7221,1.8897,0.1439,2.8847,13.3094,57.9936,1.889,2.0981,195.1651,1872.051,270.4209,0.0193,0.709,0.4373,4.9352,0.9835,20.4078,11.0546,2.5285,895.1302,5.2646,0.6141,0.0342,0.06,0.0357,0.0521,7.582,0.0516,0.0003,0.1112,1.1827,0.5282,0.1036,0.6327,3.4643,1.1765,0.7036,0.4022,0.3205,0.0
COL_B09,14.3624,0.7238,36.443,3.4598,0.0557,8.3745,1.5737,0.243,2.7717,0.5246,2.1953,0.0409,2.3087,3.0945,2.5031,0.6744,0.0051,0.217,0.3788,0.0535,0.0472,0.7078,18.5632,4.2035,2.2238,8.8243,0.4227,0.0577,0.1003,0.0517,0.0872,0.6381,0.0785,0.0,0.1878,1.9613,0.6436,0.138,1.0501,5.2651,1.8736,1.1447,0.635,0.5051,0.0
COL_C10T12,1628.0141,48.2213,6.2587,2.5024,0.1749,4230.6936,13.8042,6.9733,30.8803,4.3304,252.4381,34.2879,4.1857,19.9842,14.5427,3.1689,0.0477,1.4802,1.3386,0.2955,0.1241,9.1266,148.8252,4.6054,64.2805,42.2628,4.3311,0.0792,2.3315,0.4874,0.1862,3807.3595,0.3487,1.3174,3.0975,9.7298,0.7557,14.098,9.0614,27.0144,49.5286,79.0121,3.4548,4.9446,0.0
COL_C13T15,51.7146,0.4977,19.2047,2.3679,0.4259,25.8738,1056.6975,0.8778,92.179,3.1265,14.6453,2.2057,11.2235,4.045,12.4825,6.9602,0.1001,2.3974,1.0052,6.3247,2.11,78.4131,34.1614,8.1552,167.1465,79.8024,20.4727,0.1596,4.4469,11.4128,1.7325,101.5963,5.594,8.4474,4.8581,7.2138,1.8685,12.4919,27.4831,38.9758,52.3396,28.3517,6.5308,13.3001,0.0
COL_C16,38.6374,0.1949,4.7497,11.827,0.0004,9.9721,10.3011,115.8425,1.5734,0.4847,1.5916,0.1816,2.869,4.4082,4.5166,4.1004,0.1625,5.5862,0.849,0.5308,0.0724,136.5551,7.2311,0.1338,437.3393,71.2896,0.5206,0.1774,0.451,1.5172,0.1907,2.7704,0.3441,0.556,0.2139,0.6213,0.0555,12.0233,0.0024,8.6223,3.0724,2.9838,2.0619,4.203,0.0
COL_C17_18,123.8674,1.5836,9.9783,5.5177,0.1055,282.0935,67.3597,22.8155,946.1965,7.9137,138.7116,28.697,42.222,11.4036,10.1692,4.9361,0.7408,18.0736,5.8676,1.4206,0.5278,22.8572,165.3425,5.0562,26.2652,166.2189,12.6311,0.1909,3.1238,5.8425,4.0693,51.365,64.4181,79.7241,33.7648,43.1005,9.3014,60.5881,119.1001,536.1894,182.6447,47.7765,16.1267,16.1654,0.0
COL_C19,283.1478,4.8985,655.0674,28.1205,0.8441,73.2575,26.0601,3.9676,22.8937,5448.902,75.838,3.5163,9.7399,397.6494,13.4167,4.2784,0.2788,11.1265,0.7506,2.9302,1.1195,27.2479,254.6832,46.2824,335.3186,295.1153,1915.8636,16.5495,414.5362,48.3657,16.1141,28.8153,4.5935,18.3148,5.1127,26.213,3.8278,36.5429,19.5259,213.7729,4.5492,42.4581,4.2587,9.1052,0.0
