V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T
KHM_A01_02,226.8321,0.0147,0,0.6194,0.1825,298.4805,0.5308,10.635,2.006,0.0014,5.5387,1.0424,4.3695,0.361,0.0178,0.034,0.0,0.0,0.0,0.0181,0.0261,0.6981,13.8353,7.875,23.7423,55.5257,3.2907,1.918,0.7708,1.244,0.2555,248.8009,1.6741,0.9364,0.0491,0.1334,3.1779,0.4282,0.4491,6.9173,2.073,13.9273,3.7775,5.8353,0
KHM_A03,134.2092,147.2615,0,0.2219,0.0579,109.0753,0.2257,3.7618,0.5443,0.0,1.682,0.5513,1.5607,0.1277,0.0067,0.0115,0.0,0.0,0.0,0.0054,0.0135,0.1015,4.7844,2.3412,0.0034,19.6377,0.8281,0.7732,0.4623,0.3058,0.1068,88.0694,1.1755,0.3202,0.0227,0.0468,0.0042,0.0603,0.2335,0.0063,1.0847,5.7623,1.4819,2.0628,0
KHM_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KHM_B07_08,2.6982,0.0145,0,0.1809,0.0247,1.4366,0.1516,0.0131,0.1643,0.6468,0.0758,0.0043,0.0996,8.2105,9.3826,4.9999,0.0,0.0002,0.0015,0.0011,0.002,0.0339,12.7661,5.3953,7.5494,0.2977,0.3651,0.0396,0.1145,0.1078,0.2481,2.5156,0.8599,0.8044,0.1335,0.1972,10.3682,0.9504,0.5311,1.7587,0.2639,0.1284,0.6954,1.8547,0
KHM_B09,2.3098,0.0124,0,0.1585,0.1104,0.7665,0.0378,0.019,0.0747,0.214,0.0274,0.0005,0.0599,0.9101,2.646,2.479,0.0,0.0,0.0009,0.0005,0.001,0.0582,9.0895,3.2449,1.5239,0.1331,0.17,0.0183,0.0272,0.0452,0.3471,0.6531,0.6964,0.0,0.0244,0.1647,8.6876,0.6045,0.1167,1.6477,0.232,0.2005,0.2704,0.6454,0
KHM_C10T12,11.5213,0.1024,0,0.0563,0.0068,193.9813,0.6366,0.0299,1.7589,0.0002,0.0885,0.0129,0.1448,0.0841,0.95,1.6872,0.0,0.0001,0.0083,0.0854,0.1611,0.7051,1.4905,1.0927,12.7497,22.3479,2.3307,1.3679,1.2511,0.7661,0.3685,80.3467,0.8179,1.1385,0.1431,0.0968,3.654,0.3831,0.3854,2.0315,0.5566,0.275,0.5971,0.9517,0
KHM_C13T15,16.8052,0.147,0,0.0061,0.0012,39.1458,1213.5026,0.0357,35.7077,0.0086,0.2787,0.0427,38.6574,0.1053,1.9663,4.6309,0.0,0.0001,0.013,0.1176,0.1698,5.3428,1.9048,2.0935,40.1167,36.144,10.2111,2.5152,3.8895,3.3719,0.7546,47.3297,5.4656,1.7625,13.8128,0.0002,0.002,27.8749,19.0526,26.1942,6.2769,0.1086,0.5398,2.0313,0
KHM_C16,9.5829,0.0458,0,0.0181,0.002,0.3411,0.4944,6.6564,0.0008,0.0075,0.0002,0.0,0.0007,0.0005,0.0073,0.0248,0.0,0.0,0.0001,0.0654,0.0731,0.3811,0.506,0.1394,1.4736,2.6479,0.0186,0.0049,0.0027,0.0118,0.0,1.5803,0.0155,0.0,1.0719,0.0,0.0,3.0673,1.2081,0.0024,0.0,0.0006,0.025,0.0756,0
KHM_C17_18,0.0094,0.0,0,0.0049,0.0007,0.4493,0.7732,0.0213,6.4379,0.0108,0.0964,0.0215,0.0409,0.022,0.3259,1.0129,0.0001,0.0002,0.0089,0.0248,0.0321,0.7486,0.2636,0.2255,2.2221,1.4678,0.5101,0.0743,0.1249,0.2804,0.0784,3.5954,2.3157,0.2268,0.0215,0.0211,0.002,0.0582,0.1161,2.5573,0.7885,0.0176,0.0417,0.08,0
KHM_C19,15.1839,0.0821,0,1.2063,0.1364,4.5444,0.0414,0.3885,0.0001,1.0291,0.026,0.0012,0.1342,0.2946,0.1791,0.308,0.0003,0.0012,0.0,0.0851,0.1169,0.3111,7.0423,1.5653,0.5897,6.8826,12.2299,2.1546,3.8175,0.8674,0.0479,0.6739,0.2307,0.0854,0.0562,0.1193,0.2315,0.1485,0.3622,1.5447,0.1234,0.0794,0.2588,0.4625,0
KHM_C20,41.6812,0.0456,0,0.6169,0.1004,0.7287,0.3874,0.1969,0.0313,0.3506,3.4321,0.2121,7.6367,0.5612,0.1264,0.2223,0.0,0.0001,0.0039,0.0233,0.0236,0.235,0.1046,0.3519,0.1616,2.444,0.0276,0.0048,0.0061,0.0108,0.0245,0.0576,0.0617,0.07,0.0245,0.1727,1.8792,0.1993,0.0615,0.0624,0.1142,4.0078,0.0497,0.2259,0
KHM_C21,5.3599,0.0178,0,0.0287,0.0028,0.1008,0.0202,0.0115,0.0008,0.0323,0.2075,0.5823,0.2063,0.0215,0.0074,0.0114,0.0,0.0,0.0003,0.0008,0.0015,0.0115,0.005,0.0199,0.0059,0.2448,0.0021,0.0011,0.0008,0.001,0.0045,0.0055,0.0037,0.0121,0.0033,0.0256,0.1052,0.2021,0.0037,0.0258,0.028,6.6501,0.0123,0.0268,0
KHM_C22,2.9187,0.0113,0,0.0226,0.0051,44.2389,3.402,0.3876,3.1596,0.0485,0.7207,0.118,8.5967,1.3475,2.3988,8.9641,0.0004,0.0013,0.0671,1.4927,1.3454,2.0926,0.9665,1.373,19.6131,41.3236,12.4795,0.8134,0.8995,2.0152,0.0035,6.3392,0.7779,0.0088,0.0736,0.0017,0.0007,0.2239,0.4447,2.8598,0.0031,0.114,0.1575,0.4172,0
