V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T
HKG_A01_02,0.069,0.0045,0,0,0.0148,6.6966,0.2747,0.0845,0.029,0.0075,0.1029,0.0286,0,0.0099,0.0065,0.008,0.0436,0.0125,0.0606,0.0159,0.0074,0.0053,3.467,1.2598,1.0249,5.6489,2.3876,9.587,12.5039,0.0103,0.3557,29.556,0.1351,0.8084,0.0349,0.8214,0.6275,0.1894,0.5719,0.6317,0.9279,0.9083,1.059,2.0276,0.0
HKG_A03,0.0054,0.0101,0,0,0.0024,0.1955,0.0376,0.0056,0.0056,0.0015,0.0123,0.0042,0,0.0016,0.0012,0.0014,0.0089,0.0024,0.0105,0.0033,0.0017,0.0006,0.3235,0.1436,0.1033,0.5489,0.2294,1.7956,2.4871,0.0015,0.0702,5.1295,0.0338,0.1396,0.0062,0.1357,0.071,0.028,0.0653,0.0566,0.1112,0.1635,0.1675,0.2718,0.0
HKG_B05_06,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B07_08,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B09,15.4066,5.8725,0,0,30.905,101.0379,23.4063,9.4051,5.415,7.2673,0.7312,0.0253,0,0.7862,4.0017,2.7242,4.2031,2.1721,51.3383,2.3118,1.0731,0.0917,15.4578,8.9508,2.7947,9.2138,62.9446,0.822,30.3946,6.7835,16.0045,2.3812,3.3511,0.2384,0.8303,32.025,14.1173,35.4955,44.7441,8.2852,31.1444,14.4457,3.7871,9.1625,0.0
HKG_C10T12,2.3518,0.2649,0,0,0.0162,264.6633,82.6196,11.8049,11.8648,1.6213,27.4217,6.4236,0,0.8883,0.4063,0.5559,5.091,1.317,4.4181,0.7205,0.3955,0.1272,50.9677,28.2376,136.1512,317.9369,57.1711,208.5378,170.3853,0.8281,35.4875,384.1751,10.0462,54.8973,3.5948,116.639,65.2217,17.9567,36.9122,20.6338,27.0735,78.49,34.4607,72.8497,0.0
HKG_C13T15,0.0574,0.0178,0,0,0.0083,4.1201,87.0305,0.3349,0.4806,0.0604,0.6574,0.1649,0,0.1644,0.0967,0.162,0.9947,0.3072,0.8255,0.608,0.2052,0.0809,1.6694,2.7968,2.8387,67.9715,10.1989,15.3997,9.3324,0.173,8.115,2.0695,1.3815,9.9152,0.7184,25.3381,12.4801,2.8919,10.1694,4.5539,3.4792,3.3722,3.4457,13.2348,0.0
HKG_C16,0.7025,0.0917,0,0,0.0068,21.0913,0.2431,0.0363,0.0507,0.0236,0.1805,0.0444,0,0.1014,0.0481,0.088,0.3663,0.1236,0.3442,0.166,0.0589,0.0277,1.1615,1.4185,66.7593,9.2577,9.2162,41.4211,5.8202,0.1858,1.7788,1.1183,0.3416,3.416,0.0554,2.9923,1.8297,0.5966,0.8537,0.608,0.6397,15.0079,1.4156,2.9737,0.0
HKG_C17_18,0.5038,0.1061,0,0,0.0021,132.7411,17.1215,0.4067,8.1299,0.1353,1.745,0.574,0,0.8123,0.0574,0.1235,2.8838,0.9055,1.712,0.2869,0.1014,0.2868,1.4021,2.679,24.8538,70.5244,7.5343,12.3196,6.0055,0.1523,4.5518,0.867,2.0435,7.7714,0.4652,28.9124,8.5257,3.086,3.9074,2.4241,5.2102,26.9831,2.8771,5.7237,0.0
HKG_C19,0.0283,0.0062,0,0,0.0648,0.5272,0.1971,0.0525,0.0477,3.6299,12.2641,0.9672,0,0.9422,1.6723,1.1128,0.7267,0.3224,1.0403,0.3526,0.1526,0.0589,1.2796,1.2888,0.2323,126.6555,4.4532,11.1289,8.1641,0.1562,0.7459,0.497,0.2147,0.981,0.1508,8.4717,2.9753,0.585,2.6442,5.2563,2.6928,0.4372,0.6287,1.5463,0.0
HKG_C20,0.1448,0.0103,0,0,0.0692,4.1489,1.873,0.6993,0.8783,4.0269,91.4146,9.4795,0,4.5919,1.0457,1.5508,15.8006,6.3177,8.884,2.1164,0.7916,0.5463,1.0058,12.6226,1.5086,74.639,1.5295,2.9488,2.5582,0.1117,0.9281,2.3511,2.1678,2.0519,0.2597,8.5833,5.6793,1.724,5.3433,5.6748,14.2811,5.4639,5.0843,20.6159,0.0
HKG_C21,0.0234,0.0029,0,0,0.0033,0.9899,0.3031,0.0782,0.0718,0.3159,4.7381,17.3504,0,0.2425,0.0879,0.1114,1.4279,0.3147,0.7639,0.1429,0.0751,0.0346,0.2174,1.0003,0.4557,12.4906,0.3255,0.6888,0.7451,0.0118,0.2216,0.5692,0.2159,0.6232,0.0752,2.255,0.8745,0.6497,0.5589,2.4244,3.823,8.3454,1.419,2.3427,0.0
HKG_C22,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_C23,0.0822,0.0158,0,0,0.0901,16.6433,0.7205,0.2183,0.1584,4.6962,10.0744,3.1199,0,74.171,7.5898,8.3965,45.6076,17.299,18.1047,13.0295,4.2178,0.7746,0.9975,7.2869,8.8514,41.5504,1.0916,0.8799,1.2778,0.137,2.1476,0.9219,1.0726,6.9499,0.153,6.832,4.3384,0.7792,2.079,18.3567,14.0314,0.8579,3.6296,9.4683,0.0
HKG_C24,0.0089,0.0018,0,0,0.0298,0.4757,0.0657,0.0807,0.0483,0.495,1.9402,0.2042,0,1.8334,24.2756,26.3155,20.0172,14.2786,46.9304,4.2634,1.1287,0.6862,0.2901,3.3196,0.6861,360.094,0.2424,0.4266,0.2149,0.036,0.106,0.0923,0.1729,0.3326,0.0789,1.8422,1.9168,0.4599,0.7466,0.573,0.8405,0.098,0.4774,1.5137,0.0
HKG_C25,0.0283,0.0053,0,0,0.0403,1.8156,0.4428,0.1824,0.1162,0.6249,2.1615,0.3852,0,1.4424,2.9827,10.2414,17.3531,7.7176,29.061,4.7931,1.9089,0.4123,0.6403,2.4238,2.4878,408.885,1.0397,2.2087,2.5871,0.0526,0.3789,0.7213,0.3927,1.6402,0.1777,4.9834,5.3162,0.712,2.2576,2.1988,1.8404,0.7437,1.3154,2.3126,0.0
HKG_C26,0.0635,0.0111,0,0,0.0462,4.6309,1.5447,0.3021,0.3636,0.4935,2.049,0.5888,0,0.46,0.3161,0.7029,168.4242,11.3024,20.1149,3.6088,1.6141,0.2423,3.797,6.5241,4.3821,1116.592,3.2534,6.6085,8.6223,0.0615,5.8859,3.0602,4.9719,79.1328,2.2964,24.7557,10.4885,3.7843,7.2376,9.1459,9.9762,3.3612,7.5444,19.0258,0.0
HKG_C27,0.0291,0.0049,0,0,0.0204,1.9845,0.5889,0.123,0.143,0.361,1.241,0.2722,0,0.5757,0.4524,0.8253,42.897,27.4535,26.2701,4.5813,1.5742,0.1903,3.1892,4.3864,2.3728,610.1281,1.3593,2.9801,3.7106,0.0286,2.4054,1.1763,2.1472,27.6444,0.5348,6.6868,6.5054,1.574,3.9976,3.248,3.415,1.1712,3.5108,9.4753,0.0
HKG_C28,0.0821,0.0169,0,0,0.1069,4.4011,1.1178,0.332,0.3464,0.874,3.3674,0.8149,0,1.8913,1.8684,3.7109,12.1688,4.8979,68.2235,11.1857,4.6073,0.2916,2.299,3.3689,5.1178,116.5248,3.8353,11.2134,15.0363,0.1341,1.5499,2.413,0.7461,6.6119,0.2898,16.7884,8.2158,1.0966,3.6677,4.2079,2.7037,3.7212,2.1606,3.3541,0.0
HKG_C29,0.0672,0.0062,0,0,0.4746,1.431,0.5801,0.0904,0.0926,0.1095,0.6574,0.1435,0,0.4368,0.3815,0.7811,2.6324,1.0856,10.4455,66.6862,3.7951,0.2664,0.3299,8.7824,0.7102,146.7343,5.5518,5.6276,3.7729,0.0309,3.5864,0.6246,1.5593,4.3288,0.2108,6.5435,1.8351,0.7225,3.7374,10.3193,0.6921,0.6085,5.9668,9.1217,0.0
HKG_C30,0.0021,0.0005,0,0,0.0007,0.1244,0.0401,0.0099,0.0116,0.0236,0.1049,0.0234,0,0.0826,0.0196,0.0465,0.4624,0.1393,1.7064,20.9342,19.7123,0.0519,0.0526,2.0474,0.1165,48.4884,1.2957,8.4863,5.9083,0.0058,0.7772,0.1203,1.013,0.811,0.0567,2.1741,0.4869,0.302,1.0759,8.2775,0.1533,0.1148,3.2819,3.608,0.0
