V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T
NZL_A01_02,3503.0033,26.6407,0.4503,1.1213,0.2541,10056.6468,148.5157,665.5138,332.1158,0.3174,1.0562,2.9167,13.6491,1.2781,0.3123,1.2495,0.5407,0.3748,8.9096,0.1135,0.2531,1.6044,1.7424,0.8856,64.8055,104.0703,7.6749,4.0074,2.6898,6.9661,0.4232,167.7072,3.663,0.8618,1.9491,17.2147,18.2491,59.2791,87.0335,161.733,4.9624,93.5567,91.1318,15.139,0.0
NZL_A03,177.3217,318.0842,1.8135,0.9653,1.0492,332.3094,1.2996,0.7876,4.1326,1.037,1.2272,1.724,0.8822,0.8724,0.3368,2.3038,0.0094,1.062,0.8791,0.0791,0.2113,1.6675,1.544,0.989,9.1324,84.9213,5.3784,0.8539,6.0118,4.5511,0.8982,100.3576,18.054,2.1481,2.9122,64.5617,34.7609,17.4307,19.437,12.7289,2.7795,15.4441,4.1519,4.3495,0.0
NZL_B05_06,12.5626,4.746,142.635,7.7098,7.9199,43.1998,3.2665,1.8548,3.6048,422.1507,55.3962,0.5646,1.6075,14.4745,38.6779,6.5495,0.0688,0.1953,1.7856,0.1148,0.1267,1.0697,113.5537,3.2112,143.9997,145.21,7.9791,1.5728,7.0969,2.1589,0.1533,4.3573,1.5026,1.1986,0.2798,2.3749,24.0666,10.6045,6.2588,9.6069,13.1418,27.915,1.1256,2.095,0.0
NZL_B07_08,48.6328,0.5619,10.8465,7.1327,1.3695,37.8001,8.3382,1.5,1.3366,1.2435,26.5384,0.5871,5.0299,40.3829,25.1565,2.4665,2.8505,2.9959,1.1572,0.0454,0.2365,6.4718,0.2258,6.8864,149.1029,5.4856,3.8953,0.3749,0.0636,0.4471,0.0531,6.1795,0.3275,0.1628,0.1085,3.8221,5.0157,2.3475,3.306,1.5165,1.4895,1.7172,0.3552,1.2274,0.0
NZL_B09,1.0486,0.3136,110.1443,6.8618,7.5631,10.4372,1.9262,0.3469,0.3419,5.5925,1.8061,0.2784,0.5219,0.6773,9.981,4.7145,0.0561,0.0825,1.2185,0.1283,0.0418,0.6397,0.7312,0.2752,10.6066,18.8502,0.4028,0.043,0.3773,0.2813,0.0504,0.8446,0.9459,0.1782,0.2076,1.0377,2.7244,5.4495,3.8021,4.1976,2.7514,1.1939,0.4947,0.584,0.0
NZL_C10T12,399.2604,251.9046,16.3503,6.3473,1.986,1821.3119,27.1013,19.2839,61.6567,12.2944,57.9832,28.7828,47.2935,17.2651,17.5874,17.9964,13.7868,15.9088,9.0788,2.1808,9.6579,5.6629,8.6741,16.0881,84.2805,285.9502,8.871,7.9992,16.5547,12.6056,4.5149,1069.6068,40.9616,4.1888,4.9946,20.3202,73.1488,52.2059,49.5928,32.5655,16.055,187.0509,42.3204,11.2483,0.0
NZL_C13T15,11.1342,4.2738,0.7435,0.5055,0.4432,8.1651,60.4239,0.9759,2.8946,0.4648,0.4093,2.185,2.0082,0.7185,1.4699,1.2451,7.2164,0.5712,0.6697,0.0872,0.4983,7.0734,1.2857,0.4726,53.631,58.3017,1.6598,0.177,1.2136,0.9127,0.0796,2.6064,1.8314,0.3715,0.2859,1.103,32.4076,4.0708,5.0699,8.6572,5.7951,6.7362,1.62,11.516,0.0
NZL_C16,128.8598,0.933,1.3568,0.8153,0.1293,32.0917,0.459,513.448,99.505,1.2694,1.2484,0.6411,8.5575,28.2876,2.9527,9.2769,0.3513,2.5845,5.6749,0.195,4.0825,66.6529,1.4646,0.2485,1065.2844,258.8579,1.394,0.6388,1.133,3.903,0.0912,1.4772,1.3951,0.4294,0.1473,0.7612,67.8291,15.5517,9.392,4.5365,12.103,5.7452,3.7524,19.6562,0.0
NZL_C17_18,147.9703,27.2926,1.2808,6.2994,0.2653,165.2584,12.2049,41.9835,219.3146,5.3666,70.2976,20.6516,68.8457,20.4853,5.1975,7.8081,22.0081,9.3589,2.8407,1.1788,6.3175,10.6579,2.367,5.2998,100.6758,85.7228,6.0668,1.4455,12.9759,10.884,7.1111,37.9665,49.8293,3.4907,5.7721,26.1894,103.4834,196.8194,43.1715,30.2789,40.1343,48.5704,23.8719,16.9154,0.0
NZL_C19,163.5579,138.5287,74.3993,21.5262,4.8837,98.4322,6.1341,13.0783,14.1098,32.464,9.1516,2.0985,6.1535,26.2752,26.2561,17.4859,3.1643,3.0066,6.7988,0.5644,6.2575,10.3824,28.4734,15.9173,596.3629,99.9093,414.9802,56.3503,426.1141,46.1948,0.5729,15.4223,7.0722,2.6563,1.5503,3.5281,48.8188,20.5917,42.5613,35.4721,17.4424,32.1829,15.0185,16.7396,0.0
