V1,KOR_A01_02,KOR_A03,KOR_B05_06,KOR_B07_08,KOR_B09,KOR_C10T12,KOR_C13T15,KOR_C16,KOR_C17_18,KOR_C19,KOR_C20,KOR_C21,KOR_C22,KOR_C23,KOR_C24,KOR_C25,KOR_C26,KOR_C27,KOR_C28,KOR_C29,KOR_C30,KOR_C31T33,KOR_D,KOR_E,KOR_F,KOR_G,KOR_H49,KOR_H50,KOR_H51,KOR_H52,KOR_H53,KOR_I,KOR_J58T60,KOR_J61,KOR_J62_63,KOR_K,KOR_L,KOR_M,KOR_N,KOR_O,KOR_P,KOR_Q,KOR_R,KOR_S,KOR_T
KOR_A01_02,2083.3805,59.5516,0.6147,3.2852,0.0028,21092.5256,498.2898,720.976,10.8015,5.3773,102.8397,290.8477,435.1483,9.9847,26.253,28.5614,83.8438,19.8466,36.1481,31.0255,35.9814,20.6806,4.4297,3.7374,405.3152,65.1449,4.268,1.3595,10.3461,10.8421,0.7106,5061.2903,10.7667,7.1563,6.3502,31.9697,4.4132,95.2746,11.9714,169.6456,307.5732,996.6059,104.6138,52.3049,0.0
KOR_A03,4.0383,127.5329,0.0165,0.1644,0.0,1731.6954,6.6415,0.3932,1.03,0.313,5.9547,2.0932,2.9343,1.0242,3.1045,3.5687,11.6945,2.7054,4.598,3.0781,5.36,6.9903,0.3308,0.4179,2.3422,5.3252,0.5356,0.154,0.2732,0.3355,0.0968,1825.4406,0.8724,0.8612,0.6801,1.5266,1.0162,14.2114,0.9375,56.1867,113.6036,133.0637,14.1183,4.5702,0.0
KOR_B05_06,0.0438,0.0242,0.0078,0.0901,0.0011,1.1645,5.3864,0.1682,0.418,54.0948,6.8145,0.2182,1.1252,4.1899,75.679,1.5374,3.1159,0.9771,1.8804,1.1439,2.3505,0.4108,182.8938,0.5837,0.1941,0.2399,0.0219,0.0016,0.0014,0.0156,0.0109,0.0126,0.0123,0.0416,0.0198,0.0401,0.0299,0.3072,0.1106,0.067,0.1123,0.6189,0.023,0.0194,0.0
KOR_B07_08,1.1572,0.3074,0.0137,5.7517,0.1412,25.5355,13.6793,0.5921,21.9564,7.2222,450.0623,4.4991,30.6007,2243.5976,207.6534,18.7433,31.4277,7.2156,15.1087,11.4126,5.8403,4.9881,1.1773,8.7675,230.5178,6.3386,0.5284,0.3275,0.2287,0.2674,0.0527,5.968,0.3396,1.4756,0.1689,0.3902,0.2958,5.3545,2.9816,4.9274,0.9013,6.1452,1.0121,2.1105,0.0
KOR_B09,0.029,0.008,0.0132,0.2195,0.0042,0.0329,0.005,0.0012,0.0575,4.0846,0.2844,0.0028,0.0294,0.4726,1.6289,0.1024,0.0093,0.0079,0.0418,0.0038,0.0019,0.003,0.7796,0.0112,1.4583,0.0169,0.0393,0.0053,0.0034,0.0135,0.0001,0.0075,0.0002,0.0,0.0002,0.0001,0.0437,0.0542,0.0168,0.0279,0.0013,0.0097,0.0028,0.0033,0.0
KOR_C10T12,5232.5147,258.0225,0.745,7.768,0.0163,13850.6165,915.5627,20.9606,81.8766,42.7291,749.4019,191.6697,151.5714,56.2499,154.2322,182.9683,398.458,119.9306,222.7525,160.6999,220.1243,52.162,31.8749,15.126,116.6741,607.3299,28.1912,38.0657,39.6208,83.4464,4.7111,24604.3434,63.8411,42.8374,55.1434,184.2257,18.8755,767.6288,163.1884,551.682,1155.042,1601.9452,1072.2245,269.7639,0.0
KOR_C13T15,125.2748,285.9649,2.6545,15.5788,0.0498,466.6361,14802.4567,70.7315,364.9436,80.8461,436.5247,95.2827,1269.2055,215.4068,554.5716,762.9561,1416.598,450.1914,721.0604,1044.5167,908.7843,932.2704,96.1755,102.8114,390.4646,1409.5655,329.417,42.9357,4.9438,526.0975,100.1143,777.0673,131.1986,85.8871,27.585,419.429,76.4225,471.8545,541.6204,920.3845,299.2353,1025.3011,465.4844,915.9104,0.0
KOR_C16,36.4908,145.3339,0.9826,2.2318,0.011,81.3659,91.0845,1091.7587,39.514,10.1784,53.8536,5.6503,45.3223,83.6608,100.5173,172.2615,86.0549,64.1769,120.8012,88.206,60.0652,847.0976,123.7655,4.8425,3093.7833,106.8283,5.3257,1.9991,0.1572,285.9856,0.4072,156.6851,3.8135,2.8471,2.3174,2.1198,1.1066,8.3819,22.307,3.725,34.7346,44.3793,22.4483,21.3894,0.0
KOR_C17_18,260.9745,14.5199,0.4762,7.0542,0.0186,1756.7214,780.3114,90.4622,8164.0494,69.8177,637.196,253.3477,456.3193,246.9728,178.874,444.4082,615.2511,500.0554,276.034,215.4001,137.2181,266.9573,22.2563,24.8478,347.4943,1533.9273,110.8271,19.3551,4.4086,222.5431,363.1618,613.3422,2224.1716,128.2893,203.7153,1123.0128,73.0832,2628.2369,257.6882,528.6142,585.9399,460.9424,312.9131,416.2474,0.0
KOR_C19,389.0307,343.8037,0.5665,57.6296,0.4653,227.4742,442.072,40.5823,184.9867,4113.5944,9184.2823,123.2738,1119.745,800.0045,436.7941,477.1582,777.5341,309.611,276.9353,397.7086,251.5324,94.4241,1462.6108,133.665,1026.4332,2047.2016,5142.1736,1428.0412,1745.7475,211.3119,148.2201,819.0955,103.1945,74.7042,51.1237,154.5496,220.503,1348.862,251.2581,696.6946,863.5062,959.9402,196.4689,457.6639,0.0
