V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_C23,13.1547,0.0767,0.03,2.5541,0.8892,37.4828,4.8345,8.9046,1.953,2.443,13.8629,10.5263,17.0659,191.3721,16.2263,11.1627,18.4122,23.5415,27.1616,168.8574,1.4379,12.4805,6.3367,6.5118,470.6309,45.0406,4.4078,0.9325,0.3601,9.8029,0.1385,5.052,0.9801,1.9196,0.8124,1.1425,41.4485,17.7214,7.263,2.0612,0.9437,6.7878,1.2613,1.4795,0.0
HUN_C24,5.1438,0.0149,0.0452,0.0681,0.4479,6.725,0.4766,11.298,6.1251,3.3257,12.5259,5.1019,26.3606,21.8138,320.0688,346.5649,23.4383,196.5126,103.6705,165.1073,12.9341,33.9035,3.6782,9.6101,79.2152,63.2614,8.0455,0.1534,0.0218,6.4058,0.0008,0.1715,0.0255,0.0634,0.3327,0.029,12.5724,28.6375,14.896,0.0033,0.038,0.5079,0.1088,1.5895,0.0
HUN_C25,10.869,0.0484,0.0721,0.4437,0.4617,73.894,9.6493,11.7337,7.4357,7.5454,16.283,8.4047,69.1632,13.5047,21.979,263.0261,64.8711,73.5294,206.2995,612.7132,11.3861,62.5205,19.5847,9.975,225.5889,60.3612,15.5508,1.0287,7.0961,16.2673,0.6268,3.6019,1.9349,4.6909,3.9609,3.7179,31.0927,15.8034,12.9486,8.7697,7.7015,9.6414,6.525,3.9321,0.0
HUN_C26,4.0429,0.0373,0.0789,0.2884,0.3719,8.2868,1.2337,0.8652,3.3197,3.8576,5.0638,9.3777,13.3335,3.0487,3.1562,14.2692,867.9002,60.4965,55.9075,299.9921,2.0303,38.2706,12.3865,4.9922,36.9374,61.6638,10.8941,0.7748,3.5814,6.2894,2.024,3.6095,5.5259,30.5613,21.0035,16.4008,14.7857,33.8437,14.5647,18.1309,7.26,13.5135,5.2946,10.1375,0.0
HUN_C27,5.4541,0.0283,0.0322,0.1624,0.1358,8.9124,2.4432,1.3219,3.1751,3.7226,6.7182,3.0179,10.6185,3.2782,3.1716,16.5677,122.9565,82.7846,70.0714,183.8384,2.934,11.2147,10.1166,3.4322,52.183,20.6557,7.9346,0.546,2.716,3.8248,0.2311,2.5675,0.9529,3.0757,1.8732,1.2901,9.9643,8.2422,4.2084,5.9433,1.1826,2.8327,1.2408,1.7614,0.0
HUN_C28,23.7809,0.103,0.1884,1.4457,0.7314,30.9865,4.6782,3.2292,11.225,15.3374,15.5697,20.7929,22.5634,11.0405,9.8142,30.2922,75.9808,57.6525,209.7446,685.8358,4.5618,27.4186,29.8778,9.491,63.6965,84.1948,27.8346,2.5146,13.8449,15.3603,0.6157,7.8441,6.5758,6.748,9.5791,10.3891,19.8562,39.8144,19.7502,12.4971,3.7894,6.9483,5.3292,5.4679,0.0
HUN_C29,15.6868,0.1043,0.1383,1.2812,0.6145,23.9728,14.3319,3.487,6.8881,4.3008,9.343,23.0421,28.5023,37.5003,9.3254,41.1734,206.6039,65.021,151.366,1922.7788,7.2601,28.5866,12.9289,10.9663,138.784,122.5029,43.0562,1.5757,2.1445,12.7217,1.4703,4.8364,6.8107,7.5436,11.5364,6.7525,22.7485,52.6042,20.3895,13.3024,2.859,7.8203,3.9139,6.3966,0.0
HUN_C30,0.2674,0.0029,0.0027,0.004,0.0,0.1898,0.0677,0.019,0.0138,0.0353,0.0027,0.0083,0.2787,0.0262,0.0199,1.3795,0.1188,0.2029,4.926,3.8412,32.8233,7.924,0.0207,0.0588,1.3096,4.3776,19.8657,0.0195,2.3907,2.4244,0.0272,0.029,0.0153,0.0,0.114,0.0,0.2881,2.7575,3.5916,2.0089,0.1047,0.2177,0.2213,0.1247,0.0
HUN_C31T33,6.0507,0.2152,0.0916,0.7815,0.4735,21.6899,10.8817,5.5171,9.1209,42.6537,20.5258,20.2385,21.6126,6.3096,9.713,11.9022,36.8984,10.203,66.0064,85.8393,1.7291,64.996,67.0996,9.4683,43.6979,43.6235,74.9899,7.477,61.7018,45.3818,1.0803,2.4931,3.2413,9.3741,4.887,10.2936,11.7914,12.9141,9.5936,16.4339,13.6462,129.7229,12.8613,5.7904,0.0
HUN_D,113.6827,0.9542,0.3403,5.0409,0.8907,142.3758,10.555,26.8768,62.1456,113.899,243.3536,49.1824,96.317,99.3648,86.125,50.0193,42.8209,26.7354,93.2366,122.7372,4.7482,30.8086,299.9696,81.7991,56.5529,372.4312,134.5822,0.5637,1.2871,35.9707,6.4824,133.9038,14.6912,38.4664,17.8266,28.8515,140.5615,62.8106,33.6298,150.6817,95.8991,97.3089,101.3853,36.3501,0.0
