V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T
THA_J61,87.4639,0.4869,3.6048,3.4985,1.7456,23.2414,22.5213,3.7407,10.628,5.1706,27.8994,7.4065,23.6971,21.4771,7.7659,10.163,32.1036,5.5698,5.6466,29.2758,4.5258,41.094,27.1059,1.7292,16.0837,258.8773,11.4041,11.9074,44.4338,0.5288,20.4776,135.2264,106.7257,571.8628,109.3075,255.191,6.8221,108.8916,80.8411,203.1442,36.6455,16.1334,2.6276,14.5125,0.0
THA_J62_63,5.3807,2.282,329.0924,2.4338,2.3345,138.3176,87.1552,8.6728,31.8425,13.3123,65.1278,12.0248,38.2599,64.2982,5.8993,12.4967,62.6519,21.0916,15.3824,73.221,3.628,43.2057,52.286,9.3578,144.2757,148.0374,14.7164,43.2917,104.9324,1.698,12.5994,91.1764,25.1424,82.0985,142.299,286.5048,26.3433,47.97,84.2552,0.0,41.6278,24.572,5.2102,16.6778,0.0
THA_K,1538.4604,103.7982,54.7011,68.6376,20.2641,919.9026,637.0242,168.1794,141.7846,118.9351,796.968,63.4026,417.3533,515.837,236.4396,203.5424,245.2529,167.7306,159.4498,673.4197,135.1375,400.8702,1390.3957,148.7199,637.1157,5154.9397,677.6435,234.8056,639.8554,30.4964,117.9667,601.5637,82.8991,531.4632,132.3206,3011.9206,975.7322,199.7632,318.9789,9.7656,95.8189,143.2554,16.4333,94.1485,0.0
THA_L,3.7456,0.0095,5.4123,1.5424,1.6518,30.0346,14.8741,8.2895,1.9269,14.5858,9.2898,1.6559,13.7604,1.7712,0.5168,2.2739,2.2595,2.9743,1.3727,0.3572,1.1734,17.8096,6.1211,0.6931,16.4353,223.6058,20.7172,7.2112,26.8645,1.8346,1.2797,64.6189,38.7535,6.468,16.8027,171.5316,8.3164,32.3921,39.8978,48.8085,5.7874,2.401,4.8436,22.2452,0.0
THA_M,13.0518,5.3474,548.1894,6.4628,35.0502,333.8031,99.2616,18.9379,60.4449,25.9746,168.4709,39.1304,84.2231,127.5157,8.813,22.8973,88.4476,41.5537,29.394,126.5345,8.418,71.3681,60.0238,18.3053,364.3846,374.7811,20.0843,54.2197,122.9251,2.0934,11.9486,160.8259,110.1061,77.5571,87.6699,323.2839,140.884,278.1045,254.8525,42.9947,45.6191,44.4348,16.5617,35.8506,0.0
THA_N,12.7941,4.0357,429.4694,6.0783,24.1652,256.4871,127.1077,24.9661,46.2783,17.7184,121.696,20.8777,100.0707,105.6864,15.6323,23.0091,76.4428,34.5705,21.3713,103.7386,7.4779,61.9927,48.0427,15.0833,231.981,256.7775,33.206,90.7444,390.804,2.2797,17.3759,110.4985,49.7801,60.1994,63.9137,165.0872,69.9818,84.7457,252.9824,0.0001,40.9834,34.895,12.6374,22.6282,0.0
THA_O,0.0,0.0,0.0,0.0,0.2462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3431,0.0,0.0,0.0,0.0,0.0
THA_P,0.0,0.0,0.0,0.0,0.0962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.5505,0.0,0.0,0.0,0.0,0.0
THA_Q,0.0,0.0,0.0,0.0,0.0753,0.4284,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0539,0.0,0.0,0.0,11.8642,0.0,0.4066,0.005,0.0,0.0
THA_R,0.0,0.0,0.0,0.0,0.0324,0.0015,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0366,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,19.2935,8.7144,0.0,1.817,0.0932,0.0125,2.6566,2.0792,0.0,0.0001,0.0,0.9104,0.6673,0.0
THA_S,0.7023,0.1891,1.2461,1.3085,0.9825,19.5236,2.2591,0.0708,0.1731,0.3838,4.532,3.2771,3.3497,1.4599,0.7015,0.7919,7.4509,1.4163,3.3446,3.9884,0.7125,2.5125,6.3883,0.2412,6.0091,8.6468,2.4624,1.6707,2.2371,0.8792,0.2043,4.2144,8.4385,0.7409,1.0816,65.8642,1.2717,2.6097,3.0408,0.0506,9.9839,1.3801,10.8016,18.8492,0.0
THA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
