V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T
CZE_G,701.3579,2.7763,42.8425,26.0332,2.1449,1261.9053,293.1382,147.4206,221.9194,35.9449,371.4433,152.4246,647.6342,270.22,259.6322,615.0075,715.0758,306.687,594.2611,2680.6763,77.067,330.7965,440.5535,206.4768,831.3971,3625.1499,1101.1033,4.5413,77.7645,167.8978,30.0181,297.6702,155.2834,90.4767,127.6636,196.9045,481.3441,961.7705,639.1171,173.2965,93.7826,484.7991,146.1381,103.8192,0.0
CZE_H49,56.84,0.2008,46.4198,50.4074,0.7164,230.833,30.9622,75.0054,91.8362,80.9875,69.9611,8.4179,78.276,81.718,73.0251,87.982,93.3294,72.4056,137.7955,299.1334,8.9166,58.327,227.3719,16.4022,175.4145,456.6715,636.9342,3.0444,15.7981,1384.3971,26.6697,19.984,9.044,4.1499,10.2061,18.1597,39.1714,47.1838,70.3112,42.812,9.0717,20.8481,11.0652,20.7497,0.0
CZE_H50,0.2269,0.001,0.0171,0.0045,0.0012,0.2749,0.0399,0.0107,0.0424,0.1406,0.0523,0.0079,0.1643,0.0691,0.1014,0.1627,0.1645,0.0866,0.0797,0.4077,0.0242,0.1798,0.55,0.0478,1.8805,0.2316,0.1268,0.0011,0.0253,0.0811,0.0014,0.1441,0.0178,0.0217,0.0184,0.0239,0.4827,0.2295,0.155,0.1479,0.0646,0.1916,0.0381,0.0199,0.0
CZE_H51,1.7563,0.0096,0.613,0.4595,0.0675,1.4497,0.2927,0.3073,0.4884,1.1794,0.808,0.1014,1.1881,1.5086,1.1741,1.7395,0.5052,1.2838,2.5198,3.9303,0.3635,1.197,3.2376,0.2219,1.3969,5.7675,10.9619,0.1684,2.4234,13.7453,0.4701,0.4596,0.0964,0.1294,0.0363,0.019,0.3661,0.5081,1.6729,0.241,0.0608,0.3688,0.1037,0.1193,0.0
CZE_H52,117.358,0.197,68.3306,56.6809,8.0865,70.1384,7.0392,7.8029,9.2647,30.538,37.3092,1.4516,26.2912,162.6863,45.2234,110.2786,15.7106,40.7401,33.0873,79.2369,2.1127,7.9832,73.8568,26.0072,62.1116,743.656,1580.596,22.2958,323.771,1957.7546,68.5307,9.4154,12.9094,26.8893,10.7473,6.6552,21.2897,56.8841,242.7628,16.5764,8.7882,29.5892,15.217,21.2973,0.0
CZE_H53,4.4339,0.08,0.246,0.6067,0.1156,1.7836,0.8963,1.0779,6.7364,0.0561,1.0495,0.5182,2.2054,2.6802,0.9004,7.5642,4.6112,0.6487,0.5117,12.0048,0.2046,3.6324,33.1043,2.9276,7.5659,143.1077,10.5066,0.1649,1.6745,27.4193,272.5542,3.0142,44.2523,56.2836,14.547,249.3099,16.1226,68.2241,20.3832,237.4682,12.8833,10.1023,12.1031,9.3222,0.0
CZE_I,26.8217,0.2167,2.9686,0.4742,0.2892,26.3248,7.3341,4.2097,4.2086,0.59,11.9858,2.9879,11.6642,2.7176,6.3377,10.6292,10.8417,5.6851,8.7518,37.9903,1.4873,17.5273,24.6448,9.7668,31.3084,152.0888,145.7738,1.0622,16.0177,13.8888,0.4418,106.436,5.3761,3.5627,20.202,10.1001,119.7639,131.2254,348.6509,57.4935,51.7479,130.6411,44.3376,21.274,0.0
CZE_J58T60,9.6011,0.0325,0.3622,0.6419,0.0332,16.1766,1.3762,0.9199,10.6432,0.1323,11.076,0.8105,2.2995,2.9591,4.1663,2.148,33.874,3.7534,9.4354,8.691,0.3209,4.7368,3.9822,0.9182,3.7359,67.8533,4.9516,0.1574,0.3014,27.2282,1.2155,42.8374,653.7597,5.4053,31.0085,22.9372,2.7559,92.0762,11.37,5.8865,71.2848,8.235,12.1761,15.594,0.0
CZE_J61,16.7197,0.1786,0.7289,1.103,0.2722,12.9743,4.3456,4.5811,6.1198,0.5016,3.1698,3.0156,29.9238,7.4554,3.2623,30.5682,33.4359,12.2663,32.1093,29.7473,4.2901,26.4265,49.5663,9.7203,21.6836,184.635,38.6142,0.2409,3.0821,48.132,18.3091,26.6774,79.2008,1007.1708,102.977,81.058,84.564,141.2212,39.3238,337.476,42.1297,40.6952,29.7841,17.2011,0.0
CZE_J62_63,17.4791,0.1197,1.6786,1.189,0.1472,52.8392,5.3901,7.118,36.3615,0.7682,9.1076,7.4597,9.1099,10.1873,3.69,12.4899,67.2359,63.7099,41.6829,100.3364,3.3858,131.601,44.4453,10.017,46.3868,362.3223,25.4676,0.0574,1.7553,62.2207,11.9882,21.9205,36.9906,99.6997,1336.1677,494.0062,73.2771,327.7391,62.7484,70.93,48.994,35.3575,63.3213,68.0835,0.0
