V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T
NOR_A01_02,261.452,3.0425,0.9688,0.3052,1.0246,2552.4752,7.4733,253.7528,56.2945,0.6939,39.6232,0.1839,0.2618,1.3014,0.2115,0.9028,0.7783,0.3658,0.6263,0.1124,0.6424,1.3727,3.4972,0.7423,82.0423,43.1443,1.8906,5.726,1.1089,3.611,0.4522,69.0475,6.4612,1.5973,5.1281,3.678,2.5352,15.3351,22.0287,51.6547,8.1867,39.0432,4.2034,3.6054,0.0
NOR_A03,2.6609,683.411,0.6743,0.1828,0.0826,3439.6247,0.2735,0.8838,0.2368,0.0221,0.7473,0.5098,0.2171,0.5339,0.2327,0.5675,0.3435,0.2907,0.3603,0.0703,0.3534,0.7945,1.3409,0.3445,1.1123,6.8723,0.269,1.508,0.1483,1.5648,0.104,63.253,3.4459,0.3954,2.9186,1.3806,0.4873,3.087,2.3885,4.5727,3.4374,30.4564,0.9278,0.1648,0.0
NOR_B05_06,43.4192,47.9251,84.0361,31.2152,134.7895,30.1968,0.9265,5.8579,6.0954,1210.4411,119.4293,33.7733,1.9426,74.1932,72.4602,9.6283,8.7598,3.5588,111.0055,2.5614,104.929,45.1774,99.7906,37.5009,224.6735,254.2711,229.7456,596.0569,201.9822,283.1011,8.1291,23.0088,22.1589,9.7472,19.175,6.489,18.7647,49.6679,85.3006,61.0843,18.2733,63.5764,22.6053,10.5174,0.0
NOR_B07_08,4.5783,3.4394,20.2781,71.0422,60.0467,10.757,0.2935,4.1143,11.411,0.2336,83.1099,16.158,5.1761,176.3883,23.6084,1.9873,1.0262,0.5593,6.7897,0.234,55.2654,2.9747,0.2674,3.1832,145.3542,7.9268,12.7153,4.4533,0.6039,4.9467,0.4708,0.8023,0.7116,0.1857,1.0284,0.4922,4.2609,2.9941,4.4022,9.6019,0.5729,4.6746,5.2373,0.4606,0.0
NOR_B09,6.7111,28.9975,3255.8122,202.6192,5160.7496,19.1087,0.0787,1.6512,12.4368,1823.509,39.6669,0.6665,1.5737,140.6535,366.8308,17.0318,0.2793,0.69,6.8968,0.0624,0.4678,3.9917,201.126,9.9348,1057.0859,14.2636,22.9333,15.6496,3.6878,13.3724,0.0473,1.4344,0.0656,0.0,0.1071,0.0392,27.0111,44.8966,10.5411,24.0239,0.698,7.6491,1.4828,1.4964,0.0
NOR_C10T12,765.6186,1798.9889,7.0603,2.2599,4.4723,5693.5841,9.9237,10.0301,1.6383,0.6358,14.8012,4.4243,2.2275,4.5265,1.9867,6.6783,4.3669,3.3345,4.0488,0.7545,4.6462,9.6787,15.4061,3.2012,17.0526,65.4274,3.012,16.5855,0.7035,15.4077,0.7954,1255.8115,37.2658,3.3557,31.7721,12.8919,4.8798,30.2731,27.544,81.9088,40.0308,346.786,12.906,0.7514,0.0
NOR_C13T15,2.0014,15.1983,3.2739,0.7402,2.0616,9.2858,28.0912,2.3352,1.0972,1.0423,4.0526,0.2948,2.1339,1.7138,4.653,10.4676,1.9358,1.7838,5.7819,0.7448,3.9839,17.507,2.4882,10.6968,56.1281,20.192,1.7742,3.445,1.665,3.9098,0.1833,6.0631,9.4476,0.8513,3.2512,0.7747,5.3389,11.648,8.4635,7.6316,4.8313,42.7648,27.4089,11.7394,0.0
NOR_C16,2.5192,8.1273,2.3841,0.7539,3.8263,12.1747,0.4883,448.7619,20.7778,0.3581,14.4763,0.123,0.7053,6.8611,1.5629,7.4744,1.374,1.1813,4.0764,5.4999,6.4008,26.1118,10.5405,16.1307,1734.6721,68.8251,2.6182,7.0639,1.646,3.9734,0.4318,4.946,3.9141,1.6253,2.9352,2.3436,363.3151,12.3509,7.7033,4.4484,5.4847,13.1927,24.1013,9.3147,0.0
NOR_C17_18,8.8898,24.8618,1.6293,1.0893,4.9424,63.5755,1.1626,8.7065,247.16,5.4717,5.5404,1.8096,7.9544,8.1649,4.0356,2.7169,1.2661,4.2801,3.7004,0.3197,8.2881,5.4519,3.131,10.8368,47.6878,413.1674,7.7576,15.6391,3.6377,9.1326,34.9222,12.0833,283.5211,2.7634,30.844,20.3352,16.4041,192.9365,105.7922,76.4411,32.1693,26.7839,47.386,32.7679,0.0
NOR_C19,56.9396,56.8508,29.9808,29.2997,117.9675,50.1023,2.4612,6.7552,5.0733,63.1542,13.6657,16.0545,1.6709,77.4279,52.4911,7.9068,2.5506,3.0623,14.3755,0.9286,7.3601,16.3459,27.1003,39.263,203.4281,225.9704,244.6855,676.4258,233.3532,279.1275,6.7174,27.394,22.4467,11.4176,13.7829,5.4402,15.19,37.5128,35.8207,76.0338,22.9102,78.0622,22.7085,12.5205,0.0
