V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_C25,0.0155,0.0,8.0188,3.8895,0.8818,0.0275,0.0903,0.0083,0.0241,0.4663,0.002,0.0,0.0189,0.0004,0.0,0.0114,0.059,0.0001,0.0541,0,0.1011,0.0396,0.0017,0.063,2.0381,1.6631,0.0048,0.0005,0.087,0.1024,0.0,0.0162,0.0093,0.5427,0.0335,0.1075,0.0089,0.1392,0.0479,1.2084,0.0837,0.1123,0.0056,0.0156,0.0
BRN_C26,0.0061,0.0,0.6624,0.2499,0.0701,0.0046,0.0145,0.0013,0.0013,0.0699,0.0003,0.0,0.0013,0.0001,0.0,0.0041,0.0074,0.0004,0.0033,0,0.0075,0.0023,0.0136,0.0053,0.2071,0.2403,0.0103,0.0001,0.0064,0.0061,0.0,0.0087,0.0021,0.037,0.0064,0.0075,0.0012,0.012,0.0105,0.1225,0.0092,0.0127,0.0007,0.0014,0.0
BRN_C27,0.0078,0.0,2.8876,1.2174,0.1829,0.0151,0.0872,0.0003,0.0124,0.0004,0.0008,0.0,0.0089,0.0002,0.0,0.0053,0.0315,0.0896,0.0273,0,0.0552,0.018,0.0645,0.012,1.3022,0.3028,0.0013,0.0002,0.0444,0.0229,0.0,0.0055,0.0077,0.2622,0.0129,0.0557,0.0035,0.0359,0.01,0.0472,0.1228,0.0525,0.002,0.0037,0.0
BRN_C28,0.0021,0.0,1.2496,0.4913,0.0806,0.0043,0.024,0.0013,0.0036,0.032,0.0002,0.0,0.0026,0.0001,0.0,0.0105,0.0001,0.0055,0.008,0,0.0289,0.0054,0.0,0.014,0.4229,0.244,0.0005,0.0001,0.0127,0.0104,0.0,0.0037,0.0016,0.08,0.0037,0.0158,0.0013,0.0154,0.006,0.0977,0.0221,0.0168,0.0008,0.0014,0.0
BRN_C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN_C30,0.0093,0.0,1.5465,2.1738,0.4084,0.0133,0.1105,0.0038,0.015,0.1021,0.001,0.0,0.0082,0.0004,0.0,0.01,0.0822,0.0,0.0309,0,0.2028,0.0117,0.0703,0.0173,1.4483,0.8685,0.0019,0.0001,0.0479,0.0435,0.0,0.0216,0.0062,0.3161,0.0128,0.0571,0.0049,0.0412,0.024,0.4388,0.0323,0.0671,0.003,0.0104,0.0
BRN_C31T33,0.0032,0.0,1.0332,0.585,0.1591,0.0034,0.0181,0.0009,0.0015,0.0363,0.0184,0.0,0.0025,0.0001,0.0,0.0019,0.0002,0.0037,0.0053,0,0.005,0.0041,0.0788,0.0048,0.4786,0.1748,0.0009,0.0001,0.011,0.0006,0.0003,0.0111,0.0009,0.0498,0.0025,0.0113,0.0056,0.0241,0.0128,0.0879,0.0239,0.0191,0.0022,0.0026,0.0
BRN_D,0.3415,0.0,10.0104,5.9983,0.3852,0.3903,1.592,0.0108,0.0065,58.2726,0.5563,0.0003,0.0574,0.0029,0.0,0.0099,0.0,0.0358,0.054,0,0.1109,0.0393,0.4883,0.4002,1.7982,10.7487,0.2108,0.0011,0.1905,0.0003,0.0001,1.5248,0.3123,2.2124,0.533,0.9595,0.5756,1.503,1.1533,14.7092,1.6448,1.3901,0.2129,0.2306,0.0
BRN_E,0.0636,0.0,3.4205,1.8144,0.0924,0.0294,0.1139,0.0024,0.0077,0.912,0.0194,0.0,0.0115,0.0006,0.0,0.0077,0.0001,0.0076,0.0154,0,0.0238,0.0062,0.1811,0.1666,0.8037,0.8513,0.0389,0.0003,0.0589,0.0001,0.0121,0.106,0.0177,0.1986,0.079,0.1652,0.054,0.2556,0.1348,11.038,0.4161,0.0885,0.0153,0.0291,0.0
BRN_F,0.3631,0.0027,13.6155,6.7136,1.1888,0.2769,0.3188,0.0139,0.0327,4.6634,0.0857,0.0,1.0951,0.0555,0.0,0.1657,0.2934,0.0375,0.1994,0,0.5782,0.1426,0.3277,0.4068,17.2655,6.0634,0.116,0.2697,0.4733,0.0606,0.0087,0.6123,0.0803,4.8913,0.8115,2.4349,1.9883,2.9834,1.1993,9.8429,2.1198,2.5094,0.0532,0.0937,0.0
