V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_A01_02,1247.1407,0.5859,0.8145,10.5258,0.0004,5475.2804,80.0151,99.6499,0.3791,0.072,12.1268,5.5069,12.1496,0.2877,0.7554,0.0248,0.0009,0.0029,0.0556,0.0051,0.0019,139.7284,0.2537,0.0231,2.3942,1.0053,0.2776,0.0003,0.0154,0.0113,0.0031,777.1073,0.0063,0.0535,0.0048,0.5794,0.0292,0.1351,0.0407,14.6199,0.8848,3.8589,0.6823,38.939,0.0
PER_A03,0.5604,6.8433,0.0347,0.725,0.011,630.0189,0.0638,0.0022,0.0546,0.0139,0.1988,0.0108,0.0441,0.0318,0.0597,0.0884,0.0032,0.0041,0.1483,0.0017,0.0006,0.38,0.0835,0.029,1.0558,0.2892,0.1345,0.0082,0.2097,0.0318,0.0006,72.913,0.0762,0.433,0.0048,0.1118,0.001,0.1604,0.1866,3.5982,0.2122,0.9921,0.1543,2.2915,0.0
PER_B05_06,31.1836,3.7652,53.1368,79.4306,9.0258,87.8053,3.3657,1.9052,4.4449,2217.6246,13.5058,0.0557,5.7424,1256.0878,96.6665,8.6799,0.0128,0.2858,0.904,0.1656,0.0624,2.5169,346.07,19.0683,10.3946,5.3798,67.7663,0.5093,5.5052,3.2797,0.6386,8.6821,0.6376,0.9049,0.0172,0.7607,0.0428,3.7892,1.8006,17.5185,1.2353,1.49,0.4883,7.3098,0.0
PER_B07_08,19.1542,0.3006,61.5113,168.5889,0.8106,23.6723,2.6431,0.1211,0.5505,0.6218,18.4881,0.4813,0.6147,241.7585,1282.086,1.3786,0.0795,0.9273,1.7818,0.4421,0.1914,112.1174,39.638,12.9775,728.3023,2.0615,1.0516,0.0033,0.0971,0.1853,0.021,5.3553,0.4299,3.319,1.3009,3.0991,7.2739,2.7549,1.662,70.7004,1.6658,3.787,0.4175,4.6319,0.0
PER_B09,0.4709,0.0062,198.4268,234.4215,2.5483,0.2952,0.1016,0.0066,0.0692,0.6474,0.1053,0.0193,0.0696,0.052,7.0865,0.1622,0.0026,0.004,0.051,0.0625,0.0267,0.04,0.2624,0.0408,8.2347,0.4448,0.1748,0.0074,0.198,0.1152,0.0169,0.182,0.1222,0.6322,0.0284,0.44,0.0525,0.6676,0.509,0.7458,0.3136,0.4188,0.1894,0.1512,0.0
PER_C10T12,434.2051,7.4841,4.1773,31.3129,0.2477,2418.3014,28.9913,1.2431,17.8751,1.4827,51.2371,7.35,13.5579,1.8231,3.2405,3.356,0.1309,0.307,7.2069,0.736,0.2477,33.4691,4.2115,1.0145,25.9158,11.7697,3.5063,0.166,4.2088,0.9317,0.0416,2694.5218,1.766,9.1992,0.1232,4.6229,0.7954,3.9808,4.9505,161.3607,12.2597,15.1299,20.336,106.0514,0.0
PER_C13T15,17.5011,15.3283,2.6967,8.5476,0.1339,41.6075,1224.2006,3.3178,14.2002,0.7492,14.54,6.9942,18.6576,2.1999,1.2052,4.5396,0.0563,0.0882,0.6268,0.4514,0.1947,116.2933,0.5254,0.1689,39.248,10.7399,0.5106,0.0013,0.0527,0.0725,0.0076,64.9348,5.1204,0.2112,0.0156,5.6239,0.0549,49.8713,31.4906,27.694,5.13,22.8595,4.6164,10.9653,0.0
PER_C16,14.4022,0.9085,0.4266,25.6913,0.0005,6.0256,2.0707,186.2591,7.3226,0.0002,4.5068,0.0034,4.1407,2.7511,1.2468,1.6232,0.0002,0.15,0.0002,8.4621,3.6563,150.8631,0.232,0.1418,547.2422,0.5468,0.0458,0.0001,0.0032,0.0026,0.0006,1.5741,0.0007,0.0083,0.0005,3.0789,20.6101,1.9605,0.2908,41.4157,0.3088,1.2918,0.1646,13.6311,0.0
PER_C17_18,20.166,0.8089,0.3327,10.2701,0.0484,240.8367,17.8499,10.3085,873.4325,0.3954,29.2651,7.1896,23.4264,14.7615,0.396,11.9161,2.1143,2.1595,3.7391,4.9698,1.77,35.2317,16.958,2.8631,15.6217,167.9886,3.9635,0.0037,0.2328,6.6091,0.37,56.9738,212.6774,68.4561,1.5559,135.6226,36.9106,289.3482,105.1718,210.4894,144.0387,9.6842,25.1546,54.5371,0.0
PER_C19,30.8911,84.4127,51.1186,812.9788,1.6995,246.0723,28.6262,4.9379,20.1501,112.7021,39.0497,1.3469,8.3384,36.7019,57.0506,20.3568,0.3217,1.2123,5.9645,4.1712,1.572,47.3919,116.4562,17.3047,196.1781,105.7124,1475.1422,11.4515,118.2717,75.2161,14.4683,74.4927,3.4629,14.2997,0.4258,22.869,1.1849,84.3778,38.5305,381.9737,30.8546,35.2942,10.6742,22.3443,0.0
PER_C20,335.8821,1.043,17.6792,268.6402,0.7146,152.2864,121.8122,22.8158,38.9753,28.4335,361.7533,35.6597,344.1382,20.1635,13.331,23.3623,0.8287,3.5144,2.1821,18.351,6.1377,146.7016,1.0106,5.4868,97.8037,12.5169,1.4726,0.0036,0.4361,6.49,0.0348,43.8165,4.0642,7.1209,0.2917,7.817,14.4883,23.0018,27.6449,54.4339,13.5317,53.2494,7.0132,46.4545,0.0
PER_C21,33.5101,0.0026,0.1678,1.276,0.0427,13.2294,0.1095,0.3005,0.1206,0.0877,1.9329,18.6344,0.7822,0.1751,0.0726,0.029,0.0123,0.0281,0.1242,0.0387,0.0166,0.6638,0.0833,0.022,1.4175,0.1992,1.3573,0.0136,0.0458,0.2251,0.089,1.4909,0.0642,0.1048,0.0003,0.0499,0.0621,4.1392,0.0797,22.5574,1.8105,147.8721,0.3759,1.656,0.0
PER_C22,15.9175,2.3473,27.614,118.5999,1.2386,422.3463,67.9596,0.5665,65.5648,1.9689,146.6376,28.3572,193.4401,5.2275,5.8984,10.507,0.5398,5.6759,2.1828,26.1936,5.8838,144.4873,1.4208,0.5282,396.1792,102.0925,190.9644,0.0881,0.1165,2.2849,0.1508,49.7793,5.2834,0.8118,0.0214,8.838,11.1895,24.04,16.3767,77.2058,23.9778,17.9106,4.7052,19.1108,0.0
PER_C23,19.7952,0.4414,2.9661,175.2622,0.0554,141.5658,1.5277,0.1664,2.9666,0.2804,33.7426,6.9964,3.933,121.0122,9.263,1.9661,0.2282,0.3647,4.0375,10.1308,2.8815,60.2365,8.8099,29.3626,2699.7675,31.8213,19.2997,0.1216,2.8371,2.0146,0.2585,32.4107,0.322,3.2007,0.0281,2.9379,38.4059,7.7707,3.2521,247.0591,2.6839,5.1242,1.7778,14.4642,0.0
PER_C24,16.4531,0.2203,9.3529,50.2952,0.167,25.3884,5.18,1.279,8.0583,2.0293,83.8336,4.8522,36.1741,24.6862,1191.7714,221.2304,2.3029,426.7537,17.6184,23.8207,6.6581,140.9417,0.9648,3.5327,74.995,0.8908,0.2452,0.0006,0.0054,0.3187,0.0037,2.529,0.814,0.7327,0.194,25.6433,1.3953,6.1096,3.03,23.325,0.6925,3.966,0.5949,5.469,0.0
PER_C25,32.9524,5.8278,77.5225,309.3511,9.0619,235.6217,12.8771,11.6594,7.9136,17.7879,37.4923,0.5588,8.6105,5.1046,14.945,162.5663,1.9133,7.6394,88.9439,81.3293,29.4885,117.4191,12.3468,3.5339,539.7765,4.9832,0.3065,0.0211,0.1826,2.2134,0.0028,24.6047,0.5687,17.742,0.0198,2.7162,21.9661,9.1562,29.8263,59.8279,2.4458,6.5823,9.2223,18.8913,0.0
PER_C26,0.3064,0.177,0.067,0.1769,0.0436,0.2847,0.073,0.01,1.2153,0.0257,0.1664,0.0245,0.1638,0.0143,0.0145,0.0814,2.219,0.2346,0.1676,0.1204,0.0394,0.0753,0.2855,0.0051,2.1056,0.2173,0.0,0.0036,0.0019,0.0022,0.0,0.2801,0.3698,10.7377,0.4922,0.3157,0.015,0.7858,0.5036,0.0828,0.3796,1.2684,0.1078,2.2764,0.0
PER_C27,0.0728,0.3554,4.749,9.0953,0.303,16.3728,1.4458,0.0989,0.9933,1.1253,1.9415,0.3505,3.2005,0.986,23.6677,35.3894,0.8675,12.0107,9.6419,12.3779,3.5532,9.1757,21.8045,0.9214,127.7665,0.6838,0.103,0.2793,0.1554,0.0064,0.0011,10.34,0.211,21.998,0.1464,1.1899,1.0117,1.3191,0.8765,8.128,3.681,10.9118,5.0027,8.378,0.0
PER_C28,0.773,13.6515,14.946,40.6942,1.1084,68.9014,14.4075,1.583,3.6012,1.6844,1.8867,0.215,6.0301,7.481,1.9803,19.4737,1.4535,2.5787,110.4624,3.8694,1.5451,308.0271,3.4913,0.4471,42.7136,3.6186,0.3316,0.0117,0.3069,0.1091,0.0036,0.6403,0.4893,2.2262,0.0305,28.0931,0.485,5.2964,6.8823,19.6532,7.7254,26.8364,4.5886,4.6984,0.0
PER_C29,4.4611,0.4612,0.5682,1.1509,0.0,0.1438,0.0,0.0161,0.0458,0.1006,0.0617,0.0,0.0083,0.3629,0.4213,0.4833,0.0,0.0,0.2816,21.2343,1.0173,0.0292,0.8264,0.5886,0.4902,87.0154,38.0698,0.5051,5.5557,0.5188,0.079,0.2597,0.0002,18.858,0.0,5.5473,0.0,0.2222,1.7912,11.5193,7.7327,0.1957,0.0002,1.4798,0.0
PER_C30,0.0,13.4411,0.0087,0.0,0.0,4.8216,0.0,0.1185,0.0,0.0274,0.0,0.0,0.0,0.0116,0.0,2.9284,0.0286,0.3594,0.6499,15.664,13.824,0.0,0.0007,0.0001,0.0,2.7419,19.9913,0.7609,24.112,0.8998,0.2632,0.0,0.0,1.7395,0.0198,0.0898,0.0,0.5543,3.576,4.2884,0.0,0.0,0.2223,0.2037,0.0
PER_C31T33,18.145,24.7911,63.9026,89.0823,2.2012,132.828,71.9216,5.5167,10.6159,1.5285,24.5907,5.7253,11.8487,11.3757,3.1246,35.761,2.1041,5.0935,216.5758,6.182,2.0692,1098.2517,6.9308,2.1935,131.5095,11.8654,0.0013,0.0,0.0001,1.5118,0.0,116.5561,2.8227,12.3462,1.2951,93.0817,2.6694,6.453,45.8056,146.5625,112.1313,491.192,25.3542,63.5929,0.0
PER_D,32.3136,1.849,11.6145,827.4709,0.1228,298.6489,167.0026,8.5117,69.5677,30.7798,64.5399,5.9754,75.9268,70.0914,152.1503,45.9928,1.0726,4.2998,17.3761,10.3359,3.4793,15.0162,653.6338,29.6376,13.0415,175.1648,152.3925,0.0935,0.6552,3.837,0.4742,128.5378,13.8343,65.4487,2.3919,57.682,9.9451,54.1074,30.3169,137.2273,86.8124,75.166,51.8132,30.8598,0.0
PER_E,10.6733,11.7565,15.1077,54.6413,0.201,62.4582,14.3508,0.4802,20.1602,3.7133,5.2237,1.0103,8.9903,3.8341,35.8797,1.1473,0.0,0.2058,1.4208,0.5842,0.3365,6.9622,4.5691,22.2359,5.74,15.6702,2.4559,0.0564,0.3483,2.8619,0.3661,43.0516,0.459,0.9658,0.0,21.6175,1.1194,6.0424,4.2294,169.9945,49.9824,64.1643,3.2541,5.2885,0.0
PER_F,4.452,0.0674,2.9827,131.4361,0.952,5.883,4.7398,1.2041,1.9379,7.9784,4.0504,0.8456,0.6212,0.2147,4.3,2.3072,0.0949,0.1607,1.084,4.9867,2.2593,0.2677,0.3772,47.7422,439.79,10.5943,1.2553,0.1415,1.888,0.7451,0.0537,5.739,1.6043,47.8889,0.3073,40.8786,107.8516,9.9305,3.8505,565.2821,3.5833,23.747,3.4706,9.8897,0.0
PER_G,696.9028,52.6874,80.5512,652.2905,7.4455,2892.2795,458.7682,99.382,238.4552,301.4564,238.0327,46.1424,202.7727,93.0155,203.1491,160.7793,11.0997,59.8717,100.409,80.8367,28.4707,349.5956,110.3549,28.9326,1239.2424,174.7395,1182.1808,7.483,55.989,83.4367,9.7471,989.4683,44.735,83.9918,3.3152,57.446,33.9906,139.3463,127.1314,565.3593,108.9109,256.0119,26.5666,115.4131,0.0
PER_H49,25.4262,15.1603,604.3513,520.7211,2.6171,159.1213,42.2827,83.1805,182.9645,216.1948,103.9677,9.8513,24.3332,28.0681,34.9235,40.2684,0.8699,15.062,6.855,7.4669,2.3156,70.6421,68.2322,26.4961,320.379,4373.7386,2327.5702,110.676,781.0645,1157.9299,59.2464,105.4696,17.3939,71.517,2.3105,81.2801,4.5514,47.6571,115.3187,255.7472,155.4695,42.3552,15.3815,59.7273,0.0
PER_H50,1.9535,3.7793,108.1608,41.9459,0.0554,6.1325,2.3996,4.7476,6.1504,43.2188,2.929,0.0165,0.0732,0.3571,4.107,1.2807,0.0065,3.0874,0.0357,0.0456,0.015,0.2463,0.0656,0.0176,1.4897,37.0185,0.2175,18.7391,0.0192,87.5681,0.0019,0.3238,0.7237,0.0533,0.0016,0.0358,0.0354,0.1249,0.3075,0.2593,0.0868,0.1436,0.0155,0.0612,0.0
PER_H51,5.401,0.6619,53.8398,19.1897,1.2098,48.2399,14.352,1.7958,4.8483,11.998,4.6485,0.8071,4.2311,4.9625,3.9993,3.8581,1.1407,2.3145,5.0919,1.6896,0.5259,26.8877,4.3868,0.9742,24.5407,20.1861,6.3557,0.0531,56.38,40.0773,7.51,17.8578,2.2341,7.4369,2.1466,11.09,1.1659,28.0639,21.3238,96.0751,10.3994,27.7517,5.1386,15.7738,0.0
PER_H52,9.5842,9.6256,310.0983,210.7157,0.9718,55.5435,16.7819,33.9523,56.7478,124.0949,36.7531,2.2706,6.3795,8.4486,14.2666,14.5323,0.4459,8.837,2.1336,1.5047,0.4972,27.3542,2.9199,8.8667,99.6919,1564.8242,768.0428,60.9115,285.5392,513.0449,13.8495,28.796,3.5542,17.7076,0.6435,11.4839,1.0314,12.4277,36.7556,73.5424,42.1171,11.4109,3.3279,12.8365,0.0
PER_H53,0.0,0.0907,0.0,3.4164,0.1052,3.1843,1.6518,0.0434,0.5424,0.0,0.3115,0.6046,2.256,0.2962,0.4136,3.4757,0.1709,0.4525,2.1156,0.5781,0.2222,0.8064,0.6746,0.8257,0.3201,29.0966,0.0,0.0,0.0,28.406,25.1624,1.5736,11.704,48.2355,1.4512,105.4873,5.0598,35.6442,8.4143,32.7357,19.3089,1.8902,0.9295,14.0885,0.0
PER_I,0.1667,2.2695,32.1677,24.9968,2.6187,6.6756,1.6503,0.2527,1.4424,7.7393,7.9634,2.5935,8.7449,2.5257,1.4337,7.6525,0.4704,1.1901,5.6352,3.2233,1.8189,3.4119,14.2581,5.4749,25.9975,131.4487,74.977,1.2468,19.0641,3.0515,10.099,13.8678,5.0111,37.7768,7.0618,20.3068,0.5376,126.2107,43.1174,263.7624,41.9279,94.1795,55.6713,34.1416,0.0
PER_J58T60,0.8581,0.5857,5.5268,9.1831,0.6751,17.6534,1.418,2.0957,25.3354,1.884,18.2639,3.0395,1.3751,1.1836,0.8429,0.9419,0.1422,0.3541,0.376,1.2057,0.515,3.8078,3.5758,0.9406,7.669,43.9448,0.6026,0.119,2.3176,1.0507,0.0443,10.0011,144.5667,71.7076,0.3068,32.4924,9.3801,810.0403,13.3974,48.7955,162.839,47.4636,3.3257,16.0292,0.0
PER_J61,1.7025,1.7877,4.1658,14.3298,0.6735,10.5107,11.4931,0.5322,1.1452,1.0631,0.986,0.5353,1.7951,1.5239,0.5828,7.8755,0.9643,1.1476,8.0871,0.9729,0.3987,0.5872,4.6267,2.1759,13.4277,93.1896,8.5298,0.3147,2.6099,8.2497,3.4702,150.5252,23.2583,702.0916,4.3643,294.1427,6.7196,80.4019,54.6471,140.7384,40.61,50.068,15.6393,31.9507,0.0
PER_J62_63,0.001,0.0013,5.1143,0.9569,0.0005,11.5325,0.9223,0.3082,1.1117,0.0057,12.0685,3.0634,2.1604,2.129,0.4593,0.3888,0.2726,0.2669,2.251,1.9238,0.8548,0.4395,0.6427,0.2602,5.4767,22.2672,2.3153,0.0001,4.0802,4.9227,0.2392,9.813,16.1639,102.9123,67.8562,84.7881,5.5926,93.4896,56.5096,8.1843,1.7632,7.2854,0.0378,4.0565,0.0
