V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T
PRT_A01_02,665.327,0.7033,0,1.0897,0.0567,2722.5776,40.0618,459.6327,555.6632,5.663,100.9799,3.315,40.1494,3.1946,1.3585,5.0126,1.6487,2.4859,2.4246,9.756,0.7075,13.6426,7.4757,5.6376,22.2438,79.5971,6.1332,0.6269,3.6936,5.7246,0.5434,202.0047,4.5357,5.4932,5.1334,5.6324,6.5204,26.4734,32.8584,22.1421,4.0372,52.5706,4.6119,23.7192,0.0
PRT_A03,0.2425,18.4126,0,0.032,0.0022,26.1471,0.356,0.0987,0.2021,0.1301,0.1959,0.2202,0.1384,0.1329,0.0635,0.1823,0.0566,0.0886,0.0767,0.1474,0.0221,0.1982,1.3135,0.4946,0.3442,1.6469,0.2087,0.0204,0.1114,0.215,0.0208,38.7975,0.1039,0.2246,0.1859,0.2272,0.2056,0.8665,0.4744,0.754,0.1613,1.1982,0.1563,0.1244,0.0
PRT_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT_B07_08,1.4265,0.0227,0,84.452,4.0869,10.2959,0.3545,0.3093,2.1853,0.6622,14.1237,0.1523,0.1761,311.7966,4.5359,26.3271,0.0828,10.4104,0.6244,0.4153,0.0411,0.7158,0.6536,5.3794,112.2064,5.7164,0.7641,0.0423,0.1907,1.683,0.0286,0.9857,0.1665,0.1605,0.2415,0.1748,1.1456,1.3449,1.1593,4.575,0.7469,0.5472,0.3171,0.1624,0.0
PRT_B09,0.1331,0.0194,0,2.2241,0.3048,0.1824,0.0208,0.0144,0.275,7.9631,0.2567,0.0059,0.0428,1.3006,1.1329,0.2014,0.0024,0.0076,0.03,0.0052,0.0021,0.0176,3.8672,0.138,3.3853,0.1171,0.1505,0.0035,0.0274,0.0995,0.0002,0.0285,0.0005,0.0,0.0004,0.0002,0.2026,0.1194,0.0684,0.1126,0.0041,0.0402,0.0088,0.0084,0.0
PRT_C10T12,711.2433,10.7785,0,1.4045,0.1658,1912.436,51.5544,1.7174,13.6318,0.5263,89.4221,15.6837,2.0856,1.9835,1.0612,5.4901,1.7055,1.3954,1.6575,2.1763,0.2904,5.2099,1.1027,2.4205,13.1246,170.2853,4.0648,0.6108,1.4493,2.4618,0.2141,1797.4396,7.1682,0.8652,2.518,1.6481,10.1535,20.2816,9.675,13.5879,5.8741,276.2326,4.7953,1.6855,0.0
PRT_C13T15,26.7261,3.2665,0,1.4965,0.1341,7.699,2432.8419,1.104,6.324,0.7143,6.1379,8.1192,30.8379,4.861,0.4481,9.2554,0.7562,1.4798,11.437,126.6458,3.3216,106.5397,2.0693,0.9976,19.841,34.6432,1.7212,0.1731,1.203,1.8287,0.1177,28.0531,2.5103,0.6638,1.4229,0.8414,4.7539,6.4864,5.8107,2.8995,3.357,33.9679,26.1485,3.0683,0.0
PRT_C16,41.2877,0.0849,0,0.8086,0.0671,76.8774,3.0217,670.8443,44.4655,0.9214,5.9464,0.5578,8.3808,36.0518,32.3191,17.2643,0.5424,16.2107,4.5047,3.9126,1.661,281.004,0.9231,40.0994,363.218,60.8555,2.4853,0.0988,0.4893,10.6028,0.0843,15.7907,0.6027,0.8092,0.9038,0.9274,13.5,8.1899,12.6752,9.2245,1.8189,4.5575,2.4985,2.8082,0.0
PRT_C17_18,23.5606,2.7613,0,3.1192,0.2303,315.327,31.8785,18.7935,975.6762,3.0346,30.0425,16.3814,18.2277,31.246,9.32,15.5433,6.5118,8.234,6.7581,12.3414,2.8415,23.206,113.7245,11.8507,13.4937,194.2535,12.8532,2.9101,2.9039,10.7737,2.4156,37.0114,129.6148,9.7266,18.779,28.9394,161.3801,93.7642,123.4199,28.6015,53.2551,55.3837,14.542,29.6788,0.0
PRT_C19,129.7529,26.6209,0,27.4975,1.5728,81.2135,33.5404,15.6679,36.093,301.0669,121.5078,5.119,25.2683,49.6331,6.8181,31.9381,3.0096,8.1062,7.7437,9.3764,1.1999,26.7666,55.8856,37.9877,163.7934,283.7718,595.9419,13.6443,459.5233,32.0817,4.3865,30.8669,5.1168,4.8124,6.0295,23.7143,5.3107,42.3987,50.4389,90.3162,22.0288,132.7561,16.5779,16.6559,0.0
