V1,VNM_A01_02,VNM_A03,VNM_B05_06,VNM_B07_08,VNM_B09,VNM_C10T12,VNM_C13T15,VNM_C16,VNM_C17_18,VNM_C19,VNM_C20,VNM_C21,VNM_C22,VNM_C23,VNM_C24,VNM_C25,VNM_C26,VNM_C27,VNM_C28,VNM_C29,VNM_C30,VNM_C31T33,VNM_D,VNM_E,VNM_F,VNM_G,VNM_H49,VNM_H50,VNM_H51,VNM_H52,VNM_H53,VNM_I,VNM_J58T60,VNM_J61,VNM_J62_63,VNM_K,VNM_L,VNM_M,VNM_N,VNM_O,VNM_P,VNM_Q,VNM_R,VNM_S,VNM_T
VNM_K,280.8182,22.2612,402.1646,13.3477,1.3107,109.9101,392.8364,65.4179,230.1676,74.9413,191.8569,16.3252,151.5741,110.3856,53.708,65.8426,84.1209,87.9119,39.0389,17.9886,265.5409,172.1198,27.2716,13.8765,454.9437,1872.8,117.8126,65.639,92.0158,26.4549,5.5011,301.991,12.76,19.0162,16.4728,4652.9901,213.07,79.1362,64.4916,70.6223,64.4541,10.6976,16.0861,37.5861,0.0
VNM_L,58.5288,4.0496,9.423,0.8225,0.3446,11.709,29.096,4.6329,17.1888,0.3206,10.5082,2.0758,14.5816,9.863,1.8929,5.2182,6.1467,10.4888,4.9695,6.2687,0.557,24.134,2.1751,4.425,34.2734,926.0185,14.567,4.2539,5.0729,20.9241,8.3439,122.3002,8.1612,8.0007,36.7075,287.493,305.2012,96.0952,18.6303,44.5917,223.0423,2.1011,11.5583,40.4688,0.0
VNM_M,130.0955,7.1814,155.7653,123.2283,70.1703,231.5322,61.1824,13.5632,95.0473,0.9098,221.9157,49.5321,48.5865,56.7938,23.1323,31.314,133.9744,57.3801,7.2295,102.186,25.5462,60.8882,11.0595,14.8062,237.9466,983.5434,22.7073,15.0366,39.3879,32.739,4.4712,112.6701,47.7769,59.5126,39.7524,395.0351,288.1594,797.414,88.2256,132.697,140.348,4.5513,15.5136,22.0312,0.0
VNM_N,35.4711,1.9126,34.3013,1.0123,0.149,22.7836,74.101,4.6469,7.5384,1.2438,7.5336,1.587,25.1232,11.7183,4.7781,7.8574,21.0854,18.7834,2.1141,2.2725,1.0738,19.5381,3.9087,1.9943,97.4554,247.0141,45.9603,8.0774,66.6658,132.7967,2.1853,16.8607,11.9258,11.3688,7.7454,33.6588,111.4731,61.0998,60.3967,26.1149,33.9683,12.3992,9.1164,1.988,0.0
VNM_O,18.0168,0.1685,1.2095,1.1394,0.0185,13.5669,19.1487,3.138,1.5846,0.1699,3.6485,2.3134,14.9302,3.8999,0.5474,6.9724,8.012,3.9803,1.8611,5.1494,0.0612,2.9942,1.8488,0.4633,200.2008,118.8265,3.2372,0.2661,0.873,9.3157,0.252,3.9376,1.8752,0.2038,11.2741,15.1011,27.1523,19.667,3.505,59.457,14.9363,2.277,2.3655,3.2763,0.0
VNM_P,5.8155,0.2265,78.3279,2.0275,5.1669,2.0546,4.3723,0.8351,1.4989,0.1492,1.627,1.0236,3.8506,2.1596,0.3215,2.454,10.1236,1.8492,0.2887,0.4065,0.0874,4.781,5.933,0.1585,5.7927,53.769,2.6873,0.0483,4.1518,1.6852,0.0599,1.9772,5.1945,14.349,12.8871,24.6061,15.6857,15.936,10.7619,39.5539,169.09,3.2251,3.708,2.5047,0.0
VNM_Q,2.6807,0.05,0.0116,0.1716,0.0,1.4056,3.3066,0.391,0.2916,0.0693,1.112,0.5227,1.7406,0.8997,0.5187,0.6254,0.0133,1.4103,0.0346,0.2623,0.2024,1.4864,3.3078,0.2563,3.8518,7.7578,1.3154,0.2501,1.3695,0.5482,0.244,0.6913,0.3562,0.2522,0.4986,8.2782,2.1838,1.7738,1.0875,13.0334,10.3618,21.2789,2.9508,0.9436,0.0
VNM_R,0.4751,0.0002,0.0009,0.0011,0.1884,0.2296,0.2425,0.0273,0.1744,0.0,0.808,0.0001,0.284,0.0438,0.0064,0.0606,0.4071,0.0559,0.0033,0.1147,0.0018,0.3773,0.0327,0.0362,1.2727,2.9115,0.1041,0.2534,0.282,0.0975,0.0851,1.4521,4.1937,1.7921,0.393,0.4686,4.8933,76.6526,1.2917,18.5688,9.8781,0.1422,282.9412,6.0868,0.0
VNM_S,9.0284,0.7106,0.1464,0.5548,0.0005,1.648,5.3897,0.9553,2.0154,0.8067,0.9624,0.1822,4.6139,2.5268,0.6791,1.6803,13.28,4.021,0.6197,0.29,0.1045,3.9797,1.1099,1.4765,6.3537,59.1081,1.9659,0.4307,0.3747,1.8628,1.0021,30.966,2.344,1.1217,3.7423,8.6549,14.062,71.4707,4.5702,45.8492,22.4071,4.5255,3.1231,12.5303,0.0
VNM_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
