V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T
ESP_C30,1.6982,7.9393,0.2366,1.2644,0.0314,1.1837,0.1372,0.4123,2.0096,0.6138,1.5696,0.2995,0.1059,1.2121,2.3329,11.2096,8.8751,23.4306,20.0741,10.9346,3199.1382,415.2184,1.3666,0.611,10.6262,65.3461,66.9005,0.4875,259.0152,141.8881,1.5727,27.2251,0.2962,9.8476,16.2165,21.8401,0.1134,323.4815,55.7638,18.3878,2.0889,11.2853,29.3055,13.1918,0.0
ESP_C31T33,170.2206,74.0908,11.9885,50.534,2.2355,359.9175,79.1691,119.6386,140.8059,55.4668,186.828,69.5819,114.0248,118.0236,289.6541,377.7968,13.1123,131.8537,121.5347,910.4181,36.2012,658.2963,400.7583,222.4552,566.5101,623.6362,398.53,48.2126,454.0046,234.7415,21.3913,315.4153,93.8848,292.7241,102.9126,338.4783,33.5601,319.3139,384.8477,248.6978,287.6798,1203.2859,294.3979,42.6897,0.0
ESP_D,1046.9944,20.9434,68.7986,167.6976,4.0051,1934.8703,250.8773,204.1483,1034.7074,1151.9681,1615.6795,222.1744,460.4978,2293.49,1968.0968,841.2221,51.3147,373.2302,175.9414,880.044,173.3354,386.0786,8691.6414,828.6782,1101.1671,5285.6946,2172.6791,162.6227,893.3222,1501.9432,99.0211,2871.5215,173.9305,1134.5788,327.8083,54.7849,669.3217,1116.6029,635.4596,1540.1412,548.373,1666.0495,655.2876,392.7942,0.0
ESP_E,525.5064,11.6382,8.0316,35.9922,0.816,461.3797,71.2008,27.3308,267.4619,313.2057,589.0205,96.4097,308.2554,282.1703,2660.4109,500.5223,25.3677,99.1898,170.2401,173.8029,70.2588,146.3771,514.9458,6959.3068,631.6738,1096.649,130.5675,10.259,53.6857,153.7099,9.4194,691.7304,65.4949,112.119,146.2201,87.3164,321.2246,409.2505,240.1558,264.5832,102.9676,547.7861,241.234,123.549,0.0
ESP_F,404.1497,5.9255,6.9894,79.894,2.896,689.9962,126.8302,16.0615,156.1438,67.6367,314.8122,115.5604,223.7751,286.6783,127.3898,252.4561,53.6092,84.9155,180.4365,129.8011,131.0117,463.7778,754.0862,329.565,22234.8822,4657.8759,948.2059,48.6008,162.5049,1118.4275,64.5354,1518.6957,256.1075,630.2026,559.3966,836.906,3636.9331,1077.7636,1014.5865,891.0759,592.8407,600.5815,447.5954,220.2435,0.0
ESP_G,5137.0889,180.9496,43.2945,185.0056,7.6131,17780.6057,2381.3479,741.8796,1467.4988,684.352,3618.0095,1225.0654,1553.4302,1246.8804,1727.1076,1955.5826,405.2622,1279.7419,1371.6585,6239.5104,833.5898,1495.0109,2479.7219,1258.9191,5415.9078,5126.7308,2644.6243,52.1902,424.3106,917.3566,70.9159,7966.0664,1026.3048,683.4803,717.352,984.6346,203.7383,2425.2958,1131.8898,1363.393,934.2781,4866.0121,474.2111,621.4068,0.0
ESP_H49,229.9361,18.9964,6.7229,213.2567,3.1754,2053.1084,221.3491,147.8523,386.3621,507.9348,771.1136,146.9588,391.741,523.3167,590.2015,493.1747,49.978,242.9553,317.3459,700.212,124.4733,283.7808,348.5296,280.4933,615.8724,5166.1055,3510.2549,38.8341,83.7941,5949.2943,470.9865,437.655,262.3426,154.6453,223.2186,126.856,59.8954,433.523,1145.195,1448.6628,106.26,285.693,80.5723,201.5706,0.0
ESP_H50,13.8192,4.0786,0.228,1.3199,0.0581,60.3723,7.949,3.3984,7.7991,36.2116,21.5079,5.3528,8.7802,8.7174,16.4097,13.1633,2.3196,8.8931,8.5847,36.6879,5.8352,10.5749,33.8075,5.1436,25.4374,58.6172,29.8693,1.5357,7.4835,44.6688,0.3054,23.6176,4.7238,3.7404,3.7672,2.5263,2.5451,9.1786,16.4964,6.6571,2.5806,15.8712,2.6692,1.9475,0.0
ESP_H51,44.346,8.1873,1.3879,7.2894,0.2868,155.1292,22.2658,13.1981,29.6425,114.9647,66.9175,16.344,28.5358,27.9336,62.9006,55.649,6.2129,30.4755,22.1863,115.4633,15.8392,59.7641,117.9578,29.0186,60.1583,178.6749,118.7159,8.7776,63.0875,144.4335,2.4784,68.3804,15.6345,34.628,12.8909,24.0569,7.5771,34.1745,33.2105,28.1866,21.281,59.6175,27.6136,4.3824,0.0
ESP_H52,75.1603,30.1945,4.0129,100.5435,1.7913,1018.8009,107.0506,86.461,249.4416,538.641,784.1331,134.3799,229.1361,238.6395,437.0563,327.6756,42.0877,193.0344,207.0914,460.6378,64.1807,847.1893,2309.62,207.0349,380.2441,8132.8223,4987.4782,264.3502,1063.2073,8536.4884,29.4097,275.9781,161.5477,138.8254,168.9657,128.3625,489.4337,536.5825,351.6921,514.1858,29.2815,84.2905,131.1381,98.4973,0.0
ESP_H53,1.5343,0.6363,0.1776,1.8227,0.1422,50.4309,5.7083,2.9794,10.8466,13.4207,31.8267,32.4831,22.4483,15.2627,12.7349,37.2292,0.8279,7.2022,23.1127,37.4006,2.8401,18.6903,96.1332,40.1188,306.182,538.4893,72.9088,4.248,11.8729,170.5103,1537.0942,125.2379,13.1354,263.5981,297.6855,130.5882,107.728,352.2865,158.9331,151.6099,59.1233,93.4034,1.6971,24.9486,0.0
ESP_I,23.3092,9.9658,1.3707,3.0905,1.9996,128.5579,14.5529,6.54,8.5949,15.6362,110.979,35.4937,37.291,9.4912,22.4932,51.6428,10.393,9.4981,27.9416,35.5254,29.974,31.4648,69.6663,151.9881,901.2443,769.5114,933.0675,7.3669,33.4468,48.945,27.2434,1404.002,91.7926,102.8676,798.8253,734.5595,69.0371,879.5104,4210.1612,524.5407,240.404,2141.2771,315.3083,1675.2251,0.0
ESP_J58T60,30.5533,1.8299,0.4009,1.3392,0.1544,479.4385,35.5134,3.988,270.6787,5.9376,121.5607,84.5546,19.2845,21.5654,8.6498,26.1284,6.3736,23.0339,23.911,126.7411,7.2134,38.5239,46.3914,25.8694,76.8863,1794.8573,24.7223,2.8253,26.688,32.5156,1.7296,190.2542,1726.2872,125.6278,236.8231,481.2422,62.901,625.2924,286.5284,216.3009,420.6581,153.1459,91.9445,165.0147,0.0
ESP_J61,46.2949,9.3884,8.8302,44.4732,0.7087,398.1262,64.4222,15.7311,42.2687,73.1183,279.7457,162.1612,72.0689,90.5983,78.0397,98.2584,37.9773,65.6172,122.5384,137.8146,32.5513,83.9894,822.934,326.1304,1192.8556,1133.5602,223.6513,10.0222,360.8498,230.9574,60.3254,845.3595,440.0207,3942.8381,314.0079,694.6456,575.4377,892.7145,839.6418,1050.5318,95.2602,720.7123,110.2172,254.0633,0.0
ESP_J62_63,10.2164,2.4986,1.341,2.8421,0.4726,84.8633,14.8708,4.6298,23.1057,12.0707,35.0215,22.7116,15.846,16.4042,12.3913,28.6818,29.4298,30.1377,28.7365,92.9549,16.0115,23.4105,41.1139,33.4182,123.0046,361.405,139.0099,59.5396,22.8799,30.9897,2.9382,94.5476,135.7929,126.9841,2928.7055,604.7592,81.9956,339.0484,234.4338,420.7839,75.8541,207.2139,95.84,67.3723,0.0
ESP_K,1150.1821,46.4434,13.4235,39.7026,3.9968,1046.9628,198.4811,74.8156,213.9136,258.1432,403.4944,166.2115,227.9686,210.3125,268.6069,448.4851,59.9823,212.8721,262.2974,617.7631,167.859,277.9839,613.7352,292.3857,1552.496,4871.5079,852.1464,45.4045,135.7829,631.8237,55.1276,1271.8629,247.3444,378.2115,780.9523,15838.5421,5578.8632,1754.5344,1683.8352,2180.1174,460.483,1232.9901,496.1273,401.9062,0.0
ESP_L,23.1421,2.4313,3.3779,29.4128,0.7594,211.8165,106.816,26.5729,117.8091,19.5177,174.1865,68.961,135.0384,75.1012,28.9515,260.2141,24.4732,109.5352,98.7959,79.7719,42.496,173.1454,207.4398,209.9894,666.021,8456.2344,271.055,69.0929,63.4427,708.423,62.8669,2954.1849,654.2344,791.8629,400.0238,2078.9379,393.553,1893.8409,877.9208,928.879,152.385,478.6666,972.2585,366.88,0.0
ESP_M,171.0337,11.6999,30.8968,99.8987,9.2419,1451.8549,270.2861,43.5457,275.7438,506.0596,428.7384,303.9391,215.368,293.1696,95.8621,527.1578,129.7785,367.3095,343.0729,600.453,1342.8391,373.6587,444.133,551.4243,6928.5819,8970.2033,530.1186,47.2421,532.3088,591.1754,38.715,1420.3721,1417.9129,1518.3501,1535.798,3176.699,2001.6486,15201.0178,2361.1722,2145.118,781.8434,1320.9966,1911.7415,634.5494,0.0
ESP_N,139.6835,28.2926,39.8964,85.9403,6.7628,2056.3234,239.0353,90.673,474.6656,190.3509,834.6261,444.5499,439.5158,340.4261,256.6867,654.428,130.1403,351.1206,419.3117,1541.6316,269.1159,437.7776,1019.9164,947.3582,2553.4529,11236.9161,1589.7945,174.9233,1067.755,1720.4398,112.0745,1428.8819,669.4334,1161.5398,2001.5013,2328.794,1267.0028,3161.189,6980.0782,2248.9453,1024.3919,2077.1017,611.5043,523.0247,0.0
ESP_O,74.0502,31.3541,2.2769,26.8028,0.7521,252.2062,32.6321,24.0219,77.1275,179.3057,164.2495,59.1885,67.2357,65.1486,119.997,97.0331,13.6946,50.6838,55.9623,120.9624,42.8566,165.3915,479.9436,133.3579,1050.8528,2037.4535,920.3915,58.3084,239.2469,1515.9478,14.4691,311.8939,67.9682,168.5211,143.1555,301.3446,219.5149,342.2813,258.1947,205.9045,125.1484,146.2355,114.5177,46.8867,0.0
ESP_P,15.7713,0.9989,2.1739,2.3382,0.0928,147.4347,17.969,2.6606,29.1254,54.9947,42.9236,78.6947,42.9737,13.1936,79.1954,20.7958,26.8861,17.9486,33.6683,157.0104,55.1973,69.9501,172.6702,96.7646,162.363,916.3523,96.6925,1.2605,162.3247,22.1168,7.4699,58.822,70.1825,339.7249,380.8696,77.5824,28.8401,448.6832,221.3232,41.0614,99.7353,173.8973,7.468,340.4221,0.0
ESP_Q,68.3525,4.6557,1.2742,8.2368,0.1313,309.745,39.7059,6.2749,19.0877,23.5989,83.7934,45.6985,25.3257,13.4297,19.1518,16.1536,12.7884,27.1476,23.3433,122.1034,37.4918,100.6318,95.1764,164.7835,240.0944,2256.0675,124.3759,1.8848,13.3946,11.8398,25.3506,595.526,38.0484,408.6855,196.3883,118.7685,38.4975,403.0592,147.5831,70.8076,85.3897,6642.5233,49.4446,235.5301,0.0
ESP_R,98.2639,6.1398,0.6349,2.347,0.1259,482.5013,62.3259,4.4682,40.3463,63.1193,88.0336,58.2665,34.5002,14.9857,33.6274,41.9708,20.9745,16.8968,38.9346,144.6548,55.2425,143.8567,43.3718,33.3094,81.8689,896.4614,61.3035,3.1472,36.0844,99.6357,48.8885,556.7727,313.9713,209.7798,22.3972,208.8516,62.2368,709.9974,1183.9758,97.5532,32.6546,128.6827,2311.9764,149.7856,0.0
ESP_S,45.1223,34.1668,1.1493,5.7077,0.3359,245.9227,33.9257,22.0388,43.6224,66.346,194.1262,81.7385,39.0868,69.7593,80.2492,110.2165,18.1993,35.5184,51.3973,211.0997,28.2907,113.4821,306.7484,145.1674,155.4833,1197.1123,310.5871,13.0038,33.5051,107.6111,5.4216,384.5098,137.2472,86.1401,705.1641,231.866,132.2592,1070.2742,486.0993,239.1037,170.3141,811.9904,1733.5257,1163.2025,0.0
ESP_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
