V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T
CMR_A01_02,203.8317,1.7863,3.213,0.0003,1.0345,691.1337,21.0699,66.5064,0.0089,0.0,1.9931,0.4551,0.0108,0.0093,0.3974,0.0439,0.0073,0.1568,0.2669,1.0445,0.1279,45.688,0.0001,2.7091,317.8994,4.1421,0.0684,0.0407,0.0241,0.1017,0.0119,104.8272,2.8145,1.9094,2.3678,0.0114,6.9422,5.8184,5.4185,2.7796,0.4411,11.3177,5.245,31.3628,0.0
CMR_A03,3.1794,2.7575,0.0153,0.0,0.0049,85.5031,0.1201,0.9201,0.0001,0.0,0.0085,0.002,0.0,0.0002,0.007,0.0008,0.0,0.0,0.0,0.0,0.0,0.7639,0.0,0.0128,5.1558,10.5718,0.0005,0.0004,0.0004,0.0006,0.0001,26.0173,0.0276,0.0184,0.0263,0.0001,0.1167,0.0179,0.0073,0.0512,0.0043,0.0639,0.0438,0.1751,0.0
CMR_B05_06,72.1224,0.0,167.0442,3.1479,3.381,5.2125,9.3166,0.2545,1.4616,298.7136,4.3174,0.0005,0.0,34.3628,9.2329,0.0016,0.0438,0.0042,0.0085,0.0,0.0,0.117,144.3554,1.5467,1.8578,43.7178,7.41,1.755,1.8678,3.2988,2.3236,0.9634,1.4298,1.5263,1.6726,0.101,0.1017,1.4773,0.0,0.0,0.3215,0.0197,0.0732,0.0025,0.0
CMR_B07_08,0.4422,0.041,14.4368,10.9166,4.5857,0.9889,0.0249,0.1945,0.0,0.0,0.1046,0.0062,0.0031,1.7284,8.7327,0.3825,0.5317,0.0,0.0,0.0,0.0,0.0132,0.0,0.0018,37.7944,0.0694,0.1591,0.0225,0.0684,0.143,0.0333,0.211,0.0002,0.0005,0.0003,0.0,0.0017,0.0954,1.7668,0.0032,0.5831,0.001,0.0014,0.0099,0.0
CMR_B09,0.5994,0.0,63.5007,0.0402,15.4793,2.3129,0.049,0.4434,0.1363,2.796,0.0383,0.0007,0.0,1.4249,0.023,0.0016,0.0453,0.0034,0.0066,0.0,0.0,0.0291,7.4104,0.1224,7.8192,53.9158,10.1108,1.1707,1.0761,4.9081,5.0697,0.8642,0.1055,0.0,0.2631,0.1416,0.1561,1.0798,0.0,0.0,0.3788,0.0234,0.0295,0.0021,0.0
CMR_C10T12,67.8879,0.9102,0.2532,0.0102,0.0804,343.573,3.0083,1.1418,0.0827,0.0008,21.6205,3.7368,0.0894,0.0009,0.0567,0.0063,0.0015,0.0118,0.0284,0.0022,0.0002,0.0482,0.005,0.5623,1.7028,15.5824,0.2011,0.1199,0.222,0.2433,0.0428,579.0661,2.2912,1.5436,1.3383,0.0254,0.0054,0.5917,12.5844,10.7409,1.6259,1.4134,0.875,1.6204,0.0
CMR_C13T15,0.3776,0.7736,4.179,0.0318,1.0417,1.2561,194.8077,0.631,0.2159,0.0007,0.3393,0.0744,0.1109,0.0403,0.0041,0.0008,0.0502,0.0035,0.004,0.0074,0.0001,3.9594,0.0082,0.0174,2.736,1.1234,0.4993,0.0554,0.1,0.1733,0.0566,0.4213,0.0366,0.0326,0.032,0.0205,0.0027,1.6808,0.6197,12.0561,0.6949,0.2818,6.5556,56.98,0.0
CMR_C16,63.0676,0.119,0.0627,0.0044,0.0197,35.8895,4.2182,65.8453,0.0604,0.0001,0.4813,0.0432,0.0019,0.2296,0.0572,0.0092,0.0595,1.2731,2.1657,8.4969,1.0408,10.53,0.0008,0.0929,158.7185,0.2514,0.2292,0.0875,0.0682,0.429,0.0382,3.4688,0.027,0.0217,0.019,0.0009,1.4921,17.1035,42.6157,5.7816,0.7117,2.5178,23.9622,3.304,0.0
CMR_C17_18,3.1909,0.0336,0.2508,0.0066,0.0675,2.8803,1.6359,0.3552,9.8701,0.0072,0.7359,0.1922,0.1612,0.0184,0.0103,0.0023,0.0003,0.0186,0.0222,0.0137,0.001,0.2437,0.456,0.0198,0.5081,2.3633,0.5952,0.1336,0.2751,0.9778,0.3394,0.2459,4.4685,1.2492,1.3739,1.0154,0.1459,4.5473,0.2991,29.9471,4.8724,5.8916,0.3971,0.7424,0.0
CMR_C19,19.9654,31.4088,20.2137,0.5107,4.497,18.6326,7.788,15.839,1.1968,5.8128,2.173,0.1213,0.1618,0.263,2.3854,0.2135,0.0002,0.0614,0.098,0.0031,0.0002,8.409,3.6343,0.584,19.786,27.3928,103.6187,28.8889,61.5918,21.5379,7.0697,5.2784,1.2436,2.1842,1.4782,3.0113,0.2509,14.7801,1.1398,16.0582,6.6294,3.5338,1.1966,6.9271,0.0
CMR_C20,18.846,0.0313,1.9615,0.6198,0.5222,21.6725,8.5686,1.5864,4.0319,0.0259,17.7858,1.2641,5.1889,0.3277,0.6132,0.081,0.003,0.8832,0.7526,0.0045,0.0004,4.9818,0.0426,3.4538,5.196,3.9428,1.5613,0.4454,0.6779,1.8953,0.2207,0.1013,2.6986,0.7268,1.0557,0.0663,0.0512,1.9419,1.0338,0.351,1.6534,1.279,1.6919,3.4133,0.0
CMR_C21,1.8355,0.013,0.104,0.0524,0.0233,3.6607,0.4925,0.1347,0.2264,0.0026,2.5054,7.994,0.2053,0.0185,0.0544,0.0061,0.0002,0.0464,0.0859,0.0002,0.0,0.3482,0.0048,0.2478,0.2812,0.3041,0.1957,0.1483,0.1386,0.3022,0.0938,0.0136,0.1645,0.1643,0.1844,0.0143,0.0043,0.5929,0.1222,0.2137,0.5974,2.6281,0.2814,0.5458,0.0
CMR_C22,3.1544,0.2041,8.0153,0.1361,2.5606,14.7029,1.6578,0.358,0.3305,0.0165,1.1557,0.2243,0.4108,0.0317,0.0233,0.0068,0.07,0.0036,0.0051,0.0735,0.0045,0.6161,0.0573,0.2934,1.7552,4.6125,3.717,0.3528,0.5114,1.7342,0.4054,0.7185,1.0139,0.9654,0.8636,0.1034,0.1415,0.7142,0.3989,0.9986,0.4849,0.1633,0.1732,0.1968,0.0
CMR_C23,9.5915,0.0857,7.9966,0.5455,2.3629,2.1496,0.0656,2.6325,0.0373,0.0058,0.1149,0.0262,0.4933,59.7506,0.415,0.0594,0.0009,0.0031,0.003,0.0582,0.0041,0.4809,0.1075,2.5483,126.0252,1.6197,3.3189,1.0612,1.738,4.4307,0.5545,0.8213,1.0567,1.2516,0.8665,0.1921,0.5563,0.9284,0.0611,1.2832,0.6622,0.0735,0.6033,7.406,0.0
