V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T
AUS_A01_02,9014.5382,1001.1201,47.7835,135.1956,1.836,21958.2064,506.3355,1878.0431,9.1985,10.0649,119.83,143.6263,218.7717,12.7267,3.2034,10.3681,0.8665,0.9604,2.1765,2.7736,4.0203,7.1764,7.882,34.5165,1248.0366,1869.5034,58.1091,21.1445,8.6776,38.782,15.3265,1097.3934,32.9947,30.1948,20.6998,28.801,152.7034,113.8677,134.3214,140.9991,170.3554,364.9218,401.1663,400.4857,0
AUS_A03,104.2135,130.7784,0.0,0.0,0.0,1695.9087,19.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6704,0.0,0.0,0.0,1625.0163,0.0,0.0,0.0,0.0,0.0,674.6904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7031,0.0,0.0,35.9206,0.0,0
AUS_B05_06,196.8267,8.151,2272.7602,2652.3058,97.5862,478.4105,16.4,42.3147,169.4266,3841.6618,912.5646,56.5037,128.572,440.547,2674.4424,356.2757,4.0816,4.0101,9.856,11.1902,22.8527,6.8251,8048.5615,26.6551,1939.3853,1263.1162,210.4984,19.2215,16.338,88.3421,190.9355,270.478,15.7803,33.819,9.1313,14.3676,248.053,105.3201,58.2958,227.8806,65.4525,133.0139,17.2702,34.3908,0
AUS_B07_08,138.3508,13.2329,359.83,448.1218,11.7801,195.4555,10.0316,26.8007,36.3309,26.1292,368.723,207.7138,30.0366,1830.0439,22058.0736,66.9449,6.7889,7.2163,15.9799,14.0741,16.5098,28.4914,250.7629,62.165,2399.9349,514.8837,223.4716,34.1889,26.257,141.2241,63.3222,55.5437,24.9766,49.4281,48.372,40.7599,121.172,101.9113,92.0017,116.7149,43.2099,84.2003,54.1308,34.5969,0
AUS_B09,30.6414,2.3897,2956.7697,3500.7208,31.1803,26.9863,1.3055,3.1465,9.7059,5.0527,6.914,5.4312,4.9581,7.9663,3.036,14.7822,1.5719,1.1987,2.5985,3.3738,4.2996,1.6977,17.3617,10.4507,346.0965,99.7574,22.0363,8.6843,24.7939,55.2043,5.6132,7.8413,2.5814,22.3941,12.2801,15.3856,21.1737,25.8711,19.4033,26.1195,14.029,20.3074,6.3533,5.9676,0
AUS_C10T12,966.4802,128.7754,67.5695,96.4237,21.2511,7089.7098,166.3791,13.0361,21.6766,38.1709,115.3534,106.3574,38.7445,22.5453,11.2183,23.9795,11.0882,7.7923,18.6426,13.5562,20.3855,14.3602,82.7109,67.3669,348.7814,1309.4256,33.0651,8.8796,21.257,11.9513,21.5853,7148.3473,12.6361,15.9131,13.9919,50.6289,31.39,147.9488,111.7663,258.9471,381.6482,1715.1273,644.6042,181.7404,0
AUS_C13T15,13.3203,13.7315,20.759,16.2102,0.7128,45.3614,107.6262,3.3791,13.4034,1.1589,9.3846,11.0435,20.9514,25.402,3.0855,24.4028,3.5572,2.2952,6.0653,16.8269,26.1115,30.2779,4.3429,13.4997,195.8397,106.5545,20.7742,4.3666,2.4859,1.1197,7.8295,15.0836,1.6405,9.0251,0.0,0.6241,2.6577,20.7952,22.6687,57.2394,90.0947,233.1841,37.0996,69.7506,0
AUS_C16,27.6643,5.8617,13.8419,28.2185,2.0199,20.1354,4.3861,931.6516,174.0325,10.4718,2.6491,1.8084,16.1454,21.3904,5.171,52.6997,3.6444,4.4411,10.0452,19.1436,35.0778,220.245,10.0469,21.0178,6457.6438,93.1826,16.0533,1.7337,1.7144,10.7527,3.7083,11.7728,2.8541,2.2025,3.0802,4.2495,5.6969,6.0876,5.791,19.5093,107.6888,16.7628,30.662,17.5101,0
AUS_C17_18,104.3428,14.0834,100.1243,106.069,16.3739,674.5648,18.1968,38.0145,985.7123,27.6123,79.2831,101.9885,76.877,114.0571,13.2537,49.5259,25.8021,17.0761,29.7521,20.9225,27.1727,19.1835,46.7525,41.9198,712.9803,1023.1811,92.4086,18.5126,18.1906,37.3265,54.0045,132.0872,716.6723,63.0018,98.5858,275.4568,49.2978,145.1967,121.7796,254.2932,258.3678,251.1758,117.7103,125.103,0
AUS_C19,677.939,199.949,438.211,1154.0917,34.6493,131.7728,7.4816,14.7175,12.8567,447.3637,88.902,29.5456,60.6039,39.3544,112.2132,49.2534,4.7824,3.9902,8.4619,16.0735,22.8656,7.5664,65.0546,132.2323,1323.1988,327.0386,1202.5782,344.3945,999.7795,85.2167,175.2993,57.6693,20.7569,254.9419,2.7302,172.5629,18.4553,137.0127,49.897,264.9333,34.4039,105.067,40.3445,43.9902,0
AUS_C20,739.4764,40.0795,122.1946,197.4883,10.2658,77.6492,5.5314,34.9504,93.8842,200.5365,446.8745,176.7224,611.5766,124.2781,8.9333,40.6566,15.0429,22.8964,23.0194,21.2311,29.4614,12.2623,13.6305,101.0009,1064.6123,298.3219,22.4947,1.2318,1.7248,3.4777,2.6288,49.4096,9.8166,0.4508,0.0,0.6208,21.5934,66.0997,104.9058,49.3547,80.0211,215.4174,76.2255,205.3755,0
AUS_C21,338.9369,1.8707,4.7551,8.567,0.6787,2.5306,0.0,0.7192,2.825,0.8393,9.309,165.2656,0.6235,2.3692,0.6774,2.3288,0.1218,0.084,0.1945,0.1536,0.281,0.2046,0.2768,0.0,12.4675,19.1923,0.3698,1.7012,0.0,0.0,0.0,0.8315,0.8951,0.0,0.0,0.0,1.3894,4.5399,4.9412,1.1619,25.945,112.0272,282.4845,8.0456,0
AUS_C22,78.6192,25.2961,112.2504,136.6613,16.7346,292.3569,18.4087,78.2337,219.2261,44.7605,132.8912,129.0897,202.895,49.5277,7.2167,59.4479,28.2782,39.8644,72.4695,152.6784,128.7567,72.8113,19.859,60.7372,2584.6219,597.5704,138.8726,4.5812,12.5152,9.1213,52.3853,45.706,17.4991,6.1473,4.5447,5.5807,107.7789,46.4015,38.3247,158.5027,67.0165,141.2743,29.838,145.1917,0
AUS_C23,33.2064,5.4228,43.2152,72.1586,11.4145,312.3138,2.2889,82.6849,10.4841,10.4464,65.327,74.439,31.6321,829.7973,19.0605,240.535,8.791,10.6991,17.52,64.969,78.8586,27.7705,22.5233,83.4645,9953.7396,267.1652,26.2121,3.5468,1.9874,11.1402,8.2307,71.7325,3.5853,3.7505,3.9939,5.766,19.7883,25.978,14.13,23.5131,50.479,139.036,15.2125,119.38,0
AUS_C24,0.0574,0.2766,160.1376,89.3144,52.2973,10.5101,3.6903,43.7183,22.2884,25.2048,4.7754,1.9556,41.0255,50.0333,479.5726,2611.9469,73.5415,202.4501,379.1386,334.7574,319.6082,118.4507,8.5659,19.9129,2789.6546,263.5466,4.8933,0.7741,0.0,1.6419,1.3517,9.0182,0.2715,0.0,0.0,0.0,12.3746,7.0809,5.7351,23.1961,12.3595,18.2641,5.6255,28.5532,0
AUS_C25,90.8377,51.9562,621.4385,732.8992,88.025,225.834,10.6793,186.8845,62.2079,28.7046,54.8032,38.936,104.6519,444.2062,93.6732,1066.6502,68.4974,108.2806,349.7719,228.4941,289.9594,95.5492,47.3252,193.94,7274.71,563.4735,202.1674,15.8591,7.2344,16.0235,66.9298,91.2412,18.8965,17.3718,14.6485,19.096,92.2321,50.9481,50.1618,301.1734,246.4131,192.1207,181.1062,160.9924,0
AUS_C26,1.8957,1.975,10.2783,13.9888,3.3194,1.3483,0.3245,0.3589,1.2566,0.8795,0.4462,0.5343,0.6845,0.4138,0.4458,2.2081,271.87,30.0068,41.5843,6.2677,11.2906,12.2063,1.0362,15.2438,158.7232,62.1455,11.4618,0.7641,3.2096,4.6515,26.9801,5.6878,37.2082,92.0101,33.5127,35.8609,5.2377,27.289,16.6682,31.3802,128.1494,464.2659,30.664,36.0155,0
AUS_C27,11.3658,9.5616,29.0066,13.9828,1.4535,13.594,0.2587,0.3423,11.6098,1.1982,0.5346,0.4007,12.4621,3.6643,1.5872,16.6238,44.1744,109.5648,76.5909,27.2119,34.068,14.9577,84.9744,17.6787,1219.882,84.7323,36.4331,0.6072,0.7555,1.4464,16.2568,4.6143,4.1533,74.4235,7.2825,4.284,7.5616,22.6446,10.3089,16.9193,16.7176,23.102,54.4102,31.4816,0
AUS_C28,102.3805,70.4755,361.0697,634.6034,21.1906,55.5785,1.1609,7.265,21.6592,6.5507,10.4746,10.3216,8.2064,24.294,6.0627,51.8577,14.758,16.7887,191.8851,64.6048,101.5403,70.4873,23.5143,28.7131,210.0216,238.6184,12.396,1.9527,0.7275,1.0337,7.5012,12.8071,1.233,24.8098,0.0,0.5905,0.8505,67.8309,35.6001,51.4246,59.245,38.2477,10.4944,52.8496,0
AUS_C29,2.088,0.8659,2.648,4.2747,1.045,0.3247,0.0941,0.123,0.0,0.0,0.0,0.0,0.0,2.2293,0.3443,1.2948,0.7797,0.7298,3.9589,276.263,37.5473,64.1079,0.1421,0.8646,47.9907,337.9123,60.0769,0.6548,0.2038,3.1198,3.0491,0.8938,0.2297,0.0,0.0,0.22,0.5942,0.8514,2.2868,42.9341,13.0802,2.1833,2.2317,62.1467,0
AUS_C30,17.0427,142.795,202.9283,85.2996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.7013,0.9804,0.0148,0.8886,380.7844,419.9888,0.0,0.0,0.0,92.3387,17.6756,652.5132,396.1508,2016.901,117.2096,100.9104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.425,31.1991,0.0,1.1175,0.0,0
AUS_C31T33,128.0097,30.9008,264.8872,376.4931,44.138,48.2432,9.2072,76.8809,49.5171,90.0078,13.6122,10.636,35.775,67.9047,4.6632,35.9828,4.1938,5.0118,12.1106,18.8409,34.5995,26.0221,26.375,44.9108,624.5439,340.4585,67.5331,25.7989,18.9309,104.6266,43.4214,28.0984,28.8661,185.1895,50.5947,157.1622,59.4966,248.525,169.3275,67.9788,118.2486,111.8414,165.5791,71.5403,0
AUS_D,576.302,44.4987,1364.5126,2403.4769,81.6124,1094.5009,98.4451,224.9271,358.0477,237.4327,296.8209,107.0887,320.7222,268.8202,876.3855,219.8444,42.8029,30.2932,77.5914,139.3793,102.1591,68.1825,16462.3409,503.1461,1551.035,2319.2393,373.3942,9.1472,35.1194,510.1947,40.4769,1441.9354,146.8496,518.8788,79.7502,458.6913,1028.5614,813.1389,828.4272,3430.2147,482.6213,542.6256,189.2631,154.9388,0
AUS_E,1563.9118,34.7292,171.2612,155.3844,13.0485,325.1121,14.4956,37.0294,119.1555,76.7446,88.4948,62.9835,80.5069,135.9217,51.9406,124.2567,23.8723,26.4929,58.6992,69.7797,125.0928,26.3187,202.6205,1317.8151,2222.8028,734.2661,182.1176,59.3268,20.3125,228.0437,18.1361,433.3778,37.449,1013.4617,774.4003,290.3006,1310.1658,1564.0117,1111.7672,491.9753,352.0669,1327.84,447.8155,179.8973,0
AUS_F,2659.6605,185.972,2960.7314,6088.5795,92.5528,396.5596,25.7159,576.8954,114.1917,133.0558,54.4753,45.4793,81.9685,108.5224,74.994,124.1587,50.2688,40.5335,93.0149,75.1943,116.6284,145.876,963.2658,789.0524,85210.4943,3216.8537,2232.4787,85.5351,74.2953,1085.6718,106.7818,1059.8669,280.4916,615.0799,957.2348,1151.7079,11607.2475,1167.0332,900.8804,6694.0953,505.5035,776.4086,354.1136,384.5585,0
AUS_G,3852.4036,615.3414,1496.5456,2331.7371,162.0247,8237.6615,629.3269,496.627,772.4957,967.3891,808.4035,590.4496,921.2544,705.0181,326.5524,988.6963,588.9566,364.2844,644.5668,765.1059,722.1517,542.78,1003.1804,713.3743,12821.7619,5683.9892,2577.3761,348.365,661.5646,347.8617,570.2824,4350.11,693.5276,1073.9654,1191.8205,1284.9745,648.8535,1295.8346,1398.704,1733.0687,2141.0333,4350.2462,2189.9455,1402.058,0
AUS_H49,1412.1724,119.2623,1814.1641,2046.224,130.1246,1575.6551,96.5738,316.0725,381.0958,202.4564,243.4712,152.9997,323.8346,1116.7632,290.3607,367.3596,58.7997,64.8429,140.3127,128.8414,137.7913,72.554,200.6993,280.1194,1635.7542,5590.4458,3230.3031,691.583,231.8022,1532.3197,962.2813,185.0549,236.9221,108.556,114.6496,278.1474,167.72,502.1593,464.9909,250.4259,244.0753,447.5966,184.8412,121.7164,0
AUS_H50,116.2948,20.9135,2064.4032,118.038,68.4612,98.2805,6.0545,12.8242,51.5618,33.9455,31.6481,26.222,29.3764,18.3755,13.5903,80.2543,4.166,3.5428,6.3583,13.8453,17.3437,12.307,689.5228,17.0231,541.4579,1851.3462,196.0131,3360.2126,151.9357,293.0036,28.0133,83.2984,5.8721,70.9438,13.4424,81.7553,96.1966,312.1967,336.4205,297.823,193.7602,113.3503,33.2967,66.3272,0
AUS_H51,119.6514,18.5819,149.6699,159.9843,13.4139,127.503,11.9098,19.6917,45.5817,48.8305,37.266,31.1542,45.7259,39.8572,44.3327,70.4907,34.0617,23.0389,44.8128,45.577,43.0272,25.9904,64.3091,42.9421,604.7605,575.9385,135.693,70.362,193.7073,417.2302,102.8633,77.6888,43.401,82.0932,205.8154,207.7592,64.1528,482.8503,238.8058,258.6618,214.8532,211.9331,143.9341,99.6901,0
