V1,LUX_A01_02,LUX_A03,LUX_B05_06,LUX_B07_08,LUX_B09,LUX_C10T12,LUX_C13T15,LUX_C16,LUX_C17_18,LUX_C19,LUX_C20,LUX_C21,LUX_C22,LUX_C23,LUX_C24,LUX_C25,LUX_C26,LUX_C27,LUX_C28,LUX_C29,LUX_C30,LUX_C31T33,LUX_D,LUX_E,LUX_F,LUX_G,LUX_H49,LUX_H50,LUX_H51,LUX_H52,LUX_H53,LUX_I,LUX_J58T60,LUX_J61,LUX_J62_63,LUX_K,LUX_L,LUX_M,LUX_N,LUX_O,LUX_P,LUX_Q,LUX_R,LUX_S,LUX_T
LUX_A01_02,41.1607,0,0,0.0021,0,133.8498,0.2907,2.6002,0.2031,0,2.1589,0.339,27.9463,0.2921,0.6282,0.2496,0.0501,0.0181,0.2369,0.0242,0.0066,0.1717,1.8465,0.0088,1.6674,0.97,0.3321,0.0597,0.3148,0.142,0.0198,2.3756,0.0375,0.0334,0.1787,1.2445,0.6691,1.208,0.5236,0.3919,0.0927,0.9511,0.292,0.7112,0.0
LUX_A03,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B05_06,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B07_08,0.0155,0,0,0.4083,0,0.0304,0.1127,0.0,0.0252,0,1.3123,0.0141,0.7458,35.8521,27.6116,0.4377,0.0269,0.0185,0.1867,0.0062,0.0024,0.0478,1.5533,0.1615,10.4584,0.0,0.509,0.0007,0.0086,0.0348,0.0013,0.0047,0.0,0.0,0.0,0.0,0.2036,0.0198,0.0188,0.0027,0.0001,0.0,0.0,0.0006,0.0
LUX_B09,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_C10T12,17.3585,0,0,0.0707,0,78.7796,0.1809,0.1688,0.8387,0,26.7961,3.9058,21.2555,3.1527,10.5298,3.3243,0.6054,0.2728,4.3303,0.2501,0.0469,0.789,0.0585,0.0817,3.9309,3.1525,0.1493,1.9434,20.0625,2.9079,0.5813,185.0903,0.0756,0.0482,0.0,0.0058,6.8468,9.1577,15.1396,2.7355,0.6903,60.5633,2.2643,1.1195,0.0
LUX_C13T15,0.5277,0,0,0.0348,0,0.7517,115.476,0.1421,0.6611,0,0.5725,0.1434,54.0708,2.6118,5.7234,2.4613,0.4355,0.1815,2.8549,1.2199,0.1215,2.4719,0.1582,0.0533,7.0169,15.6166,1.08,0.1372,1.7869,0.3909,0.4363,0.1992,0.0595,0.0175,0.1383,0.0136,0.8135,2.4819,3.5646,1.1074,0.0307,2.7577,0.1864,1.7868,0.0
LUX_C16,0.1952,0,0,0.0101,0,1.0622,0.3321,27.9787,0.8051,0,0.6584,0.0394,15.5556,6.7221,12.927,5.4073,0.3526,0.2943,3.1459,0.6465,0.3151,6.2724,0.2151,0.0756,67.2203,3.3936,0.204,0.0247,0.2193,0.4149,0.07,0.043,0.0332,0.0184,0.0873,0.0922,4.8001,1.7736,1.0075,1.495,3.3246,0.1329,0.0179,0.2304,0.0
LUX_C17_18,0.0036,0,0,0.0118,0,2.6963,0.0848,0.0644,18.4481,0,0.9879,0.3898,19.22,3.6597,5.5312,2.4697,0.946,0.3189,2.8826,0.2091,0.0349,0.4529,0.1643,0.0102,0.9026,62.2466,0.3252,0.0543,1.867,0.7821,1.7798,0.0467,2.408,0.0852,28.8941,1.7567,3.1645,5.8461,9.6436,0.5653,0.0981,0.241,0.0719,0.2079,0.0
LUX_C19,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
