V1,POL_A01_02,POL_A03,POL_B05_06,POL_B07_08,POL_B09,POL_C10T12,POL_C13T15,POL_C16,POL_C17_18,POL_C19,POL_C20,POL_C21,POL_C22,POL_C23,POL_C24,POL_C25,POL_C26,POL_C27,POL_C28,POL_C29,POL_C30,POL_C31T33,POL_D,POL_E,POL_F,POL_G,POL_H49,POL_H50,POL_H51,POL_H52,POL_H53,POL_I,POL_J58T60,POL_J61,POL_J62_63,POL_K,POL_L,POL_M,POL_N,POL_O,POL_P,POL_Q,POL_R,POL_S,POL_T
POL_A01_02,4579.9202,3.1054,8.3807,7.4412,0.0083,10185.1496,42.3274,1039.1923,219.8239,3.4926,80.4911,29.8781,117.0404,14.6377,5.485,15.3929,1.9857,8.3504,21.1792,13.0098,4.2047,131.1124,203.6236,7.1164,76.1712,833.9424,40.8558,0.2736,0.9126,3.0152,0.3835,81.9984,2.4261,2.4617,3.3667,6.4687,25.6927,14.3804,244.5736,31.437,9.4028,48.3177,4.1115,43.4813,0.0
POL_A03,0.8691,1.8373,0.0205,0.0657,0.0003,122.3131,0.2133,0.0843,0.0991,0.0362,0.2031,0.0289,0.1381,0.0714,0.0409,0.0787,0.0621,0.0854,0.0558,0.1178,0.0274,0.182,0.0624,0.0326,0.3176,10.3009,0.6176,0.0046,0.0219,0.0334,0.0044,6.4608,0.0304,0.0351,0.0273,0.0588,0.0597,0.2721,0.136,0.0673,0.1116,0.5231,0.0743,0.1818,0.0
POL_B05_06,108.0369,0.0683,6.0532,8.0084,0.7242,60.5923,4.2508,5.8073,38.0221,456.6536,107.41,1.5379,18.6809,58.6574,844.6462,10.8288,2.1717,4.8224,5.2516,5.5634,2.4093,7.3988,1672.8485,28.7823,111.4932,37.0634,14.5593,0.0748,0.3009,14.1257,1.411,7.8502,2.1137,6.6222,8.2374,8.6008,63.1472,19.6626,12.6579,12.1861,6.7698,9.375,4.1419,4.236,0.0
POL_B07_08,33.3479,0.0042,342.5978,226.9771,0.0,3.6821,0.8299,0.4017,2.3442,1204.7486,366.7881,0.8538,22.4047,577.9821,330.6322,48.0969,36.0022,45.4665,17.072,10.5421,1.6725,7.8553,454.3283,20.4278,790.0241,25.6457,31.7399,0.0,0.0,2.8013,0.4802,0.615,0.0213,0.0,0.0956,8.6769,6.122,19.3565,43.2504,19.1991,4.4478,1.0,1.1469,8.5028,0.0
POL_B09,0.0,0.0,84.6959,31.1705,26.3464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL_C10T12,2785.9277,5.9993,10.6302,12.9019,0.5557,8914.9012,50.0483,38.6109,62.9032,57.9145,182.0437,16.7191,119.7276,47.063,40.1699,70.3355,25.0733,49.7636,42.618,57.5714,13.5465,127.4323,43.8719,31.1539,233.8977,2263.6465,105.9217,3.0928,10.7042,31.4582,3.6442,2462.8838,10.4258,21.1644,20.926,100.2304,80.4903,60.3554,95.7147,84.2427,140.4701,226.2875,28.0743,166.8877,0.0
POL_C13T15,14.1682,0.1238,4.5448,3.2089,0.021,47.4249,708.402,9.794,47.3837,4.0925,14.6493,2.9279,121.713,14.8666,6.6165,16.7427,4.4384,13.6155,12.3798,223.6131,7.9297,243.2419,5.9364,5.9092,66.3122,144.5583,43.5505,0.2758,1.1421,15.873,3.0566,13.7133,5.6006,2.9583,2.2762,10.4401,7.8142,10.2762,18.2928,36.3049,6.2947,22.9055,13.1177,14.6958,0.0
POL_C16,99.6238,0.0626,14.9535,5.8441,0.0431,54.3302,15.3869,1500.4782,91.6145,5.7722,29.8501,2.8076,61.6815,85.1139,12.2006,115.6763,18.6723,66.1349,29.8152,59.3975,34.9501,1513.5795,14.4195,15.3055,1071.6621,306.6778,114.5621,0.4662,1.2637,23.4454,2.5527,10.5827,5.2999,4.6055,2.9996,11.2036,126.2401,14.0688,22.5623,23.9917,9.9911,20.5389,9.02,75.8579,0.0
POL_C17_18,33.2827,0.1065,3.9902,5.6485,0.0354,706.5481,57.4792,177.4693,2568.5199,13.2123,128.7395,61.8771,172.417,175.1485,20.1996,63.6251,12.1394,67.5459,33.678,70.0098,12.0229,241.1139,17.5276,40.7022,146.9041,1115.2103,111.9629,0.7621,2.7696,68.559,15.3189,46.138,483.2174,29.62,34.545,507.538,80.825,355.6684,243.8998,129.5643,242.4791,61.1805,83.7471,112.3708,0.0
POL_C19,598.43,5.587,13.3299,40.6974,1.2519,242.5967,40.1617,60.8553,60.3495,392.2506,315.7186,22.6027,228.9812,162.2431,204.1881,77.3629,19.1727,55.0889,35.654,56.1944,16.0916,105.0674,64.4938,111.8286,603.5416,724.8476,2589.9553,8.8202,51.6154,140.4671,18.4427,62.1206,12.4489,18.7357,15.0601,275.4421,92.6447,61.301,106.4712,111.2142,39.451,99.8969,18.9548,41.8024,0.0
