V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_A01_02,577.8487,42.0604,0.0932,0.3835,0.0027,2022.8775,0.1845,103.4134,0.0629,0.1458,1.7255,5.9805,0.1957,0.6701,0.0658,0.1739,0.3773,0.0626,0.14,0.0344,0.063,1.1269,3.7641,0.1227,34.516,10.9493,0.2008,0.8446,0.5313,0.3152,0.0195,9.7756,0.1454,0.1292,0.4252,0.2856,0.8816,0.8991,0.4208,2.5469,0.3497,7.959,0.2874,1.0316,0.0
IRL_A03,0.0,47.2207,0.0001,0.0,0.0,4.6897,0.0,0.0,0.0,0.0,0.0003,0.0023,0.0001,0.0001,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.2395,0.0,0.0,0.0,0.0014,0.0,0.0399,0.0,0.0,0.0,0.0222,0.0001,0.0,0.0,0.0002,0.0014,0.0,0.0,0.0,0.0,0.0085,0.0,0.0069,0.0
IRL_B05_06,0.0,0.0,0.3276,0.1625,0.0019,0.2558,0.0434,0.0467,0.0562,95.6604,0.05,0.0567,0.0844,0.1423,0.5434,0.1719,4.5018,0.0139,0.069,0.0033,0.0008,0.0289,5.362,0.0096,0.0348,0.1078,0.0175,0.0038,0.0002,0.0034,0.0001,0.0054,0.0011,0.0001,0.0014,0.0004,0.0001,0.0029,0.0136,0.123,0.3285,1.7106,0.0016,0.0014,0.0
IRL_B07_08,20.3641,0.0071,0.514,97.3891,0.1866,30.7492,0.0539,0.1022,0.5218,13.3616,10.771,68.6437,2.3724,94.2992,86.7749,1.2351,4.0736,0.7486,1.3691,0.0248,1.5574,243.9714,0.1162,2.2235,171.5009,18.6046,2.0626,0.4441,4.7833,0.8134,0.1009,1.148,2.2971,0.3004,11.674,0.8006,0.0496,1.132,0.9094,3.5991,0.8944,0.8365,0.9225,0.9057,0.0
IRL_B09,0.0196,0.0045,0.0766,0.1801,0.0167,0.0379,0.0001,0.0006,0.0052,8.2111,0.0673,0.0427,0.0026,0.0824,0.0601,0.0094,0.0023,0.0005,0.0072,0.0001,0.0037,0.0046,0.1599,0.004,0.4071,0.015,0.012,0.0004,0.0081,0.004,0.0,0.0012,0.0,0.0,0.0006,0.0001,0.0099,0.0123,0.0134,0.0126,0.0002,0.0037,0.0023,0.0008,0.0
IRL_C10T12,583.7572,5.1539,0.0448,0.5802,0.0344,2311.0922,5.0851,6.5084,5.9758,0.4435,167.9558,136.5779,12.5759,1.8611,5.7315,1.3179,18.3635,0.1609,0.3562,0.8279,0.2496,10.825,25.0187,1.8306,37.4655,266.9262,14.0813,1.0973,26.6288,3.3654,3.8038,664.8587,10.6743,2.9155,69.6184,7.3477,0.1022,41.2286,24.7421,44.6418,10.404,36.499,17.8856,50.9641,0.0
IRL_C13T15,3.007,1.0485,0.0169,0.043,0.0045,1.0923,24.2217,0.3337,0.5801,0.1315,2.3532,6.2446,0.539,0.1938,0.0483,0.2294,3.9197,0.178,0.2979,0.0794,0.1384,20.0545,0.0969,0.1569,9.1712,12.3127,0.3366,0.0537,1.2237,0.1514,0.1904,1.0184,0.5196,0.206,4.1493,0.5697,0.044,1.6619,1.5528,20.2433,1.8763,3.868,0.5633,1.1094,0.0
IRL_C16,0.3935,0.0141,0.0033,0.0261,0.0014,2.7602,0.0313,4.7065,0.7291,0.5876,0.2971,1.0801,1.3584,0.379,0.0394,0.3475,1.1933,0.1163,0.3213,0.0531,0.0442,44.3211,0.0474,0.0381,18.7417,1.0507,0.1788,0.014,0.321,0.0442,0.0204,0.1531,0.4948,0.0787,1.4472,0.2697,0.0358,0.5419,0.4672,0.2483,1.3506,0.441,0.1003,0.1556,0.0
IRL_C17_18,4.0397,0.1204,0.0092,0.1267,0.0067,46.026,1.1204,1.5658,118.7642,0.9393,6.3337,22.0007,2.5822,0.727,0.4426,1.2674,10.1244,0.8987,0.9451,0.417,0.3767,20.3672,0.6428,2.9017,11.6468,32.2455,1.7615,0.1103,1.9378,2.1797,0.3134,1.3979,192.4329,2.4735,40.1,22.5445,1.6748,38.4214,13.1482,42.2054,63.2886,15.995,10.8797,3.792,0.0
IRL_C19,183.8793,13.9012,0.5444,6.372,0.4052,71.6775,0.2551,9.5775,5.5054,1175.6435,21.1172,593.4864,47.6817,29.1928,18.4783,110.143,1408.2103,97.2813,442.6323,15.9452,44.1667,277.6791,29.0852,12.5732,233.2062,145.6043,168.3826,18.5156,525.3626,14.5633,2.9532,32.8036,10.7002,64.1594,200.0685,19.4236,1.286,37.8247,36.437,61.8003,33.3841,333.481,16.19,17.0586,0.0
