V1,ZAF_A01_02,ZAF_A03,ZAF_B05_06,ZAF_B07_08,ZAF_B09,ZAF_C10T12,ZAF_C13T15,ZAF_C16,ZAF_C17_18,ZAF_C19,ZAF_C20,ZAF_C21,ZAF_C22,ZAF_C23,ZAF_C24,ZAF_C25,ZAF_C26,ZAF_C27,ZAF_C28,ZAF_C29,ZAF_C30,ZAF_C31T33,ZAF_D,ZAF_E,ZAF_F,ZAF_G,ZAF_H49,ZAF_H50,ZAF_H51,ZAF_H52,ZAF_H53,ZAF_I,ZAF_J58T60,ZAF_J61,ZAF_J62_63,ZAF_K,ZAF_L,ZAF_M,ZAF_N,ZAF_O,ZAF_P,ZAF_Q,ZAF_R,ZAF_S,ZAF_T,ZAF_HFCE,ZAF_NPISH,ZAF_GGFC,ZAF_GFCF,ZAF_INVNT,ZAF_DPABR
ZAF_A01_02,1144.5666,21.4695,2.307,1.541,0.0203,8581.8738,708.3607,322.3515,346.1864,101.0479,66.7939,17.7938,140.6751,14.7768,21.1857,9.041,9.4475,9.3132,21.9675,15.2941,8.4597,146.2998,6.5607,8.7396,3.1412,17.8741,1.7609,0.0138,0.1761,2.2997,0.3772,53.1665,9.819,2.3229,6.0383,2.877,11.4339,8.9221,12.2783,24.9426,11.6156,24.9463,6.2105,25.4687,0.0,8675.8236,2.7844,0.0,692.9115,1.5023,0.0
ZAF_A03,0.012,193.4961,0.0057,0.0231,0.0008,521.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0887,3.0536,0.8949,0.0033,0.0074,0.6929,0.0365,0.2899,0.7781,0.0018,53.964,0.8316,0.0218,1.8599,0.0,2.8077,1.7917,2.8182,17.6134,3.4535,6.6876,1.837,7.4263,0.0,357.4349,0.8461,0.0,8.3484,0.1241,0.0
ZAF_B05_06,7.5435,0.8341,17.0199,93.5616,1.3387,14.2374,5.0565,4.5165,62.3278,1965.2644,36.7259,2.4409,2.7109,71.7541,449.6987,34.339,8.2668,20.5772,32.4647,35.4635,3.7435,6.1343,1625.854,24.2323,15.7014,0.3447,1.9413,0.1033,0.8699,2.219,0.0113,1.3721,0.5479,0.1403,0.01,0.0652,0.9878,0.0543,0.0751,12.2038,1.341,3.3385,0.7568,0.5885,0.0,82.3671,0.0006,0.0,214.4608,-19.7278,0.0
ZAF_B07_08,12.9131,0.1446,6.5191,66.3036,0.8215,11.0404,3.8941,4.9186,3.8944,24.0197,269.2716,30.426,3.8024,96.9149,5786.7939,461.6764,114.8138,370.5345,438.9879,501.4564,51.1945,220.5043,1.5851,10.9314,82.1562,24.8608,17.8117,0.3278,9.7041,9.7962,1.0223,0.9184,1.8708,12.6042,1.5835,10.2234,56.5386,8.568,11.8712,121.7277,7.5677,8.6709,1.4831,1.3893,0.0,112.5485,0.1024,0.0,658.3536,23.0072,0.0
ZAF_B09,0.0,0.0,528.2581,1.1494,93.5099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2955,0.0,0.0,117.1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF_C10T12,879.383,17.6331,32.9315,11.4155,0.1681,4167.048,2.0978,0.3517,17.9279,33.2743,171.3975,32.9097,4.276,1.2903,3.169,52.2969,0.1166,0.2349,1.5727,2.4385,0.0223,30.6485,34.3042,30.8236,5.2667,92.0032,92.1142,5.4221,36.7924,113.2048,0.8729,1805.0656,20.4193,11.4761,106.7127,0.1291,158.5796,98.8743,153.7719,196.287,60.9007,140.9317,36.6676,101.7377,0.0,16909.4285,3.9929,56.7005,43.9793,2.7648,0.0
ZAF_C13T15,165.2272,3.1751,33.1109,76.016,1.3268,20.1334,678.9018,3.0782,40.0691,9.8859,23.1323,4.7603,44.2986,1.3379,1.8296,1.6537,4.0742,1.6017,6.5975,144.9602,1.0176,28.0747,9.0172,8.3849,101.1169,100.3374,20.3632,1.1804,8.6452,24.32,0.1413,5.5528,13.8948,1.0917,3.853,0.7424,5.4758,3.3778,5.6554,53.0406,16.3101,38.8397,9.2463,9.6703,0.0,2175.2608,0.8447,0.7288,9.742,-1.3361,0.0
ZAF_C16,48.8761,0.3806,18.7732,46.2565,3.3867,167.9547,7.2372,288.214,46.4011,176.9071,64.1076,6.5967,5.3717,29.81,9.2456,20.2376,4.6451,1.678,8.6148,31.0462,5.1286,79.3901,20.8394,4.8935,130.8503,71.3775,20.8093,0.7041,5.5077,24.8326,0.9266,4.6748,4.4009,0.3864,0.6973,0.1556,25.4583,3.2946,3.6027,20.2418,13.8234,23.9725,5.2988,3.1807,0.0,61.3433,0.1528,2.7736,4.0855,-11.1575,0.0
ZAF_C17_18,18.264,1.4197,18.1895,57.9307,0.105,323.6564,24.6425,28.8902,1349.2797,71.6275,143.4313,39.3359,42.6199,40.2796,9.6168,11.0844,13.3311,15.2046,33.1146,90.1695,0.8843,39.8431,18.2211,19.0649,97.8526,1136.1092,65.6518,3.156,26.0993,83.1855,3.4163,7.8923,274.5498,51.4889,217.7896,35.479,291.4857,358.4918,281.1186,100.4148,86.8501,173.4195,32.7449,23.8388,0.0,739.3875,0.5203,0.1292,41.1904,-3.681,0.0
ZAF_C19,2113.6201,39.2233,175.9639,816.5655,44.0115,115.3845,55.9371,11.5018,89.9542,776.9779,793.1275,59.7058,178.9821,49.6024,818.5274,11.1212,21.213,95.8839,17.2346,30.458,5.9287,95.2346,666.256,35.1188,1254.4598,1188.9548,1348.8368,74.284,548.1653,1741.3611,76.6511,29.2078,29.2574,53.2114,466.2776,73.2808,641.5909,515.3276,644.0037,381.6219,72.6514,169.1078,45.0745,28.2459,0.0,3930.6422,0.1112,0.0,218.6799,1.2533,0.0
ZAF_C20,845.8192,17.0753,114.3819,429.5521,27.0484,148.6117,96.1946,38.9778,259.9174,623.5025,1801.5294,146.9368,704.9331,58.0797,440.1822,50.2781,12.6206,36.3686,59.5453,111.2943,1.6317,43.3286,44.7751,40.4445,200.9494,85.7511,38.6863,2.1116,16.6035,44.9182,1.3472,18.822,57.3313,0.1228,40.5028,9.1297,64.7122,36.0973,62.7475,68.4243,68.5884,179.6414,42.0714,16.8205,0.0,1442.1889,0.5295,0.0,0.0,2.1859,0.0
ZAF_C21,180.5228,3.784,1.7814,4.6011,0.0,2.5451,1.2868,0.0,0.0,0.0,34.6855,128.5877,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.1791,1.642,13.4403,0.0,5.7878,0.0509,0.003,0.0237,0.0647,0.0001,0.0,1.3057,0.0018,8.1092,0.0,11.9211,6.726,7.5344,203.1574,4.4281,217.3649,14.1144,0.0047,0.0,678.0448,0.4986,170.3322,0.0,0.2366,0.0
ZAF_C22,77.4727,1.9903,77.8233,286.6307,0.3609,432.8309,48.2135,37.6581,31.2221,77.373,167.6859,37.6402,162.0003,55.4541,9.628,10.7132,24.5823,47.2599,59.5993,265.728,3.1148,63.7567,4.7893,5.4745,582.245,437.144,144.2218,7.6813,59.7612,173.2055,4.03,3.7737,11.2376,2.4458,9.0081,5.323,38.1251,14.8041,15.6263,32.3652,8.3925,13.7485,2.7494,9.106,0.0,478.7193,0.0082,0.4392,36.4581,-9.1945,0.0
ZAF_C23,47.4133,1.2195,24.1583,33.8367,0.0259,148.5128,0.3899,9.1852,2.5594,30.8393,44.1677,11.3478,2.6737,566.3805,7.1696,5.7151,11.728,4.6748,13.7438,100.6969,4.9417,15.2458,32.4743,6.7578,2240.4103,45.9636,30.2975,1.7009,13.298,36.2752,0.8219,13.4651,3.3761,0.3547,9.2364,0.6411,14.7228,11.2122,11.1888,62.3852,12.4414,30.9572,7.329,19.7767,0.0,351.6517,0.0019,1.0754,17.6936,-1.7704,0.0
ZAF_C24,24.5248,0.269,24.7545,64.4789,0.8465,5.9,7.1055,21.2917,24.6829,212.4339,39.9804,3.2024,18.3639,16.4021,2574.4402,1787.19,26.6823,643.0166,349.9554,1491.195,14.4521,60.7208,20.3888,8.4824,577.5343,6.4386,6.9615,0.3809,3.0292,8.2271,0.0867,0.3722,8.3022,0.2849,1.0989,0.2309,1.9176,1.3082,1.4428,9.6178,1.0998,3.8304,0.6415,2.9432,0.0,55.7719,0.03,61.0208,121.0445,-19.8143,0.0
ZAF_C25,410.9736,7.3602,185.1501,509.435,0.0331,115.8386,13.7605,27.4436,56.8168,132.6017,44.8252,6.9779,51.0209,13.8212,8.1085,291.8956,14.2828,74.3021,236.7039,264.1828,6.4021,51.6802,133.9491,29.0403,1648.5088,247.6102,25.765,1.4033,11.0756,30.6385,2.589,13.087,20.6956,1.1613,63.7044,7.6574,96.7729,85.0263,73.5557,122.5677,21.3228,49.7381,12.6354,16.5805,0.0,241.9165,0.2908,0.7607,437.6219,-75.7342,0.0
ZAF_C26,1.107,0.2053,2.9569,5.157,0.0199,0.2059,0.6122,0.0315,2.3246,0.3388,0.9339,0.4092,0.3784,0.0986,0.2554,1.244,53.6281,27.2889,103.8837,46.3912,2.2405,7.0206,2.5542,5.0307,3.9985,18.1499,4.1638,0.2223,1.7269,4.7587,0.0735,0.3818,8.3767,595.1925,12.3399,7.6675,17.9129,14.2995,15.4189,92.5515,18.0569,46.3415,7.2583,10.1648,0.0,222.8949,0.1615,0.4193,290.7336,-96.9813,0.0
ZAF_C27,16.0326,0.3733,41.5886,94.4621,0.8681,22.5079,2.9464,2.5802,13.4666,20.9441,0.2994,0.062,6.7124,16.4436,2.6574,18.8041,64.1212,69.3546,154.7383,59.1183,22.8124,6.5083,502.4946,11.507,499.7934,67.9241,18.6646,1.0139,7.9322,21.566,0.032,3.1483,3.8413,156.0332,16.8546,1.9914,23.0204,22.9955,18.9568,70.0964,9.8329,23.898,4.169,17.8239,0.0,285.4299,0.1765,0.0,918.9544,-154.184,0.0
ZAF_C28,244.6017,4.4952,178.6877,657.815,0.2158,21.823,22.7985,2.4131,13.7717,11.9084,5.3076,0.4993,3.7033,13.6258,11.3018,50.754,40.1099,47.7284,373.1671,166.9343,21.805,2.0589,153.3219,23.1393,180.9447,157.6348,22.7016,2.2657,9.3985,25.8599,0.1812,1.2909,8.0375,337.2116,76.0615,3.2857,88.7688,98.176,92.3284,98.7311,21.2337,52.0754,10.3623,10.2485,0.0,195.3264,0.2781,0.0,2911.9904,-426.1809,0.0
ZAF_C29,307.4481,6.2022,147.3559,311.9126,0.3887,40.2527,41.5155,11.5035,14.5497,37.9631,38.9519,4.4171,18.1728,13.7319,13.1764,22.753,2.9998,17.4051,41.4295,3076.8215,124.2043,6.6414,48.6476,102.917,22.13,687.7606,330.9913,9.8049,77.5565,273.3962,10.1766,0.7998,50.372,11.157,37.7295,12.6467,48.408,79.5666,120.1426,682.574,188.0263,440.2677,125.1159,20.3845,0.0,3465.7003,0.2192,0.0,3591.1769,-420.7493,0.0
ZAF_C30,14.1209,0.3892,8.4403,38.0934,0.0084,1.1196,1.0494,0.5149,0.5866,0.6147,0.1542,0.0191,0.0465,0.6257,0.4674,17.3513,0.3409,1.2893,15.7169,63.0097,63.0504,0.1553,5.6211,1.0162,6.0832,7.4402,10.8672,19.0113,4.686,12.6716,0.0407,0.0433,0.2261,0.3582,3.495,0.0299,4.1013,4.633,4.4178,14.237,0.7784,1.8717,0.4529,0.3232,0.0,46.0526,0.0093,0.0,429.0837,-111.9881,0.0
