V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T,LAO_HFCE,LAO_NPISH,LAO_GGFC,LAO_GFCF,LAO_INVNT,LAO_DPABR
LAO_C21,1.9648,0.0299,0.2168,0.45,0.0276,0.395,0.0426,0.0475,0.0027,0.0333,0.0528,0.222,0.0218,0.0098,0.0035,0.0104,0.0192,0.0091,0.0002,0.003,0.0027,0.017,0.1216,0.0474,0.4891,1.1832,1.042,0.0007,0.0067,0.0026,0.0136,0.3288,0.0098,0.0484,0.0099,0.2668,0.0037,0.2795,0.0127,2.4144,0.1287,0.758,0.0278,0.1082,0.0,5.8263,0.0308,0.0,0.0009,0.0004,0.0
LAO_C22,2.2276,0.0477,0.6313,1.3791,0.2242,0.5499,0.1376,0.129,0.0058,0.0808,0.1511,0.0386,0.0877,0.0369,0.0071,0.058,0.0334,0.0333,0.0005,0.0309,0.0149,0.0608,0.2977,0.1637,2.0039,2.2322,2.4086,0.0016,0.0086,0.0082,0.0174,0.6299,0.042,0.0595,0.0144,0.3669,0.0113,0.1705,0.0273,1.9436,0.1297,0.3188,0.0275,0.134,0.0,4.4249,0.0,0.0,0.0034,0.0011,0.0
LAO_C23,0.1199,0.0021,0.3924,1.0165,0.1558,2.1938,0.0,0.0001,0.0,0.127,0.2223,0.0669,0.1161,4.0878,0.1866,0.5797,0.184,0.1696,0.0038,0.3066,0.1046,0.5121,0.1801,0.9128,176.6014,0.5478,0.1549,0.0049,0.0021,0.0018,0.2661,0.3303,0.24,1.8953,0.0964,0.0,2.0133,0.4019,0.1624,2.5433,0.0,0.0001,0.2665,0.4704,0.0,22.561,0.0,0.0,0.0002,-0.0177,0.0
LAO_C24,0.223,0.008,0.4733,0.8838,0.1494,1.5784,0.025,0.0453,0.0025,0.0074,0.0181,0.0016,0.0074,0.0504,0.3411,1.1102,0.2358,0.4078,0.0028,0.1335,0.0528,0.1377,0.6893,0.1636,6.9507,2.2941,0.7637,0.0589,0.024,0.0191,0.0242,0.0574,0.0096,0.1724,0.0124,0.0874,0.0591,0.0554,0.0184,0.6762,0.0329,0.0179,0.0081,0.3998,0.0,5.4193,0.0,0.0,0.1134,-0.0024,0.0
LAO_C25,0.4887,0.0105,0.3988,0.794,0.1562,1.9023,0.0407,0.0774,0.0023,0.009,0.0154,0.0024,0.0057,0.0312,0.0274,0.2907,0.1463,0.1573,0.0016,0.1271,0.0742,0.0587,0.5826,0.0958,6.6918,3.7624,1.0111,0.057,0.0297,0.0259,0.0376,0.1231,0.0168,0.3295,0.021,0.1464,0.1189,0.0761,0.0406,1.7722,0.0607,0.0308,0.019,0.291,0.0,76.8674,0.0011,0.0001,0.6591,-0.0057,0.0
LAO_C26,0.0291,0.0009,0.039,0.061,0.0174,0.1643,0.0035,0.0055,0.0003,0.0008,0.0025,0.0007,0.001,0.004,0.0047,0.0425,0.0995,0.0137,0.0002,0.016,0.0118,0.0134,0.0727,0.0085,0.3346,0.3606,0.0753,0.007,0.0029,0.003,0.0011,0.0071,0.0044,0.0389,0.0084,0.0147,0.0041,0.0108,0.0037,0.143,0.0037,0.0067,0.0018,0.0552,0.0,2.2432,0.0014,0.0,19.1787,-0.024,0.0
LAO_C27,0.04,0.0017,0.0674,0.0995,0.0137,0.1762,0.0037,0.0076,0.0002,0.0008,0.0021,0.0004,0.0012,0.0061,0.0117,0.0608,0.0407,0.0658,0.0004,0.0309,0.0167,0.0144,0.1009,0.0079,1.3519,0.298,0.1312,0.0083,0.002,0.0023,0.0006,0.0084,0.0026,0.0172,0.0025,0.0062,0.0061,0.0067,0.0027,0.0698,0.0017,0.0027,0.0012,0.0253,0.0,2.1989,0.0005,0.0,16.597,-0.0325,0.0
LAO_C28,0.0055,0.0001,0.0018,0.0032,0.0005,0.0079,0.0005,0.0009,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0007,0.0039,0.0007,0.0007,0.0,0.0061,0.0035,0.0019,0.0037,0.0007,0.0196,0.0121,0.0028,0.0004,0.0002,0.0004,0.0004,0.002,0.0,0.0023,0.0,0.0014,0.0002,0.0001,0.0002,0.0065,0.0008,0.0001,0.0,0.0008,0.0,0.0481,0.0001,0.0013,0.3678,0.0,0.0
LAO_C29,0.0204,0.0004,0.0207,0.046,0.0059,0.0928,0.0023,0.0032,0.0001,0.0004,0.0009,0.0002,0.0004,0.0031,0.0042,0.0276,0.0177,0.013,0.0002,0.0791,0.0076,0.0087,0.0422,0.009,0.4371,0.1864,0.0561,0.0043,0.0029,0.0016,0.0048,0.0045,0.001,0.0108,0.0007,0.0082,0.0024,0.0023,0.0024,0.0479,0.0018,0.0011,0.0012,0.0074,0.0,1.9381,0.0003,0.0016,10.7885,-0.0065,0.0
LAO_C30,0.0104,0.0006,0.0204,0.0416,0.0056,0.0261,0.001,0.0012,0.0001,0.0002,0.0003,0.0001,0.0001,0.001,0.0006,0.0042,0.0082,0.0044,0.0,0.0284,0.0594,0.0032,0.0137,0.0033,0.1668,0.0772,0.0181,0.0051,0.007,0.0008,0.0014,0.0018,0.0007,0.0026,0.0003,0.0039,0.0008,0.0013,0.0009,0.0432,0.0007,0.0005,0.0007,0.0106,0.0,0.4535,0.0,0.0033,6.0786,0.0,0.0
LAO_C31T33,11.6439,4.5802,2.9103,7.144,0.8102,2.2256,0.6153,0.4501,0.0165,0.046,0.1426,0.0345,0.0455,0.2599,0.069,0.2587,0.1229,0.1467,0.0018,0.0859,0.1349,0.2782,6.5118,1.7113,4.7746,6.6874,3.3188,0.5843,0.3529,0.1016,0.0754,1.0104,0.0746,0.5334,0.0835,2.3556,0.6511,1.4194,0.201,5.8534,0.4627,0.7244,0.1709,0.3663,0.0,18.718,0.0055,0.001,55.3459,-0.0043,0.0
LAO_D,4.4983,0.0622,15.22,36.7876,2.1304,8.934,0.9282,0.7919,0.035,0.1302,0.2853,0.0343,0.1218,1.2019,0.0957,0.1697,0.1182,0.1021,0.0055,0.124,0.0727,0.4181,25.5846,1.9367,2.9254,29.1112,0.2972,0.0089,0.01,0.014,0.0824,11.7215,0.7738,1.318,0.1181,5.1984,0.853,0.6206,0.0941,18.4984,1.3831,0.7678,0.9074,1.3249,0.0,61.5157,0.053,0.0169,0.0,0.0,0.0
LAO_E,4.6674,0.0689,12.8985,27.169,1.84,9.3278,0.7182,0.4382,0.0178,0.0969,0.1633,0.0285,0.0611,0.549,0.0525,0.1176,0.0594,0.04,0.0027,0.0475,0.0426,0.1891,22.3461,5.3672,2.9791,18.6692,1.0387,0.0167,0.0122,0.0104,0.1016,12.6998,0.2598,0.6271,0.1048,4.3433,1.0305,0.4841,0.1061,19.6665,1.1634,0.602,0.6537,0.993,0.0,152.5717,0.6049,0.0677,20.0286,0.0,0.0
