V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T,SVK_HFCE,SVK_NPISH,SVK_GGFC,SVK_GFCF,SVK_INVNT,SVK_DPABR
SVK_A01_02,687.5622,1.8372,0.4622,1.1771,0.0471,657.6842,9.1715,210.6902,155.8562,3.1565,56.0316,6.2473,34.7986,3.7725,5.7538,6.4887,3.8299,3.546,5.5804,15.5987,0.452,5.7362,46.6725,3.4252,13.0899,251.6576,15.7556,0.2015,0.2456,10.9067,0.2999,16.8211,1.2538,0.8673,5.6737,2.5854,6.9336,12.1605,48.5718,4.8476,2.3547,5.4294,0.9273,4.0377,0.0,715.4288,3.1365,12.2193,84.2695,54.5099,0.0
SVK_A03,0.0895,1.9947,0.3874,0.9461,0.0002,9.659,0.072,0.0171,0.0178,0.0332,0.0297,0.0044,0.0607,0.0599,0.0465,0.1031,0.061,0.0463,0.0697,0.1822,0.0047,0.0329,0.089,0.4234,0.1004,0.5207,0.0508,0.0002,0.0006,0.0175,0.0002,1.1049,0.0072,0.0081,0.0398,0.0163,0.0573,0.0849,0.0354,0.0175,0.0306,0.0684,0.0173,3.851,0.0,5.4531,0.0001,0.039,0.1985,0.4562,0.0
SVK_B05_06,0.3138,0.0049,0.4044,0.3667,0.0071,0.2628,0.0763,0.1513,1.2795,3.2997,0.1551,0.0161,0.227,1.0762,6.8671,0.2852,0.0876,0.2286,0.2249,0.5117,0.011,0.1803,16.281,0.1064,3.8245,0.7686,0.6677,0.003,0.0364,0.7301,0.053,0.036,0.0372,0.0539,0.0334,0.2563,0.6689,1.0295,0.2294,0.2195,0.0678,0.0681,0.0277,0.0706,0.0,3.6526,0.0896,0.6716,5.3848,0.5041,0.0
SVK_B07_08,2.0723,0.0103,0.3323,4.2292,0.2626,0.7374,0.318,0.3154,1.604,9.7436,1.2987,0.2671,0.8888,21.6452,42.8408,0.5909,0.0916,0.3445,0.3383,0.4333,0.0341,0.1816,22.5655,0.6235,28.0266,1.667,1.1549,0.0049,0.0035,1.6286,0.0376,0.1054,0.0139,0.0207,0.0291,0.0501,7.9599,1.4864,1.2879,0.2887,0.1288,0.0989,0.0616,0.0956,0.0,8.193,0.0328,0.2825,4.9994,3.0244,0.0
SVK_B09,6.77,0.0062,9.0979,11.195,19.676,1.0654,0.2026,0.0089,1.5447,53.0376,0.1551,0.0006,1.1784,6.3244,7.4318,0.9737,0.0001,0.0024,0.1572,0.0052,0.0507,0.3098,43.7242,1.6639,17.1142,1.4311,2.2571,0.0,0.0,3.6551,0.0413,0.0035,0.0004,0.0,0.0011,0.0016,36.6654,3.5136,0.4134,0.1489,0.4029,0.3688,0.0202,0.1435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK_C10T12,62.1497,1.191,0.0057,0.0161,0.0077,202.1424,0.3191,0.2962,1.3318,0.0139,5.4581,8.711,0.2489,0.0269,0.0312,0.2491,0.0212,0.6818,0.0846,0.1234,0.0023,1.0457,0.1062,0.2797,0.2148,54.883,48.1518,0.1757,0.0946,21.9258,0.0123,84.727,2.8005,0.0902,0.2878,0.0453,2.6425,5.9072,3.2396,4.0081,3.7876,19.2569,3.1424,3.0966,0.0,2368.3317,0.0016,0.043,3.8013,64.9928,0.0
SVK_C13T15,0.6216,0.0094,0.0241,0.0714,0.0227,2.1517,142.0882,0.4769,6.5004,0.3598,0.2639,0.1589,15.7196,0.5901,0.7654,8.5045,0.3855,1.5972,6.3094,100.5625,0.551,12.1314,1.256,0.3758,5.0711,10.683,0.9762,0.007,0.1211,0.443,0.0575,0.9927,0.2053,0.1603,0.33,3.3193,7.0427,7.3492,2.1519,1.7711,0.4737,1.897,0.3893,0.6863,0.0,524.3469,0.3145,1.5634,4.0876,18.0703,0.0
SVK_C16,17.6347,0.1055,0.1828,0.4694,0.034,7.0249,1.9478,100.7455,14.7623,0.9185,5.5967,0.3508,15.8423,8.2663,4.5239,14.5977,1.6416,6.3829,9.1834,11.109,0.2813,81.5198,44.7337,1.3002,79.6121,80.2641,5.8033,0.0565,0.2338,4.6511,0.176,2.0824,0.7651,0.6741,1.353,1.6326,16.9152,20.9574,11.9481,2.2848,1.3605,4.9333,0.5108,15.2026,0.0,89.5737,0.6609,5.12,58.7636,-10.8217,0.0
SVK_C17_18,2.2486,0.0237,0.0253,0.1245,0.0332,44.264,4.701,3.0709,132.472,0.626,6.5645,4.5355,10.4411,4.1868,1.7041,5.4073,2.6637,6.2551,6.8106,12.5469,0.1175,4.2563,11.3082,1.6164,2.9736,46.4035,3.048,0.0478,0.328,3.1533,0.9783,3.1467,15.4727,2.8165,5.0658,8.6465,8.8478,21.7128,8.8861,19.1922,18.7974,3.4951,3.5421,13.3242,0.0,283.6736,0.6158,1.5717,71.9048,14.8334,0.0
SVK_C19,51.4921,0.0324,0.3797,1.9839,0.8328,11.5586,5.2285,4.6836,6.2266,40.9153,40.5962,2.7557,49.4466,10.7826,20.2296,11.6345,1.2465,9.4604,10.4819,23.6057,1.8788,3.4193,22.273,10.3983,29.1505,91.8223,288.4229,2.2463,5.9876,27.2379,0.9558,6.1222,0.9312,1.248,1.7299,2.0139,14.123,13.5454,13.3431,11.7992,3.7009,5.4,1.6528,3.7359,0.0,543.7073,0.0712,13.618,3.031,26.9632,0.0
SVK_C20,42.2045,0.0197,0.0705,0.3535,0.1421,5.2857,7.1227,2.8042,17.0182,17.4389,104.9565,7.0136,157.4882,5.3517,6.024,10.631,4.0003,29.1688,22.1667,67.4067,1.0413,3.9015,7.5541,2.7161,7.4154,18.9852,8.2786,0.0653,0.4266,2.8719,0.1555,1.0729,0.6988,0.7586,0.6233,1.6405,2.078,7.9032,4.1944,1.944,1.7088,4.4527,0.7969,0.95,0.0,238.9463,1.1671,44.4144,18.3789,16.0424,0.0
SVK_C21,1.1129,0.0018,0.0031,0.0386,0.0055,0.1438,0.2958,0.2353,0.687,0.6749,2.2974,2.075,7.1618,0.3893,0.2761,0.7041,0.1187,0.9786,0.9731,2.8059,0.037,0.3234,0.6519,0.1167,0.6616,0.9573,0.7812,0.021,0.0118,0.5882,0.0053,0.1459,0.061,0.0198,0.0948,0.7584,0.192,1.4569,0.1912,0.1347,0.1998,18.758,0.0892,0.6066,0.0,52.9953,0.1198,85.8334,12.2796,3.0844,0.0
SVK_C22,4.2939,0.0332,0.1437,0.456,0.0717,40.1604,11.1781,9.7526,17.5826,0.9411,13.2838,3.3151,190.6359,4.9079,1.4329,21.0296,22.8087,49.9005,23.7138,582.3831,0.5333,21.8136,2.7892,3.4519,41.9377,41.4521,20.1548,0.014,0.0827,2.2942,0.0844,1.542,0.8484,0.4115,0.9154,1.8352,8.9397,7.8982,4.9094,1.7127,1.2036,2.6687,0.3081,1.6375,0.0,112.1804,0.1716,7.4378,35.7869,25.1579,0.0
SVK_C23,3.9076,0.0624,0.4703,2.8838,0.1892,27.0458,9.1827,4.3852,1.4386,2.6919,3.7203,2.8548,38.1638,204.4198,65.2814,12.9515,1.1268,27.1516,22.432,22.5266,0.4502,4.5177,6.5363,2.1173,358.2844,57.1084,9.9136,0.0237,0.0417,2.4536,0.253,7.3922,0.4747,0.3368,0.5918,1.5469,18.4154,18.2728,8.9414,1.8434,0.805,1.4526,0.6808,0.9573,0.0,116.4186,0.1377,2.5711,24.7399,22.992,0.0
