V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T,SAU_HFCE,SAU_NPISH,SAU_GGFC,SAU_GFCF,SAU_INVNT,SAU_DPABR
SAU_A01_02,1422.2641,23.7524,89.3465,0.0,14.7158,5956.3872,380.7021,4.0865,38.8722,365.412,20.8899,1.0019,102.8296,0.0,0.0,0.0,0.0,0.0,0.0,0.1736,0.0,4.9955,2.953,0.0654,531.1673,1160.7907,0.0,0.6611,0.0,0.164,0.7036,2684.5933,10.2558,4.63,0.0049,0.0958,43.2379,0.3519,35.6736,0.1614,152.2484,16.561,94.984,3.756,0.0,8139.357,0.0,630.0462,1760.7134,1374.3625,0.0
SAU_A03,23.3557,6.0887,0.0,0.0,0.0,126.1397,0.0,0.0,0.0,0.0,2.4286,0.2311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2245,0.0,0.0,3.5574,0.1829,0.0,0.0,0.0,0.0,0.0,208.938,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,8.603,0.0652,1.5274,0.0,0.2186,0.0,1951.6046,0.0,0.0,0.0,91.8119,0.0
SAU_B05_06,0.0,0.0,312.516,6.9615,20.1085,1084.195,406.6188,68.3318,284.0002,12059.1025,8474.7979,163.8163,325.1834,498.2256,360.1606,308.2251,17.7234,301.02,139.9322,56.9709,23.8889,207.896,951.8958,6.8615,764.0989,0.0,46.8982,1.9395,183.4162,54.4841,9.1118,54.6823,59.8596,170.1137,9.8215,0.0214,1.3966,2.5689,26.8535,3.1747,24.9923,35.3744,10.242,2.8567,0.0,129.7867,0.0,0.0,0.0,5377.605,0.0
SAU_B07_08,0.0059,0.0123,0.4757,1.1292,0.0101,5.4436,0.1536,0.0113,9.2722,0.0,148.3375,1.273,0.704,707.1327,418.0426,12.0232,0.0,9.8299,0.0,0.11,0.0,3.8831,30.3884,25.3908,1100.7091,15.8009,0.0,0.0,0.0,0.0006,0.0002,1.3766,0.1693,8.048,0.3161,0.0009,1.2098,0.3182,0.1272,3.2956,0.4057,0.164,0.7746,0.113,0.0,0.0,0.0,0.0,0.0,97.6675,0.0
SAU_B09,1.8354,0.9732,442.2699,1.7915,9.8016,57.0076,17.7633,2.7005,11.1903,96.7733,133.2126,0.7018,13.0609,19.3643,13.6891,12.5029,0.8836,11.8578,6.1849,2.6161,0.6395,5.101,6.6803,0.3839,2.7338,0.0,2.1273,0.0202,9.3918,2.6253,0.378,1.2232,0.3607,0.0,0.6176,0.0,0.0,0.0295,4.5093,0.0,0.0,0.8392,0.0911,0.1254,0.0,0.0,0.0,0.0,12.8182,0.0,0.0
SAU_C10T12,113.2238,55.8372,25.3667,0.0,4.1746,523.1189,124.3237,0.0111,3.5414,0.0,5.4438,0.1956,0.0,0.0092,0.0,0.0043,0.0015,0.0,0.0,0.0,0.0,0.0539,17.9325,13.7232,15.925,80.1592,0.2085,15.7782,149.8932,0.0005,0.0511,824.3666,52.4188,115.097,5.0445,7.9442,31.0353,9.1749,25.6681,297.1203,313.3764,149.2371,47.2294,58.5334,0.0,22925.8909,0.0,0.0,0.0,759.4,0.0
SAU_C13T15,1.3578,5.9123,4.0594,0.0035,0.4933,6.1993,340.572,0.5993,11.9541,0.4967,7.754,0.2889,16.5578,3.3475,4.1898,1.0698,0.3477,4.1007,3.0359,4.9265,0.5167,18.1303,2.237,1.5245,131.3705,46.6718,0.09,0.0795,7.8875,1.0254,1.1603,39.6603,2.1817,23.3003,0.85,0.2994,4.2449,5.2705,4.9834,31.5261,5.4882,13.4078,2.6221,5.3653,0.0,7835.2641,0.0,0.0,94.9044,338.813,0.0
SAU_C16,9.1004,10.2731,4.9226,1.5389,0.9492,27.0361,28.2921,133.5883,58.8879,1.2186,3.6493,0.0803,5.1361,14.3948,4.241,14.5472,0.3474,14.5181,2.3986,0.8695,1.0683,155.5305,1.0135,4.3739,856.7375,83.5908,0.4956,0.0228,1.4799,45.8486,0.3295,13.5563,4.4988,3.0131,0.0516,0.4857,1.4296,6.018,2.3065,2.4313,2.0816,19.2433,11.6599,5.6761,0.0,0.0,0.0,0.0,64.9722,81.5744,0.0
SAU_C17_18,1.7919,1.0558,26.2917,0.1439,3.2559,46.1272,11.7507,3.0159,201.5467,48.14,26.3194,1.7698,10.2498,9.3315,1.7599,2.6089,0.674,8.5602,2.0533,0.8071,0.4338,7.4992,24.7637,16.0405,17.7752,744.4923,1.838,0.0308,7.7367,16.9474,13.3177,60.5799,460.4871,98.0745,12.114,142.5721,1.2887,51.5323,40.1844,100.2796,68.3469,85.1009,28.3062,19.9878,0.0,4145.899,0.0,1.7619,0.0,281.2585,0.0
SAU_C19,467.6588,146.7539,396.6275,15.0483,17.2583,316.6277,303.8827,140.7407,297.0524,958.5362,5614.0846,54.0546,453.2385,1074.5718,578.9365,234.7238,5.0632,188.4641,159.9748,21.2869,22.399,88.3554,1970.557,223.6355,2722.8933,1729.4263,794.854,14.1296,3316.2037,130.7978,12.4336,345.1762,45.6309,683.7423,3.6589,66.0333,7.8095,129.559,455.935,1342.4568,251.2123,227.0121,68.9524,133.9212,0.0,4030.7625,0.0,0.0,0.0,2318.7058,0.0
