V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T,CHN_HFCE,CHN_NPISH,CHN_GGFC,CHN_GFCF,CHN_INVNT,CHN_DPABR
CHN_H53,1879.8205,297.0217,654.3524,240.2279,18.7891,2123.1006,750.5489,323.0979,425.952,232.4574,1428.8754,1001.2258,573.0407,1395.612,1858.2745,1106.7794,1052.6334,1963.0995,1468.4509,1336.5835,206.3666,555.258,590.6577,194.165,3495.575,14380.4343,683.5701,24.0763,72.8908,230.072,4478.3856,569.3455,129.2698,557.0958,1055.4387,2135.9724,135.8616,1674.5397,137.1847,2749.9663,666.9897,682.799,30.2388,134.0507,0,8140.6287,8.0313,13.3712,760.7916,0.0,0.0
CHN_I,3303.1399,273.7081,2997.162,3120.7347,212.8716,7174.2876,3090.9108,890.9083,2326.3979,849.5785,6385.5679,4141.1682,2368.9778,7493.2524,5583.5878,5607.8466,6101.178,5347.4243,9555.972,2947.6044,954.0004,2088.9119,2804.0036,2441.0159,24116.8073,14959.8843,16578.4111,281.9285,3090.3354,2570.2905,1230.3715,1058.2783,3851.5838,1364.3215,2965.9578,20838.6975,2228.0929,43487.9813,8092.7392,32384.5105,9547.5066,2229.0184,335.8564,1469.1614,0,217034.763,596.0044,0.0,0.0,0.0519,0.0
CHN_J58T60,26.744,0.7636,383.1817,312.0441,6.0662,469.7403,531.719,137.3754,240.7085,113.6004,578.3733,320.9246,480.2428,1000.1311,873.9343,618.6852,827.2062,651.5717,1063.299,201.7323,51.2756,237.0061,730.0673,331.1323,1382.8397,839.3908,492.8831,77.8437,320.2545,86.6982,110.8547,528.1311,2119.9583,802.3812,221.2885,919.2816,340.9384,1708.1342,34.5139,5618.916,1745.5715,299.5032,61.6052,108.1506,0,25614.7171,429.7394,10391.0526,5548.2598,3.1698,0.0
CHN_J61,1600.6458,140.5913,465.6909,637.8434,20.5952,808.042,644.6686,205.5961,429.7834,107.5252,928.9172,379.4214,337.0385,1399.0715,671.1717,1073.7502,1550.4416,845.6127,1764.5916,350.4873,76.1963,346.3896,2290.2686,1083.2314,31981.5806,3058.0297,2836.6164,2792.1787,516.5981,751.2416,1399.567,1458.9016,812.9648,25938.1356,25252.7136,6542.9869,1156.9099,4159.6673,239.3743,17177.5922,4502.8914,3909.1887,85.7352,278.0934,0,84068.4895,88.6604,0.0,0.0,19.6102,0.0
CHN_J62_63,597.9419,1.9613,382.6791,643.5675,35.0796,1075.1923,1006.8387,154.2946,338.421,114.6582,1114.4262,407.3085,448.2399,897.3528,779.9356,818.3979,10159.2217,1132.4253,1844.7215,592.9572,275.5972,504.1566,1436.4178,421.976,10214.4611,4040.7379,2344.73,968.7702,1506.6617,2070.2802,953.6504,639.6449,648.7403,6017.3341,25226.2473,5744.3306,790.3984,4192.6914,290.7684,5479.2842,1332.1154,1134.9532,53.3031,168.4944,0,12912.2265,64.9942,0.0,168780.2151,0.0,0.0
CHN_K,17814.3843,3224.9129,26340.8013,11564.2231,516.4366,10166.8926,7757.1171,2730.8066,7623.8297,6636.7832,21595.7808,4158.4603,6134.1043,20542.8594,50643.9267,13850.2462,24829.2566,12203.3985,19028.5861,6176.0007,2755.1835,3871.4503,40429.251,7697.9948,101676.4201,63468.5186,90310.3563,8357.8462,3928.579,5253.6046,690.5261,4420.239,1289.9215,6389.0133,9116.5253,42411.8296,40062.9347,43788.3432,3496.7743,14699.6807,10601.4506,3367.7766,577.1343,1064.3107,0,210693.3191,938.2326,8691.388,344.9337,8.5396,0.0
CHN_L,22.0344,0.0038,237.568,71.1064,21.7825,364.8029,338.6246,80.6719,205.5661,79.1487,224.4247,53.0514,414.6483,525.4947,237.7447,479.22,816.726,444.3996,647.9026,169.9937,87.039,484.9569,213.7503,446.8674,311.9579,96456.563,1508.6993,36.7623,473.4173,1866.8186,1761.0785,8749.5793,725.2224,4434.9421,12854.9054,23148.4715,12079.806,17515.5424,923.7303,6959.6125,6429.7561,2752.4812,384.1955,6213.1406,0,502285.1572,1329.5058,0.0,72067.0191,0.0,0.0
CHN_M,11807.8299,620.3959,12788.5997,8793.5338,547.2941,20788.5408,7053.8457,1809.9182,5229.3364,2900.3,19423.5178,11116.5918,7700.7494,11768.8539,11814.2679,9355.1668,22348.1985,12743.6498,21305.4376,15237.6895,2344.3146,4950.8525,5794.676,1657.6872,133230.8156,104827.4824,3364.2797,1170.1555,2424.7582,2418.1766,1790.6628,3712.8063,1545.0653,8261.5989,12224.2967,21563.0843,11918.7041,87937.1309,1654.735,2731.4476,2323.7061,790.8328,218.5238,1084.3008,0,8674.6866,1010.8726,87817.3952,108864.6968,25.7725,0.0
CHN_N,1115.4072,129.4974,5882.2012,2874.5379,139.6835,6221.4879,3552.8631,3762.5404,1621.8512,1484.1463,3509.3237,5381.0694,7193.796,5351.4455,3390.8213,3391.4505,5620.9893,4077.9089,6010.0501,4279.1679,553.1513,1951.4449,1769.743,975.7776,20836.2897,44899.2766,4034.1596,1185.6027,2240.8509,1835.1011,957.6837,2038.896,882.8406,3333.9322,6352.1579,8355.5171,5257.2354,11340.9712,4173.4204,6740.6428,1162.8519,369.3088,152.1965,603.6187,0,53425.0612,380.025,60537.392,9388.2211,11.8251,0.0
CHN_O,858.6923,57.5636,338.7822,305.059,9.7391,515.535,325.4761,105.7358,174.8519,79.225,525.7873,212.3641,317.6896,697.7579,746.6303,515.5935,1273.8665,463.3611,771.9303,1508.4138,201.0905,302.4472,307.6077,240.8659,1350.0969,932.6752,297.769,323.8019,62.7191,129.9684,67.4058,140.1192,108.1198,569.9429,497.6436,513.7677,764.03,4308.649,479.443,10701.536,786.9797,243.7564,21.9438,151.9675,0,6430.7372,1416.4444,699828.3062,0.0,0.0,0.0
CHN_P,245.6547,14.9659,368.619,146.0186,4.1363,226.3607,129.9935,34.2086,83.5255,56.3536,214.0691,110.1243,89.7403,287.6847,146.8263,257.844,215.1262,148.1321,347.1603,206.7912,33.2885,123.3722,103.28,240.5648,1368.9085,1526.7473,728.8994,22.3893,78.7169,35.8162,31.801,220.8703,139.4802,375.2566,90.9924,1636.8997,136.336,881.3092,34.08,5495.6456,5269.4876,763.1888,22.0827,86.4114,0,169676.8959,8415.9134,289165.8661,0.0,0.0,0.0
CHN_Q,197.8666,2.332,308.9712,240.7333,0.0,98.577,137.2852,55.3115,115.8752,716.0389,151.8284,58.0649,22.2086,398.2341,536.4272,539.5334,224.081,337.9161,645.4506,229.173,74.8122,41.0034,414.4891,51.0604,1201.0806,587.8737,315.0442,45.0442,6.9749,116.3181,1.9468,25.2893,27.7337,4.6788,3.3985,163.5689,1.2615,81.647,1.3596,2411.3228,181.7626,2269.1163,7.2181,31.8195,0,164810.5237,14033.365,278778.5945,0.0,0.0,0.0
CHN_R,47.1846,3.6211,250.8191,164.571,7.5044,305.8439,127.0477,34.3496,82.1296,44.7529,227.7335,103.1252,99.0397,210.9401,165.5951,181.2359,159.6147,140.2324,274.1617,337.6671,16.0224,77.6231,548.6997,120.1243,1305.2165,757.2068,207.5979,70.6471,34.083,248.9156,33.9292,141.945,224.1027,120.5004,282.5554,2314.1038,198.4132,824.125,83.536,1189.4177,120.593,97.6842,452.9368,153.9413,0,17567.8169,3835.3598,37237.4261,0.0,1.9547,0.0
CHN_S,860.2638,108.2932,2395.1647,573.3402,28.0367,1236.7269,607.2794,195.8476,720.6752,517.3712,1380.4821,515.292,677.5555,1598.5634,1460.1425,1615.2773,1810.3022,1596.8253,2054.8962,2507.3474,244.378,493.4561,1395.4215,1324.3681,8900.4222,7599.5672,5183.0406,304.047,247.9312,1521.7868,1063.7615,1282.2625,679.9927,523.6416,212.0096,768.6692,416.7428,4626.7083,295.6379,6816.4624,2773.9037,2365.6025,182.9776,889.5281,0,63851.0875,7760.9786,76331.4697,0.0,0.0008,0.0
CHN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
