V1,SGP_A01_02,SGP_A03,SGP_B05_06,SGP_B07_08,SGP_B09,SGP_C10T12,SGP_C13T15,SGP_C16,SGP_C17_18,SGP_C19,SGP_C20,SGP_C21,SGP_C22,SGP_C23,SGP_C24,SGP_C25,SGP_C26,SGP_C27,SGP_C28,SGP_C29,SGP_C30,SGP_C31T33,SGP_D,SGP_E,SGP_F,SGP_G,SGP_H49,SGP_H50,SGP_H51,SGP_H52,SGP_H53,SGP_I,SGP_J58T60,SGP_J61,SGP_J62_63,SGP_K,SGP_L,SGP_M,SGP_N,SGP_O,SGP_P,SGP_Q,SGP_R,SGP_S,SGP_T,SGP_HFCE,SGP_NPISH,SGP_GGFC,SGP_GFCF,SGP_INVNT,SGP_DPABR
SGP_A01_02,1.3422,0.0126,0,0,0,28.8662,2.7849,0.0038,0.0311,0.0028,0.2358,0.0765,0.0224,0.0003,0.0005,0.0231,0.157,0.0139,0.1434,0.0076,0.0145,0.1651,0.6985,0.0004,1.6698,0.0391,0.0114,0.7132,0.0044,0.0071,0.0006,47.6935,0.2581,0.006,0.0125,0.2276,0.2446,0.915,1.5702,0.0977,0.0424,0.1622,0.2146,0.3626,0.0,82.9458,0.0582,0.0003,0.7742,-9.4663,0.0
SGP_A03,0.0032,7.3855,0,0,0,1.1397,1.3978,0.0003,0.005,0.0172,0.0891,0.1165,0.0011,0.0025,0.0052,0.0123,1.8367,0.0077,0.6262,0.0094,0.0125,0.2294,0.3745,0.0317,0.2948,1.1553,0.1521,1.9924,0.0719,0.2062,0.0019,37.4142,0.0599,0.1665,0.2442,0.5247,0.1774,0.4829,0.3279,0.3869,0.0574,0.083,0.2745,0.1664,0.0,77.1346,0.0658,0.0041,0.0108,0.6844,0.0
SGP_B05_06,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B07_08,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B09,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_C10T12,5.6669,1.8182,0,0,0,1038.4761,5.7017,0.2506,1.9315,7.8501,295.4321,10.6046,0.6267,1.1387,1.9943,2.0815,96.6213,1.5836,26.3483,0.8436,1.5428,18.3775,2.4167,8.15,16.0338,51.2609,4.8345,60.9482,5.1351,7.4657,0.7228,1047.2128,9.8921,4.7911,11.9225,19.4625,11.3457,23.5978,16.3609,45.5459,2.8269,19.3023,5.0734,17.1483,0.0,2698.419,1.5426,1.7127,78.0436,56.2729,0.0
SGP_C13T15,0.0079,0.0349,0,0,0,0.9554,91.7807,0.3554,1.7993,0.2706,1.3413,0.1441,0.4135,0.0355,3.8821,0.1803,2.4213,0.3658,1.821,0.4606,1.1059,5.1984,0.3308,0.8453,11.7565,21.6105,2.8478,0.7269,0.1486,3.7939,0.1934,6.8257,0.8007,0.9073,0.1383,0.2908,0.3158,1.3552,1.5386,2.4629,3.4409,3.9844,1.447,6.7648,0.0,602.9154,0.2104,0.0039,2.0727,7.2341,0.0
SGP_C16,0.03,0.0101,0,0,0,6.4678,1.8378,14.1044,0.8429,0.8477,29.0151,0.1271,0.2715,0.5444,0.2563,6.505,9.8266,2.8358,35.2675,0.3614,0.9018,34.8239,0.16,0.2893,69.5627,2.4131,0.1287,0.498,0.1814,1.8499,0.037,0.9783,1.548,0.1334,0.3855,0.5375,1.5128,4.2921,0.9352,0.3408,1.9251,1.0875,0.0832,0.8768,0.0,5.6699,0.0749,0.0089,7.4957,1.694,0.0
SGP_C17_18,0.2613,0.1094,0,0,0,23.9609,4.765,0.3671,159.7732,1.8559,37.4855,1.1335,2.459,1.5463,3.498,8.2691,103.5038,12.6089,45.2819,2.1212,1.8545,36.3547,2.5773,6.6782,13.7452,207.9315,3.1487,1.9222,1.7602,18.5317,2.5084,21.6664,42.455,14.8377,60.2115,44.4185,21.7685,158.7855,58.8708,32.2314,68.3545,14.019,13.811,11.7222,0.0,183.9712,0.1853,0.0218,9.431,10.3386,0.0
SGP_C19,0.1257,0.0761,0,0,0,22.0293,0.6492,0.0683,4.0,1697.7626,1025.3573,2.5694,2.0754,6.8098,60.2583,7.8086,253.0444,64.1584,27.4378,2.5375,14.9228,6.1179,12.6199,15.804,308.8759,159.1822,320.3864,3317.3466,1510.7622,165.0572,2.3866,48.3439,19.4949,13.5161,52.647,36.777,35.3184,140.6319,81.7508,56.1814,10.1566,17.8497,5.1804,8.5736,0.0,583.2635,0.0245,0.1691,43.0452,358.1718,0.0
