V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T,CHL_HFCE,CHL_NPISH,CHL_GGFC,CHL_GFCF,CHL_INVNT,CHL_DPABR
CHL_C23,17.1656,1.2856,0.3316,82.227,0.3654,156.2484,4.3974,7.394,6.1512,0.9975,13.7814,8.5783,9.8966,451.9422,7.5036,28.226,8.3725,30.8482,15.27,0,5.3078,10.7422,5.1008,0.3602,2013.2209,49.0185,6.218,0.0393,1.4508,0.4152,0.1347,13.3293,1.7031,12.1218,1.2302,5.1099,1.6622,9.3072,2.7346,6.222,16.2917,6.9606,0.1288,3.9813,0,254.5687,0.0009,2.9734,62.3335,-6.7215,0.0
CHL_C24,11.4613,1.4247,0.7604,47.0151,0.0192,15.5713,2.8779,5.1854,8.7229,1.197,6.1278,0.9219,8.3483,16.5589,250.1107,309.6516,5.8403,40.2735,103.0482,0,32.1022,58.5238,5.385,0.7947,476.2292,15.7193,5.8338,0.3243,0.6754,0.8713,0.0956,1.3073,1.0794,4.3515,1.8847,7.7033,0.8187,4.7789,7.6964,4.465,1.145,11.0254,0.5421,3.5119,0,82.7902,0.001,0.3598,92.9148,-43.6174,0.0
CHL_C25,25.815,2.4985,1.8453,286.5586,0.1872,102.8187,9.4251,21.0998,17.289,3.0117,25.9902,3.7589,17.0737,19.2105,15.3426,100.6105,2.3749,10.2655,37.1274,0,13.9181,33.7409,30.7133,2.5145,1084.3607,40.3061,46.6397,0.8499,9.149,9.5838,0.2512,5.6648,10.4461,16.6726,3.8229,26.1931,6.6897,16.1328,40.2151,10.9728,8.3205,26.2249,1.595,13.3146,0,410.4316,0.0034,0.6127,697.0706,-107.7979,0.0
CHL_C26,0.1474,0.0128,0.0096,1.7845,0.0089,0.3891,0.0685,0.0618,0.2816,0.0171,0.1643,0.0538,0.0735,0.0731,0.0431,0.1131,0.2131,0.1154,0.1741,0,0.0447,0.0573,0.1291,0.0618,0.7275,5.2805,0.6144,0.0161,0.0989,0.3294,0.0072,0.2935,0.1158,3.5155,5.898,3.2299,0.4149,1.6387,0.6761,2.7742,0.864,0.2986,0.0649,0.3496,0,191.0609,0.0,3.2942,47.9005,-75.4312,0.0
CHL_C27,7.5328,1.3665,0.4823,18.1844,0.0575,10.0061,1.1614,1.8116,4.5887,0.6266,4.0284,1.588,1.5084,1.5146,4.4483,5.3635,3.621,22.9306,9.9987,0,7.3667,6.1075,13.2161,1.4388,85.0327,78.2819,19.6467,0.5581,1.3018,2.6326,0.1407,5.4992,3.134,21.344,3.7057,17.8678,2.6883,8.7579,25.6819,15.4615,4.6641,44.6672,3.146,7.0491,0,392.4402,0.0019,1.096,492.2646,-284.4375,0.0
CHL_C28,18.4234,6.2229,2.5701,207.7843,0.5171,30.8032,2.2808,9.9396,15.7632,3.1712,11.5979,2.0688,9.0112,6.9119,13.4265,17.387,2.5848,10.9358,26.9104,0,9.8641,43.6791,43.1503,3.5018,114.6989,81.4432,45.1043,1.9835,11.7035,7.9634,0.2758,9.7971,1.6163,20.7399,18.5876,10.2162,5.8085,30.3096,41.2022,25.8065,7.4305,18.6636,3.1798,7.4198,0,108.5443,0.0036,0.3707,1058.1923,-342.1534,0.0
CHL_C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
CHL_C30,5.4914,0.0666,0.1591,15.4356,0.0,0.017,0.0614,0.0625,0.1,0.0903,0.0048,0.0,0.5929,0.076,0.0647,0.4468,0.7021,1.4746,1.5762,0,15.0763,3.4427,1.2127,0.5145,4.6685,82.9122,61.5686,0.7776,11.5595,2.2084,0.0312,1.0336,0.1898,0.1125,0.6078,0.3672,0.4204,1.8874,14.6286,64.3468,0.0073,0.7557,0.2518,1.462,0,71.9527,0.0,0.0,480.4271,-75.4507,0.0
CHL_C31T33,13.3701,2.6275,1.7975,218.0911,0.8677,27.0306,8.6693,12.5777,32.2255,0.5114,11.2294,3.3561,7.4417,11.255,38.1413,3.6262,2.1033,4.035,11.6714,0,0.3686,4.9408,100.1364,26.1338,50.3957,110.7848,147.4075,8.0596,14.6421,27.5392,1.1803,14.2547,4.1489,92.5776,5.5975,15.6568,11.5402,30.5072,85.2548,27.7077,17.7939,47.7673,5.2395,9.997,0,635.0117,0.0008,0.7007,493.1559,-19.954,0.0
CHL_D,119.3458,17.4637,1.7665,2586.9552,2.7271,314.8788,28.6659,158.9258,585.5924,171.43,260.0059,11.359,78.4824,140.6082,66.3616,86.1243,5.4586,12.1043,29.0617,0,9.7121,37.7813,5319.9487,97.3754,118.757,628.7293,137.7383,1.1296,13.0796,111.2484,1.9793,126.646,19.4944,116.0321,25.855,91.8639,151.5866,115.6378,101.7016,279.2377,223.9142,227.1827,29.2363,16.9814,0,3080.9414,0.0033,4.4716,103.547,0.0184,0.0
CHL_E,4.779,1.5072,0.3752,81.2053,0.5583,56.8268,5.905,3.55,189.8192,3.3627,23.8909,2.292,48.7166,10.4358,5.8506,5.0015,0.5582,1.3952,11.9806,0,1.3792,8.8224,8.6934,187.8214,29.4414,64.4226,12.8645,0.1444,0.5836,9.9955,0.0275,25.2616,1.7774,1.5619,3.5683,8.8676,23.0393,28.9273,9.8611,392.3983,70.0676,52.444,6.8079,20.6774,0,1269.2321,0.0,82.5922,5.1793,0.0006,0.0
CHL_F,38.1241,5.8495,1.7276,26.488,0.5129,24.8119,4.9255,4.1668,10.4352,3.8531,4.1454,3.7526,4.0943,12.3622,3.8523,6.0133,0.4102,1.1507,5.7705,0,2.0881,5.201,60.6304,108.8017,5367.418,540.0511,73.9634,0.5936,21.2744,174.0208,1.1573,63.0569,10.7575,34.3345,21.6429,32.7734,2988.4973,82.6354,83.682,570.0898,381.7325,144.4312,28.9613,107.0736,0,219.9987,0.0,1.5331,25946.767,0.012,0.0
CHL_G,1238.8529,314.5621,10.6226,1052.8787,3.4757,2736.3219,282.9594,159.6255,337.4902,79.6286,362.7483,163.3968,225.6245,155.1167,168.419,122.6689,22.1108,85.9817,117.9089,0,97.7224,130.966,532.3255,118.8833,1254.8212,1856.581,1650.0537,40.8398,246.722,130.1478,11.3068,734.4119,64.8644,275.4655,98.0308,262.826,68.7608,342.5956,606.8057,351.6705,160.8623,918.8597,51.9218,106.1209,0,18127.3861,2.7397,57.627,4270.6625,5.6311,0.0
CHL_H49,412.9967,67.559,6.1666,424.1347,4.3669,971.1239,52.0245,171.5185,236.0647,95.0877,144.6141,30.9608,79.888,117.1738,57.5501,70.3668,6.7074,27.8333,59.9623,0,18.1361,57.4444,189.0117,28.9142,512.4865,1473.0116,838.4158,17.1453,52.5235,45.6937,25.1647,152.2175,22.091,24.683,22.9448,52.1372,12.7649,100.6341,151.8929,88.819,54.883,174.8365,11.6691,40.8036,0,5515.68,0.3198,11.7781,844.0652,63.9003,0.0
CHL_H50,10.0837,0.114,0.123,1.1426,0.0075,8.544,3.2314,1.4023,2.7662,0.0782,0.2607,1.3706,2.8348,0.1318,2.141,1.257,0.5261,2.4419,3.1404,0,0.1863,3.1763,10.4121,0.8973,27.5651,16.6483,6.2262,0.4248,0.8978,0.8328,0.0262,5.6128,0.8725,2.309,1.6776,1.9044,0.8376,3.249,2.5194,3.1273,1.319,9.3537,0.3107,1.2724,0,120.4637,0.0832,1.362,115.9784,117.6551,0.0
CHL_H51,36.0721,17.7934,4.603,125.3161,0.361,66.6524,7.5547,7.5425,14.6144,14.7164,35.3417,5.3019,10.8447,13.1667,6.8878,11.727,1.5776,4.3258,9.2364,0,2.0873,9.322,35.8951,7.1346,163.561,150.053,106.8856,4.6262,98.6346,28.1704,28.0508,29.3678,11.1406,40.2223,40.381,55.805,7.2018,108.4063,81.3741,85.6679,12.389,26.5511,15.2686,4.555,0,1041.4067,0.0405,0.6433,131.7245,37.059,0.0
CHL_H52,65.5133,30.25,0.7303,230.0137,0.9782,313.412,19.5365,64.8295,59.8081,10.4509,53.403,16.2884,21.4572,18.0572,20.5984,18.5954,2.0336,7.3835,10.6319,0,4.0162,11.0856,67.5209,3.8935,78.2746,1003.8994,590.2723,134.0055,239.3801,237.2011,1.7732,27.6198,2.7989,12.9281,7.3162,10.6823,3.9403,12.4521,19.1633,22.0253,7.6665,26.0863,2.0303,8.7433,0,1547.3763,0.0464,2.8141,157.6695,1.7598,0.0
CHL_H53,4.8956,1.5189,0.0071,0.7883,0.006,4.3909,1.1761,0.6297,1.1072,0.4795,2.8762,1.3942,0.0039,1.2837,0.4838,2.7916,0.2741,0.5778,1.1681,0,0.7178,1.0822,7.7563,1.8065,4.6864,61.3109,3.5381,0.2513,0.1513,5.5061,28.9799,3.4852,3.7266,20.6945,8.7865,37.3767,3.1369,17.1565,24.675,30.1417,3.9325,6.8762,0.4907,3.2746,0,84.6957,0.0,0.01,1.7696,0.1907,0.0
CHL_I,33.3026,1.0698,1.9522,102.9463,0.0453,19.8004,3.9832,2.583,5.7255,1.2668,7.1119,4.045,3.2088,5.8045,1.3379,3.6326,1.1376,2.3576,4.0492,0,0.8515,2.3465,6.7671,2.8641,42.5341,141.1305,199.5416,7.5914,180.3965,5.9394,0.6565,16.8227,15.7933,14.6053,19.5769,52.5557,7.4369,53.4763,68.9338,97.6134,287.1941,85.9526,32.4181,87.9511,0,6914.4079,0.7008,828.0681,10.4478,0.0234,0.0
CHL_J58T60,5.6403,2.5823,0.2333,6.0152,0.0106,13.331,2.4557,0.6197,3.1214,0.6023,1.5844,1.836,4.0657,4.0176,0.8575,0.8586,0.5664,1.2524,4.3684,0,0.8367,1.8649,1.4008,3.106,8.4813,28.0761,7.3113,1.4994,5.2207,2.2556,3.6487,8.8865,137.1251,324.8314,9.0654,27.8068,28.5026,102.2617,10.4895,36.8731,36.8513,6.5242,1.4092,2.3696,0,931.0275,43.698,5.5817,17.4122,0.0171,0.0
CHL_J61,20.5713,9.9437,1.9437,73.9258,0.0759,51.8271,11.114,12.6719,17.1914,3.3059,16.9915,5.3479,8.7965,11.3369,3.3282,14.7652,2.2749,4.9464,11.3462,0,2.3709,17.7089,28.6378,8.3305,60.7522,345.0461,119.0527,2.1497,22.6497,32.3742,13.3936,39.0876,46.6321,1947.8673,174.4735,210.5464,33.9689,173.3474,200.9618,170.9456,63.5329,123.94,16.7491,34.6255,0,4249.6029,20.6253,0.2414,32.3112,0.1782,0.0
CHL_J62_63,5.9303,0.2261,0.627,115.9403,0.0144,147.6419,31.3107,30.7253,50.4864,20.0077,51.3861,28.1201,2.8528,25.1669,6.551,51.4689,4.0271,8.2224,2.1171,0,5.8353,21.2156,20.7738,8.4937,15.5412,320.4267,10.7034,3.1919,53.1439,38.6833,1.2844,12.2739,9.9662,96.4147,362.6725,421.0104,10.1896,186.1607,143.6664,137.3807,12.0151,53.452,22.0485,5.8793,0,205.2753,0.0004,11.1557,1966.9415,0.5076,0.0
CHL_K,378.8123,78.2618,29.6551,296.1345,1.9114,300.342,58.6157,62.949,141.4333,99.2445,75.5253,20.3931,80.9982,46.1273,42.3531,62.5492,5.7316,16.4738,50.55,0,16.8576,63.5691,394.867,49.8419,877.0317,1614.4727,369.4517,40.9491,44.3836,322.2591,4.2513,148.1808,28.6725,46.8034,50.8208,2389.9187,1031.281,323.0874,325.7052,64.1773,109.5375,164.451,42.9163,49.6167,0,8101.2789,0.0193,105.3216,91.9763,0.249,0.0
CHL_L,43.4588,14.6411,0.437,89.6556,0.0234,71.782,42.7989,14.0917,28.8141,2.1547,22.0087,6.4005,16.64,24.58,3.4065,22.8472,4.6243,12.4992,14.2519,0,7.3382,68.9844,32.0359,12.6444,100.3591,2373.5596,128.2444,0.8173,181.2475,155.8873,5.3293,347.1593,81.0665,281.229,104.5286,193.5175,336.256,529.9436,322.0751,143.9282,511.9079,212.7201,125.0033,103.6483,0,17629.618,0.0,0.0354,136.7851,0.0016,0.0
CHL_M,36.3618,16.6483,76.8551,2853.1741,9.2004,1273.7322,100.7768,131.1949,240.5324,44.0698,342.9961,290.3207,51.8004,123.7482,80.4016,145.68,12.3677,37.6402,92.1933,0,27.0759,74.0699,231.2011,93.845,842.184,3047.4323,141.4541,5.9863,222.7839,125.7123,13.7527,131.9871,182.6097,546.3561,277.7141,1161.6042,225.6646,2453.9429,564.4944,169.7276,325.5834,170.7134,209.5432,92.173,0,1496.9574,0.0018,36.4705,3208.9393,0.1934,0.0
CHL_N,239.5676,127.402,11.1378,1038.4965,1.6335,343.9571,26.4982,121.7945,284.1174,31.9669,123.5603,8.3357,24.1662,84.5723,15.3044,43.89,2.5143,6.6778,17.0081,0,80.0944,63.1405,222.1418,75.7633,592.4223,2913.6288,711.4606,25.2283,599.9597,404.4291,14.5553,146.252,80.0815,866.1766,94.0568,1229.3744,142.0456,333.4595,694.7009,580.1667,337.924,381.0035,86.362,31.8887,0,624.6973,0.001,0.047,42.2215,0.1281,0.0
CHL_O,17.6477,6.2918,0.2385,41.2973,0.1672,63.195,3.8244,9.2392,57.8715,2.4101,12.5579,3.0404,13.2186,4.6156,4.0014,4.6441,0.4759,1.3967,8.1169,0,0.9988,3.9865,9.6425,31.4844,27.2562,186.9817,65.1458,13.2771,28.6905,50.1653,0.4572,10.9109,3.1123,14.0198,12.2797,18.6751,6.3734,28.4819,16.3609,85.0402,10.1431,11.0579,3.4033,4.7223,0,427.1366,0.0044,15527.4347,194.5376,0.1719,0.0
CHL_P,1.2139,0.2171,0.4091,22.0955,0.0615,13.2665,2.0736,4.7377,5.1529,1.5385,4.6892,1.835,0.8754,3.8477,1.0313,3.9544,0.2933,0.608,1.3656,0,1.3732,1.7356,5.4022,0.3894,8.1717,31.5842,2.3103,0.1119,1.5054,2.7157,0.0875,1.7909,2.2221,5.4607,10.5174,18.6853,5.2736,31.0918,19.5363,4.0166,7.4933,5.8574,1.0914,0.8732,0,6920.3441,145.9345,8300.5782,436.6218,0.0139,0.0
CHL_Q,30.1203,6.6508,0.0606,7.3577,0.0094,9.7023,2.1318,2.2965,3.0951,0.8816,2.8452,1.2062,0.7454,2.0666,0.6009,2.493,0.2341,0.5767,0.7095,0,0.6431,2.1935,2.81,0.5206,4.2667,62.0555,8.6764,0.4855,5.5157,5.5658,0.4178,10.3814,3.8317,22.8526,11.4294,44.8725,7.8309,39.9959,41.7495,6.6835,16.155,1218.8555,3.3852,28.6749,0,7872.5812,83.3232,8194.1622,88.9781,0.0162,0.0
CHL_R,0.0026,0.0,0.0006,0.0022,0.0,0.0076,0.0,0.0,1.0084,1.7999,0.0301,0.0021,0.0013,0.0,0.0,0.0008,0.0,0.0,0.0,0,0.0,0.0,0.0017,0.0,0.0045,0.5864,0.0,0.0,0.0,0.0602,0.0,1.1365,106.4541,0.0079,13.0651,1.7779,0.2911,57.2102,1.2798,30.8203,0.9937,0.2821,69.3835,0.6565,0,1638.4871,52.3057,39.8136,0.0,0.0093,0.0
CHL_S,10.8616,1.3636,0.4327,59.2983,0.2592,26.2443,3.0237,5.519,12.2619,0.6172,6.8013,2.4173,3.1321,4.7975,4.0152,3.7378,0.8682,2.0849,2.92,0,1.5319,1.5151,22.6692,2.5476,17.8006,78.7669,37.2489,1.9013,7.2582,6.899,0.3795,21.6383,4.3739,27.8977,12.631,20.018,4.5208,25.8056,24.6732,8.9657,4.2018,46.6384,2.2166,14.9688,0,2738.5425,1428.8127,250.5971,158.2498,0.0118,0.0
CHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
