V1,TWN_A01_02,TWN_A03,TWN_B05_06,TWN_B07_08,TWN_B09,TWN_C10T12,TWN_C13T15,TWN_C16,TWN_C17_18,TWN_C19,TWN_C20,TWN_C21,TWN_C22,TWN_C23,TWN_C24,TWN_C25,TWN_C26,TWN_C27,TWN_C28,TWN_C29,TWN_C30,TWN_C31T33,TWN_D,TWN_E,TWN_F,TWN_G,TWN_H49,TWN_H50,TWN_H51,TWN_H52,TWN_H53,TWN_I,TWN_J58T60,TWN_J61,TWN_J62_63,TWN_K,TWN_L,TWN_M,TWN_N,TWN_O,TWN_P,TWN_Q,TWN_R,TWN_S,TWN_T,TWN_HFCE,TWN_NPISH,TWN_GGFC,TWN_GFCF,TWN_INVNT,TWN_DPABR
TWN_A01_02,1618.4649,28.2858,0.0278,0.0953,0.0434,4608.9323,160.3564,13.2532,2.3632,0.5686,7.0889,13.9743,15.8817,0.9165,0.8007,0.5205,3.6554,0.5831,0.9966,0.195,0.1529,2.2339,0.4574,0.3348,70.1696,63.0669,0.3701,0.3668,0.0745,0.464,0.2625,652.6622,1.1132,0.1246,0.1983,1.0121,10.797,1.3817,10.4082,42.4729,7.9235,1.003,9.1118,5.2167,0.0,8292.7394,0.7544,0.7728,55.133,18.5085,0.0
TWN_A03,4.2354,115.5558,0.0026,0.0088,0.004,113.9697,0.0233,0.0752,0.0147,0.0529,0.561,0.6895,0.0144,0.0504,0.0745,0.0352,0.1302,0.0197,0.0404,0.0141,0.0101,6.573,0.0277,0.0147,0.1131,2.2342,0.0189,0.0367,0.0048,0.0345,0.0249,123.1511,0.0247,0.0034,0.0116,0.0395,0.143,0.1695,0.135,3.8445,0.0234,0.0402,0.7543,0.1076,0.0,1802.0139,0.1999,0.0793,0.0744,0.7291,0.0
TWN_B05_06,0.0015,0.0018,0.9298,1.0375,0.5244,0.1758,0.7276,0.0025,0.5073,299.168,8.7851,0.0394,0.2111,17.4308,45.7706,0.0132,0.32,0.3195,0.0204,0.0051,0.0487,0.0654,137.2589,0.0983,6.7169,0.1393,0.0747,0.0113,0.0178,0.0035,0.0012,0.5118,0.0072,0.0091,0.0996,0.0553,0.0415,0.0353,0.0144,0.0332,0.0084,0.0104,0.0081,0.0111,0.0,0.9617,0.0001,0.0015,1.2436,0.2632,0.0
TWN_B07_08,0.0131,0.022,0.1005,1.2506,0.2827,1.2166,4.1563,0.0073,4.1745,50.4436,139.4674,0.1002,1.1555,354.9727,212.4108,0.1737,2.5917,1.2907,0.2486,0.0274,0.1311,0.2317,99.5831,0.5731,217.3817,0.1445,0.2908,0.0397,0.0,0.0036,0.0,0.8148,0.0,0.0041,0.0,0.0,0.0,0.0701,0.0235,0.0114,0.0,0.0,0.0153,0.019,0.0,2.2052,0.0,0.0,0.8564,1.0356,0.0
TWN_B09,0.0198,0.0474,5.5762,1.7693,2.5418,0.9048,0.0268,0.0038,5.8548,87.4651,18.099,0.052,1.3855,123.2865,24.5903,0.1733,0.4565,0.6112,0.2946,0.0254,0.0857,0.1709,264.5322,0.3821,88.7045,0.1749,0.1478,0.0209,0.0,0.0022,0.0,0.4881,0.0,0.0,0.0,0.0,0.0,0.1933,0.0176,0.0228,0.0,0.0,0.0088,0.0095,0.0,0.0,0.0,0.0,0.4836,0.0,0.0
TWN_C10T12,1399.683,170.0543,0.3057,0.5489,0.2648,2796.4908,103.8662,3.964,32.9595,6.4091,50.1397,30.7744,21.3439,6.6808,23.325,12.7649,59.296,9.0132,13.1631,2.9217,4.6647,51.3075,8.192,1.1863,21.8432,211.1394,3.0723,2.1279,4.8497,2.3258,0.5261,2143.6909,6.5282,1.8725,2.1414,8.8416,27.794,10.4019,2.8872,80.0329,25.1644,30.7257,133.1816,18.4583,0.0,15724.6992,2.4384,15.3584,128.087,26.8654,0.0
TWN_C13T15,15.1088,53.9945,0.6026,0.985,0.4729,25.1387,4572.2563,1.5746,79.2309,7.0792,314.7651,19.3159,242.6005,36.6567,24.1465,45.1134,266.3206,21.0282,28.7173,33.6879,16.5167,153.5065,5.374,4.1274,44.0447,107.6562,4.0935,2.4938,3.4675,3.1242,1.586,126.7399,9.685,2.4755,3.7126,7.3893,4.9321,45.9127,3.1006,24.7051,11.0377,18.5834,5.8654,32.3649,0.0,3689.0948,0.8421,21.8809,323.5016,27.1724,0.0
TWN_C16,8.8673,3.513,1.3196,2.8125,1.42,1.6716,3.4873,258.9171,50.2621,0.3865,3.5629,0.1042,3.3934,6.7032,4.1601,24.5018,16.1638,6.0739,13.2424,4.3673,13.5402,67.3183,3.0342,0.34,681.4964,38.0583,0.2796,0.2171,0.0915,1.0058,0.1062,21.7377,3.1284,0.161,0.5265,0.3849,0.537,13.361,3.0562,3.5389,5.3949,0.5743,1.5491,2.6853,0.0,51.8483,0.1285,0.59,5.9386,1.5848,0.0
TWN_C17_18,12.9011,5.8477,0.5123,0.1947,0.0889,280.2936,100.5824,22.2429,2245.8609,8.6299,243.333,36.7728,181.6612,79.952,44.9648,103.192,420.1447,55.1936,51.4658,23.7435,10.1765,64.2143,16.2752,4.138,80.0695,738.2949,9.4054,0.7315,9.9941,10.9966,16.0607,321.5152,746.4148,67.631,27.1148,363.0028,46.8642,708.7375,162.6408,383.7534,190.7314,94.8642,46.313,226.3139,0.0,667.0694,0.4766,3.0319,31.2158,10.5195,0.0
TWN_C19,117.6838,333.1015,47.9371,229.4906,77.8729,138.5783,137.2115,15.4428,95.6829,3501.9437,5524.3524,10.4952,173.5153,290.8082,1317.5517,295.3117,508.2776,77.7111,144.6665,42.3789,30.8611,38.9687,1681.9851,57.3451,434.659,1016.5513,1412.3458,255.3249,1559.7758,122.7278,24.3186,106.7804,28.7227,28.7449,8.1355,34.0595,50.4765,62.1328,100.5452,183.1666,55.7066,117.4787,16.2807,63.4943,0.0,3920.5464,0.1667,7.5853,111.8129,3.0031,0.0
