V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T,MLT_HFCE,MLT_NPISH,MLT_GGFC,MLT_GFCF,MLT_INVNT,MLT_DPABR
MLT_C28,0.001,0.0202,0.049,0.1129,0.0152,0.0086,0.004,0.003,0.0928,0.0001,0.0141,0.0013,0.0292,0.0133,0.0002,0.0581,0.0396,0.0414,1.1966,0.0022,0.7694,0.9756,0.1383,0.1465,2.807,0.1253,0.03,0.331,0.4395,0.068,0.0614,0.0029,0.0231,0.0288,0.0516,0.0677,0.0121,0.0449,0.0045,0.0094,0.0032,0.0108,0.0132,0.0589,0.0,1.4447,0.0,0.0,16.8594,0.2886,0.0
MLT_C29,0.0009,0.0003,0.0,0.0001,0.0001,0.0011,0.0,0.0,0.0011,0.0,0.0001,0.0002,0.0001,0.001,0.0,0.0013,0.0008,0.0002,0.0001,0.0072,0.0016,0.0154,0.022,0.0006,0.0826,0.2421,0.17,0.0484,0.1015,0.0217,0.1212,0.0015,0.0013,0.001,0.0002,0.1226,0.0013,0.012,0.028,0.0001,0.0024,0.0055,0.005,0.0012,0.0,3.3209,0.0,0.0,1.107,0.0621,0.0
MLT_C30,0.0008,1.6174,0.0162,0.0027,0.0002,0.0089,0.0005,0.0001,0.0064,0.0,0.0009,0.0055,0.0101,0.0115,0.0,0.0047,0.001,0.0015,0.008,0.0,10.0101,5.8993,0.0008,0.0122,0.0224,0.0434,0.0244,0.0172,3.8974,1.6384,0.009,1.21,0.0032,0.0106,0.0212,0.2881,0.003,0.0192,0.2755,0.207,0.0168,0.0173,0.4101,0.0047,0.0,5.824,0.0,1.4406,140.4361,2.1432,0.0
MLT_C31T33,2.8282,0.6244,0.2481,0.2925,0.0596,2.1362,0.2671,0.1268,1.382,0.0067,0.1105,1.7628,1.1205,1.0199,0.0002,1.7306,2.2743,0.175,0.4083,0.049,2.6832,13.7272,2.2596,2.0406,7.1562,8.21,3.3338,3.8699,15.0292,4.4922,4.1733,3.9127,0.6595,1.3435,5.2154,5.8968,1.199,2.3073,2.9525,1.8468,1.8673,16.4993,20.2899,0.7968,0.0,68.9849,0.0001,2.0242,30.7282,1.1754,0.0
MLT_D,1.1426,0.1213,0.0139,0.0777,0.0666,6.3296,1.8048,0.0831,2.6248,0.0011,1.5611,3.4763,5.559,2.4178,0.005,1.7175,43.5585,0.1425,0.7389,0.0563,0.4763,7.6766,359.2252,22.5152,6.8272,17.5433,1.231,0.6731,1.5484,6.6979,3.9609,27.5112,2.2682,6.1881,49.0715,32.7326,5.025,8.8911,2.0955,10.7218,9.9355,22.4712,9.2699,1.7597,0.0,97.8345,0.0,0.0,0.0,0.0,0.0
MLT_E,0.677,0.1248,0.0425,0.0813,0.0263,2.0503,0.0685,0.0168,0.983,0.0013,0.1595,0.9163,0.7638,2.8687,0.014,0.4482,0.0413,0.031,0.1062,0.0102,1.8752,1.1522,0.5798,44.9369,3.093,3.6069,0.5824,0.5027,1.1567,1.1623,1.4766,5.5853,0.5264,1.7599,4.1392,8.4285,0.6606,2.7246,10.5324,24.4951,1.8051,6.0775,1.7613,0.8803,0.0,59.5172,0.0,12.1259,1.5791,0.0,0.0
MLT_F,3.4283,0.4859,0.1755,0.3962,0.0576,3.4987,0.5218,0.0198,1.416,0.0069,0.4165,1.7525,0.7761,11.6024,0.0033,2.7348,20.5824,0.2725,0.4059,0.04,4.9291,11.761,5.6553,9.6808,251.1995,26.5411,9.0429,0.8672,6.0185,32.603,1.3136,28.055,1.5619,1.4528,4.4943,45.8367,56.3212,11.8915,10.3908,17.5047,18.7177,9.3398,13.5631,5.0381,0.0,16.5056,0.0,18.8277,558.7454,2.6779,0.0
MLT_G,9.9075,14.3355,0.2942,0.5024,0.1679,59.5602,3.7593,0.4335,17.1755,0.1288,2.8392,24.2479,15.5604,13.2993,0.0251,11.1987,56.0566,2.8904,3.4898,0.4965,11.2153,24.5686,45.4226,5.3494,70.7627,29.1446,10.4122,5.6154,17.5609,7.6262,9.2636,105.5039,4.6979,6.464,16.4883,44.6145,7.957,20.4635,10.6679,4.8006,3.9921,17.874,20.069,9.7789,0.0,492.9033,0.1311,4.6472,112.8737,11.5887,0.0
MLT_H49,0.9522,1.6099,0.0318,0.0759,0.046,6.8576,0.245,0.0584,2.7792,0.0166,0.4284,2.8135,2.3461,3.2393,0.0094,1.9468,8.5957,0.3442,0.6112,0.0598,1.8457,4.7482,6.607,1.1297,12.2023,11.0044,27.6693,1.0299,3.7383,2.1246,4.0063,9.2585,0.9727,0.7647,2.2393,10.4865,0.7576,1.9094,0.9578,0.7059,0.5299,1.4765,1.4738,1.1521,0.0,63.4875,0.0274,2.3412,9.1836,-12.4024,0.0
MLT_H50,0.1868,1.9864,0.0951,0.0158,0.0077,2.5155,0.1577,0.0121,2.3692,0.0027,0.1267,1.544,0.4087,0.4106,0.0009,0.9234,3.2807,1.7149,0.1723,0.0369,0.5882,3.834,1.8879,0.1139,2.3852,17.4673,0.5556,1.0982,1.8958,1.4081,0.166,1.604,0.1804,0.6771,0.7562,4.7035,0.1309,0.9559,6.5763,0.3711,0.1886,0.4428,0.8163,0.2417,0.0,30.652,0.0002,0.2033,6.9452,8.0427,0.0
MLT_H51,0.0704,0.1449,0.0063,0.0101,0.0025,0.1462,0.0247,0.0014,0.1367,0.0007,0.0101,0.0949,0.037,0.0533,0.0002,0.0586,0.2814,0.0568,0.0114,0.0018,0.0348,0.2531,0.27,0.0641,0.2815,1.6459,0.7412,1.3033,3.1931,1.2894,0.0758,0.3657,0.0785,0.0677,0.6788,1.4961,0.0244,0.6217,0.864,0.2277,0.0549,0.0885,2.7068,0.0308,0.0,0.8588,0.0001,0.4915,1.3088,9.792,0.0
MLT_H52,0.2767,4.3033,0.0684,0.1761,0.0275,3.0772,0.262,0.0179,4.011,0.0078,0.2113,2.3306,0.6741,0.8937,0.0046,1.2633,2.014,2.2333,0.211,0.0285,0.5741,7.8584,2.6369,0.2089,4.2761,53.5146,25.1703,44.9477,46.8805,48.5999,0.4029,3.2875,0.1792,1.0785,0.9991,3.7822,1.4214,1.9798,12.471,4.8746,0.2821,0.3866,3.1646,0.3704,0.0,14.7133,0.1266,0.1208,5.5024,1.4407,0.0
MLT_H53,0.052,0.0315,0.0054,0.0107,0.0069,0.2759,0.0133,0.0022,0.2188,0.0,0.0378,0.0795,0.1005,0.1177,0.0003,0.1433,0.0681,0.0512,0.0551,0.0171,0.0803,0.3281,1.8841,0.1965,0.6536,4.6736,0.5492,0.3494,1.7066,0.5904,48.2813,2.0701,0.5977,4.6688,6.3071,119.336,0.0915,3.5652,1.5428,4.3666,0.4895,1.577,1.3183,0.2145,0.0,22.3853,0.0,0.0,0.0,0.0417,0.0
MLT_I,0.0185,0.041,0.0021,0.003,0.0058,0.2237,0.0085,0.0016,0.0992,0.0002,0.0676,0.0223,0.0768,0.0286,0.0004,0.1239,0.1029,0.0275,0.0946,0.0079,0.0261,0.3307,0.5142,0.0479,0.6978,2.1214,0.1879,0.1236,4.6279,1.676,0.8406,2.9218,0.4351,0.2885,2.0988,24.2476,0.1244,4.8509,8.4932,2.0875,0.5807,3.175,5.9704,0.0366,0.0,366.6711,0.0,0.1101,0.0067,0.0,0.0
MLT_J58T60,0.006,0.0107,0.0005,0.0002,0.0009,0.1398,0.0012,0.0008,0.5728,0.0,0.0036,0.0895,0.0086,0.008,0.0001,0.0262,0.0182,0.0141,0.0019,0.0011,0.0481,0.1525,0.3198,0.0291,0.1853,0.8381,0.1039,0.0781,0.271,0.1261,0.6704,0.3084,3.3075,2.4474,11.5469,18.9485,0.2503,4.1371,0.2252,1.1743,1.2486,0.2539,18.1843,0.0312,0.0,18.6107,0.0798,0.006,2.7232,0.0957,0.0
MLT_J61,0.3229,0.171,0.0183,0.0243,0.0106,0.778,0.0499,0.0052,0.4694,0.0007,0.0759,0.5225,0.2909,0.2356,0.0012,0.4497,0.2805,0.1119,0.1056,0.016,0.3146,0.5794,1.7309,0.281,2.3286,6.7036,1.0481,0.9934,4.78,1.4882,7.6755,2.8614,1.5857,57.2821,44.6813,116.6041,2.3742,12.0135,2.6234,4.8204,1.7849,2.4179,41.2602,0.3213,0.0,135.8918,0.0001,0.0249,1.6403,0.3592,0.0
MLT_J62_63,0.0387,0.0054,0.0,0.0003,0.0015,0.0596,0.0005,0.0004,0.0947,0.0,0.0119,0.0309,0.0502,0.0427,0.0001,0.0308,0.0094,0.0073,0.004,0.0,0.0253,0.1682,0.0704,0.0122,0.2118,0.3012,0.9064,0.1168,0.9321,0.1465,0.0677,0.2982,0.5989,2.6781,33.4769,20.7472,0.0277,6.5055,0.6478,0.7642,0.5759,1.9737,704.8711,0.0688,0.0,1.0596,0.0,0.0437,56.0877,0.4832,0.0
MLT_K,0.149,0.2265,0.0049,0.009,0.0049,0.636,0.0314,0.0065,0.3721,0.0012,0.0481,0.3466,0.2151,0.272,0.0006,0.3617,0.7812,0.1279,0.0796,0.0095,0.3199,0.6686,0.7418,0.0888,1.7555,4.5887,0.5611,0.7436,1.966,1.0312,0.3906,2.4976,0.3551,1.4943,2.8595,1058.4125,4.7029,6.0783,1.0804,0.549,0.4248,0.6995,23.2518,0.275,0.0,21.7124,0.0001,0.1703,7.2639,6.0498,0.0
MLT_L,0.1265,0.1436,0.0073,0.0142,0.0096,0.4687,0.014,0.0095,0.7535,0.0017,0.1072,0.4839,0.5317,0.366,0.0048,0.4866,0.2652,0.0727,0.1117,0.0298,0.5235,1.518,0.9017,0.0955,3.0098,43.8387,1.6039,2.538,2.8287,3.2263,3.9059,16.5676,0.8167,3.9134,7.3977,36.5594,19.7612,9.5916,2.915,4.1033,1.6929,1.2184,29.151,0.6303,0.0,489.5284,0.0,0.0,55.8628,0.0136,0.0
MLT_M,1.5903,0.4185,1.1998,1.8107,0.1195,1.2339,0.0615,0.0267,1.8393,0.0031,0.4227,2.5715,1.6993,1.5642,0.0028,1.0678,1.2844,0.1926,0.1843,0.0238,0.7364,9.5182,5.1014,1.1015,29.5236,14.9929,1.3896,6.3399,12.933,9.5268,1.1316,11.0284,5.2652,12.5254,58.5407,172.3399,10.1484,72.8859,5.1136,12.0616,3.3929,2.4161,260.9684,1.2911,0.0,31.8392,0.2885,3.921,43.5274,1.7951,0.0
MLT_N,0.1899,0.9231,0.0863,0.0687,0.0412,0.8505,0.9087,0.0168,0.5812,0.0015,0.1272,1.1888,0.3091,0.31,0.0015,0.5052,1.0746,0.2167,0.0752,0.0082,0.243,1.6989,2.8425,0.7304,3.8873,12.9037,3.8997,4.4876,63.1659,3.4639,1.4875,8.5996,1.8136,1.6541,10.1818,152.841,1.7925,25.3416,81.3034,11.3169,3.3462,7.6842,69.7459,2.1522,0.0,56.9835,0.2212,13.3507,7.5405,1.8597,0.0
MLT_O,0.0887,0.7964,0.0082,0.0218,0.0117,0.5277,0.0891,0.0075,0.578,0.001,0.0706,0.3577,0.1336,0.1995,0.0025,0.4579,1.1305,0.2143,0.057,0.0139,0.3274,1.2423,2.0034,0.4501,3.1033,10.8801,4.3273,4.4275,11.4917,6.1021,0.8365,3.1391,0.5127,1.366,1.2424,22.7893,2.7757,19.6216,3.3998,16.5099,1.2409,2.2873,6.2952,0.336,0.0,37.1227,0.0066,703.4404,28.868,0.1177,0.0
MLT_P,0.1446,0.1808,0.0003,0.0011,0.0031,0.2234,0.1396,0.0277,0.6567,0.0001,0.0323,0.4035,0.0996,0.2497,0.0184,0.1815,0.2805,0.6518,0.0196,0.0012,0.2238,0.5493,2.6575,0.0441,0.6778,1.1837,0.3681,0.5785,0.2902,1.1548,0.3828,0.7246,0.7434,0.4941,6.4067,19.4107,0.2511,4.8288,2.633,4.1651,3.9008,2.6772,10.661,0.8959,0.0,196.7848,85.4334,286.8841,21.2258,-0.0118,0.0
MLT_Q,0.6493,0.0061,0.0006,0.0048,0.0018,0.1541,0.0209,0.0031,0.0788,0.0,0.0154,0.0065,0.092,0.089,0.001,0.0901,0.0618,0.0282,0.0216,0.0068,0.1471,0.0954,0.9687,0.0973,0.559,0.9808,0.1732,0.0004,0.2207,1.0307,0.0941,0.6992,0.0333,0.0212,0.8064,3.6224,0.0646,9.7461,0.8214,0.4072,0.3033,69.7592,4.0484,0.0474,0.0,236.3445,21.7435,581.923,0.0971,0.0024,0.0
MLT_R,0.0198,0.4494,0.0617,0.0093,0.0095,0.2087,0.0041,0.0099,0.1923,0.0,0.0625,0.037,0.0717,0.0214,0.0008,0.0975,0.0093,0.0449,0.0058,0.0002,0.0147,0.7612,1.5907,0.1941,1.1644,2.6371,1.6096,2.5433,18.1937,0.8379,0.1909,2.204,1.4723,0.6708,8.8333,8.8665,0.2181,5.2953,6.1501,1.8767,1.3795,1.7615,907.1607,0.0996,0.0,159.6735,6.7779,27.4221,6.7334,5.3945,0.0
MLT_S,0.0226,0.0179,0.0105,0.0095,0.0054,0.3569,0.0264,0.0067,0.2487,0.0,0.0365,0.037,0.0385,0.1455,0.0,0.0833,0.011,0.0139,0.0215,0.0111,0.1536,0.3006,0.511,0.022,0.8592,1.3024,0.3891,0.5227,3.3818,0.5879,1.0508,6.434,1.4538,0.8241,0.9744,18.1387,0.0611,1.8249,0.9687,1.5578,0.3019,1.7106,1.3539,1.6619,0.0,88.8809,31.2296,0.0001,0.8111,0.0015,0.0
MLT_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4367,0.0,0.0,0.0,0.0,0.0
