V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T,EGY_HFCE,EGY_NPISH,EGY_GGFC,EGY_GFCF,EGY_INVNT,EGY_DPABR
EGY_A01_02,4176.3379,14.1714,855.5961,44.923,59.8845,7936.2139,540.31,42.2014,29.221,4.7103,109.9689,95.8887,86.346,31.7033,47.1152,25.7903,6.2177,47.5571,4.2638,11.6868,0.7596,28.5142,0.075,1.8376,529.4545,6.9381,18.0337,3.2211,7.9719,41.7783,5.0491,183.6646,12.7845,2.9553,0.4789,151.4384,36.2058,3.4822,32.1092,108.0613,7.2848,75.8598,1.9342,8.9708,0,24435.8995,0.0,1.5634,2027.6688,521.5854,0.0
EGY_A03,0.0,52.4922,0.0,0.0,0.0,119.1368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,0.0,0.0001,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,260.065,0.0,0.0,0.0,0.0049,0.0,0.0,0.0,0.6523,0.1977,1.8076,0.001,0.008,0,3251.6187,0.0,0.0,0.0,59.4341,0.0
EGY_B05_06,539.0097,101.1653,252.8087,22.5913,13.8239,963.2985,25.9752,14.8979,20.8185,15327.3445,109.3945,7.3501,5.1947,417.2936,293.9515,16.1819,0.4688,6.5471,1.7225,4.5358,0.3489,7.466,6808.3636,97.4255,96.7294,778.8575,1285.3042,159.527,550.654,124.1311,1.641,591.2125,9.4173,43.2643,6.0659,37.3708,6.5046,67.1417,64.835,32.7826,41.8873,229.2717,54.7276,127.2097,0,3707.2393,0.0,0.0,14.6659,863.4986,0.0
EGY_B07_08,7.9904,0.0087,6.6388,22.7304,4.3069,0.8032,6.9547,2.1955,4.1171,2.9055,624.9975,37.5183,4.5532,163.2954,589.8089,7.9439,0.8387,11.0818,0.852,4.1039,0.034,13.021,0.0017,0.0483,201.3334,1.4336,0.2343,0.0011,0.0002,0.0249,0.0019,5.3319,0.0005,0.0011,0.0002,0.1892,1.3014,0.2605,0.2546,1.0225,0.874,3.3171,0.0293,0.4026,0,351.7059,0.0,0.0,1.7275,27.356,0.0
EGY_B09,766.9128,15.2145,364.0726,29.9201,27.6999,12.1638,0.7443,0.0,0.0049,0.0,0.002,0.018,0.0,0.0,0.0004,0.0003,0.0,0.0002,0.0002,0.0001,0.0,0.0002,0.0,0.0,5.5664,0.0015,0.0013,0.001,0.0003,7.3624,5.3285,0.241,0.0,0.0001,0.0,74.5956,0.0,0.0011,0.0016,0.0076,0.0017,0.0199,0.0001,0.0006,0,37.6212,0.0,0.0,0.7003,0.6735,0.0
EGY_C10T12,1355.3303,42.3715,19.8466,0.3764,0.125,995.4372,3.5728,1.5701,1.7315,0.3084,4.1675,2.9937,2.7079,2.1215,192.1326,78.4943,0.3248,2.1828,9.7102,0.5504,0.027,1.2547,0.0364,0.3897,37.154,1.4561,5.9922,1.147,5.101,12.4904,0.0444,233.955,5.4776,20.6157,5.6695,10.6005,3.0314,5.4899,5.3818,29.7426,28.6036,128.2489,4.3294,3.0498,0,22017.8515,0.0,54.3113,332.5201,307.1288,0.0
EGY_C13T15,1.0769,0.8538,8.1948,0.4837,0.1343,10.0327,592.2279,4.4142,4.1085,0.2179,2.8814,3.3755,3.9819,2.0406,9.9237,2.5579,0.8226,1.4747,0.2644,8.8492,0.2382,88.1466,0.0169,0.55,27.9424,2.8745,5.7465,4.0935,4.0578,16.9959,0.3918,99.8602,2.4894,8.9681,2.4502,4.4089,1.2674,12.8596,6.8069,15.1509,10.4082,32.8456,1.9183,13.795,0,4381.3263,0.0,0.1486,106.884,18.139,0.0
EGY_C16,23.4448,0.2786,7.5338,4.1953,1.0167,57.7045,6.6934,62.5193,2.0952,0.1355,7.2048,15.1648,1.3091,17.4146,17.8353,7.7538,1.2328,11.3652,0.7939,2.6719,0.1827,412.8456,0.0543,0.288,248.6921,15.3603,4.8313,0.9621,0.6642,15.1644,0.1326,6.6582,0.8521,2.7283,0.7481,2.046,0.5126,2.1953,1.9596,4.3904,4.2942,10.3721,0.5124,3.5813,0,993.9419,0.0,0.0,109.1928,23.2855,0.0
EGY_C17_18,3.6385,0.1135,36.3072,7.4526,11.381,125.6546,5.9551,0.9769,376.6905,0.0963,1.6272,5.3507,0.8568,5.008,1.7085,5.4298,1.1533,5.6617,1.2089,2.3398,0.0439,3.7334,0.0734,2.313,39.0935,34.5808,11.8321,3.4313,1.5258,43.567,4.9079,60.3363,0.5503,1.2524,0.3331,30.7704,42.5421,79.4783,17.2566,12.1054,87.9503,175.6766,5.3138,15.1716,0,2162.9071,0.0,0.0006,357.8397,82.0214,0.0
EGY_C19,711.4176,127.8277,253.1675,23.0232,3.9115,766.2487,144.103,96.9962,68.9978,14.7704,275.1532,182.0479,182.9699,478.464,260.2163,56.012,12.8994,95.4933,9.2009,28.2726,1.4998,53.2593,604.4749,122.113,967.4892,777.8627,985.3112,549.9576,446.1821,522.0134,2.2213,702.8259,28.969,99.928,26.4562,41.121,19.5787,88.4757,94.4989,88.6692,83.8653,462.2422,65.5793,121.9755,0,14914.9669,0.0,0.0,92.4218,342.7319,0.0
EGY_C20,856.5146,1.9141,75.1852,4.4173,1.3001,55.2854,284.4145,181.7049,87.2147,19.8602,466.0151,364.8485,368.9651,113.2554,136.6074,78.307,26.2019,182.83,14.7839,46.6648,2.1068,89.849,3.0705,6.1342,49.789,13.1178,7.3915,2.879,4.1943,8.7646,0.0669,91.3895,2.3667,8.8979,2.4123,5.0427,12.578,1.5462,12.7242,15.9411,13.6141,255.5552,4.2265,28.2404,0,1967.6749,0.0,13.825,218.8292,43.2069,0.0
