V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T,BGR_HFCE,BGR_NPISH,BGR_GGFC,BGR_GFCF,BGR_INVNT,BGR_DPABR
BGR_A01_02,654.6617,0.0436,0.8883,1.8806,0.0569,437.9893,10.556,73.5731,13.2499,4.9269,29.6484,2.6638,3.7387,2.8812,7.7932,5.488,1.2246,2.6452,3.9564,2.9402,0.6157,3.9601,7.355,2.2357,20.2582,63.2139,11.5931,0.1192,1.1484,5.8997,0.6423,6.8214,0.8868,3.5279,6.2827,2.2061,7.2326,7.1936,12.9313,3.8665,0.8252,5.854,3.2436,2.5595,0.0,744.1089,0.2598,19.8376,79.074,8.5491,0.0
BGR_A03,0.3239,0.7515,0.0018,0.003,0.0001,7.9157,0.0195,0.0141,0.0053,0.0066,0.0329,0.0084,0.0052,0.0127,0.0121,0.1501,0.0173,0.0044,0.0057,0.0038,0.0008,0.0203,0.0104,0.0036,0.1209,2.7969,0.0639,0.0013,0.0018,1.7197,0.0006,0.3055,0.0018,0.006,0.0195,0.0056,0.0111,0.0264,0.0718,0.2212,0.0117,0.0128,0.0313,0.031,0.0,14.1037,0.0074,0.9939,0.0475,0.026,0.0
BGR_B05_06,6.1662,0.0152,1.268,0.8092,0.0271,4.3022,0.6443,2.1312,0.3791,13.3711,2.642,0.6382,0.3724,4.7836,6.9251,0.3025,0.079,0.343,0.5682,0.1536,0.0555,1.029,68.1059,0.3887,187.4566,25.2302,61.973,0.1548,0.1224,0.6321,0.0858,0.8017,0.0858,0.0858,4.6329,1.0821,0.9134,0.6144,7.2553,0.282,0.5257,0.7048,0.3139,8.472,0.0,45.979,0.0,0.3672,8.1526,2.298,0.0
BGR_B07_08,1.4928,0.0127,0.0513,108.054,0.1608,34.9006,0.3753,0.1505,1.3056,0.7549,43.1171,9.6791,0.397,1.8526,104.0455,17.0737,1.0215,0.8123,20.7511,1.7586,0.489,2.7414,2.9342,5.0124,192.6943,10.8485,2.242,0.0137,0.3579,3.8159,0.9915,12.0725,1.0615,0.6912,0.1769,0.2504,9.5383,5.0201,7.0188,0.477,0.2155,9.4397,4.2781,0.3243,0.0,17.2987,0.0026,1.6547,36.0972,4.6708,0.0
BGR_B09,0.0676,0.0011,0.7155,2.6625,0.1608,0.0462,0.0052,0.002,0.0387,2.0725,0.0612,0.002,0.0131,0.3036,1.3749,0.062,0.0005,0.0038,0.0144,0.0005,0.0011,0.0043,0.6683,0.0265,1.1451,0.0238,0.1102,0.0009,0.0031,0.0223,0.0001,0.0027,0.0001,0.0,0.0002,0.0,0.049,0.0252,0.0095,0.0206,0.0005,0.0047,0.0037,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR_C10T12,30.99,0.0341,0.0451,0.5213,0.0102,1167.9661,0.4804,0.0955,0.0935,0.1627,0.8675,0.4524,0.2233,0.2091,0.1892,0.3328,0.1236,0.1035,1.015,0.1184,0.0595,0.5515,0.3576,0.0468,2.283,25.9473,1.5386,0.1759,0.3046,0.571,0.1432,193.1533,0.093,0.1754,0.5801,0.1644,2.2533,3.9143,3.605,4.1192,1.5456,9.5363,5.9415,0.6028,0.0,2586.0079,0.0002,0.0566,0.8057,20.0555,0.0
BGR_C13T15,3.8039,0.0078,0.1655,0.5638,0.035,3.2019,241.2653,0.6835,1.6385,0.8543,1.0832,4.177,3.6942,0.7641,2.1699,2.1601,0.2861,0.7219,0.8934,108.1149,0.1982,4.5352,4.088,1.1519,6.4924,34.479,3.5528,0.0193,0.4235,2.7555,0.0889,1.6694,0.5221,0.6679,0.2883,0.547,5.7679,2.664,5.6156,9.5704,0.1488,1.6671,2.5643,6.0696,0.0,450.3042,0.0003,0.3781,7.5804,8.6209,0.0
BGR_C16,7.0604,0.0081,0.1419,0.7797,0.0199,5.7152,2.0129,85.1006,1.2561,1.3676,7.7771,0.268,1.9617,0.6535,2.0634,2.969,0.3031,3.023,1.5708,0.6902,0.206,25.2902,1.4938,0.7773,14.5782,17.1264,2.8025,0.0129,0.1673,3.5428,0.3364,0.7752,0.7616,0.1722,0.3925,0.3265,6.3997,1.2197,1.1368,0.7674,0.1305,0.3996,0.389,1.1822,0.0,76.9293,0.0101,0.4948,5.0401,1.591,0.0
BGR_C17_18,3.6032,0.0147,0.3506,0.5504,0.0285,40.1904,3.4601,1.6882,214.4609,1.6033,11.719,3.4213,3.251,4.8433,2.6417,3.6478,2.9523,1.7567,5.0855,0.8546,2.099,11.3365,1.8199,1.0185,4.3693,87.4779,3.6172,0.018,0.4782,2.301,3.0452,4.5359,19.6614,1.1846,7.4241,36.5383,2.4487,52.769,9.8627,63.8766,4.7551,10.4443,7.2732,65.8202,0.0,89.1953,0.0067,0.4631,2.2766,3.5406,0.0
BGR_C19,81.759,0.2158,0.6771,21.978,0.2976,22.366,3.1001,3.6897,1.5847,15.0365,6.619,1.2342,2.2562,8.3188,28.4268,6.7527,0.4012,1.5254,1.8466,0.6239,0.2832,4.4357,12.3273,9.4624,71.5771,92.9817,405.1923,3.0154,33.646,11.028,6.4918,4.8803,0.5239,2.2752,1.4697,2.8515,6.0288,3.7477,11.4233,1.3592,1.5985,3.3921,1.5781,1.6372,0.0,303.8392,0.0005,0.4032,1.0192,5.8556,0.0
