V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T,HRV_HFCE,HRV_NPISH,HRV_GGFC,HRV_GFCF,HRV_INVNT,HRV_DPABR
HRV_A01_02,291.3394,8.441,0.0775,0.1218,0.1249,692.8334,6.5062,77.1667,40.4068,1.3757,6.6253,2.7797,2.895,2.0304,0.2448,2.236,1.5033,1.9084,3.245,0.3379,1.1186,120.4123,9.6494,1.7081,16.3548,188.4226,10.044,0.9961,1.9202,3.913,0.272,19.3019,2.7755,1.539,5.246,7.4314,4.5623,16.7004,12.0055,12.4735,9.895,9.8243,10.6864,13.9443,0.0,696.3158,2.3199,99.5556,59.4905,52.482,0.0
HRV_A03,4.1297,5.0763,0.0292,0.0763,0.0862,34.8222,1.2783,0.5353,0.8333,0.9,0.5754,0.5425,0.9285,1.0545,0.1817,1.4156,0.715,0.9064,0.6484,0.1363,0.5651,0.9631,2.0269,0.4304,4.9881,5.7168,0.9141,0.371,0.0671,0.6482,0.0649,5.5596,0.4228,0.1884,0.4992,1.1254,0.5693,1.7584,0.6985,2.4729,0.6156,1.8261,0.6146,0.4936,0.0,108.1389,8.1368,4.0542,9.726,8.3657,0.0
HRV_B05_06,0.0017,0.0516,0.5103,0.3857,2.8992,2.6238,0.001,0.0017,0.0001,34.193,0.0879,0.0015,0.0055,0.0,0.0862,0.0027,0.0,0.0063,0.0,0.0001,0.0,0.0003,6.9684,0.0315,0.0854,0.0544,0.0455,0.0797,0.0,1.1862,0.0,0.0577,0.0006,0.0019,0.0,0.0,0.4624,3.6274,0.0617,0.0161,0.0,0.0107,0.0,0.0203,0.0,0.0274,0.096,0.0,0.0041,0.6128,0.0
HRV_B07_08,1.8746,0.7675,1.8143,11.835,5.4153,17.1019,0.1123,0.1887,1.601,0.0,0.7032,0.3047,0.1859,11.1546,0.3937,0.3394,0.0341,0.368,0.0943,0.0288,0.1122,0.1196,0.0372,3.3087,40.3381,2.5708,0.3919,0.4588,0.0,6.4889,0.0,0.6618,0.0046,0.0119,0.0024,0.0023,2.552,19.6222,0.401,0.4168,0.016,0.2532,0.1235,0.8965,0.0,2.1626,0.0,0.0,0.0,3.8971,0.0
HRV_B09,0.0,0.2682,1.148,0.0041,12.6199,12.6546,0.0041,0.0101,0.0009,108.28,0.522,0.0078,0.0216,0.0,0.3087,0.0098,0.0002,0.0249,0.0,0.0007,0.0,0.0016,17.4593,0.149,3.346,2.3197,1.9913,0.3712,0.0,5.1651,0.0,0.2685,0.0,0.0,0.0,0.0,2.0251,15.6335,0.308,0.0,0.0,0.0789,0.0003,0.1178,0.0,0.0,0.0,0.0,0.684,0.0,0.0
HRV_C10T12,197.5839,3.3603,0.0011,0.0037,0.0007,257.2249,52.7591,0.1156,3.5344,0.0478,30.6159,15.9736,0.6228,0.4063,0.0388,0.1306,0.0097,0.0921,0.1082,0.0117,0.0346,0.0556,0.858,0.0794,2.4686,145.6338,0.6933,4.7014,0.1854,7.5018,0.01,615.027,0.2492,0.0062,0.0818,1.5527,1.0912,39.4293,32.2511,0.3231,34.7011,51.5519,28.4124,4.6765,0.0,2563.4032,3.898,0.0021,0.0,85.9349,0.0
HRV_C13T15,4.3355,0.0517,0.0086,0.0144,0.0052,2.3511,111.5862,0.0739,1.0247,0.0575,0.165,0.2926,2.1368,6.1997,0.1891,0.5789,0.1527,0.9885,0.7037,0.3737,0.6234,4.0397,0.5456,12.8114,2.1899,21.6475,7.7537,1.5693,2.0613,12.773,1.1182,8.2604,0.1027,18.6769,0.4587,8.6827,15.259,35.4888,14.3555,154.2847,9.0286,30.8365,15.9087,5.5261,0.0,372.6022,9.0346,0.2692,7.5297,33.331,0.0
HRV_C16,6.3761,0.3642,0.3477,0.3806,0.2555,18.8458,2.9886,169.5272,6.0658,0.7579,2.1282,0.9555,3.7704,6.2028,0.5054,11.2233,0.8964,4.1932,4.2323,0.3406,2.4441,13.3449,10.5936,0.5024,45.6705,15.5254,1.0327,0.3746,0.0943,15.0265,0.0397,3.4983,0.3989,0.3595,0.5952,1.7531,32.0733,4.5943,1.0154,2.9446,2.0426,3.8604,9.9042,4.7919,0.0,35.0326,5.3538,3.5252,17.247,14.2799,0.0
HRV_C17_18,14.6754,1.48,0.1348,0.3798,0.2602,69.7886,9.8936,6.6796,148.7409,3.0739,16.6487,10.5887,6.1259,8.0742,0.635,7.2751,2.4507,4.8967,4.528,0.5281,3.5152,4.49,9.3833,1.8973,15.3284,35.3023,4.4288,1.7187,0.3291,5.5378,2.5804,54.6383,26.4792,4.3945,3.5586,14.5671,3.4,24.8736,7.4212,17.2772,8.5305,15.4818,19.1812,35.3832,0.0,119.1615,3.8062,9.8331,29.0399,16.5573,0.0
HRV_C19,24.5852,2.9169,0.1943,1.1904,0.4597,29.8173,8.1022,3.2175,4.6317,22.0078,4.9123,3.4168,4.1885,7.6067,1.8189,8.6308,3.6508,5.3453,3.7264,1.0761,2.9689,5.2923,284.6753,6.1383,88.74,37.791,48.5136,34.0248,6.8315,10.1134,1.5446,21.6523,4.3332,3.2339,3.4357,9.4284,8.2541,24.3068,9.1573,25.745,2.9282,13.1266,5.0224,6.0071,0.0,306.9579,3.9105,24.2731,46.8715,24.0964,0.0
